model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-18T13:02:42.707285+00:00

Build Times
provider,build_time_s
torchinferno,50.9
vllm,367.3
sglang,190.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.71,70.69,97.47,vllm
ttft_p99_ms,758.50,134.78,521.54,vllm
tpot_median_ms,32.92,36.26,76.62,torchinferno
tpot_p99_ms,44.69,88.27,877.73,torchinferno
e2e_median_ms,167.21,97.34,163.48,vllm
e2e_p99_ms,773.09,175.81,971.13,vllm
throughput_median_tps,6.93,13.53,8.13,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,56.24,68.75,150.51,torchinferno
ttft_p99_ms,315.14,312.99,70633.92,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,73.54,85.16,230.80,torchinferno
e2e_p99_ms,315.21,325.43,70704.47,torchinferno
throughput_median_tps,13.60,11.74,4.33,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,189.88,81.90,101.54,vllm
ttft_p99_ms,1024.71,191.78,498.08,vllm
tpot_median_ms,34.76,36.59,80.46,torchinferno
tpot_p99_ms,46.75,128.31,899.60,torchinferno
e2e_median_ms,218.48,114.41,166.86,vllm
e2e_p99_ms,1044.56,235.36,958.01,vllm
throughput_median_tps,5.12,11.96,7.77,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,424.10,80.98,84.05,vllm
ttft_last_turn_ms,174.87,91.54,104.86,vllm
ttft_growth_ratio,0.41,1.13,1.25,torchinferno
ttft_first_turn_median_ms,194.21,70.85,82.55,vllm
ttft_first_turn_p99_ms,1110.89,179.13,129.08,sglang
ttft_last_turn_median_ms,187.65,84.56,101.84,vllm
ttft_last_turn_p99_ms,208.09,203.63,139.99,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,54.04,35.00,64.51,vllm
ttft_p99_ms,789.13,110.28,214.74,vllm
tpot_median_ms,35.07,23.07,433.42,vllm
tpot_p99_ms,86.38,40.21,1106.42,vllm
e2e_median_ms,75.16,52.97,516.80,vllm
e2e_p99_ms,821.38,158.15,1180.61,vllm
throughput_median_tps,19.22,24.64,2.74,vllm
total_output_tokens,1486,1477,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,186.71,46.32,56.04,vllm
ttft_p99_ms,443.97,62.17,98.92,vllm
tpot_median_ms,19.55,15.34,27.62,vllm
tpot_p99_ms,28.21,17.84,116.78,vllm
e2e_median_ms,895.67,574.39,1045.17,vllm
e2e_p99_ms,1518.14,1037.17,1886.12,vllm
throughput_median_tps,41.05,60.85,35.08,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,818.87,0.00,831.09,1,1.20,1,,,,,,,1,,,
torchinferno,few_shot,0,1,836.49,24.26,860.74,2,2.32,1,,,,,,,0,,,
torchinferno,few_shot,4,2,842.20,0.00,857.46,1,1.17,1,,,,,,,4,,,
torchinferno,few_shot,9,3,758.50,0.00,773.09,1,1.29,1,,,,,,,9,,,
torchinferno,few_shot,8,4,777.36,0.00,790.76,1,1.26,1,,,,,,,8,,,
torchinferno,few_shot,28,5,438.57,0.00,453.90,1,2.20,1,,,,,,,28,,,
torchinferno,few_shot,25,6,489.41,0.00,505.12,1,1.98,1,,,,,,,25,,,
torchinferno,few_shot,5,7,825.49,0.00,843.99,1,1.18,1,,,,,,,5,,,
torchinferno,few_shot,24,8,505.77,0.00,523.31,1,1.91,1,,,,,,,24,,,
torchinferno,few_shot,12,9,707.80,0.00,726.59,1,1.38,1,,,,,,,12,,,
torchinferno,few_shot,11,10,724.00,0.00,744.07,1,1.34,1,,,,,,,11,,,
torchinferno,few_shot,29,11,422.09,0.00,440.75,1,2.27,1,,,,,,,29,,,
torchinferno,few_shot,26,12,473.18,0.00,491.75,1,2.03,1,,,,,,,26,,,
torchinferno,few_shot,31,13,387.76,0.00,408.52,1,2.45,1,,,,,,,31,,,
torchinferno,few_shot,10,14,741.83,0.00,764.66,1,1.31,1,,,,,,,10,,,
torchinferno,few_shot,7,15,791.85,0.00,817.27,1,1.22,1,,,,,,,7,,,
torchinferno,few_shot,17,16,624.02,0.00,649.08,1,1.54,1,,,,,,,17,,,
torchinferno,few_shot,15,17,656.67,29.52,686.19,2,2.91,1,,,,,,,15,,,
torchinferno,few_shot,14,18,675.38,28.30,703.68,2,2.84,1,,,,,,,14,,,
torchinferno,few_shot,30,19,404.26,30.22,434.48,2,4.60,1,,,,,,,30,,,
torchinferno,few_shot,2,20,879.70,29.82,909.51,2,2.20,1,,,,,,,2,,,
torchinferno,few_shot,27,21,454.28,32.18,486.45,2,4.11,1,,,,,,,27,,,
torchinferno,few_shot,3,22,861.74,31.48,893.22,2,2.24,1,,,,,,,3,,,
torchinferno,few_shot,32,23,369.64,33.51,403.15,2,4.96,1,,,,,,,32,,,
torchinferno,few_shot,6,24,811.42,33.38,844.80,2,2.37,1,,,,,,,6,,,
torchinferno,few_shot,18,25,606.01,36.64,642.65,2,3.11,1,,,,,,,18,,,
torchinferno,few_shot,20,26,572.72,36.82,609.53,2,3.28,1,,,,,,,20,,,
torchinferno,few_shot,21,27,555.49,37.77,593.26,2,3.37,1,,,,,,,21,,,
torchinferno,few_shot,16,28,641.86,36.84,678.70,2,2.95,1,,,,,,,16,,,
torchinferno,few_shot,13,29,691.73,38.39,730.12,2,2.74,1,,,,,,,13,,,
torchinferno,few_shot,23,30,524.37,38.25,562.62,2,3.55,1,,,,,,,23,,,
torchinferno,few_shot,19,31,590.22,40.96,631.18,2,3.17,1,,,,,,,19,,,
torchinferno,few_shot,33,32,353.77,40.84,394.60,2,5.07,1,,,,,,,33,,,
torchinferno,few_shot,22,33,541.68,40.26,581.94,2,3.44,1,,,,,,,22,,,
torchinferno,few_shot,41,34,299.13,0.00,313.40,1,3.19,1,,,,,,,41,,,
torchinferno,few_shot,34,35,419.83,0.00,432.15,1,2.31,1,,,,,,,34,,,
torchinferno,few_shot,64,36,146.12,0.00,161.53,1,6.19,1,,,,,,,64,,,
torchinferno,few_shot,47,37,171.94,0.00,186.98,1,5.35,1,,,,,,,47,,,
torchinferno,few_shot,43,38,265.46,0.00,282.47,1,3.54,1,,,,,,,43,,,
