model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T09:09:50.315014

Build Times
provider,build_time_s
torchinferno,351.9
vllm,1111.0
sglang,167.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,297.48,162.97,137.88,sglang
ttft_p99_ms,1530.77,487.20,6369.85,vllm
tpot_median_ms,156.10,57.15,79.41,vllm
tpot_p99_ms,217.94,160.83,7415.02,vllm
e2e_median_ms,407.39,219.22,210.01,sglang
e2e_p99_ms,1729.67,596.51,13752.08,vllm
throughput_median_tps,3.63,6.68,5.85,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,304.12,223.76,201.30,sglang
ttft_p99_ms,1433.97,257.98,70521.89,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,333.84,307.26,346.42,vllm
e2e_p99_ms,1495.81,359.90,70606.04,vllm
throughput_median_tps,3.00,3.25,2.89,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,553.45,179.17,162.94,sglang
ttft_p99_ms,1609.72,335.47,619.94,vllm
tpot_median_ms,128.61,66.33,103.76,vllm
tpot_p99_ms,446.23,179.79,237.31,vllm
e2e_median_ms,639.63,235.95,261.83,vllm
e2e_p99_ms,1729.52,428.02,775.37,vllm
throughput_median_tps,2.05,6.03,5.13,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,836.85,149.67,118.83,sglang
ttft_last_turn_ms,574.73,174.58,179.57,vllm
ttft_growth_ratio,0.69,1.17,1.51,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,324.90,58.47,77.91,vllm
ttft_p99_ms,924.85,121.05,511.11,vllm
tpot_median_ms,134.41,26.86,61.35,vllm
tpot_p99_ms,156.75,51.01,166.76,vllm
e2e_median_ms,429.16,79.03,154.80,vllm
e2e_p99_ms,995.60,146.08,547.44,vllm
throughput_median_tps,3.26,15.40,9.28,vllm
total_output_tokens,1483,1464,1481,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,765.38,72.00,70.06,sglang
ttft_p99_ms,2316.85,193.48,120.88,sglang
tpot_median_ms,16.96,15.00,22.68,vllm
tpot_p99_ms,53.00,20.79,27.70,vllm
e2e_median_ms,1453.91,621.66,849.18,vllm
e2e_p99_ms,3217.60,1021.29,1632.49,vllm
throughput_median_tps,21.75,58.11,41.45,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,880.90,0.00,1069.45,1,0.94,1
torchinferno,few_shot,1,1517.08,0.00,1608.65,1,0.62,1
torchinferno,few_shot,2,1528.22,0.00,1604.70,1,0.62,1
torchinferno,few_shot,3,1521.40,0.00,1608.58,1,0.62,1
torchinferno,few_shot,4,1515.50,0.00,1614.42,1,0.62,1
torchinferno,few_shot,5,1514.86,0.00,1613.35,1,0.62,1
torchinferno,few_shot,6,1529.90,0.00,1619.79,1,0.62,1
torchinferno,few_shot,7,1515.89,0.00,1621.46,1,0.62,1
torchinferno,few_shot,8,1526.87,0.00,1621.80,1,0.62,1
torchinferno,few_shot,9,1518.93,0.00,1623.83,1,0.62,1
torchinferno,few_shot,10,1517.61,0.00,1629.26,1,0.61,1
torchinferno,few_shot,11,1523.44,0.00,1627.91,1,0.61,1
torchinferno,few_shot,12,1534.54,0.00,1630.22,1,0.61,1
torchinferno,few_shot,13,1530.20,0.00,1630.91,1,0.61,1
torchinferno,few_shot,14,1523.14,0.00,1633.08,1,0.61,1
torchinferno,few_shot,15,1512.56,0.00,1630.92,1,0.61,1
torchinferno,few_shot,16,1522.14,0.00,1634.95,1,0.61,1
torchinferno,few_shot,17,1525.11,0.00,1639.28,1,0.61,1
torchinferno,few_shot,18,1524.84,0.00,1646.70,1,0.61,1
torchinferno,few_shot,19,1514.45,0.00,1639.49,1,0.61,1
torchinferno,few_shot,20,1516.53,0.00,1638.27,1,0.61,1
torchinferno,few_shot,21,1520.78,0.00,1646.30,1,0.61,1
torchinferno,few_shot,22,1522.62,0.00,1653.08,1,0.60,1
torchinferno,few_shot,23,1521.96,0.00,1646.04,1,0.61,1
torchinferno,few_shot,24,465.31,0.00,583.06,1,1.72,1
torchinferno,few_shot,25,1535.18,0.00,1654.92,1,0.60,1
torchinferno,few_shot,26,1522.98,0.00,1649.73,1,0.61,1
torchinferno,few_shot,27,1521.93,0.00,1659.06,1,0.60,1
torchinferno,few_shot,28,1521.78,0.00,1659.48,1,0.60,1
torchinferno,few_shot,29,1520.11,0.00,1655.02,1,0.60,1
torchinferno,few_shot,30,1531.31,0.00,1660.07,1,0.60,1
torchinferno,few_shot,31,1525.71,0.00,1660.37,1,0.60,1
torchinferno,few_shot,32,1526.65,0.00,1675.02,1,0.60,1
torchinferno,few_shot,33,1531.84,165.94,1697.78,2,1.18,1
torchinferno,few_shot,34,1530.77,163.73,1694.50,2,1.18,1
torchinferno,few_shot,35,1528.21,162.93,1691.14,2,1.18,1
torchinferno,few_shot,36,1528.34,170.69,1699.04,2,1.18,1
torchinferno,few_shot,37,1537.43,166.36,1703.78,2,1.17,1
torchinferno,few_shot,38,1516.34,187.45,1703.79,2,1.17,1
torchinferno,few_shot,39,1522.41,180.94,1703.35,2,1.17,1
torchinferno,few_shot,40,1529.67,175.03,1704.70,2,1.17,1
torchinferno,few_shot,41,1522.34,182.47,1704.81,2,1.17,1
torchinferno,few_shot,42,1527.04,183.17,1710.21,2,1.17,1
torchinferno,few_shot,43,1517.04,187.84,1704.88,2,1.17,1
torchinferno,few_shot,44,1520.85,191.81,1712.66,2,1.17,1
torchinferno,few_shot,45,1537.25,178.53,1715.78,2,1.17,1
