model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-05T07:01:49.976589

Build Times
provider,build_time_s
torchinferno,387.4
vllm,1316.2
sglang,200.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.09,165.40,161.74,sglang
ttft_p99_ms,2033.79,278.24,5981.46,vllm
tpot_median_ms,50.01,61.27,69.64,torchinferno
tpot_p99_ms,171.66,147.97,394.76,vllm
e2e_median_ms,357.61,220.05,226.16,vllm
e2e_p99_ms,2051.72,329.44,6344.23,vllm
throughput_median_tps,3.38,7.03,5.26,vllm
total_output_tokens,1460,1463,1460,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,265.79,197.31,211.82,vllm
ttft_p99_ms,1026.82,457.26,70905.96,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,394.99,218.56,340.67,vllm
e2e_p99_ms,1141.90,480.45,71020.42,vllm
throughput_median_tps,2.53,4.58,2.94,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,764.74,184.08,167.53,sglang
ttft_p99_ms,2051.24,338.25,509.82,vllm
tpot_median_ms,61.94,66.39,97.06,torchinferno
tpot_p99_ms,154.23,193.53,436.05,torchinferno
e2e_median_ms,829.80,245.88,270.36,vllm
e2e_p99_ms,2077.60,426.50,645.84,vllm
throughput_median_tps,1.49,5.80,4.92,vllm
total_output_tokens,1448,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,940.90,152.57,275.48,vllm
ttft_last_turn_ms,943.26,172.87,172.81,sglang
ttft_growth_ratio,1.00,1.13,0.63,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,419.30,60.65,82.77,vllm
ttft_p99_ms,984.93,2040.16,451.55,sglang
tpot_median_ms,32.74,27.56,51.73,vllm
tpot_p99_ms,260.64,1738.40,439.42,torchinferno
e2e_median_ms,455.06,82.02,148.50,vllm
e2e_p99_ms,1021.57,3746.38,521.99,sglang
throughput_median_tps,3.18,14.96,9.49,vllm
total_output_tokens,1472,1484,1463,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,553.11,80.06,79.99,sglang
ttft_p99_ms,1667.71,266.11,144.45,sglang
tpot_median_ms,32.02,14.73,23.49,vllm
tpot_p99_ms,60.97,23.86,27.69,vllm
e2e_median_ms,1597.28,624.30,884.61,vllm
e2e_p99_ms,4043.06,1016.78,1685.60,vllm
throughput_median_tps,21.58,57.96,39.76,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1219.04,0.00,1226.93,1,0.82,1
torchinferno,few_shot,1,1220.16,190.06,1410.22,2,1.42,1
torchinferno,few_shot,2,1220.33,190.15,1410.48,2,1.42,1
torchinferno,few_shot,3,1217.46,193.19,1410.65,2,1.42,1
torchinferno,few_shot,4,1760.10,0.00,1772.45,1,0.56,1
torchinferno,few_shot,5,1784.84,0.00,1789.83,1,0.56,1
torchinferno,few_shot,6,1765.40,0.00,1777.58,1,0.56,1
torchinferno,few_shot,7,1781.61,0.00,1796.21,1,0.56,1
torchinferno,few_shot,8,1766.64,0.00,1783.09,1,0.56,1
torchinferno,few_shot,9,1775.15,0.00,1795.69,1,0.56,1
torchinferno,few_shot,10,1765.07,0.00,1794.76,1,0.56,1
torchinferno,few_shot,11,1773.66,0.00,1795.93,1,0.56,1
torchinferno,few_shot,12,1762.38,0.00,1787.66,1,0.56,1
torchinferno,few_shot,13,1782.89,0.00,1804.41,1,0.55,1
torchinferno,few_shot,14,1768.46,32.99,1801.45,2,1.11,1
torchinferno,few_shot,15,1768.37,0.00,1806.38,1,0.55,1
torchinferno,few_shot,16,1756.21,0.00,1792.02,1,0.56,1
torchinferno,few_shot,17,1770.70,26.39,1797.09,2,1.11,1
torchinferno,few_shot,18,1770.32,38.86,1809.18,2,1.11,1
torchinferno,few_shot,19,1763.60,36.14,1799.74,2,1.11,1
torchinferno,few_shot,20,1772.52,0.00,1817.85,1,0.55,1
torchinferno,few_shot,21,1765.67,35.76,1801.44,2,1.11,1
torchinferno,few_shot,22,1766.67,0.00,1804.77,1,0.55,1
torchinferno,few_shot,23,1771.63,0.00,1809.66,1,0.55,1
torchinferno,few_shot,24,1761.88,0.00,1809.73,1,0.55,1
torchinferno,few_shot,25,1773.28,48.23,1821.51,2,1.10,1
torchinferno,few_shot,26,1778.74,0.00,1826.03,1,0.55,1
torchinferno,few_shot,27,1760.22,52.29,1812.51,2,1.10,1
torchinferno,few_shot,28,1770.52,57.81,1828.33,2,1.09,1
torchinferno,few_shot,29,1760.73,58.47,1819.20,2,1.10,1
torchinferno,few_shot,30,1766.50,0.00,1821.02,1,0.55,1
torchinferno,few_shot,31,1769.00,64.59,1833.59,2,1.09,1
torchinferno,few_shot,32,1783.36,53.07,1836.43,2,1.09,1
torchinferno,few_shot,33,1757.87,0.00,1825.18,1,0.55,1
torchinferno,few_shot,34,1761.03,68.33,1829.37,2,1.09,1
torchinferno,few_shot,35,1772.56,69.63,1842.19,2,1.09,1
torchinferno,few_shot,36,1773.10,0.00,1849.48,1,0.54,1
torchinferno,few_shot,37,1770.95,75.15,1846.10,2,1.08,1
torchinferno,few_shot,38,1787.40,67.86,1855.26,2,1.08,1
torchinferno,few_shot,39,1772.08,0.00,1854.02,1,0.54,1
torchinferno,few_shot,40,1757.18,0.00,1839.85,1,0.54,1
torchinferno,few_shot,41,1759.29,80.83,1840.12,2,1.09,1
torchinferno,few_shot,42,1773.97,79.78,1853.75,2,1.08,1
torchinferno,few_shot,43,1765.33,0.00,1849.43,1,0.54,1
torchinferno,few_shot,44,1777.69,0.00,1858.45,1,0.54,1
torchinferno,few_shot,45,1760.65,0.00,1850.78,1,0.54,1
