model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-14T18:07:19.269631

Build Times
provider,build_time_s
torchinferno,312.8
vllm,1114.2
sglang,160.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,313.28,164.31,133.55,sglang
ttft_p99_ms,1753.57,481.78,5258.43,vllm
tpot_median_ms,166.78,62.91,76.03,vllm
tpot_p99_ms,212.43,166.55,7305.79,vllm
e2e_median_ms,406.08,216.28,204.05,sglang
e2e_p99_ms,1856.48,602.87,12515.78,vllm
throughput_median_tps,3.61,6.67,6.02,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,294.43,193.67,205.39,vllm
ttft_p99_ms,1484.10,274.39,70164.20,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,329.78,247.97,334.03,vllm
e2e_p99_ms,1614.96,384.91,70289.86,vllm
throughput_median_tps,3.03,4.03,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,615.74,171.18,153.65,sglang
ttft_p99_ms,1742.97,358.05,750.63,vllm
tpot_median_ms,179.67,50.14,100.30,vllm
tpot_p99_ms,579.00,185.02,224.17,vllm
e2e_median_ms,753.16,225.89,248.50,vllm
e2e_p99_ms,2086.93,415.48,896.93,vllm
throughput_median_tps,1.87,6.31,5.32,vllm
total_output_tokens,1450,1462,1462,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1003.66,145.70,104.50,sglang
ttft_last_turn_ms,454.77,166.62,175.87,vllm
ttft_growth_ratio,0.45,1.14,1.68,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,365.09,58.80,73.85,vllm
ttft_p99_ms,1000.23,148.28,773.35,vllm
tpot_median_ms,262.80,27.39,55.62,vllm
tpot_p99_ms,295.60,56.39,786.21,vllm
e2e_median_ms,582.57,79.64,144.75,vllm
e2e_p99_ms,1213.21,161.09,859.38,vllm
throughput_median_tps,2.18,15.41,9.90,vllm
total_output_tokens,1466,1458,1460,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,576.44,64.64,65.13,vllm
ttft_p99_ms,2219.42,214.87,110.93,sglang
tpot_median_ms,16.21,14.91,21.97,vllm
tpot_p99_ms,37.77,20.20,26.79,vllm
e2e_median_ms,1265.84,606.39,823.71,vllm
e2e_p99_ms,2788.29,1000.34,1530.19,vllm
throughput_median_tps,25.94,59.61,42.80,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,712.54,0.00,904.53,1,1.11,1
torchinferno,few_shot,1,1445.85,0.00,1532.53,1,0.65,1
torchinferno,few_shot,2,1441.35,0.00,1535.63,1,0.65,1
torchinferno,few_shot,3,1439.44,0.00,1535.88,1,0.65,1
torchinferno,few_shot,4,1431.79,0.00,1526.00,1,0.66,1
torchinferno,few_shot,5,1437.01,0.00,1527.94,1,0.65,1
torchinferno,few_shot,6,1439.29,0.00,1538.58,1,0.65,1
torchinferno,few_shot,7,1437.16,0.00,1532.82,1,0.65,1
torchinferno,few_shot,8,1438.27,0.00,1544.42,1,0.65,1
torchinferno,few_shot,9,1440.69,0.00,1547.52,1,0.65,1
torchinferno,few_shot,10,1443.72,0.00,1546.88,1,0.65,1
torchinferno,few_shot,11,1436.52,0.00,1544.13,1,0.65,1
torchinferno,few_shot,12,1446.61,0.00,1555.49,1,0.64,1
torchinferno,few_shot,13,1442.40,0.00,1549.88,1,0.65,1
torchinferno,few_shot,14,1436.51,0.00,1544.49,1,0.65,1
torchinferno,few_shot,15,1443.49,0.00,1546.26,1,0.65,1
torchinferno,few_shot,16,1433.14,0.00,1546.21,1,0.65,1
torchinferno,few_shot,17,1442.30,0.00,1548.36,1,0.65,1
torchinferno,few_shot,18,1447.11,0.00,1558.37,1,0.64,1
torchinferno,few_shot,19,1435.66,0.00,1552.63,1,0.64,1
torchinferno,few_shot,20,1444.63,0.00,1563.62,1,0.64,1
torchinferno,few_shot,21,1447.12,0.00,1563.66,1,0.64,1
torchinferno,few_shot,22,1439.38,0.00,1556.11,1,0.64,1
torchinferno,few_shot,23,1449.93,0.00,1569.94,1,0.64,1
torchinferno,few_shot,24,1448.66,0.00,1566.91,1,0.64,1
torchinferno,few_shot,25,1440.13,0.00,1558.70,1,0.64,1
torchinferno,few_shot,26,1443.95,185.80,1629.76,2,1.23,1
torchinferno,few_shot,27,1438.45,177.02,1615.47,2,1.24,1
torchinferno,few_shot,28,1448.25,179.35,1627.59,2,1.23,1
torchinferno,few_shot,29,1437.46,182.19,1619.65,2,1.23,1
torchinferno,few_shot,30,1444.09,186.18,1630.27,2,1.23,1
torchinferno,few_shot,31,1451.47,182.45,1633.91,2,1.22,1
torchinferno,few_shot,32,1451.40,187.87,1639.27,2,1.22,1
torchinferno,few_shot,33,1439.95,201.05,1641.01,2,1.22,1
torchinferno,few_shot,34,1443.32,197.22,1640.54,2,1.22,1
torchinferno,few_shot,35,1432.21,200.61,1632.83,2,1.22,1
torchinferno,few_shot,36,1442.88,203.83,1646.71,2,1.21,1
torchinferno,few_shot,37,1440.06,205.39,1645.45,2,1.22,1
torchinferno,few_shot,38,1447.36,199.78,1647.14,2,1.21,1
torchinferno,few_shot,39,1449.91,197.33,1647.25,2,1.21,1
torchinferno,few_shot,40,1440.55,209.03,1649.58,2,1.21,1
torchinferno,few_shot,41,1444.22,202.75,1646.98,2,1.21,1
torchinferno,few_shot,42,1439.54,210.98,1650.52,2,1.21,1
torchinferno,few_shot,43,1440.71,202.71,1643.42,2,1.22,1
torchinferno,few_shot,44,1442.44,212.43,1654.87,2,1.21,1
torchinferno,few_shot,45,1432.81,214.77,1647.58,2,1.21,1
torchinferno,few_shot,46,1450.08,211.57,1661.65,2,1.20,1
torchinferno,few_shot,47,1441.79,221.46,1663.25,2,1.20,1
torchinferno,few_shot,48,1446.92,210.65,1657.57,2,1.21,1
torchinferno,few_shot,49,227.12,0.00,295.70,1,3.38,1
