model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-17T23:03:05.752801

Build Times
provider,build_time_s
torchinferno,362.3
vllm,535.5
sglang,267.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,463.77,137.64,152.15,vllm
ttft_p99_ms,2245.93,222.97,631.46,vllm
tpot_median_ms,57.90,40.47,77.99,vllm
tpot_p99_ms,591.18,104.14,446.21,vllm
e2e_median_ms,506.83,170.40,222.82,vllm
e2e_p99_ms,2432.82,283.20,970.93,vllm
throughput_median_tps,2.53,8.11,5.56,vllm
total_output_tokens,1461,1452,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.10,211.66,217.38,vllm
ttft_p99_ms,739.02,464.39,71106.62,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,389.42,236.66,365.00,vllm
e2e_p99_ms,879.38,491.49,71182.67,vllm
throughput_median_tps,2.57,4.23,2.74,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,669.67,163.22,163.96,vllm
ttft_p99_ms,1764.95,290.48,294.94,vllm
tpot_median_ms,67.68,47.53,103.32,vllm
tpot_p99_ms,161.82,190.04,237.25,torchinferno
e2e_median_ms,736.03,201.20,269.18,vllm
e2e_p99_ms,1851.25,395.19,450.38,vllm
throughput_median_tps,1.80,6.78,5.16,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,594.83,138.46,113.60,sglang
ttft_last_turn_ms,988.82,158.65,214.79,vllm
ttft_growth_ratio,1.66,1.15,1.89,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.92,58.47,85.88,vllm
ttft_p99_ms,772.99,3744.89,883.55,torchinferno
tpot_median_ms,32.58,28.11,42.37,vllm
tpot_p99_ms,269.63,1972.26,141.85,sglang
e2e_median_ms,223.66,79.05,149.49,vllm
e2e_p99_ms,805.43,3780.41,919.78,torchinferno
throughput_median_tps,5.95,15.41,9.61,vllm
total_output_tokens,1470,1476,1471,vllm
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,359.65,69.17,69.66,vllm
ttft_p99_ms,1567.27,169.09,564.19,vllm
tpot_median_ms,21.62,15.13,22.88,vllm
tpot_p99_ms,40.88,24.55,37.09,vllm
e2e_median_ms,1116.99,617.93,911.56,vllm
e2e_p99_ms,2362.92,998.31,1641.19,vllm
throughput_median_tps,31.85,58.67,40.59,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1349.06,0.00,1356.56,1,0.74,1
torchinferno,few_shot,1,1349.15,0.00,1358.21,1,0.74,1
torchinferno,few_shot,2,1348.98,0.00,1360.98,1,0.73,1
torchinferno,few_shot,3,1349.26,0.00,1361.24,1,0.73,1
torchinferno,few_shot,4,1347.10,0.00,1362.35,1,0.73,1
torchinferno,few_shot,5,1352.93,0.00,1368.90,1,0.73,1
torchinferno,few_shot,6,1347.93,0.00,1365.92,1,0.73,1
torchinferno,few_shot,7,1350.43,591.18,1941.61,2,1.03,1
torchinferno,few_shot,8,1345.11,594.06,1939.17,2,1.03,1
torchinferno,few_shot,9,1344.92,596.25,1941.18,2,1.03,1
torchinferno,few_shot,10,1350.16,598.21,1948.37,2,1.03,1
torchinferno,few_shot,11,1347.74,601.05,1948.79,2,1.03,1
torchinferno,few_shot,12,2239.32,0.00,2355.07,1,0.42,1
torchinferno,few_shot,13,2235.23,0.00,2358.29,1,0.42,1
torchinferno,few_shot,14,2236.26,0.00,2360.06,1,0.42,1
torchinferno,few_shot,15,2243.10,0.00,2362.26,1,0.42,1
torchinferno,few_shot,16,2240.17,0.00,2362.57,1,0.42,1
torchinferno,few_shot,17,2239.18,0.00,2368.45,1,0.42,1
torchinferno,few_shot,18,2235.77,0.00,2371.09,1,0.42,1
torchinferno,few_shot,19,2244.17,132.34,2376.51,2,0.84,1
torchinferno,few_shot,20,2233.20,0.00,2370.06,1,0.42,1
torchinferno,few_shot,21,2241.10,134.11,2375.21,2,0.84,1
torchinferno,few_shot,22,2245.93,134.91,2380.83,2,0.84,1
torchinferno,few_shot,23,2237.10,149.02,2386.12,2,0.84,1
torchinferno,few_shot,24,2230.21,0.00,2378.05,1,0.42,1
torchinferno,few_shot,25,2234.34,0.00,2381.08,1,0.42,1
torchinferno,few_shot,26,2245.28,143.40,2388.68,2,0.84,1
torchinferno,few_shot,27,2236.12,154.56,2390.68,2,0.84,1
torchinferno,few_shot,28,2238.17,146.87,2385.04,2,0.84,1
torchinferno,few_shot,29,2233.94,0.00,2386.12,1,0.42,1
torchinferno,few_shot,30,2233.10,0.00,2390.45,1,0.42,1
torchinferno,few_shot,31,2242.81,153.53,2396.34,2,0.83,1
torchinferno,few_shot,32,2238.84,0.00,2392.16,1,0.42,1
torchinferno,few_shot,33,2234.36,159.97,2394.34,2,0.84,1
torchinferno,few_shot,34,2237.44,0.00,2406.52,1,0.42,1
torchinferno,few_shot,35,2250.24,154.64,2404.88,2,0.83,1
torchinferno,few_shot,36,2234.62,0.00,2405.55,1,0.42,1
torchinferno,few_shot,37,2234.44,0.00,2406.71,1,0.42,1
torchinferno,few_shot,38,2238.12,0.00,2413.41,1,0.41,1
torchinferno,few_shot,39,2236.00,171.88,2407.87,2,0.83,1
torchinferno,few_shot,40,2241.57,0.00,2409.85,1,0.41,1
torchinferno,few_shot,41,2240.07,0.00,2415.16,1,0.41,1
torchinferno,few_shot,42,2242.95,170.47,2413.43,2,0.83,1
torchinferno,few_shot,43,2241.17,169.48,2410.65,2,0.83,1
torchinferno,few_shot,44,2247.24,172.75,2419.99,2,0.83,1
torchinferno,few_shot,45,2243.85,175.99,2419.85,2,0.83,1
