model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T20:08:17.400037

Build Times
provider,build_time_s
torchinferno,354.4
vllm,1044.7
sglang,167.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.69,159.78,137.28,sglang
ttft_p99_ms,1568.14,496.41,5740.79,vllm
tpot_median_ms,147.74,64.32,78.08,vllm
tpot_p99_ms,180.90,174.47,7310.62,vllm
e2e_median_ms,368.56,219.26,209.35,sglang
e2e_p99_ms,1667.89,628.46,13021.31,vllm
throughput_median_tps,3.91,6.89,5.83,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,269.01,196.46,199.24,vllm
ttft_p99_ms,1562.88,440.79,70136.23,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,334.85,215.48,338.59,vllm
e2e_p99_ms,1632.41,481.53,70231.31,vllm
throughput_median_tps,2.99,4.64,2.95,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,603.05,173.21,166.40,sglang
ttft_p99_ms,2237.86,349.21,611.34,vllm
tpot_median_ms,155.82,57.31,103.71,vllm
tpot_p99_ms,422.81,212.81,229.47,vllm
e2e_median_ms,708.07,224.15,269.21,vllm
e2e_p99_ms,2476.21,441.44,679.82,vllm
throughput_median_tps,2.02,6.18,4.96,vllm
total_output_tokens,1462,1450,1462,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1145.41,138.91,105.12,sglang
ttft_last_turn_ms,557.76,168.81,203.19,vllm
ttft_growth_ratio,0.49,1.22,1.93,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,328.20,57.54,74.43,vllm
ttft_p99_ms,1102.87,129.45,472.11,vllm
tpot_median_ms,127.01,26.62,62.71,vllm
tpot_p99_ms,144.92,96.23,168.27,vllm
e2e_median_ms,423.13,77.93,146.73,vllm
e2e_p99_ms,1210.32,159.08,518.67,vllm
throughput_median_tps,3.06,15.93,9.63,vllm
total_output_tokens,1459,1461,1478,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,69.05,66.06,sglang
ttft_p99_ms,,124.20,109.28,sglang
tpot_median_ms,,14.99,22.12,vllm
tpot_p99_ms,,18.70,26.19,vllm
e2e_median_ms,,605.23,833.92,vllm
e2e_p99_ms,,1012.91,1579.25,vllm
throughput_median_tps,,59.13,42.49,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,880.45,0.00,947.75,1,1.06,1
torchinferno,few_shot,1,879.78,0.00,948.56,1,1.05,1
torchinferno,few_shot,2,881.91,126.80,1008.71,2,1.98,1
torchinferno,few_shot,3,1299.98,0.00,1372.58,1,0.73,1
torchinferno,few_shot,4,1305.15,0.00,1375.82,1,0.73,1
torchinferno,few_shot,5,1289.35,0.00,1364.09,1,0.73,1
torchinferno,few_shot,6,1294.71,0.00,1367.51,1,0.73,1
torchinferno,few_shot,7,1310.72,0.00,1381.26,1,0.72,1
torchinferno,few_shot,8,1301.40,0.00,1382.38,1,0.72,1
torchinferno,few_shot,9,1299.37,0.00,1376.81,1,0.73,1
torchinferno,few_shot,10,1296.29,0.00,1376.21,1,0.73,1
torchinferno,few_shot,11,1290.38,0.00,1375.16,1,0.73,1
torchinferno,few_shot,12,1290.49,0.00,1375.88,1,0.73,1
torchinferno,few_shot,13,1298.76,0.00,1387.97,1,0.72,1
torchinferno,few_shot,14,1297.72,0.00,1380.61,1,0.72,1
torchinferno,few_shot,15,1300.13,0.00,1391.55,1,0.72,1
torchinferno,few_shot,16,1294.29,0.00,1382.95,1,0.72,1
torchinferno,few_shot,17,1302.66,0.00,1399.43,1,0.71,1
torchinferno,few_shot,18,1295.46,0.00,1385.89,1,0.72,1
torchinferno,few_shot,19,1311.04,0.00,1399.67,1,0.71,1
torchinferno,few_shot,20,1304.09,0.00,1402.08,1,0.71,1
torchinferno,few_shot,21,1295.90,0.00,1388.13,1,0.72,1
torchinferno,few_shot,22,1294.72,0.00,1392.84,1,0.72,1
torchinferno,few_shot,23,1294.37,0.00,1393.48,1,0.72,1
torchinferno,few_shot,24,1300.03,0.00,1404.22,1,0.71,1
torchinferno,few_shot,25,1303.37,0.00,1411.92,1,0.71,1
torchinferno,few_shot,26,1291.18,0.00,1400.33,1,0.71,1
torchinferno,few_shot,27,1301.81,0.00,1406.59,1,0.71,1
torchinferno,few_shot,28,1305.14,145.46,1450.61,2,1.38,1
torchinferno,few_shot,29,1291.09,153.39,1444.48,2,1.38,1
torchinferno,few_shot,30,1300.37,146.82,1447.19,2,1.38,1
torchinferno,few_shot,31,1299.21,158.71,1457.92,2,1.37,1
torchinferno,few_shot,32,1308.77,148.59,1457.36,2,1.37,1
torchinferno,few_shot,33,1289.81,159.28,1449.10,2,1.38,1
torchinferno,few_shot,34,1293.85,154.21,1448.07,2,1.38,1
torchinferno,few_shot,35,1294.26,161.06,1455.31,2,1.37,1
torchinferno,few_shot,36,1296.15,157.40,1453.55,2,1.38,1
torchinferno,few_shot,37,1304.19,162.60,1466.78,2,1.36,1
torchinferno,few_shot,38,1305.23,163.00,1468.23,2,1.36,1
torchinferno,few_shot,39,1304.90,169.70,1474.59,2,1.36,1
torchinferno,few_shot,40,1304.07,169.69,1473.77,2,1.36,1
torchinferno,few_shot,41,1291.45,175.16,1466.61,2,1.36,1
torchinferno,few_shot,42,1297.34,165.56,1462.90,2,1.37,1
torchinferno,few_shot,43,1307.83,168.51,1476.34,2,1.35,1
torchinferno,few_shot,44,1306.57,173.75,1480.32,2,1.35,1
