model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-04T05:02:02.275818

Build Times
provider,build_time_s
torchinferno,430.8
vllm,1398.4
sglang,225.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,329.49,161.26,150.84,sglang
ttft_p99_ms,1890.77,290.84,6521.59,vllm
tpot_median_ms,51.60,52.30,72.73,torchinferno
tpot_p99_ms,143.37,156.08,3679.98,torchinferno
e2e_median_ms,388.98,218.18,223.38,vllm
e2e_p99_ms,1969.39,358.49,10180.66,vllm
throughput_median_tps,3.29,6.83,5.49,vllm
total_output_tokens,1461,1458,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,278.88,200.67,231.78,vllm
ttft_p99_ms,1238.57,264.15,70038.20,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,380.09,272.29,375.00,vllm
e2e_p99_ms,1352.44,372.29,70127.14,vllm
throughput_median_tps,2.63,3.67,2.67,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,821.42,174.66,165.80,sglang
ttft_p99_ms,1886.33,339.99,284.03,sglang
tpot_median_ms,124.57,55.19,110.92,vllm
tpot_p99_ms,602.60,178.87,228.61,vllm
e2e_median_ms,948.73,224.42,265.64,vllm
e2e_p99_ms,2265.00,427.64,427.74,vllm
throughput_median_tps,1.43,6.21,5.09,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1251.26,136.91,120.54,sglang
ttft_last_turn_ms,1035.81,173.24,194.53,vllm
ttft_growth_ratio,0.83,1.27,1.61,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,354.05,62.60,88.25,vllm
ttft_p99_ms,1034.65,2091.14,144.70,sglang
tpot_median_ms,33.53,28.10,61.29,vllm
tpot_p99_ms,305.23,100.40,759.57,vllm
e2e_median_ms,391.61,84.19,151.32,vllm
e2e_p99_ms,1050.23,2124.59,864.16,sglang
throughput_median_tps,3.38,14.29,9.09,vllm
total_output_tokens,1453,1473,1488,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,477.66,76.58,79.73,vllm
ttft_p99_ms,1883.25,181.36,143.15,sglang
tpot_median_ms,28.05,14.80,23.86,vllm
tpot_p99_ms,71.65,21.10,30.09,vllm
e2e_median_ms,1477.87,612.28,890.10,vllm
e2e_p99_ms,3684.65,1011.81,1748.17,vllm
throughput_median_tps,24.01,58.65,39.07,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1363.84,0.00,1369.98,1,0.73,1
torchinferno,few_shot,1,1360.75,0.00,1372.07,1,0.73,1
torchinferno,few_shot,2,1363.63,0.00,1373.38,1,0.73,1
torchinferno,few_shot,3,1362.33,0.00,1378.12,1,0.73,1
torchinferno,few_shot,4,1365.64,0.00,1382.59,1,0.72,1
torchinferno,few_shot,5,1362.29,0.00,1379.35,1,0.72,1
torchinferno,few_shot,6,1365.00,0.00,1381.72,1,0.72,1
torchinferno,few_shot,7,1363.92,0.00,1385.81,1,0.72,1
torchinferno,few_shot,8,1366.37,186.36,1552.73,2,1.29,1
torchinferno,few_shot,9,1365.37,186.13,1551.51,2,1.29,1
torchinferno,few_shot,10,1368.56,188.83,1557.39,2,1.28,1
torchinferno,few_shot,11,1891.55,0.00,1894.03,1,0.53,1
torchinferno,few_shot,12,1874.40,0.00,1889.54,1,0.53,1
torchinferno,few_shot,13,1877.77,0.00,1896.18,1,0.53,1
torchinferno,few_shot,14,1877.94,0.00,1894.60,1,0.53,1
torchinferno,few_shot,15,1883.54,0.00,1900.29,1,0.53,1
torchinferno,few_shot,16,1882.87,0.00,1904.74,1,0.53,1
torchinferno,few_shot,17,1876.70,0.00,1906.15,1,0.52,1
torchinferno,few_shot,18,1886.42,0.00,1906.61,1,0.52,1
torchinferno,few_shot,19,1883.13,29.94,1913.07,2,1.05,1
torchinferno,few_shot,20,1881.79,27.37,1909.16,2,1.05,1
torchinferno,few_shot,21,1875.08,34.51,1909.59,2,1.05,1
torchinferno,few_shot,22,1890.77,26.04,1916.82,2,1.04,1
torchinferno,few_shot,23,1880.19,0.00,1918.80,1,0.52,1
torchinferno,few_shot,24,1884.92,0.00,1917.86,1,0.52,1
torchinferno,few_shot,25,1878.25,46.33,1924.57,2,1.04,1
torchinferno,few_shot,26,1892.22,0.00,1922.39,1,0.52,1
torchinferno,few_shot,27,1884.05,0.00,1918.87,1,0.52,1
torchinferno,few_shot,28,1875.65,47.23,1922.89,2,1.04,1
torchinferno,few_shot,29,1879.50,50.88,1930.38,2,1.04,1
torchinferno,few_shot,30,1884.32,0.00,1930.27,1,0.52,1
torchinferno,few_shot,31,1887.17,45.27,1932.44,2,1.03,1
torchinferno,few_shot,32,1878.33,59.62,1937.95,2,1.03,1
torchinferno,few_shot,33,1885.61,53.00,1938.61,2,1.03,1
torchinferno,few_shot,34,1878.19,60.83,1939.02,2,1.03,1
torchinferno,few_shot,35,1879.39,0.00,1946.58,1,0.51,1
torchinferno,few_shot,36,1875.13,0.00,1937.51,1,0.52,1
torchinferno,few_shot,37,1878.47,69.93,1948.40,2,1.03,1
torchinferno,few_shot,38,1876.93,68.69,1945.62,2,1.03,1
torchinferno,few_shot,39,1888.01,69.06,1957.07,2,1.02,1
torchinferno,few_shot,40,1883.25,61.47,1944.73,2,1.03,1
torchinferno,few_shot,41,1879.91,0.00,1948.63,1,0.51,1
torchinferno,few_shot,42,1881.52,64.86,1946.38,2,1.03,1
torchinferno,few_shot,43,1876.56,0.00,1952.91,1,0.51,1
torchinferno,few_shot,44,1873.87,0.00,1951.69,1,0.51,1
torchinferno,few_shot,45,1883.84,0.00,1954.75,1,0.51,1
torchinferno,few_shot,46,1889.52,69.62,1959.15,2,1.02,1
torchinferno,few_shot,47,1879.28,76.31,1955.59,2,1.02,1
torchinferno,few_shot,48,1895.81,0.00,1964.97,1,0.51,1
torchinferno,few_shot,49,1883.80,82.36,1966.16,2,1.02,1
torchinferno,few_shot,50,1883.44,80.17,1963.62,2,1.02,1
torchinferno,few_shot,51,1878.44,90.95,1969.39,2,1.02,1
torchinferno,few_shot,52,1882.25,81.30,1963.55,2,1.02,1
torchinferno,few_shot,53,1901.03,68.11,1969.14,2,1.02,1
torchinferno,few_shot,54,1876.40,89.91,1966.32,2,1.02,1
torchinferno,few_shot,55,1873.43,0.00,1969.44,1,0.51,1
torchinferno,few_shot,56,1881.29,98.09,1979.37,2,1.01,1
torchinferno,few_shot,57,1871.38,0.00,1972.29,1,0.51,1
torchinferno,few_shot,58,1882.06,0.00,1975.57,1,0.51,1
torchinferno,few_shot,59,791.25,0.00,807.11,1,1.24,1
torchinferno,few_shot,60,784.85,0.00,798.90,1,1.25,1
torchinferno,few_shot,61,785.50,0.00,801.68,1,1.25,1
torchinferno,few_shot,62,786.58,0.00,804.37,1,1.24,1
torchinferno,few_shot,63,788.52,0.00,808.80,1,1.24,1
torchinferno,few_shot,64,2151.79,0.00,2173.09,1,0.46,1
torchinferno,few_shot,65,612.02,0.00,636.95,1,1.57,1
torchinferno,few_shot,66,2152.45,23.63,2176.08,2,0.92,1
torchinferno,few_shot,67,2149.74,29.66,2179.41,2,0.92,1
torchinferno,few_shot,68,2152.95,25.96,2178.92,2,0.92,1
torchinferno,few_shot,69,781.48,0.00,808.24,1,1.24,1
torchinferno,few_shot,70,789.68,0.00,823.17,1,1.21,1
torchinferno,few_shot,71,612.53,33.32,645.85,2,3.10,1
torchinferno,few_shot,72,609.45,0.00,645.06,1,1.55,1
torchinferno,few_shot,73,2148.38,40.86,2189.25,2,0.91,1
torchinferno,few_shot,74,783.96,38.40,822.35,2,2.43,1
torchinferno,few_shot,75,323.63,0.00,339.98,1,2.94,1
torchinferno,few_shot,76,333.31,0.00,345.02,1,2.90,1
torchinferno,few_shot,77,338.71,0.00,349.19,1,2.86,1
torchinferno,few_shot,78,310.19,0.00,320.43,1,3.12,1
torchinferno,few_shot,79,304.09,0.00,326.46,1,3.06,1
torchinferno,few_shot,80,275.40,0.00,301.51,1,3.32,1
torchinferno,few_shot,81,288.20,0.00,308.51,1,3.24,1
torchinferno,few_shot,82,287.79,0.00,314.78,1,3.18,1
torchinferno,few_shot,83,292.38,22.91,315.29,2,6.34,1
torchinferno,few_shot,84,338.50,0.00,360.71,1,2.77,1
torchinferno,few_shot,85,298.48,29.94,328.42,2,6.09,1
torchinferno,few_shot,86,300.84,30.05,330.88,2,6.04,1
torchinferno,few_shot,87,304.19,0.00,329.24,1,3.04,1
torchinferno,few_shot,88,338.19,16.27,354.46,2,5.64,1
torchinferno,few_shot,89,280.71,38.84,319.55,2,6.26,1
torchinferno,few_shot,90,329.88,0.00,364.16,1,2.75,1
torchinferno,few_shot,91,289.35,0.00,326.91,1,3.06,1
torchinferno,few_shot,92,269.56,0.00,311.07,1,3.21,1
torchinferno,few_shot,93,310.27,0.00,356.66,1,2.80,1
torchinferno,few_shot,94,277.22,45.16,322.38,2,6.20,1
torchinferno,few_shot,95,321.21,0.00,364.61,1,2.74,1
torchinferno,few_shot,96,285.08,0.00,332.46,1,3.01,1
torchinferno,few_shot,97,280.21,44.47,324.68,2,6.16,1
torchinferno,few_shot,98,342.85,0.00,397.70,1,2.51,1
torchinferno,few_shot,99,356.91,53.35,410.26,2,4.87,1
torchinferno,few_shot,100,328.31,0.00,377.44,1,2.65,1
torchinferno,few_shot,101,310.37,53.52,363.89,2,5.50,1
torchinferno,few_shot,102,315.54,61.25,376.79,2,5.31,1
torchinferno,few_shot,103,334.04,64.78,398.82,2,5.01,1
torchinferno,few_shot,104,324.44,62.78,387.22,2,5.17,1
torchinferno,few_shot,105,299.58,58.14,357.71,2,5.59,1
torchinferno,few_shot,106,321.54,0.00,377.96,1,2.65,1
torchinferno,few_shot,107,304.27,57.00,361.28,2,5.54,1
torchinferno,few_shot,108,295.86,0.00,366.24,1,2.73,1
torchinferno,few_shot,109,338.03,68.44,406.46,2,4.92,1
torchinferno,few_shot,110,310.51,0.00,374.90,1,2.67,1
torchinferno,few_shot,111,355.84,67.27,423.10,2,4.73,1
torchinferno,few_shot,112,400.17,0.00,414.59,1,2.41,1
torchinferno,few_shot,113,346.98,81.45,428.43,2,4.67,1
torchinferno,few_shot,114,149.15,0.00,149.49,1,6.69,1
torchinferno,few_shot,115,289.21,73.84,363.05,2,5.51,1
torchinferno,few_shot,116,118.53,0.00,134.21,1,7.45,1
torchinferno,few_shot,117,139.38,0.00,144.67,1,6.91,1
torchinferno,few_shot,118,351.70,82.41,434.11,2,4.61,1
torchinferno,few_shot,119,292.61,0.00,379.70,1,2.63,1
torchinferno,few_shot,120,327.50,0.00,419.41,1,2.38,1
torchinferno,few_shot,121,283.82,0.00,366.88,1,2.73,1
torchinferno,few_shot,122,274.92,88.73,363.64,2,5.50,1
torchinferno,few_shot,123,343.47,0.00,438.95,1,2.28,1
torchinferno,few_shot,124,151.97,0.00,155.23,1,6.44,1
torchinferno,few_shot,125,334.01,0.00,415.34,1,2.41,1
torchinferno,few_shot,126,165.20,0.00,170.18,1,5.88,1
torchinferno,few_shot,127,162.56,0.00,167.69,1,5.96,1
torchinferno,few_shot,128,160.31,0.00,172.05,1,5.81,1
torchinferno,few_shot,129,135.94,0.00,163.40,1,6.12,1
torchinferno,few_shot,130,159.05,0.00,188.91,1,5.29,1
torchinferno,few_shot,131,362.17,0.00,467.15,1,2.14,1
torchinferno,few_shot,132,177.20,12.82,190.02,2,10.53,1
torchinferno,few_shot,133,158.11,31.53,189.65,2,10.55,1
torchinferno,few_shot,134,138.15,51.92,190.07,2,10.52,1
torchinferno,few_shot,135,150.63,44.73,195.37,2,10.24,1
torchinferno,few_shot,136,165.43,15.47,180.89,2,11.06,1
torchinferno,few_shot,137,186.37,0.00,186.67,1,5.36,1
torchinferno,few_shot,138,170.39,25.07,195.46,2,10.23,1
torchinferno,few_shot,139,295.86,109.44,514.74,3,5.83,0
torchinferno,few_shot,140,550.79,0.00,568.50,1,1.76,1
torchinferno,few_shot,141,536.58,0.00,546.55,1,1.83,1
torchinferno,few_shot,142,568.45,0.00,576.47,1,1.73,1
torchinferno,few_shot,143,530.26,0.00,538.87,1,1.86,1
torchinferno,few_shot,144,511.99,0.00,529.66,1,1.89,1
torchinferno,few_shot,145,588.87,13.73,602.60,2,3.32,1
torchinferno,few_shot,146,566.57,0.00,593.89,1,1.68,1
torchinferno,few_shot,147,561.86,0.00,582.37,1,1.72,1
torchinferno,few_shot,148,542.63,25.04,567.68,2,3.52,1
torchinferno,few_shot,149,594.43,0.00,623.19,1,1.60,1
torchinferno,few_shot,150,562.89,27.14,590.03,2,3.39,1
torchinferno,few_shot,151,540.73,0.00,580.98,1,1.72,1
torchinferno,few_shot,152,567.49,0.00,605.31,1,1.65,1
torchinferno,few_shot,153,513.74,0.00,543.54,1,1.84,1
torchinferno,few_shot,154,529.62,35.15,564.77,2,3.54,1
torchinferno,few_shot,155,563.68,0.00,611.27,1,1.64,1
torchinferno,few_shot,156,531.88,0.00,572.11,1,1.75,1
torchinferno,few_shot,157,553.82,50.81,604.62,2,3.31,1
torchinferno,few_shot,158,598.54,36.30,634.84,2,3.15,1
torchinferno,few_shot,159,490.75,0.00,535.62,1,1.87,1
torchinferno,few_shot,160,521.60,54.03,575.64,2,3.47,1
torchinferno,few_shot,161,564.80,0.00,610.68,1,1.64,1
torchinferno,few_shot,162,549.38,53.46,602.84,2,3.32,1
torchinferno,few_shot,163,487.09,0.00,541.64,1,1.85,1
torchinferno,few_shot,164,586.08,0.00,644.53,1,1.55,1
torchinferno,few_shot,165,549.57,49.07,598.64,2,3.34,1
torchinferno,few_shot,166,590.14,54.94,645.08,2,3.10,1
torchinferno,few_shot,167,502.49,0.00,556.95,1,1.80,1
torchinferno,few_shot,168,524.31,0.00,584.91,1,1.71,1
torchinferno,few_shot,169,595.66,68.83,664.49,2,3.01,1
torchinferno,few_shot,170,484.07,60.58,544.65,2,3.67,1
torchinferno,few_shot,171,596.68,69.57,666.25,2,3.00,1
torchinferno,few_shot,172,578.05,63.02,641.08,2,3.12,1
torchinferno,few_shot,173,565.15,0.00,633.76,1,1.58,1
torchinferno,few_shot,174,604.44,64.35,668.80,2,2.99,1
torchinferno,few_shot,175,568.91,0.00,649.72,1,1.54,1
torchinferno,few_shot,176,586.24,70.84,657.08,2,3.04,1
torchinferno,few_shot,177,577.04,0.00,577.31,1,1.73,1
torchinferno,few_shot,178,488.93,83.66,572.59,2,3.49,1
torchinferno,few_shot,179,554.89,0.00,635.69,1,1.57,1
torchinferno,few_shot,180,565.83,0.00,582.60,1,1.72,1
torchinferno,few_shot,181,539.60,87.12,626.72,2,3.19,1
torchinferno,few_shot,182,579.87,21.70,601.57,2,3.32,1
torchinferno,few_shot,183,592.76,0.00,674.23,1,1.48,1
torchinferno,few_shot,184,538.40,0.00,629.02,1,1.59,1
torchinferno,few_shot,185,568.62,99.19,667.81,2,2.99,1
torchinferno,few_shot,186,545.88,0.00,641.97,1,1.56,1
torchinferno,few_shot,187,612.75,18.68,631.43,2,3.17,1
torchinferno,few_shot,188,607.63,0.48,608.11,2,3.29,1
torchinferno,few_shot,189,575.64,103.30,678.95,2,2.95,1
torchinferno,few_shot,190,631.19,0.00,631.42,1,1.58,1
torchinferno,few_shot,191,547.05,109.70,656.75,2,3.05,1
torchinferno,few_shot,192,173.48,0.00,177.08,1,5.65,1
torchinferno,few_shot,193,661.16,28.22,689.38,2,2.90,1
torchinferno,few_shot,194,701.60,0.35,701.95,2,2.85,1
torchinferno,few_shot,195,523.72,112.05,635.77,2,3.15,1
torchinferno,few_shot,196,608.88,0.00,634.63,1,1.58,1
torchinferno,few_shot,197,496.54,123.18,619.72,2,3.23,1
torchinferno,few_shot,198,611.41,0.00,663.78,1,1.51,1
torchinferno,few_shot,199,611.43,0.00,615.25,1,1.63,1
torchinferno,few_shot,200,643.73,26.46,670.19,2,2.98,1
torchinferno,few_shot,201,579.08,0.00,640.41,1,1.56,1
torchinferno,few_shot,202,602.09,47.10,649.19,2,3.08,1
torchinferno,few_shot,203,558.01,77.31,635.33,2,3.15,1
torchinferno,few_shot,204,113.12,0.00,236.77,1,4.22,1
torchinferno,few_shot,205,310.20,0.00,322.78,1,3.10,1
torchinferno,few_shot,206,256.93,0.00,273.78,1,3.65,1
torchinferno,few_shot,207,225.80,0.00,233.86,1,4.28,1
torchinferno,few_shot,208,277.57,0.00,297.36,1,3.36,1
torchinferno,few_shot,209,254.47,0.00,274.99,1,3.64,1
torchinferno,few_shot,210,289.78,0.00,303.87,1,3.29,1
torchinferno,few_shot,211,225.21,0.00,248.42,1,4.03,1
torchinferno,few_shot,212,299.62,0.00,322.43,1,3.10,1
torchinferno,few_shot,213,269.34,0.00,298.72,1,3.35,1
torchinferno,few_shot,214,235.47,0.00,258.67,1,3.87,1
torchinferno,few_shot,215,282.56,26.90,309.46,2,6.46,1
torchinferno,few_shot,216,227.47,22.10,249.57,2,8.01,1
torchinferno,few_shot,217,226.15,26.64,252.78,2,7.91,1
torchinferno,few_shot,218,243.10,33.75,276.85,2,7.22,1
torchinferno,few_shot,219,284.57,0.00,326.01,1,3.07,1
torchinferno,few_shot,220,221.34,0.00,260.95,1,3.83,1
torchinferno,few_shot,221,217.70,30.11,247.81,2,8.07,1
torchinferno,few_shot,222,252.09,36.28,288.38,2,6.94,1
torchinferno,few_shot,223,279.26,40.16,319.42,2,6.26,1
torchinferno,few_shot,224,270.44,0.00,306.98,1,3.26,1
torchinferno,few_shot,225,252.84,0.00,288.73,1,3.46,1
torchinferno,few_shot,226,222.38,40.44,262.83,2,7.61,1
torchinferno,few_shot,227,303.18,46.32,349.50,2,5.72,1
torchinferno,few_shot,228,251.70,0.00,304.27,1,3.29,1
torchinferno,few_shot,229,300.03,0.00,343.02,1,2.92,1
torchinferno,few_shot,230,269.61,0.00,328.60,1,3.04,1
torchinferno,few_shot,231,239.60,49.75,289.35,2,6.91,1
torchinferno,few_shot,232,223.02,0.00,284.99,1,3.51,1
torchinferno,few_shot,233,243.44,64.73,308.17,2,6.49,1
torchinferno,few_shot,234,243.82,54.90,298.72,2,6.70,1
torchinferno,few_shot,235,269.96,61.59,331.55,2,6.03,1
torchinferno,few_shot,236,280.46,0.00,349.97,1,2.86,1
torchinferno,few_shot,237,277.62,0.00,349.97,1,2.86,1
torchinferno,few_shot,238,224.06,72.73,296.80,2,6.74,1
torchinferno,few_shot,239,301.13,0.00,371.94,1,2.69,1
torchinferno,few_shot,240,296.62,0.00,365.33,1,2.74,1
torchinferno,few_shot,241,266.92,0.00,337.98,1,2.96,1
torchinferno,few_shot,242,309.37,78.06,387.43,2,5.16,1
torchinferno,few_shot,243,264.72,75.78,340.50,2,5.87,1
torchinferno,few_shot,244,265.40,0.00,346.19,1,2.89,1
torchinferno,few_shot,245,212.52,0.00,290.24,1,3.45,1
torchinferno,few_shot,246,339.58,0.00,339.85,1,2.94,1
torchinferno,few_shot,247,258.74,74.09,332.83,2,6.01,1
torchinferno,few_shot,248,277.21,78.59,355.79,2,5.62,1
torchinferno,few_shot,249,292.76,0.00,293.03,1,3.41,1
torchinferno,few_shot,250,323.46,0.00,344.42,1,2.90,1
torchinferno,few_shot,251,278.97,0.00,371.03,1,2.70,1
torchinferno,few_shot,252,264.17,24.06,288.22,2,6.94,1
torchinferno,few_shot,253,273.71,85.80,359.51,2,5.56,1
torchinferno,few_shot,254,294.28,0.00,389.51,1,2.57,1
torchinferno,few_shot,255,292.94,0.00,386.09,1,2.59,1
torchinferno,few_shot,256,290.30,0.00,312.91,1,3.20,1
torchinferno,few_shot,257,293.76,105.05,398.81,2,5.01,1
torchinferno,few_shot,258,278.17,32.69,310.86,2,6.43,1
torchinferno,few_shot,259,416.68,0.00,416.99,1,2.40,1
torchinferno,few_shot,260,331.31,0.00,344.64,1,2.90,1
torchinferno,few_shot,261,355.89,0.00,363.89,1,2.75,1
torchinferno,few_shot,262,182.42,0.00,184.89,1,5.41,1
torchinferno,few_shot,263,264.23,0.00,308.84,1,3.24,1
torchinferno,few_shot,264,312.42,0.00,359.53,1,2.78,1
torchinferno,few_shot,265,334.07,19.87,353.95,2,5.65,1
torchinferno,few_shot,266,294.38,0.00,327.93,1,3.05,1
torchinferno,few_shot,267,306.26,20.21,326.48,2,6.13,1
torchinferno,few_shot,268,297.02,25.67,451.05,7,15.52,0
torchinferno,few_shot,269,290.88,0.00,309.25,1,3.23,1
torchinferno,few_shot,270,287.33,0.00,305.80,1,3.27,1
torchinferno,few_shot,271,282.26,0.00,302.55,1,3.31,1
torchinferno,few_shot,272,317.98,0.00,340.14,1,2.94,1
torchinferno,few_shot,273,278.56,0.00,298.24,1,3.35,1
torchinferno,few_shot,274,314.45,0.00,341.66,1,2.93,1
torchinferno,few_shot,275,265.93,21.61,287.54,2,6.96,1
torchinferno,few_shot,276,324.56,0.00,354.90,1,2.82,1
torchinferno,few_shot,277,311.10,24.23,335.33,2,5.96,0
torchinferno,few_shot,278,286.46,30.02,316.48,2,6.32,1
torchinferno,few_shot,279,251.21,0.00,291.59,1,3.43,1
torchinferno,few_shot,280,248.92,0.00,280.33,1,3.57,1
