model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-11T19:02:37.611176+00:00

Build Times
provider,build_time_s
torchinferno,39.4
vllm,278.6
sglang,146.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.24,80.04,82.31,vllm
ttft_p99_ms,718.60,159.31,407.87,vllm
tpot_median_ms,31.98,38.96,64.89,torchinferno
tpot_p99_ms,43.55,97.68,875.76,torchinferno
e2e_median_ms,166.01,109.41,136.72,vllm
e2e_p99_ms,732.18,198.89,967.65,vllm
throughput_median_tps,7.03,12.12,9.78,vllm
total_output_tokens,1461,1460,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,64.25,84.77,122.11,torchinferno
ttft_p99_ms,391.74,328.71,70443.84,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,84.83,102.97,207.97,torchinferno
e2e_p99_ms,421.87,340.38,70480.17,vllm
throughput_median_tps,11.79,9.71,4.81,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.11,75.61,81.28,vllm
ttft_p99_ms,1719.99,178.39,542.72,vllm
tpot_median_ms,35.98,34.23,68.96,vllm
tpot_p99_ms,281.51,116.68,885.74,vllm
e2e_median_ms,221.63,102.46,139.13,vllm
e2e_p99_ms,1756.06,225.97,923.62,vllm
throughput_median_tps,5.07,12.96,9.71,vllm
total_output_tokens,1436,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,811.78,79.13,65.23,sglang
ttft_last_turn_ms,183.87,83.40,90.09,vllm
ttft_growth_ratio,0.23,1.05,1.38,torchinferno
ttft_first_turn_median_ms,778.95,67.19,60.65,sglang
ttft_first_turn_p99_ms,1841.57,166.28,101.74,sglang
ttft_last_turn_median_ms,186.22,69.18,90.51,vllm
ttft_last_turn_p99_ms,401.16,181.12,125.48,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.52,33.97,52.60,vllm
ttft_p99_ms,799.68,84.77,359.65,vllm
tpot_median_ms,35.22,22.68,340.45,vllm
tpot_p99_ms,99.02,33.31,1026.37,vllm
e2e_median_ms,74.91,51.37,390.45,vllm
e2e_p99_ms,827.78,126.87,1102.89,vllm
throughput_median_tps,19.48,24.97,3.65,vllm
total_output_tokens,1476,1468,1492,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.27,46.12,51.98,vllm
ttft_p99_ms,560.67,61.05,458.65,vllm
tpot_median_ms,19.02,15.22,24.76,vllm
tpot_p99_ms,29.80,17.15,63.89,vllm
e2e_median_ms,843.06,572.42,933.19,vllm
e2e_p99_ms,1575.99,1040.65,1737.76,vllm
throughput_median_tps,41.24,61.59,39.11,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,774.75,0.00,787.61,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,792.32,24.33,816.65,2,2.45,1,,,,,,,0,,,
torchinferno,few_shot,9,2,718.60,0.00,732.18,1,1.37,1,,,,,,,9,,,
torchinferno,few_shot,11,3,684.24,0.00,699.55,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,26,4,434.99,0.00,448.75,1,2.23,1,,,,,,,26,,,
torchinferno,few_shot,24,5,466.86,0.00,482.90,1,2.07,1,,,,,,,24,,,
torchinferno,few_shot,7,6,752.78,0.00,767.84,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,17,7,585.36,0.00,601.20,1,1.66,1,,,,,,,17,,,
torchinferno,few_shot,29,8,383.70,0.00,400.76,1,2.50,1,,,,,,,29,,,
torchinferno,few_shot,31,9,352.02,0.00,367.92,1,2.72,1,,,,,,,31,,,
torchinferno,few_shot,4,10,800.98,0.00,820.31,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,25,11,449.99,0.00,469.22,1,2.13,1,,,,,,,25,,,
torchinferno,few_shot,5,12,785.64,0.00,805.04,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,12,13,667.72,0.00,688.78,1,1.45,1,,,,,,,12,,,
torchinferno,few_shot,8,14,734.70,0.00,756.70,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,10,15,700.83,0.00,723.83,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,28,16,401.30,0.00,423.05,1,2.36,1,,,,,,,28,,,
torchinferno,few_shot,2,17,835.31,29.40,864.70,2,2.31,1,,,,,,,2,,,
torchinferno,few_shot,19,18,551.53,28.33,579.86,2,3.45,1,,,,,,,19,,,
torchinferno,few_shot,18,19,568.11,29.17,597.28,2,3.35,1,,,,,,,18,,,
torchinferno,few_shot,33,20,316.97,29.92,346.89,2,5.77,1,,,,,,,33,,,
torchinferno,few_shot,15,21,618.14,30.55,648.69,2,3.08,1,,,,,,,15,,,
torchinferno,few_shot,23,22,484.76,30.51,515.27,2,3.88,1,,,,,,,23,,,
torchinferno,few_shot,32,23,334.95,30.13,365.08,2,5.48,1,,,,,,,32,,,
torchinferno,few_shot,30,24,368.26,30.73,398.99,2,5.01,1,,,,,,,30,,,
torchinferno,few_shot,13,25,650.81,33.19,684.00,2,2.92,1,,,,,,,13,,,
torchinferno,few_shot,27,26,416.85,33.04,449.88,2,4.45,1,,,,,,,27,,,
torchinferno,few_shot,21,27,518.75,32.11,550.85,2,3.63,1,,,,,,,21,,,
torchinferno,few_shot,20,28,533.91,34.07,567.99,2,3.52,1,,,,,,,20,,,
torchinferno,few_shot,14,29,635.76,33.26,669.02,2,2.99,1,,,,,,,14,,,
torchinferno,few_shot,22,30,502.63,33.38,536.01,2,3.73,1,,,,,,,22,,,
torchinferno,few_shot,6,31,768.76,35.92,804.69,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,16,32,601.91,36.30,638.21,2,3.13,1,,,,,,,16,,,
torchinferno,few_shot,3,33,820.86,38.07,858.92,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,34,34,382.93,0.00,397.25,1,2.52,1,,,,,,,34,,,
torchinferno,few_shot,39,35,302.08,0.00,314.39,1,3.18,1,,,,,,,39,,,
torchinferno,few_shot,66,36,70.78,0.00,84.36,1,11.85,1,,,,,,,66,,,
torchinferno,few_shot,37,37,333.15,0.00,348.63,1,2.87,1,,,,,,,37,,,
torchinferno,few_shot,48,38,150.01,0.00,162.70,1,6.15,1,,,,,,,48,,,
