model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-11T23:02:13.922194+00:00

Build Times
provider,build_time_s
torchinferno,38.4
vllm,346.8
sglang,151.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.81,68.38,81.60,vllm
ttft_p99_ms,719.36,104.29,585.98,vllm
tpot_median_ms,32.51,37.38,60.94,torchinferno
tpot_p99_ms,46.19,51.97,872.16,torchinferno
e2e_median_ms,166.58,95.35,135.52,vllm
e2e_p99_ms,742.12,142.33,971.68,vllm
throughput_median_tps,6.97,13.96,9.58,vllm
total_output_tokens,1460,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,72.86,69.78,116.96,vllm
ttft_p99_ms,398.13,436.54,70251.46,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,91.53,87.68,204.53,vllm
e2e_p99_ms,438.89,453.51,70309.88,torchinferno
throughput_median_tps,10.93,11.41,4.89,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.54,94.80,82.24,sglang
ttft_p99_ms,1747.78,157.82,520.43,vllm
tpot_median_ms,35.96,58.57,85.98,torchinferno
tpot_p99_ms,49.45,84.24,879.17,torchinferno
e2e_median_ms,222.56,133.25,150.12,vllm
e2e_p99_ms,1779.90,231.63,918.38,vllm
throughput_median_tps,5.02,10.14,9.00,vllm
total_output_tokens,1442,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,811.63,89.83,64.67,sglang
ttft_last_turn_ms,175.85,97.79,84.14,sglang
ttft_growth_ratio,0.22,1.09,1.30,torchinferno
ttft_first_turn_median_ms,808.82,87.01,60.77,sglang
ttft_first_turn_p99_ms,1879.62,156.15,98.86,sglang
ttft_last_turn_median_ms,189.39,92.23,84.77,sglang
ttft_last_turn_p99_ms,207.72,158.75,109.94,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.61,38.75,52.68,vllm
ttft_p99_ms,1124.47,113.87,387.01,vllm
tpot_median_ms,35.24,29.94,419.24,vllm
tpot_p99_ms,87.28,36.64,1066.77,vllm
e2e_median_ms,75.59,59.36,492.30,vllm
e2e_p99_ms,1178.59,163.94,1112.53,vllm
throughput_median_tps,19.37,21.60,2.99,vllm
total_output_tokens,1467,1483,1462,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,183.00,49.90,50.56,vllm
ttft_p99_ms,432.03,67.98,124.03,vllm
tpot_median_ms,19.16,15.25,23.53,vllm
tpot_p99_ms,24.32,17.45,85.09,vllm
e2e_median_ms,879.07,581.17,926.02,vllm
e2e_p99_ms,1543.82,1053.65,1631.22,vllm
throughput_median_tps,41.33,61.30,41.03,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,775.22,0.00,787.55,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,793.18,24.21,817.39,2,2.45,1,,,,,,,0,,,
torchinferno,few_shot,4,2,802.35,0.00,817.39,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,10,3,702.69,0.00,718.40,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,12,4,670.06,0.00,685.88,1,1.46,1,,,,,,,12,,,
torchinferno,few_shot,17,5,587.90,0.00,603.65,1,1.66,1,,,,,,,17,,,
torchinferno,few_shot,28,6,407.69,0.00,422.54,1,2.37,1,,,,,,,28,,,
torchinferno,few_shot,24,7,473.40,0.00,489.81,1,2.04,1,,,,,,,24,,,
torchinferno,few_shot,7,8,754.59,0.00,772.10,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,8,9,735.62,0.00,756.26,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,25,10,456.10,0.00,475.09,1,2.10,1,,,,,,,25,,,
torchinferno,few_shot,11,11,687.48,0.00,708.07,1,1.41,1,,,,,,,11,,,
torchinferno,few_shot,9,12,719.36,0.00,742.12,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,5,13,787.16,0.00,809.29,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,29,14,389.56,0.00,412.75,1,2.42,1,,,,,,,29,,,
torchinferno,few_shot,31,15,355.40,0.00,380.71,1,2.63,1,,,,,,,31,,,
torchinferno,few_shot,26,16,438.23,0.00,465.35,1,2.15,1,,,,,,,26,,,
torchinferno,few_shot,3,17,818.69,29.85,848.54,2,2.36,1,,,,,,,3,,,
torchinferno,few_shot,33,18,324.55,27.90,352.45,2,5.67,1,,,,,,,33,,,
torchinferno,few_shot,27,19,422.43,30.68,453.11,2,4.41,1,,,,,,,27,,,
torchinferno,few_shot,14,20,636.33,32.15,668.48,2,2.99,1,,,,,,,14,,,
torchinferno,few_shot,21,21,522.59,30.78,553.37,2,3.61,1,,,,,,,21,,,
torchinferno,few_shot,6,22,771.83,30.80,802.63,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,15,23,620.83,32.48,653.30,2,3.06,1,,,,,,,15,,,
torchinferno,few_shot,23,24,489.98,31.54,521.53,2,3.83,1,,,,,,,23,,,
torchinferno,few_shot,20,25,539.41,32.31,571.72,2,3.50,1,,,,,,,20,,,
torchinferno,few_shot,22,26,505.90,33.69,539.58,2,3.71,1,,,,,,,22,,,
torchinferno,few_shot,16,27,603.15,36.24,639.39,2,3.13,1,,,,,,,16,,,
torchinferno,few_shot,30,28,372.96,36.09,409.05,2,4.89,1,,,,,,,30,,,
torchinferno,few_shot,2,29,836.83,37.25,874.07,2,2.29,1,,,,,,,2,,,
torchinferno,few_shot,32,30,339.70,37.91,377.61,2,5.30,1,,,,,,,32,,,
torchinferno,few_shot,18,31,572.42,38.23,610.65,2,3.28,1,,,,,,,18,,,
torchinferno,few_shot,13,32,654.92,38.64,693.56,2,2.88,1,,,,,,,13,,,
torchinferno,few_shot,19,33,553.85,42.41,596.26,2,3.35,1,,,,,,,19,,,
torchinferno,few_shot,34,34,391.98,0.00,403.36,1,2.48,1,,,,,,,34,,,
torchinferno,few_shot,46,35,189.41,0.00,204.57,1,4.89,1,,,,,,,46,,,
torchinferno,few_shot,47,36,175.39,0.00,188.20,1,5.31,1,,,,,,,47,,,
torchinferno,few_shot,37,37,339.09,0.00,355.46,1,2.81,1,,,,,,,37,,,
torchinferno,few_shot,68,38,68.75,0.00,84.23,1,11.87,1,,,,,,,68,,,
