model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T15:08:44.055484

Build Times
provider,build_time_s
torchinferno,410.4
vllm,1118.1
sglang,174.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,297.36,156.78,139.29,sglang
ttft_p99_ms,1875.86,953.67,7614.70,vllm
tpot_median_ms,156.93,57.77,74.93,vllm
tpot_p99_ms,210.48,146.13,7326.70,vllm
e2e_median_ms,392.24,208.99,206.53,sglang
e2e_p99_ms,1987.22,997.48,14912.50,vllm
throughput_median_tps,3.70,7.11,5.82,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,293.72,190.99,212.40,vllm
ttft_p99_ms,1531.46,499.44,69816.48,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,332.97,213.26,351.45,vllm
e2e_p99_ms,1625.97,530.56,69925.74,vllm
throughput_median_tps,3.00,4.69,2.85,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,555.66,174.53,159.17,sglang
ttft_p99_ms,1367.36,353.14,638.76,vllm
tpot_median_ms,109.10,65.71,104.69,vllm
tpot_p99_ms,622.92,189.43,238.15,vllm
e2e_median_ms,643.22,232.37,259.11,vllm
e2e_p99_ms,1489.03,414.55,690.60,vllm
throughput_median_tps,1.96,6.11,5.25,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,713.68,134.05,105.63,sglang
ttft_last_turn_ms,449.24,172.47,193.10,vllm
ttft_growth_ratio,0.63,1.29,1.83,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,348.71,57.70,77.00,vllm
ttft_p99_ms,887.31,134.28,645.03,vllm
tpot_median_ms,131.85,27.56,58.67,vllm
tpot_p99_ms,157.44,45.00,163.66,vllm
e2e_median_ms,447.16,78.64,150.48,vllm
e2e_p99_ms,1013.65,158.96,683.65,vllm
throughput_median_tps,3.05,15.69,9.32,vllm
total_output_tokens,1486,1452,1471,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,507.13,67.11,66.68,sglang
ttft_p99_ms,2193.22,121.53,105.43,sglang
tpot_median_ms,15.30,15.01,22.17,vllm
tpot_p99_ms,34.28,18.97,26.73,vllm
e2e_median_ms,1185.65,603.58,827.66,vllm
e2e_p99_ms,2798.64,1003.77,1549.04,vllm
throughput_median_tps,27.37,59.25,42.44,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,812.98,0.00,998.97,1,1.00,1
torchinferno,few_shot,1,1545.12,0.00,1630.20,1,0.61,1
torchinferno,few_shot,2,1542.60,0.00,1631.95,1,0.61,1
torchinferno,few_shot,3,1542.28,0.00,1635.00,1,0.61,1
torchinferno,few_shot,4,1544.62,0.00,1642.14,1,0.61,1
torchinferno,few_shot,5,1544.96,0.00,1642.50,1,0.61,1
torchinferno,few_shot,6,1542.64,0.00,1639.03,1,0.61,1
torchinferno,few_shot,7,1550.93,0.00,1641.82,1,0.61,1
torchinferno,few_shot,8,1545.21,0.00,1640.93,1,0.61,1
torchinferno,few_shot,9,1543.68,0.00,1647.58,1,0.61,1
torchinferno,few_shot,10,1548.18,0.00,1646.27,1,0.61,1
torchinferno,few_shot,11,1539.53,0.00,1648.06,1,0.61,1
torchinferno,few_shot,12,1548.69,0.00,1648.67,1,0.61,1
torchinferno,few_shot,13,1543.57,0.00,1655.66,1,0.60,1
torchinferno,few_shot,14,1546.37,0.00,1659.03,1,0.60,1
torchinferno,few_shot,15,1549.50,0.00,1656.63,1,0.60,1
torchinferno,few_shot,16,1544.53,0.00,1658.27,1,0.60,1
torchinferno,few_shot,17,1542.43,0.00,1662.78,1,0.60,1
torchinferno,few_shot,18,1553.05,0.00,1665.67,1,0.60,1
torchinferno,few_shot,19,1547.62,0.00,1661.75,1,0.60,1
torchinferno,few_shot,20,1542.14,0.00,1664.28,1,0.60,1
torchinferno,few_shot,21,1541.90,0.00,1668.57,1,0.60,1
torchinferno,few_shot,22,1547.94,0.00,1669.36,1,0.60,1
torchinferno,few_shot,23,1547.11,0.00,1669.58,1,0.60,1
torchinferno,few_shot,24,1542.67,0.00,1675.62,1,0.60,1
torchinferno,few_shot,25,1544.69,176.80,1721.49,2,1.16,1
torchinferno,few_shot,26,1554.33,167.76,1722.08,2,1.16,1
torchinferno,few_shot,27,1549.48,171.64,1721.12,2,1.16,1
torchinferno,few_shot,28,1544.22,185.86,1730.07,2,1.16,1
torchinferno,few_shot,29,1544.58,181.92,1726.50,2,1.16,1
torchinferno,few_shot,30,1549.82,180.60,1730.42,2,1.16,1
torchinferno,few_shot,31,1548.71,180.81,1729.52,2,1.16,1
torchinferno,few_shot,32,1541.56,193.25,1734.82,2,1.15,1
torchinferno,few_shot,33,1547.94,191.19,1739.13,2,1.15,1
torchinferno,few_shot,34,1549.96,193.82,1743.78,2,1.15,1
torchinferno,few_shot,35,1540.78,203.03,1743.81,2,1.15,1
torchinferno,few_shot,36,1542.69,200.74,1743.43,2,1.15,1
torchinferno,few_shot,37,1541.99,202.00,1743.98,2,1.15,1
torchinferno,few_shot,38,1549.46,194.57,1744.03,2,1.15,1
torchinferno,few_shot,39,1548.57,201.71,1750.28,2,1.14,1
torchinferno,few_shot,40,1548.32,202.40,1750.71,2,1.14,1
torchinferno,few_shot,41,1554.08,198.82,1752.90,2,1.14,1
torchinferno,few_shot,42,1545.85,203.81,1749.67,2,1.14,1
torchinferno,few_shot,43,1545.61,210.48,1756.09,2,1.14,1
torchinferno,few_shot,44,1544.08,218.57,1762.64,2,1.13,1
torchinferno,few_shot,45,1555.29,209.24,1764.53,2,1.13,1
torchinferno,few_shot,46,1546.67,216.28,1762.95,2,1.13,1
torchinferno,few_shot,47,1554.05,210.44,1764.49,2,1.13,1
torchinferno,few_shot,48,1544.58,218.83,1763.42,2,1.13,1
torchinferno,few_shot,49,1874.05,0.00,1949.96,1,0.51,1
torchinferno,few_shot,50,218.53,0.00,290.30,1,3.44,1
torchinferno,few_shot,51,212.48,0.00,288.94,1,3.46,1
torchinferno,few_shot,52,226.23,0.00,300.68,1,3.33,1
torchinferno,few_shot,53,1876.01,0.00,1958.85,1,0.51,1
torchinferno,few_shot,54,1878.33,0.00,1962.38,1,0.51,1
torchinferno,few_shot,55,1878.06,0.00,1962.67,1,0.51,1
torchinferno,few_shot,56,245.72,0.00,328.20,1,3.05,1
torchinferno,few_shot,57,1875.86,0.00,1968.27,1,0.51,1
torchinferno,few_shot,58,241.88,0.00,334.82,1,2.99,1
torchinferno,few_shot,59,230.03,0.00,323.31,1,3.09,1
torchinferno,few_shot,60,249.66,0.00,342.89,1,2.92,1
torchinferno,few_shot,61,220.38,0.00,316.08,1,3.16,1
torchinferno,few_shot,62,214.91,0.00,309.92,1,3.23,1
torchinferno,few_shot,63,221.37,0.00,322.10,1,3.10,1
