model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T18:57:44.518264+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,226.95,126.48,171.02,sglang
ttft_p99_ms,645.03,677.73,3547.66,vllm
tpot_median_ms,85.72,80.57,50.54,torchinferno
tpot_p99_ms,215.99,151.36,1090.08,sglang
e2e_median_ms,292.69,207.86,215.78,sglang
e2e_p99_ms,728.44,734.93,3593.52,vllm
throughput_median_tps,4.98,5.83,5.33,sglang
total_output_tokens,1466,1463,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,210.86,206.25,319.28,sglang
ttft_p99_ms,413.02,753.53,706.92,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,285.30,361.43,398.63,vllm
e2e_p99_ms,605.89,948.83,822.17,vllm
throughput_median_tps,3.51,2.77,2.51,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,290.37,155.13,302.02,sglang
ttft_p99_ms,451.60,712.84,1583.30,vllm
tpot_median_ms,100.86,122.91,66.09,torchinferno
tpot_p99_ms,287.02,607.70,252.84,torchinferno
e2e_median_ms,373.60,269.35,358.14,sglang
e2e_p99_ms,578.31,866.91,1638.95,vllm
throughput_median_tps,4.01,4.75,3.75,sglang
total_output_tokens,1450,1448,1444,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,195.84,162.10,863.69,sglang
ttft_last_turn_ms,267.27,182.92,370.17,sglang
ttft_growth_ratio,1.36,1.13,0.43,torchinferno
ttft_first_turn_median_ms,152.06,78.35,411.56,sglang
ttft_first_turn_p99_ms,429.37,368.88,1604.25,sglang
ttft_last_turn_median_ms,285.13,178.84,369.63,sglang
ttft_last_turn_p99_ms,427.01,275.13,459.60,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,128.99,61.49,279.08,sglang
ttft_p99_ms,178.73,567.82,705.41,vllm
tpot_median_ms,82.76,68.40,47.63,torchinferno
tpot_p99_ms,99.14,606.47,212.84,vllm
e2e_median_ms,187.82,140.22,318.93,sglang
e2e_p99_ms,265.23,666.08,741.40,vllm
throughput_median_tps,6.60,9.42,4.50,sglang
total_output_tokens,1462,1464,1473,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,sglang

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,90.85,62.94,281.04,sglang
ttft_p99_ms,325.96,254.39,1729.54,sglang
tpot_median_ms,27.57,24.59,24.74,sglang
tpot_p99_ms,42.56,53.11,71.66,vllm
e2e_median_ms,1088.96,908.09,1200.53,sglang
e2e_p99_ms,2160.79,1723.15,2914.99,sglang
throughput_median_tps,33.63,38.26,31.30,sglang
total_output_tokens,36715,36692,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,4,0,413.17,0.00,429.50,1,2.33,1,,,,,,,4,,,
vllm,few_shot,0,1,412.38,48.07,460.46,2,4.34,1,,,,,,,0,,,
vllm,few_shot,12,2,449.65,0.00,497.68,1,2.01,1,,,,,,,12,,,
vllm,few_shot,5,3,458.73,0.00,508.58,1,1.97,1,,,,,,,5,,,
vllm,few_shot,1,4,458.93,0.00,510.67,1,1.96,1,,,,,,,1,,,
vllm,few_shot,11,5,454.04,0.00,503.20,1,1.99,1,,,,,,,11,,,
vllm,few_shot,10,6,454.35,0.00,505.26,1,1.98,1,,,,,,,10,,,
vllm,few_shot,8,7,455.76,0.00,511.74,1,1.95,1,,,,,,,8,,,
vllm,few_shot,9,8,459.36,0.00,512.37,1,1.95,1,,,,,,,9,,,
vllm,few_shot,7,9,457.59,0.00,514.12,1,1.95,1,,,,,,,7,,,
vllm,few_shot,13,10,454.34,192.06,646.41,2,3.09,1,,,,,,,13,,,
vllm,few_shot,6,11,458.73,201.41,660.13,2,3.03,1,,,,,,,6,,,
vllm,few_shot,17,12,497.92,0.00,652.27,1,1.53,1,,,,,,,17,,,
vllm,few_shot,14,13,449.95,204.26,654.21,2,3.06,1,,,,,,,14,,,
vllm,few_shot,2,14,458.41,206.04,664.45,2,3.01,1,,,,,,,2,,,
vllm,few_shot,16,15,453.18,205.60,658.77,2,3.04,1,,,,,,,16,,,
vllm,few_shot,3,16,462.29,208.02,670.31,2,2.98,1,,,,,,,3,,,
vllm,few_shot,64,17,227.54,0.00,263.48,1,3.80,1,,,,,,,64,,,
vllm,few_shot,34,18,648.45,0.00,678.11,1,1.47,1,,,,,,,34,,,
vllm,few_shot,60,19,621.66,0.00,668.15,1,1.50,1,,,,,,,60,,,
vllm,few_shot,37,20,650.54,0.00,678.60,1,1.47,1,,,,,,,37,,,
vllm,few_shot,38,21,633.89,0.00,679.50,1,1.47,1,,,,,,,38,,,
vllm,few_shot,20,22,492.85,197.58,690.43,2,2.90,1,,,,,,,20,,,
vllm,few_shot,47,23,640.48,0.00,678.18,1,1.47,1,,,,,,,47,,,
vllm,few_shot,31,24,640.94,0.00,686.84,1,1.46,1,,,,,,,31,,,
vllm,few_shot,24,25,648.47,0.00,692.03,1,1.45,1,,,,,,,24,,,
vllm,few_shot,55,26,626.62,0.00,677.94,1,1.48,1,,,,,,,55,,,
vllm,few_shot,46,27,631.35,0.00,682.86,1,1.46,1,,,,,,,46,,,
vllm,few_shot,29,28,637.18,0.00,692.27,1,1.44,1,,,,,,,29,,,
vllm,few_shot,35,29,636.01,0.00,691.50,1,1.45,1,,,,,,,35,,,
vllm,few_shot,42,30,631.44,0.00,687.60,1,1.45,1,,,,,,,42,,,
vllm,few_shot,26,31,656.11,0.00,697.49,1,1.43,1,,,,,,,26,,,
vllm,few_shot,39,32,639.49,0.00,691.40,1,1.45,1,,,,,,,39,,,
vllm,few_shot,18,33,495.65,208.17,703.82,2,2.84,1,,,,,,,18,,,
vllm,few_shot,41,34,638.66,0.00,692.96,1,1.44,1,,,,,,,41,,,
vllm,few_shot,25,35,653.78,0.00,703.32,1,1.42,1,,,,,,,25,,,
vllm,few_shot,21,36,497.26,209.06,706.32,2,2.83,1,,,,,,,21,,,
vllm,few_shot,48,37,634.44,0.00,694.97,1,1.44,1,,,,,,,48,,,
vllm,few_shot,15,38,494.58,215.99,710.56,2,2.81,1,,,,,,,15,,,
vllm,few_shot,53,39,624.19,0.00,695.17,1,1.44,1,,,,,,,53,,,
vllm,few_shot,58,40,631.63,0.00,695.58,1,1.44,1,,,,,,,58,,,
