model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T07:03:04.609579

Build Times
provider,build_time_s
torchinferno,437.6
vllm,1457.0
sglang,219.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,162.64,146.91,sglang
ttft_p99_ms,,1059.72,1131.75,vllm
tpot_median_ms,,56.11,74.20,vllm
tpot_p99_ms,,144.00,393.54,vllm
e2e_median_ms,,219.43,215.31,sglang
e2e_p99_ms,,1112.57,1496.32,vllm
throughput_median_tps,,6.95,5.49,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,194.93,204.20,vllm
ttft_p99_ms,,469.94,70420.26,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,219.28,339.78,vllm
e2e_p99_ms,,493.01,70521.42,vllm
throughput_median_tps,,4.56,2.94,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,185.46,169.80,sglang
ttft_p99_ms,,358.51,659.23,vllm
tpot_median_ms,,67.28,101.92,vllm
tpot_p99_ms,,222.34,555.82,vllm
e2e_median_ms,,243.40,273.08,vllm
e2e_p99_ms,,448.74,722.66,vllm
throughput_median_tps,,5.69,4.93,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,154.87,334.67,vllm
ttft_last_turn_ms,,186.65,194.57,vllm
ttft_growth_ratio,,1.21,0.58,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.51,83.58,vllm
ttft_p99_ms,,3724.05,848.41,sglang
tpot_median_ms,,28.38,59.68,vllm
tpot_p99_ms,,1989.43,165.09,sglang
e2e_median_ms,,82.07,150.38,vllm
e2e_p99_ms,,3755.89,906.86,sglang
throughput_median_tps,,14.92,9.36,vllm
total_output_tokens,,1468,1469,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,72.88,80.53,vllm
ttft_p99_ms,,174.82,157.90,sglang
tpot_median_ms,,15.03,23.20,vllm
tpot_p99_ms,,23.01,28.10,vllm
e2e_median_ms,,622.34,867.80,vllm
e2e_p99_ms,,1027.69,1669.18,vllm
throughput_median_tps,,58.05,40.04,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,908.98,0.00,909.16,1,1.10,1
vllm,few_shot,1,916.95,0.00,917.08,1,1.09,1
vllm,few_shot,2,915.13,0.00,919.06,1,1.09,1
vllm,few_shot,3,915.50,0.00,918.16,1,1.09,1
vllm,few_shot,4,922.75,0.00,924.95,1,1.08,1
vllm,few_shot,5,918.34,0.00,921.46,1,1.09,1
vllm,few_shot,6,922.30,0.00,925.68,1,1.08,1
vllm,few_shot,7,918.22,0.00,922.76,1,1.08,1
vllm,few_shot,8,919.16,0.00,936.17,1,1.07,1
vllm,few_shot,9,937.28,0.00,954.75,1,1.05,1
vllm,few_shot,10,936.44,0.00,959.54,1,1.04,1
vllm,few_shot,11,950.74,0.00,971.95,1,1.03,1
vllm,few_shot,12,955.88,0.00,976.28,1,1.02,1
vllm,few_shot,13,962.27,44.92,1007.18,2,1.99,1
vllm,few_shot,14,954.47,48.37,1002.84,2,1.99,1
vllm,few_shot,15,951.63,51.70,1003.33,2,1.99,1
vllm,few_shot,16,968.25,0.00,1000.76,1,1.00,1
vllm,few_shot,17,954.03,50.67,1004.69,2,1.99,1
vllm,few_shot,18,953.00,52.59,1005.59,2,1.99,1
vllm,few_shot,19,970.27,87.46,1057.73,2,1.89,1
vllm,few_shot,20,981.62,0.00,1048.37,1,0.95,1
vllm,few_shot,21,994.74,0.00,1058.61,1,0.94,1
vllm,few_shot,22,989.98,0.00,1052.16,1,0.95,1
vllm,few_shot,23,989.68,0.00,1052.98,1,0.95,1
vllm,few_shot,24,990.52,0.00,1063.43,1,0.94,1
vllm,few_shot,25,1051.50,0.00,1051.73,1,0.95,1
vllm,few_shot,26,974.66,92.29,1066.95,2,1.87,1
vllm,few_shot,27,992.80,0.00,1067.32,1,0.94,1
vllm,few_shot,28,985.46,0.00,1063.81,1,0.94,1
vllm,few_shot,29,146.79,0.00,167.94,1,5.95,1
vllm,few_shot,30,995.96,0.00,1066.91,1,0.94,1
vllm,few_shot,31,970.51,105.37,1075.88,2,1.86,1
vllm,few_shot,32,987.69,82.52,1070.21,2,1.87,1
vllm,few_shot,33,968.45,111.63,1080.09,2,1.85,1
vllm,few_shot,34,990.61,0.00,1080.49,1,0.93,1
vllm,few_shot,35,175.06,0.00,175.34,1,5.70,1
vllm,few_shot,36,152.23,0.00,152.46,1,6.56,1
vllm,few_shot,37,165.61,0.00,175.84,1,5.69,1
vllm,few_shot,38,1069.91,5.47,1075.38,2,1.86,1
vllm,few_shot,39,1061.37,0.00,1076.10,1,0.93,1
vllm,few_shot,40,98.21,0.00,134.20,1,7.45,1
vllm,few_shot,41,1059.72,0.00,1078.86,1,0.93,1
vllm,few_shot,42,985.86,97.52,1083.38,2,1.85,1
vllm,few_shot,43,136.75,40.27,177.02,2,11.30,1
vllm,few_shot,44,984.62,0.00,1085.88,1,0.92,1
vllm,few_shot,45,138.90,0.00,184.03,1,5.43,1
vllm,few_shot,46,98.06,0.00,98.28,1,10.18,1
vllm,few_shot,47,1076.63,10.23,1086.86,2,1.84,1
vllm,few_shot,48,1045.81,44.85,1090.67,2,1.83,1
vllm,few_shot,49,127.95,4.88,132.84,2,15.06,1
vllm,few_shot,50,1047.16,0.00,1094.73,1,0.91,1
vllm,few_shot,51,1055.57,37.64,1093.21,2,1.83,1
vllm,few_shot,52,109.25,0.33,109.58,2,18.25,1
vllm,few_shot,53,973.80,134.78,1108.58,2,1.80,1
vllm,few_shot,54,971.88,136.12,1108.00,2,1.81,1
vllm,few_shot,55,94.14,0.00,108.35,1,9.23,1
vllm,few_shot,56,95.73,0.00,138.08,1,7.24,1
vllm,few_shot,57,991.72,118.05,1109.77,2,1.80,1
vllm,few_shot,58,1099.51,5.37,1104.89,2,1.81,1
vllm,few_shot,59,1055.90,45.17,1101.07,2,1.82,1
vllm,few_shot,60,103.10,64.08,167.18,2,11.96,1
vllm,few_shot,61,1051.67,0.00,1105.80,1,0.90,1
vllm,few_shot,62,1042.61,0.00,1105.37,1,0.90,1
vllm,few_shot,63,1043.45,62.12,1105.57,2,1.81,1
vllm,few_shot,64,1086.45,0.00,1110.39,1,0.90,1
vllm,few_shot,65,1041.59,0.00,1108.83,1,0.90,1
vllm,few_shot,66,1044.40,66.80,1111.21,2,1.80,1
vllm,few_shot,67,206.25,0.00,215.69,1,4.64,1
vllm,few_shot,68,1061.90,50.67,1112.57,2,1.80,1
vllm,few_shot,69,1040.92,72.28,1113.20,2,1.80,1
vllm,few_shot,70,136.21,0.00,208.67,1,4.79,1
vllm,few_shot,71,970.20,158.42,1128.62,2,1.77,1
vllm,few_shot,72,1064.65,53.79,1118.45,2,1.79,1
vllm,few_shot,73,1053.59,0.00,1115.88,1,0.90,1
vllm,few_shot,74,1047.64,0.00,1118.75,1,0.89,1
vllm,few_shot,75,125.46,0.00,128.88,1,7.76,1
vllm,few_shot,76,1061.87,56.37,1118.24,2,1.79,1
vllm,few_shot,77,90.27,43.42,133.68,2,14.96,1
vllm,few_shot,78,986.96,140.30,1127.26,2,1.77,1
vllm,few_shot,79,1125.27,0.00,1127.92,1,0.89,1
vllm,few_shot,80,140.96,0.00,226.28,1,4.42,1
vllm,few_shot,81,139.68,1.99,141.67,2,14.12,1
vllm,few_shot,82,1056.82,72.73,1129.54,2,1.77,1
vllm,few_shot,83,100.62,0.00,112.60,1,8.88,1
