model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-02T23:08:20.239028

Build Times
provider,build_time_s
torchinferno,365.6
vllm,1294.7
sglang,207.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.64,161.72,160.30,sglang
ttft_p99_ms,1933.34,269.49,1251.50,vllm
tpot_median_ms,44.74,58.52,79.67,torchinferno
tpot_p99_ms,98.67,144.67,7232.13,torchinferno
e2e_median_ms,218.90,217.87,237.29,vllm
e2e_p99_ms,1975.77,325.78,8456.85,vllm
throughput_median_tps,6.10,7.06,5.19,vllm
total_output_tokens,1461,1456,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1061.36,236.67,206.51,sglang
ttft_p99_ms,1524.38,4132.18,72554.91,torchinferno
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,1160.77,272.40,339.84,vllm
e2e_p99_ms,1624.73,4209.14,72662.26,torchinferno
throughput_median_tps,0.86,3.67,2.94,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2506.74,184.57,168.05,sglang
ttft_p99_ms,4960.53,336.94,606.14,vllm
tpot_median_ms,409.20,67.31,105.90,vllm
tpot_p99_ms,1590.40,186.99,579.16,vllm
e2e_median_ms,2984.42,245.03,275.81,vllm
e2e_p99_ms,5113.85,445.65,729.73,vllm
throughput_median_tps,0.46,5.83,5.01,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1702.69,142.57,119.60,sglang
ttft_last_turn_ms,3531.11,175.01,190.14,vllm
ttft_growth_ratio,2.07,1.23,1.59,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,754.44,61.36,86.54,vllm
ttft_p99_ms,1309.85,135.97,602.65,vllm
tpot_median_ms,27.70,28.41,60.35,torchinferno
tpot_p99_ms,101.22,90.46,165.88,vllm
e2e_median_ms,776.42,83.07,164.13,vllm
e2e_p99_ms,1334.99,161.09,651.22,vllm
throughput_median_tps,1.64,14.83,8.62,vllm
total_output_tokens,1460,1456,1472,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2824.87,76.47,78.32,vllm
ttft_p99_ms,5605.61,229.62,176.16,sglang
tpot_median_ms,93.43,14.84,23.62,vllm
tpot_p99_ms,229.73,19.91,28.90,vllm
e2e_median_ms,5615.19,609.27,882.18,vllm
e2e_p99_ms,13119.51,1038.26,1716.61,vllm
throughput_median_tps,5.56,59.29,39.66,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1477.55,0.00,1486.83,1,0.67,1
torchinferno,few_shot,1,1482.40,0.00,1488.82,1,0.67,1
torchinferno,few_shot,2,1484.84,0.00,1492.77,1,0.67,1
torchinferno,few_shot,3,1478.42,0.00,1490.96,1,0.67,1
torchinferno,few_shot,4,1479.41,0.00,1493.27,1,0.67,1
torchinferno,few_shot,5,1480.26,0.00,1495.07,1,0.67,1
torchinferno,few_shot,6,1478.97,0.00,1499.50,1,0.67,1
torchinferno,few_shot,7,1477.82,0.00,1498.64,1,0.67,1
torchinferno,few_shot,8,1479.76,0.00,1499.64,1,0.67,1
torchinferno,few_shot,9,1478.82,99.56,1578.39,2,1.27,1
torchinferno,few_shot,10,1483.70,98.19,1581.89,2,1.26,1
torchinferno,few_shot,11,1483.99,98.67,1582.66,2,1.26,1
torchinferno,few_shot,12,1482.96,102.88,1585.84,2,1.26,1
torchinferno,few_shot,13,1850.98,0.00,1863.11,1,0.54,1
torchinferno,few_shot,14,1849.72,0.00,1864.82,1,0.54,1
torchinferno,few_shot,15,1850.12,0.00,1867.72,1,0.54,1
torchinferno,few_shot,16,1851.22,0.00,1868.39,1,0.54,1
torchinferno,few_shot,17,1856.61,0.00,1870.85,1,0.53,1
torchinferno,few_shot,18,1853.33,0.00,1871.68,1,0.53,1
torchinferno,few_shot,19,1852.93,0.00,1874.77,1,0.53,1
torchinferno,few_shot,20,1853.03,0.00,1878.65,1,0.53,1
torchinferno,few_shot,21,1856.02,0.00,1877.20,1,0.53,1
torchinferno,few_shot,22,1848.66,0.00,1879.09,1,0.53,1
torchinferno,few_shot,23,1855.03,29.06,1884.10,2,1.06,1
torchinferno,few_shot,24,1854.56,0.00,1882.04,1,0.53,1
torchinferno,few_shot,25,1857.62,0.00,1884.98,1,0.53,1
torchinferno,few_shot,26,1852.04,37.06,1889.10,2,1.06,1
torchinferno,few_shot,27,1862.09,28.31,1890.40,2,1.06,1
torchinferno,few_shot,28,1856.73,0.00,1886.74,1,0.53,1
torchinferno,few_shot,29,1849.88,41.34,1891.22,2,1.06,1
torchinferno,few_shot,30,1850.67,43.61,1894.28,2,1.06,1
torchinferno,few_shot,31,1850.68,46.58,1897.25,2,1.05,1
torchinferno,few_shot,32,1854.67,44.47,1899.14,2,1.05,1
torchinferno,few_shot,33,1860.21,39.77,1899.97,2,1.05,1
torchinferno,few_shot,34,1849.09,0.00,1897.45,1,0.53,1
torchinferno,few_shot,35,1850.11,0.00,1900.00,1,0.53,1
torchinferno,few_shot,36,1854.55,49.36,1903.91,2,1.05,1
torchinferno,few_shot,37,1857.00,47.72,1904.72,2,1.05,1
torchinferno,few_shot,38,1849.93,54.16,1904.09,2,1.05,1
torchinferno,few_shot,39,1856.40,52.19,1908.59,2,1.05,1
torchinferno,few_shot,40,1852.33,58.73,1911.06,2,1.05,1
torchinferno,few_shot,41,1848.94,65.20,1914.14,2,1.04,1
torchinferno,few_shot,42,1849.68,65.21,1914.89,2,1.04,1
torchinferno,few_shot,43,1857.12,58.42,1915.54,2,1.04,1
torchinferno,few_shot,44,1851.41,63.88,1915.29,2,1.04,1
torchinferno,few_shot,45,446.72,0.00,466.14,1,2.15,1
