model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-01T17:01:43.297498

Build Times
provider,build_time_s
torchinferno,324.1
vllm,1333.8
sglang,243.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,204.57,160.74,146.96,sglang
ttft_p99_ms,1797.64,932.96,7389.22,vllm
tpot_median_ms,42.80,57.18,75.91,torchinferno
tpot_p99_ms,180.40,141.87,455.47,vllm
e2e_median_ms,242.86,218.63,214.16,sglang
e2e_p99_ms,1848.67,987.14,7825.92,vllm
throughput_median_tps,5.35,6.72,5.63,vllm
total_output_tokens,1461,1461,1465,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,355.55,184.63,196.21,vllm
ttft_p99_ms,1551.89,429.53,73051.50,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,447.06,203.83,326.68,vllm
e2e_p99_ms,1653.90,459.82,73146.23,vllm
throughput_median_tps,2.24,4.91,3.06,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,655.41,164.18,159.50,sglang
ttft_p99_ms,1805.13,349.35,591.12,vllm
tpot_median_ms,73.72,60.33,105.04,vllm
tpot_p99_ms,619.21,183.58,245.92,vllm
e2e_median_ms,759.64,221.09,256.75,vllm
e2e_p99_ms,2094.60,425.92,647.68,vllm
throughput_median_tps,1.79,6.18,5.17,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,821.75,123.45,113.00,sglang
ttft_last_turn_ms,1142.96,156.69,170.71,vllm
ttft_growth_ratio,1.39,1.27,1.51,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,401.21,57.27,80.17,vllm
ttft_p99_ms,986.69,138.83,542.59,vllm
tpot_median_ms,29.91,28.02,41.61,vllm
tpot_p99_ms,527.58,107.52,130.60,vllm
e2e_median_ms,434.19,78.12,130.43,vllm
e2e_p99_ms,1139.43,162.82,577.39,vllm
throughput_median_tps,2.81,15.86,10.37,vllm
total_output_tokens,1495,1470,1462,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2863.14,64.06,74.30,vllm
ttft_p99_ms,6181.29,126.60,156.36,vllm
tpot_median_ms,93.60,14.95,23.43,vllm
tpot_p99_ms,265.56,22.13,29.36,vllm
e2e_median_ms,5601.01,597.63,867.77,vllm
e2e_p99_ms,12603.27,1005.99,1685.71,vllm
throughput_median_tps,5.50,59.93,39.74,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1236.55,0.00,1244.14,1,0.80,1
torchinferno,few_shot,1,1235.75,0.00,1245.53,1,0.80,1
torchinferno,few_shot,2,1238.62,0.00,1249.57,1,0.80,1
torchinferno,few_shot,3,1236.32,180.40,1416.71,2,1.41,1
torchinferno,few_shot,4,1717.30,0.00,1721.86,1,0.58,1
torchinferno,few_shot,5,1717.20,0.00,1730.03,1,0.58,1
torchinferno,few_shot,6,1717.35,0.00,1728.50,1,0.58,1
torchinferno,few_shot,7,1708.53,0.00,1729.42,1,0.58,1
torchinferno,few_shot,8,1714.93,0.00,1732.91,1,0.58,1
torchinferno,few_shot,9,1715.26,0.00,1733.27,1,0.58,1
torchinferno,few_shot,10,1716.81,0.00,1740.12,1,0.57,1
torchinferno,few_shot,11,1712.34,0.00,1737.81,1,0.58,1
torchinferno,few_shot,12,1711.35,0.00,1743.08,1,0.57,1
torchinferno,few_shot,13,1714.59,0.00,1741.53,1,0.57,1
torchinferno,few_shot,14,1710.50,35.47,1745.97,2,1.15,1
torchinferno,few_shot,15,1720.16,0.00,1749.13,1,0.57,1
torchinferno,few_shot,16,1715.33,34.49,1749.82,2,1.14,1
torchinferno,few_shot,17,1710.95,40.40,1751.36,2,1.14,1
torchinferno,few_shot,18,1719.95,0.00,1759.00,1,0.57,1
torchinferno,few_shot,19,1715.70,45.44,1761.15,2,1.14,1
torchinferno,few_shot,20,1720.86,0.00,1757.82,1,0.57,1
torchinferno,few_shot,21,1709.77,46.14,1755.91,2,1.14,1
torchinferno,few_shot,22,1714.46,0.00,1764.32,1,0.57,1
torchinferno,few_shot,23,1711.12,49.90,1761.03,2,1.14,1
torchinferno,few_shot,24,1710.08,0.00,1758.85,1,0.57,1
torchinferno,few_shot,25,1711.29,54.23,1765.52,2,1.13,1
torchinferno,few_shot,26,1723.18,49.08,1772.26,2,1.13,1
torchinferno,few_shot,27,1708.48,58.85,1767.33,2,1.13,1
torchinferno,few_shot,28,1720.65,49.85,1770.50,2,1.13,1
torchinferno,few_shot,29,1716.60,57.93,1774.53,2,1.13,1
torchinferno,few_shot,30,1710.41,61.10,1771.51,2,1.13,1
torchinferno,few_shot,31,1711.68,64.56,1776.25,2,1.13,1
torchinferno,few_shot,32,1716.68,59.53,1776.21,2,1.13,1
torchinferno,few_shot,33,1720.13,61.94,1782.07,2,1.12,1
torchinferno,few_shot,34,1709.45,69.88,1779.33,2,1.12,1
torchinferno,few_shot,35,1713.75,82.17,1795.92,2,1.11,1
torchinferno,few_shot,36,1798.50,0.00,1798.83,1,0.56,1
torchinferno,few_shot,37,1800.74,0.00,1801.10,1,0.56,1
torchinferno,few_shot,38,1782.95,0.00,1804.68,1,0.55,1
torchinferno,few_shot,39,394.63,0.00,399.71,1,2.50,1
torchinferno,few_shot,40,1793.18,17.49,1810.67,2,1.10,1
torchinferno,few_shot,41,1793.50,0.00,1812.75,1,0.55,1
torchinferno,few_shot,42,1799.47,14.78,1814.25,2,1.10,1
torchinferno,few_shot,43,1784.43,31.66,1816.09,2,1.10,1
torchinferno,few_shot,44,1784.13,0.00,1819.70,1,0.55,1
torchinferno,few_shot,45,1782.27,0.00,1819.84,1,0.55,1
