model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-09T07:02:07.861325

Build Times
provider,build_time_s
torchinferno,463.5
vllm,1317.3
sglang,211.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,310.68,155.28,151.96,sglang
ttft_p99_ms,2540.32,254.06,649.89,vllm
tpot_median_ms,83.84,54.53,82.48,vllm
tpot_p99_ms,654.11,136.41,401.70,vllm
e2e_median_ms,388.83,207.28,223.91,vllm
e2e_p99_ms,2629.11,313.83,910.48,vllm
throughput_median_tps,3.43,7.31,5.39,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,394.42,203.46,230.25,vllm
ttft_p99_ms,1398.89,471.70,69884.62,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,559.23,230.11,377.88,vllm
e2e_p99_ms,1723.99,490.74,70000.85,vllm
throughput_median_tps,1.79,4.35,2.65,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,733.61,172.63,157.78,sglang
ttft_p99_ms,1702.29,351.02,281.49,sglang
tpot_median_ms,68.37,56.42,104.49,vllm
tpot_p99_ms,194.34,196.68,253.61,torchinferno
e2e_median_ms,806.18,220.07,263.90,vllm
e2e_p99_ms,1772.24,433.30,421.70,sglang
throughput_median_tps,1.55,6.21,5.01,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,921.71,139.91,115.22,sglang
ttft_last_turn_ms,961.22,170.82,197.01,vllm
ttft_growth_ratio,1.04,1.22,1.71,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,417.19,62.58,88.55,vllm
ttft_p99_ms,1101.45,3690.71,931.12,sglang
tpot_median_ms,60.40,28.39,49.10,vllm
tpot_p99_ms,459.98,1730.16,150.28,sglang
e2e_median_ms,467.87,84.12,145.85,vllm
e2e_p99_ms,1316.84,3748.99,936.82,sglang
throughput_median_tps,2.90,14.34,9.33,vllm
total_output_tokens,1468,1455,1476,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,486.04,79.30,78.77,sglang
ttft_p99_ms,1631.06,165.33,149.41,sglang
tpot_median_ms,21.33,14.83,23.01,vllm
tpot_p99_ms,42.99,21.30,29.44,vllm
e2e_median_ms,1255.06,612.28,870.44,vllm
e2e_p99_ms,3460.67,1052.16,1699.02,vllm
throughput_median_tps,28.39,58.51,40.21,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1314.76,0.00,1323.41,1,0.76,1
torchinferno,few_shot,1,1314.92,0.00,1324.55,1,0.75,1
torchinferno,few_shot,2,1319.56,0.00,1330.10,1,0.75,1
torchinferno,few_shot,3,1317.99,303.51,1621.51,2,1.23,1
torchinferno,few_shot,4,1317.84,303.79,1621.63,2,1.23,1
torchinferno,few_shot,5,1977.09,0.00,2540.88,1,0.39,1
torchinferno,few_shot,6,1979.37,0.00,2539.56,1,0.39,1
torchinferno,few_shot,7,1982.67,0.00,2543.51,1,0.39,1
torchinferno,few_shot,8,1981.81,0.00,2547.90,1,0.39,1
torchinferno,few_shot,9,1986.44,0.00,2548.54,1,0.39,1
torchinferno,few_shot,10,1979.01,0.00,2553.17,1,0.39,1
torchinferno,few_shot,11,1977.68,0.00,2552.70,1,0.39,1
torchinferno,few_shot,12,1983.85,0.00,2554.77,1,0.39,1
torchinferno,few_shot,13,1976.26,0.00,2552.56,1,0.39,1
torchinferno,few_shot,14,1986.74,572.67,2559.41,2,0.78,1
torchinferno,few_shot,15,1985.52,0.00,2555.98,1,0.39,1
torchinferno,few_shot,16,2555.71,0.00,2556.07,1,0.39,1
torchinferno,few_shot,17,1988.09,0.00,2562.47,1,0.39,1
torchinferno,few_shot,18,2559.18,0.00,2559.55,1,0.39,1
torchinferno,few_shot,19,1979.97,586.15,2566.12,2,0.78,1
torchinferno,few_shot,20,1989.89,0.00,2571.77,1,0.39,1
torchinferno,few_shot,21,1982.19,0.00,2564.99,1,0.39,1
torchinferno,few_shot,22,1236.09,0.00,1246.56,1,0.80,1
torchinferno,few_shot,23,1982.07,0.00,2569.03,1,0.39,1
torchinferno,few_shot,24,1986.74,587.18,2573.93,2,0.78,1
torchinferno,few_shot,25,2547.14,24.59,2571.72,2,0.78,1
torchinferno,few_shot,26,1976.92,600.35,2577.27,2,0.78,1
torchinferno,few_shot,27,2549.77,25.75,2575.52,2,0.78,1
torchinferno,few_shot,28,1255.06,0.00,1260.20,1,0.79,1
torchinferno,few_shot,29,1992.95,0.00,2587.83,1,0.39,1
torchinferno,few_shot,30,1979.05,0.00,2589.09,1,0.39,1
torchinferno,few_shot,31,1982.48,602.63,2585.11,2,0.77,1
torchinferno,few_shot,32,1987.23,0.00,2586.02,1,0.39,1
torchinferno,few_shot,33,2546.90,0.00,2584.34,1,0.39,1
torchinferno,few_shot,34,1976.02,614.45,2590.47,2,0.77,1
torchinferno,few_shot,35,1978.42,0.00,2588.09,1,0.39,1
torchinferno,few_shot,36,1974.07,0.00,2589.92,1,0.39,1
torchinferno,few_shot,37,2540.32,52.22,2592.54,2,0.77,1
torchinferno,few_shot,38,1974.37,0.00,2596.92,1,0.39,1
torchinferno,few_shot,39,1975.94,621.07,2597.01,2,0.77,1
torchinferno,few_shot,40,1985.83,621.17,2606.99,2,0.77,1
torchinferno,few_shot,41,1226.92,0.00,1283.62,1,0.78,1
torchinferno,few_shot,42,1982.49,0.00,2601.94,1,0.38,1
torchinferno,few_shot,43,1970.50,0.00,2601.49,1,0.38,1
torchinferno,few_shot,44,1975.07,628.51,2603.59,2,0.77,1
torchinferno,few_shot,45,1985.45,626.22,2611.67,2,0.77,1
