model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T17:02:04.988993+00:00

Build Times
provider,build_time_s
torchinferno,36.1
vllm,227.7
sglang,216.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,147.62,126.35,129.10,vllm
ttft_p99_ms,459.37,327.04,385.11,vllm
tpot_median_ms,42.32,40.94,83.78,vllm
tpot_p99_ms,142.33,171.99,485.16,torchinferno
e2e_median_ms,186.36,161.80,210.29,vllm
e2e_p99_ms,504.79,345.85,581.23,vllm
throughput_median_tps,6.48,8.75,6.05,vllm
total_output_tokens,1460,1452,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,100.00,124.15,217.82,torchinferno
ttft_p99_ms,328.23,276.04,70256.36,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,107.55,144.42,363.79,torchinferno
e2e_p99_ms,367.46,305.52,70699.08,vllm
throughput_median_tps,9.30,6.92,2.75,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,227.30,149.26,163.03,vllm
ttft_p99_ms,742.15,512.17,626.66,vllm
tpot_median_ms,57.79,43.09,103.42,vllm
tpot_p99_ms,213.70,322.66,967.69,torchinferno
e2e_median_ms,280.34,194.21,274.55,vllm
e2e_p99_ms,796.11,564.59,995.16,vllm
throughput_median_tps,4.65,7.09,4.72,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,243.98,147.60,96.00,sglang
ttft_last_turn_ms,269.33,165.29,192.76,vllm
ttft_growth_ratio,1.10,1.12,2.01,torchinferno
ttft_first_turn_median_ms,230.24,130.12,88.37,sglang
ttft_first_turn_p99_ms,451.08,512.93,277.97,sglang
ttft_last_turn_median_ms,212.73,146.35,188.63,vllm
ttft_last_turn_p99_ms,750.83,555.53,296.97,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,80.04,32.42,49.81,vllm
ttft_p99_ms,262.45,45.28,337.50,vllm
tpot_median_ms,64.67,21.69,422.36,vllm
tpot_p99_ms,165.38,28.11,1060.57,vllm
e2e_median_ms,115.14,47.80,465.78,vllm
e2e_p99_ms,318.27,111.05,1126.63,vllm
throughput_median_tps,12.03,25.92,3.13,vllm
total_output_tokens,1468,1467,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.26,80.63,66.92,sglang
ttft_p99_ms,1497.64,197.37,609.78,vllm
tpot_median_ms,19.98,14.63,22.66,vllm
tpot_p99_ms,43.80,17.11,100.26,vllm
e2e_median_ms,988.48,597.94,915.75,vllm
e2e_p99_ms,2072.81,1047.04,2062.11,vllm
throughput_median_tps,35.74,59.11,40.79,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,219.71,0.00,224.09,1,4.46,1,,,,,,,4,,,
torchinferno,few_shot,3,1,237.97,142.33,380.30,2,5.26,1,,,,,,,3,,,
torchinferno,few_shot,11,2,237.33,0.00,254.78,1,3.92,1,,,,,,,11,,,
torchinferno,few_shot,7,3,325.75,0.00,340.39,1,2.94,1,,,,,,,7,,,
torchinferno,few_shot,8,4,298.11,0.00,314.87,1,3.18,1,,,,,,,8,,,
torchinferno,few_shot,9,5,273.39,0.00,297.37,1,3.36,1,,,,,,,9,,,
torchinferno,few_shot,5,6,362.68,0.00,388.21,1,2.58,1,,,,,,,5,,,
torchinferno,few_shot,12,7,220.19,0.00,245.96,1,4.07,1,,,,,,,12,,,
torchinferno,few_shot,10,8,256.82,0.00,282.85,1,3.54,1,,,,,,,10,,,
torchinferno,few_shot,2,9,454.39,30.89,485.28,2,4.12,1,,,,,,,2,,,
torchinferno,few_shot,0,10,497.11,30.92,528.03,2,3.79,1,,,,,,,0,,,
torchinferno,few_shot,17,11,117.52,0.00,149.88,1,6.67,1,,,,,,,17,,,
torchinferno,few_shot,18,12,100.63,33.15,133.78,2,14.95,1,,,,,,,18,,,
torchinferno,few_shot,14,13,180.66,32.98,213.64,2,9.36,1,,,,,,,14,,,
torchinferno,few_shot,1,14,480.10,0.00,513.39,1,1.95,1,,,,,,,1,,,
torchinferno,few_shot,6,15,343.23,40.04,383.27,2,5.22,1,,,,,,,6,,,
torchinferno,few_shot,15,16,154.95,40.00,194.95,2,10.26,1,,,,,,,15,,,
torchinferno,few_shot,19,17,83.72,40.08,123.80,2,16.16,1,,,,,,,19,,,
torchinferno,few_shot,64,18,191.78,0.00,234.14,1,4.27,1,,,,,,,64,,,
torchinferno,few_shot,20,19,65.82,42.29,108.11,2,18.50,1,,,,,,,20,,,
torchinferno,few_shot,13,20,198.82,46.93,245.74,2,8.14,1,,,,,,,13,,,
torchinferno,few_shot,16,21,137.47,46.06,183.53,2,10.90,1,,,,,,,16,,,
torchinferno,few_shot,65,22,118.28,0.00,131.63,1,7.60,1,,,,,,,65,,,
torchinferno,few_shot,24,23,56.39,0.00,71.78,1,13.93,1,,,,,,,24,,,
torchinferno,few_shot,21,24,111.03,23.66,134.68,2,14.85,1,,,,,,,21,,,
torchinferno,few_shot,22,25,91.80,26.30,118.09,2,16.94,1,,,,,,,22,,,
torchinferno,few_shot,23,26,74.31,28.49,102.81,2,19.45,1,,,,,,,23,,,
torchinferno,few_shot,68,27,126.22,0.00,137.23,1,7.29,1,,,,,,,68,,,
torchinferno,few_shot,82,28,103.01,0.00,115.69,1,8.64,1,,,,,,,82,,,
torchinferno,few_shot,85,29,100.82,0.00,114.61,1,8.73,1,,,,,,,85,,,
torchinferno,few_shot,26,30,84.54,0.00,99.28,1,10.07,1,,,,,,,26,,,
torchinferno,few_shot,72,31,119.74,0.00,139.14,1,7.19,1,,,,,,,72,,,
torchinferno,few_shot,81,32,107.59,0.00,125.12,1,7.99,1,,,,,,,81,,,
torchinferno,few_shot,86,33,71.30,0.00,91.26,1,10.96,1,,,,,,,86,,,
torchinferno,few_shot,69,34,125.60,0.00,149.38,1,6.69,1,,,,,,,69,,,
torchinferno,few_shot,71,35,120.10,0.00,147.72,1,6.77,1,,,,,,,71,,,
torchinferno,few_shot,84,36,103.86,24.50,128.36,2,15.58,1,,,,,,,84,,,
torchinferno,few_shot,70,37,123.73,29.48,153.21,2,13.05,1,,,,,,,70,,,
torchinferno,few_shot,73,38,116.36,31.12,147.49,2,13.56,1,,,,,,,73,,,
