model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-21T18:02:44.947171

Build Times
provider,build_time_s
torchinferno,86.9
vllm,1292.0
sglang,181.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,316.00,161.95,145.17,sglang
ttft_p99_ms,2980.17,934.53,7143.39,vllm
tpot_median_ms,163.72,52.33,80.79,vllm
tpot_p99_ms,227.77,146.81,7409.78,vllm
e2e_median_ms,431.39,214.37,221.06,vllm
e2e_p99_ms,3185.44,972.47,14504.74,vllm
throughput_median_tps,3.33,7.02,5.53,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,293.00,175.79,224.59,vllm
ttft_p99_ms,1843.68,438.24,70254.20,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,338.51,201.07,369.34,vllm
e2e_p99_ms,1905.80,473.18,70317.85,vllm
throughput_median_tps,2.95,4.97,2.71,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,950.61,176.52,170.02,sglang
ttft_p99_ms,3218.35,409.10,611.85,vllm
tpot_median_ms,130.29,39.39,114.76,vllm
tpot_p99_ms,425.42,237.80,284.71,vllm
e2e_median_ms,1040.47,226.31,276.09,vllm
e2e_p99_ms,3385.01,451.61,853.49,vllm
throughput_median_tps,1.20,6.11,4.83,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1631.23,182.47,122.69,sglang
ttft_last_turn_ms,895.01,172.66,180.80,vllm
ttft_growth_ratio,0.55,0.95,1.47,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,355.89,62.00,80.47,vllm
ttft_p99_ms,1391.27,220.24,619.50,vllm
tpot_median_ms,139.26,27.87,59.01,vllm
tpot_p99_ms,162.98,45.59,177.51,vllm
e2e_median_ms,461.52,84.32,144.16,vllm
e2e_p99_ms,1464.46,235.33,768.73,vllm
throughput_median_tps,3.28,14.86,9.34,vllm
total_output_tokens,1477,1462,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1092.59,79.01,75.47,sglang
ttft_p99_ms,2967.00,299.24,377.25,vllm
tpot_median_ms,17.03,15.17,21.85,vllm
tpot_p99_ms,68.50,25.03,33.23,vllm
e2e_median_ms,1628.04,680.37,796.18,vllm
e2e_p99_ms,3675.33,1056.87,1736.34,vllm
throughput_median_tps,20.02,56.87,42.56,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1024.75,655.34,1680.09,2,1.19,1
torchinferno,few_shot,1,2980.17,0.00,3067.36,1,0.33,1
torchinferno,few_shot,2,2970.58,0.00,3056.15,1,0.33,1
torchinferno,few_shot,3,2973.84,0.00,3071.68,1,0.33,1
torchinferno,few_shot,4,2965.37,0.00,3055.90,1,0.33,1
torchinferno,few_shot,5,2985.31,0.00,3076.08,1,0.33,1
torchinferno,few_shot,6,2954.44,0.00,3056.96,1,0.33,1
torchinferno,few_shot,7,2972.70,0.00,3081.13,1,0.32,1
torchinferno,few_shot,8,2970.24,0.00,3073.62,1,0.33,1
torchinferno,few_shot,9,2979.29,0.00,3073.32,1,0.33,1
torchinferno,few_shot,10,2959.03,0.00,3065.18,1,0.33,1
torchinferno,few_shot,11,2971.39,0.00,3087.82,1,0.32,1
torchinferno,few_shot,12,2977.95,0.00,3094.90,1,0.32,1
torchinferno,few_shot,13,2977.65,0.00,3093.58,1,0.32,1
torchinferno,few_shot,14,2978.50,0.00,3085.94,1,0.32,1
torchinferno,few_shot,15,2968.71,0.00,3087.49,1,0.32,1
torchinferno,few_shot,16,2979.21,0.00,3098.63,1,0.32,1
torchinferno,few_shot,17,2968.50,0.00,3088.17,1,0.32,1
torchinferno,few_shot,18,2981.40,0.00,3092.89,1,0.32,1
torchinferno,few_shot,19,2966.97,0.00,3092.72,1,0.32,1
torchinferno,few_shot,20,2965.82,0.00,3094.94,1,0.32,1
torchinferno,few_shot,21,2970.39,0.00,3094.61,1,0.32,1
torchinferno,few_shot,22,2990.56,0.00,3110.54,1,0.32,1
torchinferno,few_shot,23,2965.48,0.00,3087.44,1,0.32,1
torchinferno,few_shot,24,2970.99,0.00,3097.77,1,0.32,1
torchinferno,few_shot,25,2974.02,0.00,3097.68,1,0.32,1
torchinferno,few_shot,26,2971.23,0.00,3102.99,1,0.32,1
torchinferno,few_shot,27,2973.63,0.00,3102.93,1,0.32,1
torchinferno,few_shot,28,1303.52,0.00,1440.19,1,0.69,1
torchinferno,few_shot,29,2965.40,0.00,3104.51,1,0.32,1
torchinferno,few_shot,30,2970.47,0.00,3105.31,1,0.32,1
torchinferno,few_shot,31,2970.84,0.00,3115.23,1,0.32,1
torchinferno,few_shot,32,2972.64,0.00,3115.83,1,0.32,1
torchinferno,few_shot,33,2989.01,0.00,3134.10,1,0.32,1
torchinferno,few_shot,34,2967.79,182.53,3150.32,2,0.63,1
torchinferno,few_shot,35,2976.51,171.89,3148.40,2,0.64,1
torchinferno,few_shot,36,2977.76,173.50,3151.26,2,0.63,1
torchinferno,few_shot,37,2964.74,187.26,3152.00,2,0.63,1
torchinferno,few_shot,38,2963.01,190.32,3153.33,2,0.63,1
torchinferno,few_shot,39,2974.84,198.10,3172.94,2,0.63,1
torchinferno,few_shot,40,2974.55,190.58,3165.12,2,0.63,1
torchinferno,few_shot,41,2972.24,199.64,3171.88,2,0.63,1
torchinferno,few_shot,42,2960.88,190.53,3151.41,2,0.63,1
torchinferno,few_shot,43,2983.66,195.62,3179.28,2,0.63,1
torchinferno,few_shot,44,2966.01,194.39,3160.40,2,0.63,1
torchinferno,few_shot,45,2972.30,188.34,3160.64,2,0.63,1
torchinferno,few_shot,46,2976.62,196.90,3173.53,2,0.63,1
torchinferno,few_shot,47,2966.48,206.70,3173.17,2,0.63,1
torchinferno,few_shot,48,2968.98,207.94,3176.93,2,0.63,1
torchinferno,few_shot,49,2972.19,213.25,3185.44,2,0.63,1
torchinferno,few_shot,50,2969.12,194.99,3164.12,2,0.63,1
torchinferno,few_shot,51,2991.03,202.32,3193.36,2,0.63,1
torchinferno,few_shot,52,2963.73,202.25,3165.98,2,0.63,1
torchinferno,few_shot,53,2972.56,208.85,3181.41,2,0.63,1
torchinferno,few_shot,54,2968.16,207.58,3175.74,2,0.63,1
torchinferno,few_shot,55,2986.44,207.78,3194.22,2,0.63,1
torchinferno,few_shot,56,2974.82,211.31,3186.14,2,0.63,1
torchinferno,few_shot,57,2965.51,219.89,3185.40,2,0.63,1
torchinferno,few_shot,58,2981.19,208.50,3189.69,2,0.63,1
torchinferno,few_shot,59,2971.16,221.09,3192.25,2,0.63,1
torchinferno,few_shot,60,2967.61,227.77,3195.38,2,0.63,1
torchinferno,few_shot,61,2980.58,223.44,3204.02,2,0.62,1
torchinferno,few_shot,62,2961.02,227.95,3188.97,2,0.63,1
torchinferno,few_shot,63,2967.47,216.46,3183.93,2,0.63,1
torchinferno,few_shot,64,2974.11,236.99,3211.10,2,0.62,1
torchinferno,few_shot,65,232.82,0.00,302.54,1,3.31,1
torchinferno,few_shot,66,210.75,0.00,278.43,1,3.59,1
torchinferno,few_shot,67,213.31,0.00,288.77,1,3.46,1
torchinferno,few_shot,68,172.64,0.00,247.52,1,4.04,1
torchinferno,few_shot,69,204.36,0.00,277.96,1,3.60,1
torchinferno,few_shot,70,189.39,0.00,263.81,1,3.79,1
torchinferno,few_shot,71,183.91,0.00,265.09,1,3.77,1
torchinferno,few_shot,72,181.94,0.00,273.20,1,3.66,1
torchinferno,few_shot,73,178.89,0.00,266.95,1,3.75,1
torchinferno,few_shot,74,219.54,0.00,309.66,1,3.23,1
torchinferno,few_shot,75,221.96,0.00,312.80,1,3.20,1
torchinferno,few_shot,76,195.08,0.00,286.16,1,3.49,1
torchinferno,few_shot,77,190.40,0.00,279.03,1,3.58,1
torchinferno,few_shot,78,187.52,0.00,279.11,1,3.58,1
torchinferno,few_shot,79,209.67,0.00,304.06,1,3.29,1
torchinferno,few_shot,80,228.29,0.00,324.41,1,3.08,1
torchinferno,few_shot,81,195.29,0.00,295.80,1,3.38,1
torchinferno,few_shot,82,228.51,0.00,325.38,1,3.07,1
torchinferno,few_shot,83,160.66,0.00,266.75,1,3.75,1
torchinferno,few_shot,84,211.18,0.00,319.66,1,3.13,1
torchinferno,few_shot,85,194.95,0.00,296.05,1,3.38,1
torchinferno,few_shot,86,172.31,0.00,278.45,1,3.59,1
torchinferno,few_shot,87,181.88,148.25,330.13,2,6.06,1
torchinferno,few_shot,88,178.79,155.55,334.34,2,5.98,1
torchinferno,few_shot,89,201.88,155.39,357.27,2,5.60,1
torchinferno,few_shot,90,199.46,161.24,360.70,2,5.54,1
torchinferno,few_shot,91,198.13,154.59,352.72,2,5.67,1
torchinferno,few_shot,92,169.94,164.26,334.20,2,5.98,1
torchinferno,few_shot,93,206.74,167.84,374.58,2,5.34,1
torchinferno,few_shot,94,209.58,162.79,372.37,2,5.37,1
torchinferno,few_shot,95,204.09,162.73,366.81,2,5.45,1
torchinferno,few_shot,96,190.62,169.85,360.47,2,5.55,1
torchinferno,few_shot,97,214.89,172.49,387.38,2,5.16,1
torchinferno,few_shot,98,416.88,0.00,488.14,1,2.05,1
torchinferno,few_shot,99,431.98,0.00,505.04,1,1.98,1
torchinferno,few_shot,100,435.01,0.00,501.58,1,1.99,1
torchinferno,few_shot,101,393.33,0.00,461.67,1,2.17,1
torchinferno,few_shot,102,436.77,0.00,503.08,1,1.99,1
torchinferno,few_shot,103,403.53,0.00,482.53,1,2.07,1
torchinferno,few_shot,104,408.98,0.00,490.80,1,2.04,1
torchinferno,few_shot,105,217.15,0.00,300.31,1,3.33,1
torchinferno,few_shot,106,207.45,0.00,283.52,1,3.53,1
torchinferno,few_shot,107,229.08,0.00,304.22,1,3.29,1
torchinferno,few_shot,108,416.77,0.00,492.94,1,2.03,1
torchinferno,few_shot,109,422.46,0.00,516.04,1,1.94,1
torchinferno,few_shot,110,234.41,0.00,316.23,1,3.16,1
torchinferno,few_shot,111,416.42,0.00,512.65,1,1.95,1
torchinferno,few_shot,112,207.45,0.00,303.29,1,3.30,1
torchinferno,few_shot,113,407.20,0.00,495.14,1,2.02,1
torchinferno,few_shot,114,224.27,0.00,324.15,1,3.09,1
torchinferno,few_shot,115,403.01,0.00,495.69,1,2.02,1
torchinferno,few_shot,116,219.12,0.00,314.06,1,3.18,1
torchinferno,few_shot,117,405.96,0.00,513.57,1,1.95,1
torchinferno,few_shot,118,228.75,0.00,330.64,1,3.02,1
torchinferno,few_shot,119,394.09,0.00,503.04,1,1.99,1
torchinferno,few_shot,120,210.06,0.00,321.56,1,3.11,1
torchinferno,few_shot,121,200.31,0.00,307.04,1,3.26,1
torchinferno,few_shot,122,412.62,0.00,530.41,1,1.89,1
torchinferno,few_shot,123,417.43,0.00,530.11,1,1.89,1
torchinferno,few_shot,124,214.54,0.00,321.97,1,3.11,1
torchinferno,few_shot,125,413.81,149.35,563.16,2,3.55,1
