model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T01:01:57.597980+00:00

Build Times
provider,build_time_s
torchinferno,39.2
vllm,361.1
sglang,213.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,154.07,126.03,132.32,vllm
ttft_p99_ms,964.38,260.65,597.70,vllm
tpot_median_ms,45.68,44.96,82.24,vllm
tpot_p99_ms,118.73,141.69,457.71,torchinferno
e2e_median_ms,196.07,166.95,209.57,vllm
e2e_p99_ms,1009.44,315.55,712.91,vllm
throughput_median_tps,6.04,8.22,5.90,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.20,124.05,208.68,vllm
ttft_p99_ms,562.66,300.06,69652.41,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,167.84,149.72,350.97,vllm
e2e_p99_ms,860.74,317.34,69759.72,vllm
throughput_median_tps,5.96,6.68,2.85,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.70,147.03,160.25,vllm
ttft_p99_ms,758.53,434.96,622.63,vllm
tpot_median_ms,61.33,50.02,105.22,vllm
tpot_p99_ms,270.86,307.42,912.15,torchinferno
e2e_median_ms,376.95,188.84,268.94,vllm
e2e_p99_ms,801.00,556.94,945.98,vllm
throughput_median_tps,4.04,7.27,4.86,vllm
total_output_tokens,1446,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,265.50,139.11,99.90,sglang
ttft_last_turn_ms,304.53,155.89,182.29,vllm
ttft_growth_ratio,1.15,1.12,1.82,vllm
ttft_first_turn_median_ms,207.97,127.33,96.73,sglang
ttft_first_turn_p99_ms,625.84,400.49,263.99,sglang
ttft_last_turn_median_ms,244.34,148.80,182.48,vllm
ttft_last_turn_p99_ms,966.34,375.35,292.80,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,79.39,32.40,47.26,vllm
ttft_p99_ms,242.22,44.33,338.23,vllm
tpot_median_ms,64.06,21.65,318.42,vllm
tpot_p99_ms,164.39,28.81,979.02,vllm
e2e_median_ms,114.64,48.02,359.60,vllm
e2e_p99_ms,299.62,108.25,1056.51,vllm
throughput_median_tps,12.28,25.79,3.96,vllm
total_output_tokens,1465,1463,1462,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,262.51,75.70,64.83,sglang
ttft_p99_ms,1306.47,344.04,623.83,vllm
tpot_median_ms,19.59,14.77,22.70,vllm
tpot_p99_ms,47.94,50.77,97.04,torchinferno
e2e_median_ms,934.22,643.00,921.77,vllm
e2e_p99_ms,2102.02,1813.77,2098.85,vllm
throughput_median_tps,37.01,59.38,41.66,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,482.18,0.00,491.12,1,2.04,1,,,,,,,4,,,
torchinferno,few_shot,3,1,501.80,426.95,928.75,2,2.15,1,,,,,,,3,,,
torchinferno,few_shot,11,2,795.08,0.00,811.18,1,1.23,1,,,,,,,11,,,
torchinferno,few_shot,26,3,533.71,0.00,546.09,1,1.83,1,,,,,,,26,,,
torchinferno,few_shot,7,4,885.84,0.00,900.26,1,1.11,1,,,,,,,7,,,
torchinferno,few_shot,10,5,812.88,0.00,835.27,1,1.20,1,,,,,,,10,,,
torchinferno,few_shot,12,6,782.99,0.00,802.32,1,1.25,1,,,,,,,12,,,
torchinferno,few_shot,29,7,479.69,0.00,500.96,1,2.00,1,,,,,,,29,,,
torchinferno,few_shot,31,8,441.14,0.00,466.96,1,2.14,1,,,,,,,31,,,
torchinferno,few_shot,24,9,568.48,0.00,590.95,1,1.69,1,,,,,,,24,,,
torchinferno,few_shot,25,10,552.32,0.00,575.48,1,1.74,1,,,,,,,25,,,
torchinferno,few_shot,23,11,583.28,28.34,611.63,2,3.27,1,,,,,,,23,,,
torchinferno,few_shot,64,12,481.09,0.00,507.06,1,1.97,1,,,,,,,64,,,
torchinferno,few_shot,1,13,1024.92,0.00,1059.55,1,0.94,1,,,,,,,1,,,
torchinferno,few_shot,0,14,1051.29,32.59,1083.88,2,1.85,1,,,,,,,0,,,
torchinferno,few_shot,20,15,633.86,40.99,674.85,2,2.96,1,,,,,,,20,,,
torchinferno,few_shot,5,16,928.19,0.00,967.86,1,1.03,1,,,,,,,5,,,
torchinferno,few_shot,18,17,669.56,41.98,711.54,2,2.81,1,,,,,,,18,,,
torchinferno,few_shot,21,18,618.54,41.90,660.43,2,3.03,1,,,,,,,21,,,
torchinferno,few_shot,8,19,855.10,0.00,900.48,1,1.11,1,,,,,,,8,,,
torchinferno,few_shot,28,20,500.50,0.00,540.73,1,1.85,1,,,,,,,28,,,
torchinferno,few_shot,17,21,687.53,0.00,733.18,1,1.36,1,,,,,,,17,,,
torchinferno,few_shot,27,22,517.10,43.28,560.37,2,3.57,1,,,,,,,27,,,
torchinferno,few_shot,6,23,903.10,53.96,957.05,2,2.09,1,,,,,,,6,,,
torchinferno,few_shot,30,24,461.13,49.83,510.96,2,3.91,1,,,,,,,30,,,
torchinferno,few_shot,22,25,598.50,54.26,652.77,2,3.06,1,,,,,,,22,,,
torchinferno,few_shot,14,26,741.09,55.14,796.23,2,2.51,1,,,,,,,14,,,
torchinferno,few_shot,9,27,830.60,0.00,889.85,1,1.12,1,,,,,,,9,,,
torchinferno,few_shot,32,28,429.60,51.54,481.14,2,4.16,1,,,,,,,32,,,
torchinferno,few_shot,13,29,767.79,53.81,821.61,2,2.43,1,,,,,,,13,,,
torchinferno,few_shot,15,30,725.53,58.22,783.75,2,2.55,1,,,,,,,15,,,
torchinferno,few_shot,2,31,1010.77,59.87,1070.64,2,1.87,1,,,,,,,2,,,
torchinferno,few_shot,19,32,653.95,64.92,718.87,2,2.78,1,,,,,,,19,,,
torchinferno,few_shot,16,33,706.74,66.00,772.74,2,2.59,1,,,,,,,16,,,
torchinferno,few_shot,35,34,458.03,0.00,474.73,1,2.11,1,,,,,,,35,,,
torchinferno,few_shot,34,35,488.44,0.00,496.31,1,2.01,1,,,,,,,34,,,
torchinferno,few_shot,37,36,429.95,0.00,444.96,1,2.25,1,,,,,,,37,,,
torchinferno,few_shot,43,37,321.10,0.00,341.55,1,2.93,1,,,,,,,43,,,
torchinferno,few_shot,53,38,131.58,0.00,156.24,1,6.40,1,,,,,,,53,,,
