model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-12T19:08:00.024433

Build Times
provider,build_time_s
torchinferno,443.2
vllm,1027.0
sglang,160.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,164.12,136.99,sglang
ttft_p99_ms,,979.71,4590.78,vllm
tpot_median_ms,,58.01,74.28,vllm
tpot_p99_ms,,216.70,7404.06,vllm
e2e_median_ms,,218.22,204.14,sglang
e2e_p99_ms,,1056.74,11970.91,vllm
throughput_median_tps,,6.38,5.89,vllm
total_output_tokens,,1461,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,204.15,220.17,vllm
ttft_p99_ms,,488.47,873.09,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,225.79,372.21,vllm
e2e_p99_ms,,524.55,894.21,vllm
throughput_median_tps,,4.43,2.69,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,180.17,154.68,sglang
ttft_p99_ms,,360.90,744.60,vllm
tpot_median_ms,,56.11,98.79,vllm
tpot_p99_ms,,207.30,225.66,vllm
e2e_median_ms,,234.62,252.63,vllm
e2e_p99_ms,,429.71,840.37,vllm
throughput_median_tps,,5.94,5.30,vllm
total_output_tokens,,1462,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,155.24,105.96,sglang
ttft_last_turn_ms,,175.24,193.63,vllm
ttft_growth_ratio,,1.13,1.83,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.45,77.29,vllm
ttft_p99_ms,,82.03,471.50,vllm
tpot_median_ms,,28.13,50.41,vllm
tpot_p99_ms,,38.40,166.18,vllm
e2e_median_ms,,80.13,137.61,vllm
e2e_p99_ms,,114.85,499.80,vllm
throughput_median_tps,,15.50,9.67,vllm
total_output_tokens,,1473,1486,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,72.14,65.81,sglang
ttft_p99_ms,,217.21,104.63,sglang
tpot_median_ms,,15.02,22.19,vllm
tpot_p99_ms,,22.02,26.80,vllm
e2e_median_ms,,624.25,832.48,vllm
e2e_p99_ms,,1017.82,1529.03,vllm
throughput_median_tps,,58.63,42.41,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,894.77,0.00,899.47,1,1.11,1
vllm,few_shot,1,894.11,0.00,899.85,1,1.11,1
vllm,few_shot,2,962.44,0.00,989.79,1,1.01,1
vllm,few_shot,3,967.86,0.00,987.55,1,1.01,1
vllm,few_shot,4,979.03,0.00,993.89,1,1.01,1
vllm,few_shot,5,977.13,0.00,1009.98,1,0.99,1
vllm,few_shot,6,979.71,0.00,1012.33,1,0.99,1
vllm,few_shot,7,976.86,0.00,994.28,1,1.01,1
vllm,few_shot,8,969.08,0.00,997.73,1,1.00,1
vllm,few_shot,9,967.46,0.00,996.22,1,1.00,1
vllm,few_shot,10,977.69,0.00,1001.27,1,1.00,1
vllm,few_shot,11,981.85,0.00,1013.19,1,0.99,1
vllm,few_shot,12,977.87,0.00,1015.80,1,0.98,1
vllm,few_shot,13,962.95,0.00,996.97,1,1.00,1
vllm,few_shot,14,973.75,0.00,1016.00,1,0.98,1
vllm,few_shot,15,963.31,0.00,997.57,1,1.00,1
vllm,few_shot,16,968.58,0.00,1000.16,1,1.00,1
vllm,few_shot,17,968.45,0.00,1005.80,1,0.99,1
vllm,few_shot,18,985.75,42.94,1028.69,2,1.94,1
vllm,few_shot,19,995.69,32.35,1028.04,2,1.95,1
vllm,few_shot,20,971.52,0.00,1009.77,1,0.99,1
vllm,few_shot,21,970.67,0.00,1009.48,1,0.99,1
vllm,few_shot,22,960.39,52.99,1013.38,2,1.97,1
vllm,few_shot,23,967.19,50.43,1017.62,2,1.97,1
vllm,few_shot,24,968.57,0.00,1016.74,1,0.98,1
vllm,few_shot,25,974.76,0.00,1016.43,1,0.98,1
vllm,few_shot,26,964.16,0.00,1011.67,1,0.99,1
vllm,few_shot,27,978.35,45.13,1023.48,2,1.95,1
vllm,few_shot,28,957.94,54.59,1012.53,2,1.98,1
vllm,few_shot,29,960.68,0.00,1015.25,1,0.98,1
vllm,few_shot,30,972.54,49.98,1022.52,2,1.96,1
vllm,few_shot,31,960.85,59.18,1020.03,2,1.96,1
vllm,few_shot,32,977.08,51.55,1028.62,2,1.94,1
vllm,few_shot,33,974.82,0.00,1022.72,1,0.98,1
vllm,few_shot,34,959.54,63.06,1022.60,2,1.96,1
vllm,few_shot,35,986.89,52.83,1039.72,2,1.92,1
vllm,few_shot,36,957.59,67.26,1024.85,2,1.95,1
vllm,few_shot,37,978.69,64.32,1043.01,2,1.92,1
vllm,few_shot,38,954.26,71.24,1025.50,2,1.95,1
vllm,few_shot,39,978.91,67.17,1046.08,2,1.91,1
vllm,few_shot,40,973.15,55.47,1028.63,2,1.94,1
vllm,few_shot,41,972.11,0.00,1041.25,1,0.96,1
vllm,few_shot,42,969.34,0.00,1033.55,1,0.97,1
vllm,few_shot,43,949.67,78.84,1028.52,2,1.94,1
vllm,few_shot,44,130.12,0.00,154.26,1,6.48,1
vllm,few_shot,45,970.72,63.42,1034.15,2,1.93,1
vllm,few_shot,46,958.87,0.00,1036.88,1,0.96,1
vllm,few_shot,47,137.16,0.00,156.27,1,6.40,1
vllm,few_shot,48,996.83,0.00,1062.66,1,0.94,1
vllm,few_shot,49,977.55,67.35,1044.90,2,1.91,1
vllm,few_shot,50,969.07,68.00,1037.07,2,1.93,1
vllm,few_shot,51,963.19,86.04,1049.23,2,1.91,1
vllm,few_shot,52,987.52,78.67,1066.19,2,1.88,1
vllm,few_shot,53,990.64,69.54,1060.18,2,1.89,1
vllm,few_shot,54,981.35,71.99,1053.34,2,1.90,1
vllm,few_shot,55,963.40,0.00,1050.07,1,0.95,1
vllm,few_shot,56,962.78,85.81,1048.59,2,1.91,1
vllm,few_shot,57,985.57,0.00,1066.52,1,0.94,1
vllm,few_shot,58,975.07,94.55,1069.62,2,1.87,1
vllm,few_shot,59,976.56,0.00,1056.74,1,0.95,1
vllm,few_shot,60,967.81,84.21,1052.01,2,1.90,1
vllm,few_shot,61,957.10,96.81,1053.91,2,1.90,1
vllm,few_shot,62,975.80,87.57,1063.37,2,1.88,1
vllm,few_shot,63,963.52,96.92,1060.44,2,1.89,1
vllm,few_shot,64,969.60,92.40,1061.99,2,1.88,1
vllm,few_shot,65,959.91,101.85,1061.76,2,1.88,1
vllm,few_shot,66,74.39,0.00,429.64,1,2.33,1
vllm,few_shot,67,490.31,0.00,495.58,1,2.02,1
vllm,few_shot,68,539.75,0.00,539.96,1,1.85,1
vllm,few_shot,69,473.14,0.00,486.34,1,2.06,1
vllm,few_shot,70,507.41,0.00,524.03,1,1.91,1
vllm,few_shot,71,489.96,0.42,490.38,2,4.08,1
vllm,few_shot,72,501.66,0.00,514.96,1,1.94,1
vllm,few_shot,73,510.99,0.00,526.06,1,1.90,1
vllm,few_shot,74,540.10,5.38,545.48,2,3.67,1
vllm,few_shot,75,481.51,0.00,509.26,1,1.96,1
vllm,few_shot,76,459.93,0.00,481.84,1,2.08,1
vllm,few_shot,77,469.20,0.00,495.82,1,2.02,1
vllm,few_shot,78,532.38,5.26,537.64,2,3.72,1
vllm,few_shot,79,509.17,0.00,541.66,1,1.85,1
vllm,few_shot,80,501.44,0.00,534.23,1,1.87,1
vllm,few_shot,81,495.02,0.00,520.05,1,1.92,1
vllm,few_shot,82,483.63,0.00,508.39,1,1.97,1
