model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T04:07:13.902395

Build Times
provider,build_time_s
torchinferno,296.2
vllm,1089.9
sglang,167.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.36,157.08,141.91,sglang
ttft_p99_ms,1589.89,254.83,6928.57,vllm
tpot_median_ms,148.30,58.94,76.08,vllm
tpot_p99_ms,204.55,149.17,7318.96,vllm
e2e_median_ms,367.33,206.45,214.35,vllm
e2e_p99_ms,1730.85,310.95,14218.65,vllm
throughput_median_tps,3.88,7.26,5.55,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,242.10,192.82,201.59,vllm
ttft_p99_ms,1497.91,441.82,69823.72,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,312.30,216.63,338.16,vllm
e2e_p99_ms,1551.74,467.49,69933.91,vllm
throughput_median_tps,3.20,4.62,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,492.22,173.41,149.77,sglang
ttft_p99_ms,1641.62,345.85,776.59,vllm
tpot_median_ms,98.61,57.16,109.15,vllm
tpot_p99_ms,534.50,200.12,240.88,vllm
e2e_median_ms,603.35,228.47,251.71,vllm
e2e_p99_ms,1889.02,411.49,951.51,vllm
throughput_median_tps,2.20,6.25,5.42,vllm
total_output_tokens,1450,1448,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,889.67,143.85,112.88,sglang
ttft_last_turn_ms,434.30,160.23,165.38,vllm
ttft_growth_ratio,0.49,1.11,1.47,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.35,57.58,75.37,vllm
ttft_p99_ms,858.38,129.68,705.69,vllm
tpot_median_ms,129.01,27.12,60.14,vllm
tpot_p99_ms,149.95,46.49,160.75,vllm
e2e_median_ms,409.63,78.13,147.53,vllm
e2e_p99_ms,1002.77,156.62,726.52,vllm
throughput_median_tps,3.71,15.61,9.75,vllm
total_output_tokens,1470,1460,1471,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,517.92,66.96,65.75,sglang
ttft_p99_ms,2173.55,177.38,144.62,sglang
tpot_median_ms,14.96,14.98,21.61,torchinferno
tpot_p99_ms,35.75,19.68,26.03,vllm
e2e_median_ms,1218.91,616.40,807.72,vllm
e2e_p99_ms,3067.70,997.42,1544.53,vllm
throughput_median_tps,28.14,59.30,43.51,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,617.12,0.00,804.67,1,1.24,1
torchinferno,few_shot,1,1305.63,0.00,1385.34,1,0.72,1
torchinferno,few_shot,2,1300.43,0.00,1384.37,1,0.72,1
torchinferno,few_shot,3,1302.25,0.00,1391.33,1,0.72,1
torchinferno,few_shot,4,1302.34,0.00,1390.32,1,0.72,1
torchinferno,few_shot,5,1297.42,0.00,1381.47,1,0.72,1
torchinferno,few_shot,6,1303.15,0.00,1383.43,1,0.72,1
torchinferno,few_shot,7,1294.36,0.00,1387.38,1,0.72,1
torchinferno,few_shot,8,1313.78,0.00,1401.39,1,0.71,1
torchinferno,few_shot,9,1304.73,0.00,1398.10,1,0.72,1
torchinferno,few_shot,10,1302.04,0.00,1399.42,1,0.71,1
torchinferno,few_shot,11,1311.00,0.00,1404.81,1,0.71,1
torchinferno,few_shot,12,1303.01,0.00,1403.07,1,0.71,1
torchinferno,few_shot,13,1305.05,0.00,1396.06,1,0.72,1
torchinferno,few_shot,14,1301.41,0.00,1398.10,1,0.72,1
torchinferno,few_shot,15,1303.01,0.00,1410.59,1,0.71,1
torchinferno,few_shot,16,1299.74,0.00,1401.93,1,0.71,1
torchinferno,few_shot,17,1292.48,0.00,1400.36,1,0.71,1
torchinferno,few_shot,18,1306.73,0.00,1413.56,1,0.71,1
torchinferno,few_shot,19,1303.04,0.00,1416.79,1,0.71,1
torchinferno,few_shot,20,1316.09,0.00,1421.43,1,0.70,1
torchinferno,few_shot,21,1303.36,0.00,1421.87,1,0.70,1
torchinferno,few_shot,22,1306.19,0.00,1413.43,1,0.71,1
torchinferno,few_shot,23,1296.87,0.00,1414.13,1,0.71,1
torchinferno,few_shot,24,1299.25,0.00,1415.40,1,0.71,1
torchinferno,few_shot,25,1304.42,0.00,1416.02,1,0.71,1
torchinferno,few_shot,26,1297.72,0.00,1418.68,1,0.70,1
torchinferno,few_shot,27,1312.04,156.50,1468.55,2,1.36,1
torchinferno,few_shot,28,1315.30,157.63,1472.93,2,1.36,1
torchinferno,few_shot,29,1296.24,169.47,1465.70,2,1.36,1
torchinferno,few_shot,30,1303.69,172.68,1476.37,2,1.35,1
torchinferno,few_shot,31,1307.47,168.11,1475.58,2,1.36,1
torchinferno,few_shot,32,1296.93,173.66,1470.59,2,1.36,1
torchinferno,few_shot,33,1311.17,172.39,1483.56,2,1.35,1
torchinferno,few_shot,34,1301.04,188.55,1489.60,2,1.34,1
torchinferno,few_shot,35,1312.33,178.93,1491.26,2,1.34,1
torchinferno,few_shot,36,1307.13,187.20,1494.33,2,1.34,1
torchinferno,few_shot,37,1295.43,189.36,1484.79,2,1.35,1
torchinferno,few_shot,38,1307.33,189.65,1496.98,2,1.34,1
torchinferno,few_shot,39,1294.97,197.17,1492.14,2,1.34,1
torchinferno,few_shot,40,1315.00,190.15,1505.14,2,1.33,1
torchinferno,few_shot,41,1293.30,199.65,1492.95,2,1.34,1
torchinferno,few_shot,42,1303.36,189.82,1493.19,2,1.34,1
torchinferno,few_shot,43,1305.41,198.82,1504.23,2,1.33,1
torchinferno,few_shot,44,1310.46,195.74,1506.20,2,1.33,1
torchinferno,few_shot,45,1301.18,205.11,1506.29,2,1.33,1
