model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-03T15:02:09.977835+00:00

Build Times
provider,build_time_s
torchinferno,23.6
vllm,214.1
sglang,164.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,153.03,148.49,sglang
ttft_p99_ms,,546.91,637.79,vllm
tpot_median_ms,,54.99,78.14,vllm
tpot_p99_ms,,261.81,166.70,sglang
e2e_median_ms,,205.78,229.04,vllm
e2e_p99_ms,,747.35,678.28,sglang
throughput_median_tps,,7.03,5.39,vllm
total_output_tokens,,1461,1461,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,183.10,219.63,vllm
ttft_p99_ms,,410.36,69898.28,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,206.54,376.87,vllm
e2e_p99_ms,,429.24,69980.13,vllm
throughput_median_tps,,4.84,2.65,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,173.72,165.65,sglang
ttft_p99_ms,,337.94,681.99,vllm
tpot_median_ms,,54.35,109.50,vllm
tpot_p99_ms,,177.62,243.70,vllm
e2e_median_ms,,220.00,278.85,vllm
e2e_p99_ms,,426.61,744.06,vllm
throughput_median_tps,,6.25,4.94,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,
ttft_first_turn_ms,,149.45,105.67,sglang
ttft_last_turn_ms,,187.01,204.60,vllm
ttft_growth_ratio,,1.25,1.94,vllm
ttft_first_turn_median_ms,,120.21,99.71,sglang
ttft_first_turn_p99_ms,,358.51,183.64,sglang
ttft_last_turn_median_ms,,169.10,203.00,vllm
ttft_last_turn_p99_ms,,369.39,312.90,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,62.36,72.90,vllm
ttft_p99_ms,,2069.57,590.08,sglang
tpot_median_ms,,30.43,66.84,vllm
tpot_p99_ms,,1979.24,195.89,sglang
e2e_median_ms,,84.93,149.48,vllm
e2e_p99_ms,,3919.29,634.04,sglang
throughput_median_tps,,14.09,9.51,vllm
total_output_tokens,,1466,1467,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,80.34,72.98,sglang
ttft_p99_ms,,266.93,524.24,vllm
tpot_median_ms,,15.12,22.26,vllm
tpot_p99_ms,,26.16,36.78,vllm
e2e_median_ms,,638.65,873.97,vllm
e2e_p99_ms,,1003.89,1746.49,vllm
throughput_median_tps,,57.22,41.53,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,1,0,417.15,0.00,420.07,1,2.38,1,,,,,,,1,,,
vllm,few_shot,9,1,465.82,0.00,491.74,1,2.03,1,,,,,,,9,,,
vllm,few_shot,11,2,464.75,0.00,491.81,1,2.03,1,,,,,,,11,,,
vllm,few_shot,5,3,480.47,0.00,504.22,1,1.98,1,,,,,,,5,,,
vllm,few_shot,7,4,479.88,0.00,503.73,1,1.99,1,,,,,,,7,,,
vllm,few_shot,4,5,474.35,0.00,508.69,1,1.97,1,,,,,,,4,,,
vllm,few_shot,10,6,464.90,0.00,499.65,1,2.00,1,,,,,,,10,,,
vllm,few_shot,8,7,475.00,0.00,508.38,1,1.97,1,,,,,,,8,,,
vllm,few_shot,12,8,468.68,0.00,501.38,1,1.99,1,,,,,,,12,,,
vllm,few_shot,24,9,460.55,0.00,499.50,1,2.00,1,,,,,,,24,,,
vllm,few_shot,25,10,459.25,0.00,500.65,1,2.00,1,,,,,,,25,,,
vllm,few_shot,17,11,466.31,0.00,505.87,1,1.98,1,,,,,,,17,,,
vllm,few_shot,19,12,465.52,90.63,556.15,2,3.60,1,,,,,,,19,,,
vllm,few_shot,37,13,474.87,0.00,548.23,1,1.82,1,,,,,,,37,,,
vllm,few_shot,26,14,482.51,0.00,556.38,1,1.80,1,,,,,,,26,,,
vllm,few_shot,22,15,464.14,95.17,559.32,2,3.58,1,,,,,,,22,,,
vllm,few_shot,0,16,483.32,97.35,580.67,2,3.44,1,,,,,,,0,,,
vllm,few_shot,2,17,478.65,101.95,580.60,2,3.44,1,,,,,,,2,,,
vllm,few_shot,35,18,478.40,0.00,559.53,1,1.79,1,,,,,,,35,,,
vllm,few_shot,21,19,468.35,99.54,567.90,2,3.52,1,,,,,,,21,,,
vllm,few_shot,3,20,478.09,106.42,584.51,2,3.42,1,,,,,,,3,,,
vllm,few_shot,46,21,535.52,0.00,556.58,1,1.80,1,,,,,,,46,,,
vllm,few_shot,31,22,481.14,0.00,568.79,1,1.76,1,,,,,,,31,,,
vllm,few_shot,34,23,489.55,0.00,568.65,1,1.76,1,,,,,,,34,,,
vllm,few_shot,38,24,560.12,0.00,565.01,1,1.77,1,,,,,,,38,,,
vllm,few_shot,27,25,464.56,108.66,573.23,2,3.49,1,,,,,,,27,,,
vllm,few_shot,57,26,546.91,0.00,556.90,1,1.80,1,,,,,,,57,,,
vllm,few_shot,64,27,157.27,0.00,304.17,1,3.29,1,,,,,,,64,,,
vllm,few_shot,70,28,213.59,0.41,214.00,2,9.35,1,,,,,,,70,,,
vllm,few_shot,29,29,485.79,0.00,708.21,1,1.41,1,,,,,,,29,,,
vllm,few_shot,33,30,482.96,224.67,707.63,2,2.83,1,,,,,,,33,,,
vllm,few_shot,23,31,467.53,244.91,712.44,2,2.81,1,,,,,,,23,,,
vllm,few_shot,45,32,701.42,0.36,701.78,2,2.85,1,,,,,,,45,,,
vllm,few_shot,48,33,545.90,0.00,702.63,1,1.42,1,,,,,,,48,,,
vllm,few_shot,6,34,475.08,257.22,732.30,2,2.73,1,,,,,,,6,,,
vllm,few_shot,54,35,530.82,171.34,702.17,2,2.85,1,,,,,,,54,,,
