model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-21T03:03:02.841265+00:00

Build Times
provider,build_time_s
torchinferno,490.1
vllm,247.5
sglang,216.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,50.94,78.07,105.88,torchinferno
ttft_p99_ms,659.29,168.98,952.66,vllm
tpot_median_ms,47.67,40.00,64.87,vllm
tpot_p99_ms,366.61,97.99,999.89,vllm
e2e_median_ms,88.83,105.96,160.67,torchinferno
e2e_p99_ms,975.72,215.70,1080.87,vllm
throughput_median_tps,14.21,12.25,8.22,torchinferno
total_output_tokens,1470,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,32.11,69.75,158.83,torchinferno
ttft_p99_ms,155.27,306.12,71124.00,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,48.10,87.03,248.72,torchinferno
e2e_p99_ms,161.05,306.89,71174.75,torchinferno
throughput_median_tps,20.79,11.49,4.02,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,42.46,86.72,89.99,torchinferno
ttft_p99_ms,927.17,200.46,800.82,vllm
tpot_median_ms,38.20,34.03,80.76,vllm
tpot_p99_ms,47.84,127.10,717.44,torchinferno
e2e_median_ms,76.25,116.15,156.14,torchinferno
e2e_p99_ms,946.80,234.56,910.13,vllm
throughput_median_tps,17.35,11.35,8.59,torchinferno
total_output_tokens,1467,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,371.17,92.06,73.36,sglang
ttft_last_turn_ms,39.46,96.54,89.05,torchinferno
ttft_growth_ratio,0.11,1.05,1.21,torchinferno
ttft_first_turn_median_ms,205.97,76.68,74.44,sglang
ttft_first_turn_p99_ms,1006.75,198.22,119.84,sglang
ttft_last_turn_median_ms,40.69,81.62,88.70,torchinferno
ttft_last_turn_p99_ms,49.44,198.81,120.43,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,24.57,35.26,68.24,torchinferno
ttft_p99_ms,181.19,131.97,149.35,vllm
tpot_median_ms,16.34,23.38,470.14,torchinferno
tpot_p99_ms,21.02,35.75,1403.96,torchinferno
e2e_median_ms,36.51,53.79,533.03,torchinferno
e2e_p99_ms,198.54,197.71,1530.08,vllm
throughput_median_tps,38.29,24.50,2.71,torchinferno
total_output_tokens,1458,1480,1462,vllm
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,45.90,45.94,58.11,torchinferno
ttft_p99_ms,305.92,62.57,117.38,vllm
tpot_median_ms,14.05,15.35,27.48,torchinferno
tpot_p99_ms,35.36,17.35,123.37,vllm
e2e_median_ms,532.85,575.91,1050.25,torchinferno
e2e_p99_ms,1163.07,1035.11,1951.82,vllm
throughput_median_tps,65.35,61.26,34.97,torchinferno
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,766.62,0.00,799.18,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,781.76,360.35,1142.11,2,1.75,1,,,,,,,0,,,
torchinferno,few_shot,38,2,173.89,0.00,501.35,1,1.99,1,,,,,,,38,,,
torchinferno,few_shot,28,3,341.22,0.00,669.46,1,1.49,1,,,,,,,28,,,
torchinferno,few_shot,5,4,729.14,0.00,1059.06,1,0.94,1,,,,,,,5,,,
torchinferno,few_shot,43,5,87.55,0.00,418.05,1,2.39,1,,,,,,,43,,,
torchinferno,few_shot,31,6,291.83,0.00,620.79,1,1.61,1,,,,,,,31,,,
torchinferno,few_shot,10,7,645.33,0.00,975.72,1,1.02,1,,,,,,,10,,,
torchinferno,few_shot,39,8,156.33,0.00,487.75,1,2.05,1,,,,,,,39,,,
torchinferno,few_shot,17,9,525.55,0.00,857.02,1,1.17,1,,,,,,,17,,,
torchinferno,few_shot,4,10,743.66,0.00,1079.47,1,0.93,1,,,,,,,4,,,
torchinferno,few_shot,24,11,407.12,0.00,740.63,1,1.35,1,,,,,,,24,,,
torchinferno,few_shot,11,12,626.31,0.00,961.08,1,1.04,1,,,,,,,11,,,
torchinferno,few_shot,34,13,237.72,0.00,574.49,1,1.74,1,,,,,,,34,,,
torchinferno,few_shot,9,14,659.29,0.00,996.21,1,1.00,1,,,,,,,9,,,
torchinferno,few_shot,37,15,189.07,0.00,525.05,1,1.90,1,,,,,,,37,,,
torchinferno,few_shot,25,16,391.05,0.00,726.23,1,1.38,1,,,,,,,25,,,
torchinferno,few_shot,12,17,608.67,0.00,946.69,1,1.06,1,,,,,,,12,,,
torchinferno,few_shot,41,18,121.32,0.00,459.73,1,2.18,1,,,,,,,41,,,
torchinferno,few_shot,8,19,676.92,0.00,1015.64,1,0.98,1,,,,,,,8,,,
torchinferno,few_shot,7,20,691.92,0.00,1032.78,1,0.97,1,,,,,,,7,,,
torchinferno,few_shot,42,21,104.35,0.00,444.27,1,2.25,1,,,,,,,42,,,
torchinferno,few_shot,29,22,325.27,0.00,663.37,1,1.51,1,,,,,,,29,,,
torchinferno,few_shot,26,23,372.75,0.00,720.53,1,1.39,1,,,,,,,26,,,
torchinferno,few_shot,15,24,558.26,358.40,916.66,2,2.18,1,,,,,,,15,,,
torchinferno,few_shot,30,25,307.02,356.77,663.79,2,3.01,1,,,,,,,30,,,
torchinferno,few_shot,18,26,510.07,354.09,864.16,2,2.31,1,,,,,,,18,,,
torchinferno,few_shot,14,27,577.43,357.74,935.17,2,2.14,1,,,,,,,14,,,
torchinferno,few_shot,2,28,781.20,358.44,1139.65,2,1.75,1,,,,,,,2,,,
torchinferno,few_shot,32,29,271.93,360.79,632.73,2,3.16,1,,,,,,,32,,,
torchinferno,few_shot,6,30,711.97,360.07,1072.04,2,1.87,1,,,,,,,6,,,
torchinferno,few_shot,27,31,357.11,360.50,717.61,2,2.79,1,,,,,,,27,,,
torchinferno,few_shot,16,32,544.78,359.73,904.51,2,2.21,1,,,,,,,16,,,
torchinferno,few_shot,21,33,457.89,361.89,819.79,2,2.44,1,,,,,,,21,,,
torchinferno,few_shot,3,34,763.43,363.28,1126.71,2,1.78,1,,,,,,,3,,,
torchinferno,few_shot,23,35,421.89,365.40,787.29,2,2.54,1,,,,,,,23,,,
torchinferno,few_shot,44,36,72.79,361.64,434.42,2,4.60,1,,,,,,,44,,,
torchinferno,few_shot,19,37,488.53,366.53,855.07,2,2.34,1,,,,,,,19,,,
torchinferno,few_shot,13,38,593.42,364.80,958.22,2,2.09,1,,,,,,,13,,,
torchinferno,few_shot,36,39,208.45,363.31,571.75,2,3.50,1,,,,,,,36,,,
