model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-12T23:02:18.240167+00:00

Build Times
provider,build_time_s
torchinferno,34.0
vllm,283.8
sglang,153.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.03,78.24,76.67,sglang
ttft_p99_ms,717.41,150.68,560.94,vllm
tpot_median_ms,30.82,41.99,64.97,torchinferno
tpot_p99_ms,39.78,90.29,854.32,torchinferno
e2e_median_ms,166.78,110.19,131.45,vllm
e2e_p99_ms,733.53,195.50,834.34,vllm
throughput_median_tps,6.86,11.75,10.33,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,62.13,69.86,121.04,torchinferno
ttft_p99_ms,410.84,433.00,70212.04,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,81.60,87.37,195.55,torchinferno
e2e_p99_ms,442.44,446.70,70265.60,torchinferno
throughput_median_tps,12.26,11.45,5.11,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,195.29,72.34,83.67,vllm
ttft_p99_ms,1746.62,141.02,578.35,vllm
tpot_median_ms,34.43,37.60,72.70,torchinferno
tpot_p99_ms,277.97,82.01,925.56,vllm
e2e_median_ms,223.76,99.49,142.14,vllm
e2e_p99_ms,1784.05,194.06,971.79,vllm
throughput_median_tps,4.99,13.83,9.27,vllm
total_output_tokens,1468,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,799.88,75.94,66.74,sglang
ttft_last_turn_ms,215.87,72.34,90.01,vllm
ttft_growth_ratio,0.27,0.95,1.35,torchinferno
ttft_first_turn_median_ms,795.30,72.55,62.70,sglang
ttft_first_turn_p99_ms,1870.93,143.60,105.10,sglang
ttft_last_turn_median_ms,193.51,69.11,93.12,vllm
ttft_last_turn_p99_ms,491.73,113.25,117.19,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.93,35.51,52.03,vllm
ttft_p99_ms,910.24,96.54,121.95,vllm
tpot_median_ms,34.90,23.80,466.87,vllm
tpot_p99_ms,90.46,34.09,1100.28,vllm
e2e_median_ms,74.84,54.74,458.65,vllm
e2e_p99_ms,962.78,125.81,1133.85,vllm
throughput_median_tps,19.15,24.42,3.01,vllm
total_output_tokens,1473,1470,1461,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.92,46.82,53.40,vllm
ttft_p99_ms,574.13,62.90,447.32,vllm
tpot_median_ms,18.95,15.36,23.76,vllm
tpot_p99_ms,23.68,17.29,102.47,vllm
e2e_median_ms,864.60,575.55,882.00,vllm
e2e_p99_ms,1521.18,1048.10,1722.62,vllm
throughput_median_tps,41.76,61.15,40.40,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,775.83,0.00,787.81,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,793.28,23.86,817.14,2,2.45,1,,,,,,,0,,,
torchinferno,few_shot,4,2,802.72,0.00,814.31,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,11,3,680.01,0.00,695.19,1,1.44,1,,,,,,,11,,,
torchinferno,few_shot,10,4,697.00,0.00,712.96,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,17,5,578.27,0.00,594.69,1,1.68,1,,,,,,,17,,,
torchinferno,few_shot,28,6,391.65,0.00,408.27,1,2.45,1,,,,,,,28,,,
torchinferno,few_shot,29,7,376.78,0.00,391.93,1,2.55,1,,,,,,,29,,,
torchinferno,few_shot,26,8,425.67,0.00,443.45,1,2.26,1,,,,,,,26,,,
torchinferno,few_shot,9,9,717.41,0.00,733.53,1,1.36,1,,,,,,,9,,,
torchinferno,few_shot,12,10,663.00,0.00,682.92,1,1.46,1,,,,,,,12,,,
torchinferno,few_shot,7,11,748.17,0.00,768.90,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,25,12,444.64,0.00,463.31,1,2.16,1,,,,,,,25,,,
torchinferno,few_shot,8,13,732.22,0.00,752.82,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,5,14,784.51,0.00,805.10,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,31,15,340.48,0.00,363.72,1,2.75,1,,,,,,,31,,,
torchinferno,few_shot,24,16,461.92,0.00,485.72,1,2.06,1,,,,,,,24,,,
torchinferno,few_shot,19,17,545.37,27.94,573.31,2,3.49,1,,,,,,,19,,,
torchinferno,few_shot,15,18,615.16,26.50,641.66,2,3.12,1,,,,,,,15,,,
torchinferno,few_shot,27,19,411.99,26.36,438.35,2,4.56,1,,,,,,,27,,,
torchinferno,few_shot,14,20,631.07,28.48,659.55,2,3.03,1,,,,,,,14,,,
torchinferno,few_shot,32,21,325.50,28.31,353.81,2,5.65,1,,,,,,,32,,,
torchinferno,few_shot,13,22,646.83,30.77,677.60,2,2.95,1,,,,,,,13,,,
torchinferno,few_shot,21,23,513.92,28.35,542.27,2,3.69,1,,,,,,,21,,,
torchinferno,few_shot,30,24,360.95,28.90,389.86,2,5.13,1,,,,,,,30,,,
torchinferno,few_shot,20,25,527.48,32.84,560.32,2,3.57,1,,,,,,,20,,,
torchinferno,few_shot,18,26,563.07,31.61,594.68,2,3.36,1,,,,,,,18,,,
torchinferno,few_shot,33,27,308.59,31.28,339.87,2,5.88,1,,,,,,,33,,,
torchinferno,few_shot,23,28,477.89,33.22,511.11,2,3.91,1,,,,,,,23,,,
torchinferno,few_shot,2,29,837.92,32.24,870.16,2,2.30,1,,,,,,,2,,,
torchinferno,few_shot,6,30,768.10,33.70,801.80,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,3,31,818.76,35.20,853.95,2,2.34,1,,,,,,,3,,,
torchinferno,few_shot,22,32,493.72,36.72,530.44,2,3.77,1,,,,,,,22,,,
torchinferno,few_shot,16,33,598.47,35.01,633.48,2,3.16,1,,,,,,,16,,,
torchinferno,few_shot,35,34,356.95,0.00,369.70,1,2.70,1,,,,,,,35,,,
torchinferno,few_shot,68,35,70.65,0.00,83.24,1,12.01,1,,,,,,,68,,,
torchinferno,few_shot,38,36,304.66,0.00,320.54,1,3.12,1,,,,,,,38,,,
torchinferno,few_shot,47,37,153.67,0.00,167.97,1,5.95,1,,,,,,,47,,,
torchinferno,few_shot,41,38,257.60,0.00,270.54,1,3.70,1,,,,,,,41,,,
