model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-10T00:42:13.669227

Build Times
provider,build_time_s
vllm,1201.9
sglang,174.7
torchinferno,48.5

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,24.90,31.23,35.87,vllm
ttft_p99_ms,856.32,11840.09,318.08,torchinferno
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,35.87,39.87,47.83,vllm
e2e_p99_ms,1211.39,12148.08,331.11,torchinferno
throughput_median_tps,27.88,25.08,20.91,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,166.43,505.62,281.95,vllm
ttft_p99_ms,184.05,522.83,295.83,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,183.87,519.38,363.40,vllm
e2e_p99_ms,194.44,530.04,379.56,vllm
throughput_median_tps,5.44,1.93,2.75,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,24.57,29.57,34.74,vllm
ttft_p99_ms,24.93,31.20,35.48,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,35.50,38.66,47.79,vllm
e2e_p99_ms,35.74,41.60,151.33,vllm
throughput_median_tps,28.17,25.87,20.93,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,22.07,29.86,32.81,vllm
ttft_last_turn_ms,24.45,28.96,35.11,vllm
ttft_growth_ratio,1.11,0.97,1.07,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,37.06,46.43,45.54,vllm
ttft_p99_ms,54.14,383.82,1093.67,vllm
tpot_median_ms,25.93,18.01,36.55,sglang
tpot_p99_ms,26.33,18.44,36.86,sglang
e2e_median_ms,50.49,56.35,81.29,vllm
e2e_p99_ms,65.48,402.25,1103.89,vllm
throughput_median_tps,20.31,17.78,12.80,vllm
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.10,30.16,320.77,vllm
ttft_p99_ms,25.74,33.96,330.63,vllm
tpot_median_ms,11.28,9.37,10.05,sglang
tpot_p99_ms,12.32,12.58,11.26,torchinferno
e2e_median_ms,442.27,377.82,695.60,sglang
e2e_p99_ms,760.32,641.73,971.82,sglang
throughput_median_tps,85.87,100.49,54.48,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,856.32,0.00,1211.39,1,0.83,1
vllm,few_shot,1,26.19,0.00,37.19,1,26.89,1
vllm,few_shot,2,25.34,0.00,36.30,1,27.55,1
vllm,few_shot,3,24.94,0.00,35.95,1,27.82,1
vllm,few_shot,4,24.81,0.00,35.72,1,28.00,1
vllm,few_shot,5,24.86,0.00,35.80,1,27.94,1
vllm,few_shot,6,24.68,0.00,35.54,1,28.13,1
vllm,few_shot,7,24.60,0.00,35.57,1,28.11,1
vllm,self_consistency,0,32.70,0.00,44.99,1,22.23,1
vllm,self_consistency,1,41.01,0.00,154.81,1,6.46,1
vllm,self_consistency,2,151.70,0.00,183.40,1,5.45,1
vllm,self_consistency,3,156.70,0.00,187.84,1,5.32,1
vllm,self_consistency,4,163.11,0.00,173.20,1,5.77,1
vllm,self_consistency,5,165.81,0.00,175.96,1,5.68,1
vllm,self_consistency,6,180.31,0.00,189.91,1,5.27,1
vllm,self_consistency,7,184.05,0.00,194.13,1,5.15,1
vllm,self_consistency,8,174.46,0.00,186.73,1,5.36,1
vllm,self_consistency,9,170.31,0.00,185.79,1,5.38,1
vllm,self_consistency,10,165.69,0.00,180.55,1,5.54,1
vllm,self_consistency,11,181.24,0.00,194.44,1,5.14,1
vllm,self_consistency,12,176.97,0.00,190.65,1,5.25,1
vllm,self_consistency,13,172.89,0.00,184.33,1,5.42,1
vllm,self_consistency,14,165.01,0.00,179.69,1,5.57,1
vllm,self_consistency,15,167.04,0.00,182.56,1,5.48,1
vllm,multi_turn,0,22.07,0.00,32.68,1,30.60,1
vllm,multi_turn,1,24.93,0.00,35.74,1,27.98,1
vllm,multi_turn,2,24.75,0.00,35.58,1,28.11,1
vllm,multi_turn,3,24.93,0.00,35.61,1,28.08,1
vllm,multi_turn,4,24.50,0.00,35.33,1,28.30,1
vllm,multi_turn,5,24.62,0.00,35.51,1,28.16,1
vllm,multi_turn,6,24.52,0.00,35.49,1,28.17,1
vllm,multi_turn,7,24.45,0.00,35.33,1,28.30,1
vllm,tree_of_thought,0,26.93,0.00,41.22,1,24.26,1
vllm,tree_of_thought,1,38.56,0.00,52.64,1,19.00,1
vllm,tree_of_thought,2,42.24,0.00,56.76,1,17.62,1
vllm,tree_of_thought,3,54.14,0.00,65.48,1,15.27,1
vllm,tree_of_thought,4,26.32,0.00,40.10,1,24.94,1
vllm,tree_of_thought,5,36.70,0.00,50.71,1,19.72,1
vllm,tree_of_thought,6,38.97,0.00,52.92,1,18.90,1
vllm,tree_of_thought,7,49.57,0.00,60.13,1,16.63,1
vllm,tree_of_thought,8,28.92,0.00,43.39,1,23.05,1
vllm,tree_of_thought,9,28.25,0.00,42.46,1,23.55,1
vllm,tree_of_thought,10,44.36,0.00,56.65,1,17.65,1
vllm,tree_of_thought,11,50.82,0.00,62.23,1,16.07,1
vllm,tree_of_thought,12,29.98,0.00,43.84,1,22.81,1
vllm,tree_of_thought,13,28.47,25.53,54.00,2,37.04,1
vllm,tree_of_thought,14,41.27,0.00,53.39,1,18.73,1
vllm,tree_of_thought,15,52.17,0.00,63.30,1,15.80,1
vllm,tree_of_thought,16,22.77,0.00,33.70,1,29.67,1
vllm,tree_of_thought,17,24.54,0.00,38.80,1,25.78,1
vllm,tree_of_thought,18,40.45,0.00,50.49,1,19.81,1
