model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-30T03:03:43.716049+00:00

Build Times
provider,build_time_s
torchinferno,776.5
vllm,582.9
sglang,365.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,163.39,146.28,149.76,vllm
ttft_p99_ms,2171.12,261.35,632.81,vllm
tpot_median_ms,46.03,52.76,68.34,torchinferno
tpot_p99_ms,814.07,143.32,152.73,vllm
e2e_median_ms,203.06,196.00,219.61,vllm
e2e_p99_ms,2220.97,332.92,671.57,vllm
throughput_median_tps,5.79,7.44,5.46,vllm
total_output_tokens,1466,1458,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,255.01,192.13,219.44,vllm
ttft_p99_ms,521.62,485.33,73517.21,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,276.23,218.27,358.19,vllm
e2e_p99_ms,550.82,511.44,73574.80,vllm
throughput_median_tps,3.62,4.58,2.79,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.63,168.10,173.58,vllm
ttft_p99_ms,582.39,330.60,616.14,vllm
tpot_median_ms,57.37,52.43,98.09,vllm
tpot_p99_ms,359.04,186.19,210.39,vllm
e2e_median_ms,352.12,213.65,267.78,vllm
e2e_p99_ms,623.83,417.39,718.10,vllm
throughput_median_tps,4.03,6.39,4.90,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,371.43,136.73,139.98,vllm
ttft_last_turn_ms,383.55,167.85,197.68,vllm
ttft_growth_ratio,1.03,1.23,1.41,torchinferno
ttft_first_turn_median_ms,354.21,133.43,135.72,vllm
ttft_first_turn_p99_ms,606.00,288.54,256.67,sglang
ttft_last_turn_median_ms,383.42,162.10,191.15,vllm
ttft_last_turn_p99_ms,436.77,360.70,302.49,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,219.40,63.94,88.07,vllm
ttft_p99_ms,600.36,2058.85,548.36,sglang
tpot_median_ms,57.01,31.72,46.39,vllm
tpot_p99_ms,101.30,1759.24,129.20,torchinferno
e2e_median_ms,259.64,86.89,139.57,vllm
e2e_p99_ms,650.61,2089.96,550.12,sglang
throughput_median_tps,5.66,13.81,9.41,vllm
total_output_tokens,1477,1466,1474,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,308.31,80.72,72.52,sglang
ttft_p99_ms,902.21,184.19,158.89,sglang
tpot_median_ms,22.90,15.01,22.57,vllm
tpot_p99_ms,55.58,22.39,27.09,vllm
e2e_median_ms,1115.25,618.62,841.40,vllm
e2e_p99_ms,1977.21,1033.91,1592.89,vllm
throughput_median_tps,32.32,58.00,41.07,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,12,0,1277.99,0.00,1728.36,1,0.58,1,,,,,,,12,,,
torchinferno,few_shot,7,1,1275.54,0.00,1731.08,1,0.58,1,,,,,,,7,,,
torchinferno,few_shot,17,2,1279.09,0.00,1730.58,1,0.58,1,,,,,,,17,,,
torchinferno,few_shot,5,3,1283.35,0.00,1736.30,1,0.58,1,,,,,,,5,,,
torchinferno,few_shot,8,4,1279.67,0.00,1736.14,1,0.58,1,,,,,,,8,,,
torchinferno,few_shot,10,5,1276.28,0.00,1737.28,1,0.58,1,,,,,,,10,,,
torchinferno,few_shot,4,6,1280.59,0.00,1742.87,1,0.57,1,,,,,,,4,,,
torchinferno,few_shot,25,7,1279.10,0.00,1737.46,1,0.58,1,,,,,,,25,,,
torchinferno,few_shot,26,8,1276.92,0.00,1738.82,1,0.58,1,,,,,,,26,,,
torchinferno,few_shot,1,9,1283.21,0.00,1747.60,1,0.57,1,,,,,,,1,,,
torchinferno,few_shot,11,10,1281.65,0.00,1745.08,1,0.57,1,,,,,,,11,,,
torchinferno,few_shot,9,11,1280.83,0.00,1747.50,1,0.57,1,,,,,,,9,,,
torchinferno,few_shot,24,12,1279.76,0.00,1745.65,1,0.57,1,,,,,,,24,,,
torchinferno,few_shot,18,13,1275.90,798.43,2074.32,2,0.96,1,,,,,,,18,,,
torchinferno,few_shot,20,14,1279.57,795.95,2075.52,2,0.96,1,,,,,,,20,,,
torchinferno,few_shot,14,15,1273.88,805.80,2079.68,2,0.96,1,,,,,,,14,,,
torchinferno,few_shot,6,16,1280.93,803.01,2083.94,2,0.96,1,,,,,,,6,,,
torchinferno,few_shot,2,17,1282.61,805.55,2088.16,2,0.96,1,,,,,,,2,,,
torchinferno,few_shot,13,18,1279.05,806.06,2085.11,2,0.96,1,,,,,,,13,,,
torchinferno,few_shot,19,19,1273.35,811.29,2084.63,2,0.96,1,,,,,,,19,,,
torchinferno,few_shot,23,20,1276.74,808.60,2085.34,2,0.96,1,,,,,,,23,,,
torchinferno,few_shot,21,21,1273.22,813.55,2086.78,2,0.96,1,,,,,,,21,,,
torchinferno,few_shot,22,22,1272.48,815.19,2087.67,2,0.96,1,,,,,,,22,,,
torchinferno,few_shot,15,23,1274.30,816.47,2090.77,2,0.96,1,,,,,,,15,,,
torchinferno,few_shot,0,24,1282.77,815.43,2098.20,2,0.95,1,,,,,,,0,,,
torchinferno,few_shot,16,25,1279.90,814.07,2093.97,2,0.96,1,,,,,,,16,,,
torchinferno,few_shot,3,26,1280.28,819.79,2100.07,2,0.95,1,,,,,,,3,,,
torchinferno,few_shot,38,27,2171.43,0.00,2178.24,1,0.46,1,,,,,,,38,,,
torchinferno,few_shot,34,28,2169.61,0.00,2180.81,1,0.46,1,,,,,,,34,,,
torchinferno,few_shot,37,29,2163.08,0.00,2182.27,1,0.46,1,,,,,,,37,,,
torchinferno,few_shot,43,30,2163.31,0.00,2184.11,1,0.46,1,,,,,,,43,,,
torchinferno,few_shot,41,31,2168.35,0.00,2185.30,1,0.46,1,,,,,,,41,,,
torchinferno,few_shot,58,32,2164.70,0.00,2184.86,1,0.46,1,,,,,,,58,,,
torchinferno,few_shot,31,33,2163.40,0.00,2190.12,1,0.46,1,,,,,,,31,,,
torchinferno,few_shot,28,34,2171.37,0.00,2192.15,1,0.46,1,,,,,,,28,,,
torchinferno,few_shot,47,35,2165.69,0.00,2190.89,1,0.46,1,,,,,,,47,,,
torchinferno,few_shot,55,36,2162.49,0.00,2191.16,1,0.46,1,,,,,,,55,,,
