model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-14T19:02:43.743238

Build Times
provider,build_time_s
torchinferno,377.5
vllm,451.4
sglang,216.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,305.66,159.27,144.19,sglang
ttft_p99_ms,2377.28,268.93,602.76,vllm
tpot_median_ms,50.09,57.99,81.42,torchinferno
tpot_p99_ms,281.92,149.66,544.10,vllm
e2e_median_ms,355.58,211.87,221.97,vllm
e2e_p99_ms,2390.51,321.18,872.19,vllm
throughput_median_tps,3.75,7.10,5.48,vllm
total_output_tokens,1461,1447,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.03,188.95,203.81,vllm
ttft_p99_ms,668.55,439.37,70823.67,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,464.39,214.61,341.69,vllm
e2e_p99_ms,789.57,451.33,70960.19,vllm
throughput_median_tps,2.15,4.66,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,615.62,179.96,160.50,sglang
ttft_p99_ms,1699.54,351.63,270.70,sglang
tpot_median_ms,60.77,67.05,105.09,torchinferno
tpot_p99_ms,149.27,199.73,753.29,torchinferno
e2e_median_ms,670.21,242.39,267.59,vllm
e2e_p99_ms,1728.77,431.61,846.19,vllm
throughput_median_tps,1.91,5.94,4.92,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,588.54,145.05,112.50,sglang
ttft_last_turn_ms,1036.61,173.20,168.93,sglang
ttft_growth_ratio,1.76,1.19,1.50,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,205.95,61.24,81.10,vllm
ttft_p99_ms,527.62,2081.42,607.51,torchinferno
tpot_median_ms,30.99,28.32,48.50,vllm
tpot_p99_ms,251.86,1729.13,174.88,sglang
e2e_median_ms,239.43,82.75,147.75,vllm
e2e_p99_ms,664.39,2116.86,641.62,sglang
throughput_median_tps,5.65,14.41,9.52,vllm
total_output_tokens,1462,1450,1469,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,388.52,69.13,70.51,vllm
ttft_p99_ms,3159.36,119.21,130.46,vllm
tpot_median_ms,20.78,14.86,22.56,vllm
tpot_p99_ms,45.13,20.75,27.83,vllm
e2e_median_ms,1199.37,595.35,839.02,vllm
e2e_p99_ms,3886.17,995.90,1619.55,vllm
throughput_median_tps,30.73,59.72,41.59,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1429.90,0.00,1437.98,1,0.70,1
torchinferno,few_shot,1,1430.37,0.00,1441.88,1,0.69,1
torchinferno,few_shot,2,1429.65,0.00,1441.18,1,0.69,1
torchinferno,few_shot,3,1431.98,280.27,1712.25,2,1.17,1
torchinferno,few_shot,4,1430.40,281.92,1712.32,2,1.17,1
torchinferno,few_shot,5,1427.79,284.01,1711.80,2,1.17,1
torchinferno,few_shot,6,2018.63,0.00,2143.47,1,0.47,1
torchinferno,few_shot,7,2021.80,0.00,2138.61,1,0.47,1
torchinferno,few_shot,8,2017.86,0.00,2142.54,1,0.47,1
torchinferno,few_shot,9,2027.54,0.00,2153.41,1,0.46,1
torchinferno,few_shot,10,2023.18,0.00,2150.50,1,0.47,1
torchinferno,few_shot,11,2015.13,0.00,2152.33,1,0.46,1
torchinferno,few_shot,12,2024.74,0.00,2153.64,1,0.46,1
torchinferno,few_shot,13,2023.41,0.00,2153.95,1,0.46,1
torchinferno,few_shot,14,2021.90,0.00,2161.57,1,0.46,1
torchinferno,few_shot,15,2022.22,137.64,2159.86,2,0.93,1
torchinferno,few_shot,16,2021.62,0.00,2157.51,1,0.46,1
torchinferno,few_shot,17,2020.12,0.00,2157.49,1,0.46,1
torchinferno,few_shot,18,2018.22,144.38,2162.60,2,0.92,1
torchinferno,few_shot,19,2030.50,135.95,2166.45,2,0.92,1
torchinferno,few_shot,20,2020.14,0.00,2167.39,1,0.46,1
torchinferno,few_shot,21,2027.02,0.00,2166.09,1,0.46,1
torchinferno,few_shot,22,2024.57,0.00,2172.68,1,0.46,1
torchinferno,few_shot,23,2018.79,0.00,2168.87,1,0.46,1
torchinferno,few_shot,24,2026.23,0.00,2173.53,1,0.46,1
torchinferno,few_shot,25,2021.70,154.74,2176.44,2,0.92,1
torchinferno,few_shot,26,2019.43,153.05,2172.48,2,0.92,1
torchinferno,few_shot,27,2018.84,161.70,2180.54,2,0.92,1
torchinferno,few_shot,28,2029.72,151.40,2181.12,2,0.92,1
torchinferno,few_shot,29,2018.71,0.00,2184.75,1,0.46,1
torchinferno,few_shot,30,2025.03,158.68,2183.71,2,0.92,1
torchinferno,few_shot,31,2019.03,160.38,2179.41,2,0.92,1
torchinferno,few_shot,32,2021.94,0.00,2181.32,1,0.46,1
torchinferno,few_shot,33,2021.88,0.00,2189.47,1,0.46,1
torchinferno,few_shot,34,2027.09,0.00,2186.34,1,0.46,1
torchinferno,few_shot,35,2020.33,0.00,2186.83,1,0.46,1
torchinferno,few_shot,36,2024.70,161.78,2186.48,2,0.91,1
torchinferno,few_shot,37,2020.70,169.28,2189.98,2,0.91,1
torchinferno,few_shot,38,2023.90,175.69,2199.59,2,0.91,1
torchinferno,few_shot,39,2029.29,170.52,2199.82,2,0.91,1
torchinferno,few_shot,40,2023.09,176.20,2199.29,2,0.91,1
torchinferno,few_shot,41,2017.35,0.00,2204.76,1,0.45,1
torchinferno,few_shot,42,2016.21,0.00,2205.16,1,0.45,1
torchinferno,few_shot,43,2024.47,181.61,2206.08,2,0.91,1
torchinferno,few_shot,44,2014.25,190.19,2204.44,2,0.91,1
torchinferno,few_shot,45,2020.52,194.17,2214.70,2,0.90,1
