model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-12T06:06:48.159015

Build Times
provider,build_time_s
torchinferno,390.0
vllm,994.7
sglang,159.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,494.22,161.35,139.38,sglang
ttft_p99_ms,2033.56,491.24,4541.71,vllm
tpot_median_ms,363.94,54.87,76.12,vllm
tpot_p99_ms,976.82,176.92,7302.28,vllm
e2e_median_ms,804.06,211.76,210.72,sglang
e2e_p99_ms,2526.33,625.91,11807.98,vllm
throughput_median_tps,1.71,6.76,5.83,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,400.28,184.34,213.92,vllm
ttft_p99_ms,829.72,408.55,863.33,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,491.44,205.21,357.66,vllm
e2e_p99_ms,1047.64,442.15,938.11,vllm
throughput_median_tps,2.03,4.87,2.80,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,682.06,178.09,160.53,sglang
ttft_p99_ms,1585.87,333.55,638.48,vllm
tpot_median_ms,573.08,60.98,103.64,vllm
tpot_p99_ms,1097.91,186.83,228.37,vllm
e2e_median_ms,1327.72,239.38,258.30,vllm
e2e_p99_ms,2330.31,419.32,716.58,vllm
throughput_median_tps,1.10,6.17,5.16,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,971.41,138.93,104.14,sglang
ttft_last_turn_ms,744.41,171.02,197.25,vllm
ttft_growth_ratio,0.77,1.23,1.89,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,555.45,58.02,76.69,vllm
ttft_p99_ms,1121.02,128.10,686.80,vllm
tpot_median_ms,419.28,27.78,55.54,vllm
tpot_p99_ms,611.54,45.56,152.60,vllm
e2e_median_ms,845.27,78.98,147.05,vllm
e2e_p99_ms,1575.68,155.86,737.67,vllm
throughput_median_tps,1.59,15.86,9.62,vllm
total_output_tokens,1469,1482,1458,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,715.74,72.06,68.61,sglang
ttft_p99_ms,3573.19,202.98,128.20,sglang
tpot_median_ms,28.76,14.83,21.93,vllm
tpot_p99_ms,62.24,23.93,26.61,vllm
e2e_median_ms,1986.76,621.96,823.85,vllm
e2e_p99_ms,4112.64,1010.20,1582.94,vllm
throughput_median_tps,16.35,58.15,42.81,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,601.36,115.98,717.35,2,2.79,1
torchinferno,few_shot,1,1191.71,0.00,1713.89,1,0.58,1
torchinferno,few_shot,2,1173.56,0.00,1705.36,1,0.59,1
torchinferno,few_shot,3,1185.79,0.00,1721.56,1,0.58,1
torchinferno,few_shot,4,1167.59,0.00,1703.50,1,0.59,1
torchinferno,few_shot,5,1173.88,0.00,1712.51,1,0.58,1
torchinferno,few_shot,6,1181.48,0.00,1717.17,1,0.58,1
torchinferno,few_shot,7,1172.44,0.00,1714.75,1,0.58,1
torchinferno,few_shot,8,1196.41,0.00,1729.22,1,0.58,1
torchinferno,few_shot,9,1190.73,0.00,1729.98,1,0.58,1
torchinferno,few_shot,10,1175.92,0.00,1716.17,1,0.58,1
torchinferno,few_shot,11,1174.73,0.00,1715.46,1,0.58,1
torchinferno,few_shot,12,1182.19,0.00,1732.67,1,0.58,1
torchinferno,few_shot,13,1176.02,0.00,1722.82,1,0.58,1
torchinferno,few_shot,14,1178.17,0.00,1722.35,1,0.58,1
torchinferno,few_shot,15,1183.13,0.00,1723.34,1,0.58,1
torchinferno,few_shot,16,1175.71,0.00,1720.63,1,0.58,1
torchinferno,few_shot,17,1194.62,0.00,1741.92,1,0.57,1
torchinferno,few_shot,18,1176.36,0.00,1723.47,1,0.58,1
torchinferno,few_shot,19,1181.43,0.00,1729.61,1,0.58,1
torchinferno,few_shot,20,1193.96,0.00,1745.13,1,0.57,1
torchinferno,few_shot,21,1178.36,0.00,1736.74,1,0.58,1
torchinferno,few_shot,22,1196.84,0.00,1749.28,1,0.57,1
torchinferno,few_shot,23,1177.39,0.00,1741.44,1,0.57,1
torchinferno,few_shot,24,1175.80,0.00,1742.93,1,0.57,1
torchinferno,few_shot,25,1189.19,0.00,1753.44,1,0.57,1
torchinferno,few_shot,26,1167.97,0.00,1738.02,1,0.58,1
torchinferno,few_shot,27,1184.88,726.70,1911.58,2,1.05,1
torchinferno,few_shot,28,1175.12,722.59,1897.71,2,1.05,1
torchinferno,few_shot,29,1174.09,733.70,1907.80,2,1.05,1
torchinferno,few_shot,30,1169.23,729.96,1899.20,2,1.05,1
torchinferno,few_shot,31,1180.14,724.61,1904.75,2,1.05,1
torchinferno,few_shot,32,1174.77,738.22,1912.99,2,1.05,1
torchinferno,few_shot,33,1183.86,730.91,1914.77,2,1.04,1
torchinferno,few_shot,34,1194.83,727.91,1922.74,2,1.04,1
torchinferno,few_shot,35,1189.79,733.48,1923.27,2,1.04,1
torchinferno,few_shot,36,1176.87,740.00,1916.87,2,1.04,1
torchinferno,few_shot,37,1175.38,739.72,1915.10,2,1.04,1
torchinferno,few_shot,38,1182.87,734.28,1917.15,2,1.04,1
torchinferno,few_shot,39,1183.09,736.18,1919.27,2,1.04,1
torchinferno,few_shot,40,1183.51,749.62,1933.13,2,1.03,1
torchinferno,few_shot,41,1182.00,741.56,1923.56,2,1.04,1
torchinferno,few_shot,42,1181.20,745.74,1926.94,2,1.04,1
torchinferno,few_shot,43,1171.24,752.89,1924.13,2,1.04,1
torchinferno,few_shot,44,1199.36,742.14,1941.50,2,1.03,1
torchinferno,few_shot,45,1168.05,756.70,1924.75,2,1.04,1
