model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-19T13:02:38.106921+00:00

Build Times
provider,build_time_s
torchinferno,44.8
vllm,341.8
sglang,182.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.69,70.72,98.07,vllm
ttft_p99_ms,725.34,131.22,524.13,vllm
tpot_median_ms,30.97,38.00,71.42,torchinferno
tpot_p99_ms,41.75,85.75,864.50,torchinferno
e2e_median_ms,167.22,97.84,161.48,vllm
e2e_p99_ms,748.35,176.40,948.98,vllm
throughput_median_tps,6.84,13.47,7.91,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,59.63,71.57,172.94,torchinferno
ttft_p99_ms,339.51,276.18,70065.05,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,78.02,89.31,239.64,torchinferno
e2e_p99_ms,358.68,283.88,70518.44,vllm
throughput_median_tps,12.82,11.20,4.17,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.54,81.06,91.29,vllm
ttft_p99_ms,1017.23,194.43,483.46,vllm
tpot_median_ms,34.31,34.35,77.31,torchinferno
tpot_p99_ms,43.18,117.66,927.96,torchinferno
e2e_median_ms,221.01,106.61,152.77,vllm
e2e_p99_ms,1046.88,235.94,962.37,vllm
throughput_median_tps,5.03,12.32,8.71,vllm
total_output_tokens,1447,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,434.50,79.28,70.83,sglang
ttft_last_turn_ms,175.29,86.06,99.05,vllm
ttft_growth_ratio,0.40,1.09,1.40,torchinferno
ttft_first_turn_median_ms,221.79,70.18,63.38,sglang
ttft_first_turn_p99_ms,1099.65,200.97,107.79,sglang
ttft_last_turn_median_ms,188.70,79.77,98.13,vllm
ttft_last_turn_p99_ms,207.52,194.43,131.50,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.83,36.28,68.98,vllm
ttft_p99_ms,787.73,104.90,381.36,vllm
tpot_median_ms,35.13,24.08,395.86,vllm
tpot_p99_ms,76.71,36.10,1077.42,vllm
e2e_median_ms,74.69,54.62,497.72,vllm
e2e_p99_ms,820.27,137.92,1129.69,vllm
throughput_median_tps,19.35,23.34,2.92,vllm
total_output_tokens,1462,1463,1450,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,189.21,46.93,57.74,vllm
ttft_p99_ms,440.86,65.00,104.88,vllm
tpot_median_ms,19.22,15.45,27.62,vllm
tpot_p99_ms,25.93,17.85,119.69,vllm
e2e_median_ms,885.06,581.52,1064.04,vllm
e2e_p99_ms,1622.41,1054.29,1937.04,vllm
throughput_median_tps,41.44,60.80,34.78,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,783.86,0.00,795.60,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,801.22,23.94,825.17,2,2.42,1,,,,,,,0,,,
torchinferno,few_shot,4,2,809.23,0.00,822.79,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,26,3,435.44,0.00,449.49,1,2.22,1,,,,,,,26,,,
torchinferno,few_shot,7,4,756.81,0.00,773.00,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,5,5,792.30,0.00,807.67,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,29,6,385.23,0.00,400.45,1,2.50,1,,,,,,,29,,,
torchinferno,few_shot,31,7,350.93,0.00,366.96,1,2.73,1,,,,,,,31,,,
torchinferno,few_shot,17,8,589.96,0.00,605.67,1,1.65,1,,,,,,,17,,,
torchinferno,few_shot,25,9,451.63,0.00,470.01,1,2.13,1,,,,,,,25,,,
torchinferno,few_shot,8,10,740.95,0.00,760.12,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,28,11,402.03,0.00,421.16,1,2.37,1,,,,,,,28,,,
torchinferno,few_shot,11,12,689.04,0.00,710.78,1,1.41,1,,,,,,,11,,,
torchinferno,few_shot,10,13,708.90,0.00,729.66,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,24,14,470.54,0.00,492.29,1,2.03,1,,,,,,,24,,,
torchinferno,few_shot,9,15,725.34,0.00,748.35,1,1.34,1,,,,,,,9,,,
torchinferno,few_shot,12,16,674.83,0.00,697.79,1,1.43,1,,,,,,,12,,,
torchinferno,few_shot,2,17,842.96,28.33,871.29,2,2.30,1,,,,,,,2,,,
torchinferno,few_shot,23,18,485.61,29.54,515.15,2,3.88,1,,,,,,,23,,,
torchinferno,few_shot,6,19,773.77,30.81,804.58,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,3,20,824.71,31.54,856.25,2,2.34,1,,,,,,,3,,,
torchinferno,few_shot,32,21,332.82,30.93,363.75,2,5.50,1,,,,,,,32,,,
torchinferno,few_shot,19,22,553.33,31.85,585.19,2,3.42,1,,,,,,,19,,,
torchinferno,few_shot,22,23,505.34,29.52,534.86,2,3.74,1,,,,,,,22,,,
torchinferno,few_shot,20,24,536.53,33.10,569.63,2,3.51,1,,,,,,,20,,,
torchinferno,few_shot,16,25,605.39,32.67,638.05,2,3.13,1,,,,,,,16,,,
torchinferno,few_shot,33,26,317.45,32.17,349.63,2,5.72,1,,,,,,,33,,,
torchinferno,few_shot,30,27,368.69,32.19,400.87,2,4.99,1,,,,,,,30,,,
torchinferno,few_shot,13,28,655.10,35.46,690.56,2,2.90,1,,,,,,,13,,,
torchinferno,few_shot,21,29,521.22,34.35,555.57,2,3.60,1,,,,,,,21,,,
torchinferno,few_shot,14,30,639.77,35.10,674.88,2,2.96,1,,,,,,,14,,,
torchinferno,few_shot,27,31,420.23,34.22,454.45,2,4.40,1,,,,,,,27,,,
torchinferno,few_shot,18,32,571.04,37.08,608.12,2,3.29,1,,,,,,,18,,,
torchinferno,few_shot,15,33,622.75,41.83,664.57,2,3.01,1,,,,,,,15,,,
torchinferno,few_shot,34,34,385.99,0.00,398.10,1,2.51,1,,,,,,,34,,,
torchinferno,few_shot,39,35,297.82,0.00,312.74,1,3.20,1,,,,,,,39,,,
torchinferno,few_shot,35,36,367.29,0.00,381.55,1,2.62,1,,,,,,,35,,,
torchinferno,few_shot,67,37,71.09,0.00,85.78,1,11.66,1,,,,,,,67,,,
torchinferno,few_shot,65,38,138.26,0.00,154.53,1,6.47,1,,,,,,,65,,,
torchinferno,few_shot,46,39,181.82,0.00,196.08,1,5.10,1,,,,,,,46,,,
torchinferno,few_shot,71,40,68.42,0.00,85.71,1,11.67,1,,,,,,,71,,,
torchinferno,few_shot,64,41,149.89,0.00,167.50,1,5.97,1,,,,,,,64,,,
torchinferno,few_shot,68,42,72.03,0.00,88.49,1,11.30,1,,,,,,,68,,,
torchinferno,few_shot,37,43,332.09,0.00,351.91,1,2.84,1,,,,,,,37,,,
torchinferno,few_shot,69,44,70.34,0.00,89.55,1,11.17,1,,,,,,,69,,,
torchinferno,few_shot,47,45,161.94,0.00,182.85,1,5.47,1,,,,,,,47,,,
torchinferno,few_shot,74,46,68.59,0.00,87.38,1,11.44,1,,,,,,,74,,,
torchinferno,few_shot,41,47,263.86,0.00,286.62,1,3.49,1,,,,,,,41,,,
torchinferno,few_shot,42,48,246.89,0.00,270.10,1,3.70,1,,,,,,,42,,,
torchinferno,few_shot,43,49,231.34,0.00,253.56,1,3.94,1,,,,,,,43,,,
torchinferno,few_shot,38,50,317.56,0.00,340.17,1,2.94,1,,,,,,,38,,,
torchinferno,few_shot,72,51,68.46,0.00,93.87,1,10.65,1,,,,,,,72,,,
torchinferno,few_shot,48,52,145.21,0.00,174.07,1,5.74,1,,,,,,,48,,,
torchinferno,few_shot,45,53,197.84,29.04,226.88,2,8.82,1,,,,,,,45,,,
torchinferno,few_shot,44,54,215.71,28.68,244.39,2,8.18,1,,,,,,,44,,,
torchinferno,few_shot,66,55,73.15,0.00,103.42,1,9.67,1,,,,,,,66,,,
torchinferno,few_shot,52,56,78.22,30.92,109.14,2,18.33,1,,,,,,,52,,,
torchinferno,few_shot,51,57,94.71,32.03,126.74,2,15.78,1,,,,,,,51,,,
torchinferno,few_shot,36,58,348.96,34.93,383.89,2,5.21,1,,,,,,,36,,,
torchinferno,few_shot,75,59,66.45,33.77,100.22,2,19.96,1,,,,,,,75,,,
torchinferno,few_shot,50,60,111.68,34.34,146.02,2,13.70,1,,,,,,,50,,,
torchinferno,few_shot,40,61,283.55,34.46,318.01,2,6.29,1,,,,,,,40,,,
torchinferno,few_shot,70,62,69.48,36.82,106.31,2,18.81,1,,,,,,,70,,,
torchinferno,few_shot,77,63,64.14,37.17,101.31,2,19.74,1,,,,,,,77,,,
torchinferno,few_shot,73,64,69.39,37.80,107.20,2,18.66,1,,,,,,,73,,,
torchinferno,few_shot,49,65,127.15,42.94,170.09,2,11.76,1,,,,,,,49,,,
torchinferno,few_shot,80,66,142.81,0.00,154.97,1,6.45,1,,,,,,,80,,,
torchinferno,few_shot,85,67,135.99,0.00,150.18,1,6.66,1,,,,,,,85,,,
torchinferno,few_shot,95,68,130.65,0.00,145.00,1,6.90,1,,,,,,,95,,,
torchinferno,few_shot,101,69,67.64,0.00,81.35,1,12.29,1,,,,,,,101,,,
torchinferno,few_shot,90,70,135.06,0.00,149.18,1,6.70,1,,,,,,,90,,,
torchinferno,few_shot,97,71,126.70,0.00,140.49,1,7.12,1,,,,,,,97,,,
torchinferno,few_shot,100,72,68.09,0.00,83.79,1,11.93,1,,,,,,,100,,,
torchinferno,few_shot,92,73,134.40,0.00,149.67,1,6.68,1,,,,,,,92,,,
torchinferno,few_shot,76,74,145.59,0.00,163.99,1,6.10,1,,,,,,,76,,,
torchinferno,few_shot,82,75,138.88,0.00,156.73,1,6.38,1,,,,,,,82,,,
torchinferno,few_shot,98,76,69.68,0.00,87.67,1,11.41,1,,,,,,,98,,,
torchinferno,few_shot,87,77,134.86,0.00,155.51,1,6.43,1,,,,,,,87,,,
torchinferno,few_shot,89,78,134.90,0.00,155.41,1,6.43,1,,,,,,,89,,,
torchinferno,few_shot,81,79,141.25,0.00,161.63,1,6.19,1,,,,,,,81,,,
torchinferno,few_shot,96,80,130.24,0.00,153.59,1,6.51,1,,,,,,,96,,,
torchinferno,few_shot,102,81,67.50,0.00,90.51,1,11.05,1,,,,,,,102,,,
torchinferno,few_shot,86,82,138.67,0.00,162.29,1,6.16,1,,,,,,,86,,,
torchinferno,few_shot,83,83,139.83,24.95,164.78,2,12.14,1,,,,,,,83,,,
torchinferno,few_shot,99,84,70.16,25.22,95.38,2,20.97,1,,,,,,,99,,,
torchinferno,few_shot,79,85,142.49,28.58,171.07,2,11.69,1,,,,,,,79,,,
torchinferno,few_shot,91,86,132.65,29.36,162.02,2,12.34,1,,,,,,,91,,,
torchinferno,few_shot,53,87,140.84,0.00,169.00,1,5.92,1,,,,,,,53,,,
torchinferno,few_shot,55,88,92.36,0.00,120.41,1,8.30,1,,,,,,,55,,,
torchinferno,few_shot,103,89,66.58,29.36,95.93,2,20.85,1,,,,,,,103,,,
torchinferno,few_shot,84,90,137.52,31.25,168.78,2,11.85,1,,,,,,,84,,,
torchinferno,few_shot,54,91,110.00,30.57,140.57,2,14.23,1,,,,,,,54,,,
torchinferno,few_shot,107,92,62.98,33.33,96.31,2,20.77,1,,,,,,,107,,,
torchinferno,few_shot,94,93,132.60,33.05,165.66,2,12.07,1,,,,,,,94,,,
torchinferno,few_shot,78,94,145.63,33.29,178.93,2,11.18,1,,,,,,,78,,,
torchinferno,few_shot,56,95,73.69,36.27,109.96,2,18.19,1,,,,,,,56,,,
torchinferno,few_shot,93,96,131.55,38.05,169.60,2,11.79,1,,,,,,,93,,,
torchinferno,few_shot,88,97,134.89,0.00,173.93,1,5.75,1,,,,,,,88,,,
torchinferno,few_shot,110,98,141.58,0.00,154.66,1,6.47,1,,,,,,,110,,,
torchinferno,few_shot,113,99,138.59,0.00,153.46,1,6.52,1,,,,,,,113,,,
torchinferno,few_shot,122,100,129.76,0.00,143.08,1,6.99,1,,,,,,,122,,,
torchinferno,few_shot,136,101,64.99,0.00,79.07,1,12.65,1,,,,,,,136,,,
torchinferno,few_shot,119,102,132.27,0.00,146.11,1,6.84,1,,,,,,,119,,,
torchinferno,few_shot,123,103,128.61,0.00,143.58,1,6.96,1,,,,,,,123,,,
torchinferno,few_shot,60,104,72.84,0.00,86.90,1,11.51,1,,,,,,,60,,,
torchinferno,few_shot,112,105,139.38,0.00,157.42,1,6.35,1,,,,,,,112,,,
torchinferno,few_shot,134,106,66.72,0.00,83.39,1,11.99,1,,,,,,,134,,,
torchinferno,few_shot,58,107,104.53,0.00,123.68,1,8.09,1,,,,,,,58,,,
torchinferno,few_shot,105,108,146.96,0.00,164.51,1,6.08,1,,,,,,,105,,,
torchinferno,few_shot,117,109,131.32,0.00,153.24,1,6.53,1,,,,,,,117,,,
torchinferno,few_shot,115,110,138.25,0.00,158.20,1,6.32,1,,,,,,,115,,,
torchinferno,few_shot,129,111,122.35,0.00,143.83,1,6.95,1,,,,,,,129,,,
torchinferno,few_shot,127,112,123.71,0.00,148.33,1,6.74,1,,,,,,,127,,,
torchinferno,few_shot,109,113,141.39,0.00,167.08,1,5.99,1,,,,,,,109,,,
torchinferno,few_shot,106,114,146.25,0.00,169.68,1,5.89,1,,,,,,,106,,,
torchinferno,few_shot,57,115,134.83,0.00,159.95,1,6.25,1,,,,,,,57,,,
torchinferno,few_shot,111,116,142.75,25.04,167.79,2,11.92,1,,,,,,,111,,,
torchinferno,few_shot,104,117,144.28,29.20,173.48,2,11.53,1,,,,,,,104,,,
torchinferno,few_shot,108,118,143.36,28.52,171.88,2,11.64,1,,,,,,,108,,,
torchinferno,few_shot,59,119,87.68,29.67,117.35,2,17.04,1,,,,,,,59,,,
torchinferno,few_shot,132,120,69.01,28.12,97.12,2,20.59,1,,,,,,,132,,,
torchinferno,few_shot,114,121,139.73,29.92,169.65,2,11.79,1,,,,,,,114,,,
torchinferno,few_shot,125,122,127.95,30.13,158.08,2,12.65,1,,,,,,,125,,,
torchinferno,few_shot,126,123,127.20,30.55,157.75,2,12.68,1,,,,,,,126,,,
torchinferno,few_shot,124,124,126.98,33.27,160.25,2,12.48,1,,,,,,,124,,,
torchinferno,few_shot,128,125,125.35,33.33,158.68,2,12.60,1,,,,,,,128,,,
torchinferno,few_shot,120,126,130.06,36.74,166.79,2,11.99,1,,,,,,,120,,,
torchinferno,few_shot,118,127,131.24,37.95,169.19,2,11.82,1,,,,,,,118,,,
torchinferno,few_shot,121,128,130.13,39.23,169.36,2,11.81,1,,,,,,,121,,,
torchinferno,few_shot,116,129,133.71,41.66,175.37,2,11.40,1,,,,,,,116,,,
torchinferno,few_shot,145,130,138.07,0.00,151.91,1,6.58,1,,,,,,,145,,,
torchinferno,few_shot,142,131,141.50,0.00,156.38,1,6.39,1,,,,,,,142,,,
torchinferno,few_shot,156,132,129.89,0.00,144.90,1,6.90,1,,,,,,,156,,,
torchinferno,few_shot,130,133,152.53,0.00,166.32,1,6.01,1,,,,,,,130,,,
torchinferno,few_shot,153,134,134.99,0.00,148.75,1,6.72,1,,,,,,,153,,,
torchinferno,few_shot,131,135,150.18,0.00,166.56,1,6.00,1,,,,,,,131,,,
torchinferno,few_shot,133,136,150.30,0.00,166.16,1,6.02,1,,,,,,,133,,,
torchinferno,few_shot,159,137,126.95,0.00,145.34,1,6.88,1,,,,,,,159,,,
torchinferno,few_shot,148,138,136.22,0.00,154.51,1,6.47,1,,,,,,,148,,,
torchinferno,few_shot,137,139,148.31,0.00,165.93,1,6.03,1,,,,,,,137,,,
torchinferno,few_shot,157,140,130.28,0.00,150.09,1,6.66,1,,,,,,,157,,,
torchinferno,few_shot,160,141,127.38,0.00,147.16,1,6.80,1,,,,,,,160,,,
torchinferno,few_shot,158,142,129.09,0.00,151.65,1,6.59,1,,,,,,,158,,,
torchinferno,few_shot,138,143,145.15,0.00,170.87,1,5.85,1,,,,,,,138,,,
torchinferno,few_shot,135,144,146.71,27.93,174.63,2,11.45,1,,,,,,,135,,,
torchinferno,few_shot,140,145,145.52,26.17,171.69,2,11.65,1,,,,,,,140,,,
torchinferno,few_shot,155,146,132.84,25.99,158.83,2,12.59,1,,,,,,,155,,,
torchinferno,few_shot,150,147,135.70,27.70,163.40,2,12.24,1,,,,,,,150,,,
torchinferno,few_shot,149,148,136.05,28.33,164.38,2,12.17,1,,,,,,,149,,,
torchinferno,few_shot,154,149,132.42,28.95,161.37,2,12.39,1,,,,,,,154,,,
torchinferno,few_shot,151,150,134.42,30.65,165.06,2,12.12,1,,,,,,,151,,,
torchinferno,few_shot,139,151,145.99,30.32,176.31,2,11.34,1,,,,,,,139,,,
torchinferno,few_shot,144,152,142.14,29.97,172.11,2,11.62,1,,,,,,,144,,,
torchinferno,few_shot,63,153,87.94,31.78,119.71,2,16.71,1,,,,,,,63,,,
torchinferno,few_shot,146,154,139.50,31.00,170.50,2,11.73,1,,,,,,,146,,,
torchinferno,few_shot,161,155,124.17,34.61,158.79,2,12.60,1,,,,,,,161,,,
torchinferno,few_shot,152,156,135.38,34.18,169.56,2,11.80,1,,,,,,,152,,,
torchinferno,few_shot,61,157,129.82,34.15,163.97,2,12.20,1,,,,,,,61,,,
torchinferno,few_shot,141,158,142.22,37.94,180.16,2,11.10,1,,,,,,,141,,,
torchinferno,few_shot,143,159,140.15,33.15,173.30,2,11.54,1,,,,,,,143,,,
torchinferno,few_shot,62,160,105.26,38.74,144.01,2,13.89,1,,,,,,,62,,,
torchinferno,few_shot,147,161,135.93,21.39,178.71,3,16.79,0,,,,,,,147,,,
torchinferno,few_shot,166,162,158.58,0.00,171.92,1,5.82,1,,,,,,,166,,,
torchinferno,few_shot,185,163,144.22,0.00,156.52,1,6.39,1,,,,,,,185,,,
torchinferno,few_shot,170,164,155.66,0.00,169.04,1,5.92,1,,,,,,,170,,,
torchinferno,few_shot,179,165,149.87,0.00,162.60,1,6.15,1,,,,,,,179,,,
torchinferno,few_shot,191,166,138.65,0.00,151.95,1,6.58,1,,,,,,,191,,,
torchinferno,few_shot,176,167,150.53,0.00,165.59,1,6.04,1,,,,,,,176,,,
torchinferno,few_shot,163,168,159.65,0.00,176.54,1,5.66,1,,,,,,,163,,,
torchinferno,few_shot,169,169,157.71,0.00,173.55,1,5.76,1,,,,,,,169,,,
torchinferno,few_shot,165,170,159.70,0.00,177.09,1,5.65,1,,,,,,,165,,,
