model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T07:03:29.569101

Build Times
provider,build_time_s
torchinferno,332.9
vllm,1283.7
sglang,200.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.84,153.44,137.29,sglang
ttft_p99_ms,1687.52,927.57,7913.55,vllm
tpot_median_ms,148.70,59.53,78.10,vllm
tpot_p99_ms,201.53,157.81,7316.63,vllm
e2e_median_ms,395.77,204.60,207.88,vllm
e2e_p99_ms,1876.36,973.20,15206.09,vllm
throughput_median_tps,3.72,7.16,5.80,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,270.12,202.64,201.19,sglang
ttft_p99_ms,1540.14,251.50,70680.30,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,294.38,261.65,337.59,vllm
e2e_p99_ms,1575.16,352.09,70777.77,vllm
throughput_median_tps,3.40,3.82,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,708.95,167.45,153.80,sglang
ttft_p99_ms,1853.41,346.88,722.54,vllm
tpot_median_ms,110.84,55.90,100.55,vllm
tpot_p99_ms,553.67,203.29,698.38,vllm
e2e_median_ms,790.19,215.85,252.61,vllm
e2e_p99_ms,2081.11,423.19,874.33,vllm
throughput_median_tps,1.61,6.36,5.30,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,967.40,137.71,109.79,sglang
ttft_last_turn_ms,595.79,163.71,186.99,vllm
ttft_growth_ratio,0.62,1.19,1.70,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,351.00,57.95,78.68,vllm
ttft_p99_ms,1286.84,130.23,659.73,vllm
tpot_median_ms,128.99,26.64,58.41,vllm
tpot_p99_ms,148.24,49.30,639.37,vllm
e2e_median_ms,456.63,77.86,142.32,vllm
e2e_p99_ms,1371.33,150.68,711.35,vllm
throughput_median_tps,2.84,15.87,9.76,vllm
total_output_tokens,1476,1478,1482,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,639.32,65.33,69.15,vllm
ttft_p99_ms,2690.40,106.21,139.01,vllm
tpot_median_ms,14.75,15.01,21.76,torchinferno
tpot_p99_ms,58.91,20.22,26.49,vllm
e2e_median_ms,1294.35,598.50,805.01,vllm
e2e_p99_ms,3188.99,1007.70,1520.24,vllm
throughput_median_tps,27.46,59.55,43.12,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,786.31,0.00,978.07,1,1.02,1
torchinferno,few_shot,1,1680.50,0.00,1766.16,1,0.57,1
torchinferno,few_shot,2,1676.47,0.00,1768.13,1,0.57,1
torchinferno,few_shot,3,1687.52,0.00,1768.03,1,0.57,1
torchinferno,few_shot,4,1668.73,0.00,1761.74,1,0.57,1
torchinferno,few_shot,5,1686.23,0.00,1778.12,1,0.56,1
torchinferno,few_shot,6,1668.68,0.00,1765.45,1,0.57,1
torchinferno,few_shot,7,719.65,0.00,805.29,1,1.24,1
torchinferno,few_shot,8,1679.34,0.00,1777.65,1,0.56,1
torchinferno,few_shot,9,1692.45,0.00,1785.74,1,0.56,1
torchinferno,few_shot,10,1677.51,0.00,1786.73,1,0.56,1
torchinferno,few_shot,11,1682.52,0.00,1779.15,1,0.56,1
torchinferno,few_shot,12,1669.77,0.00,1777.92,1,0.56,1
torchinferno,few_shot,13,1669.44,0.00,1782.36,1,0.56,1
torchinferno,few_shot,14,1664.55,0.00,1782.75,1,0.56,1
torchinferno,few_shot,15,1676.53,0.00,1797.48,1,0.56,1
torchinferno,few_shot,16,1676.11,0.00,1795.41,1,0.56,1
torchinferno,few_shot,17,1681.00,0.00,1800.75,1,0.56,1
torchinferno,few_shot,18,1676.56,0.00,1788.12,1,0.56,1
torchinferno,few_shot,19,1685.37,0.00,1799.84,1,0.56,1
torchinferno,few_shot,20,1676.84,0.00,1806.63,1,0.55,1
torchinferno,few_shot,21,1674.75,0.00,1805.09,1,0.55,1
torchinferno,few_shot,22,1674.29,0.00,1805.59,1,0.55,1
torchinferno,few_shot,23,1672.23,0.00,1795.94,1,0.56,1
torchinferno,few_shot,24,1685.05,0.00,1798.77,1,0.56,1
torchinferno,few_shot,25,1684.98,0.00,1807.64,1,0.55,1
torchinferno,few_shot,26,1680.72,0.00,1809.84,1,0.55,1
torchinferno,few_shot,27,1686.15,0.00,1814.37,1,0.55,1
torchinferno,few_shot,28,1691.44,0.00,1816.53,1,0.55,1
torchinferno,few_shot,29,1672.84,0.00,1816.39,1,0.55,1
torchinferno,few_shot,30,1682.14,0.00,1819.16,1,0.55,1
torchinferno,few_shot,31,1678.84,0.00,1829.42,1,0.55,1
torchinferno,few_shot,32,1693.62,0.00,1835.37,1,0.54,1
torchinferno,few_shot,33,1677.14,163.50,1840.64,2,1.09,1
torchinferno,few_shot,34,1665.43,162.08,1827.51,2,1.09,1
torchinferno,few_shot,35,1666.29,164.08,1830.36,2,1.09,1
torchinferno,few_shot,36,1696.90,150.49,1847.39,2,1.08,1
torchinferno,few_shot,37,1684.05,160.05,1844.10,2,1.08,1
torchinferno,few_shot,38,1680.49,166.16,1846.65,2,1.08,1
torchinferno,few_shot,39,1684.33,165.05,1849.38,2,1.08,1
torchinferno,few_shot,40,1685.83,160.49,1846.32,2,1.08,1
torchinferno,few_shot,41,1669.02,170.54,1839.56,2,1.09,1
torchinferno,few_shot,42,1679.91,163.27,1843.18,2,1.09,1
torchinferno,few_shot,43,1680.34,173.95,1854.29,2,1.08,1
torchinferno,few_shot,44,1674.88,169.47,1844.35,2,1.08,1
torchinferno,few_shot,45,1680.04,165.11,1845.15,2,1.08,1
torchinferno,few_shot,46,1675.12,181.70,1856.82,2,1.08,1
torchinferno,few_shot,47,1674.11,175.45,1849.56,2,1.08,1
torchinferno,few_shot,48,1685.46,176.05,1861.51,2,1.07,1
torchinferno,few_shot,49,1675.29,191.50,1866.79,2,1.07,1
torchinferno,few_shot,50,1687.85,180.71,1868.56,2,1.07,1
torchinferno,few_shot,51,1675.46,179.86,1855.31,2,1.08,1
torchinferno,few_shot,52,1684.08,175.85,1859.92,2,1.08,1
torchinferno,few_shot,53,1678.17,192.36,1870.52,2,1.07,1
torchinferno,few_shot,54,1678.83,199.21,1878.04,2,1.06,1
torchinferno,few_shot,55,1677.39,199.40,1876.80,2,1.07,1
torchinferno,few_shot,56,1678.44,198.10,1876.54,2,1.07,1
torchinferno,few_shot,57,1696.89,185.70,1882.58,2,1.06,1
torchinferno,few_shot,58,1691.64,190.22,1881.86,2,1.06,1
torchinferno,few_shot,59,1694.65,186.59,1881.24,2,1.06,1
torchinferno,few_shot,60,1683.72,201.53,1885.25,2,1.06,1
torchinferno,few_shot,61,1668.61,204.64,1873.25,2,1.07,1
torchinferno,few_shot,62,1670.19,206.18,1876.36,2,1.07,1
torchinferno,few_shot,63,1674.29,209.91,1884.21,2,1.06,1
torchinferno,few_shot,64,1692.15,206.06,1898.21,2,1.05,1
torchinferno,few_shot,65,158.23,0.00,220.92,1,4.53,1
torchinferno,few_shot,66,175.27,0.00,242.36,1,4.13,1
torchinferno,few_shot,67,150.75,0.00,216.77,1,4.61,1
torchinferno,few_shot,68,171.85,0.00,239.88,1,4.17,1
torchinferno,few_shot,69,150.14,0.00,218.06,1,4.59,1
torchinferno,few_shot,70,182.85,0.00,253.38,1,3.95,1
torchinferno,few_shot,71,191.88,0.00,265.30,1,3.77,1
torchinferno,few_shot,72,178.92,0.00,251.39,1,3.98,1
torchinferno,few_shot,73,150.15,0.00,225.08,1,4.44,1
torchinferno,few_shot,74,174.43,131.39,305.82,2,6.54,1
torchinferno,few_shot,75,163.43,133.84,297.28,2,6.73,1
torchinferno,few_shot,76,160.75,134.51,295.26,2,6.77,1
torchinferno,few_shot,77,466.41,0.00,531.50,1,1.88,1
torchinferno,few_shot,78,408.76,0.00,469.33,1,2.13,1
torchinferno,few_shot,79,448.76,0.00,520.00,1,1.92,1
torchinferno,few_shot,80,219.62,0.00,280.62,1,3.56,1
torchinferno,few_shot,81,402.17,0.00,468.46,1,2.13,1
torchinferno,few_shot,82,424.67,0.00,485.58,1,2.06,1
torchinferno,few_shot,83,468.78,0.00,546.01,1,1.83,1
torchinferno,few_shot,84,455.39,0.00,520.56,1,1.92,1
torchinferno,few_shot,85,406.18,0.00,471.59,1,2.12,1
torchinferno,few_shot,86,405.24,0.00,482.35,1,2.07,1
torchinferno,few_shot,87,225.90,0.00,298.22,1,3.35,1
torchinferno,few_shot,88,408.11,0.00,494.67,1,2.02,1
torchinferno,few_shot,89,397.33,0.00,484.66,1,2.06,1
torchinferno,few_shot,90,381.35,0.00,462.70,1,2.16,1
torchinferno,few_shot,91,427.29,0.00,515.54,1,1.94,1
torchinferno,few_shot,92,486.04,0.00,568.99,1,1.76,1
torchinferno,few_shot,93,383.59,0.00,476.14,1,2.10,1
torchinferno,few_shot,94,219.94,0.00,305.82,1,3.27,1
torchinferno,few_shot,95,218.26,0.00,314.48,1,3.18,1
torchinferno,few_shot,96,407.63,0.00,502.24,1,1.99,1
torchinferno,few_shot,97,228.77,0.00,313.38,1,3.19,1
torchinferno,few_shot,98,440.91,0.00,529.66,1,1.89,1
torchinferno,few_shot,99,381.36,0.00,478.71,1,2.09,1
torchinferno,few_shot,100,453.52,0.00,549.13,1,1.82,1
torchinferno,few_shot,101,380.16,0.00,475.04,1,2.11,1
torchinferno,few_shot,102,440.31,0.00,543.94,1,1.84,1
torchinferno,few_shot,103,364.89,0.00,470.07,1,2.13,1
torchinferno,few_shot,104,390.21,0.00,490.68,1,2.04,1
torchinferno,few_shot,105,363.47,0.00,462.06,1,2.16,1
torchinferno,few_shot,106,382.66,0.00,482.27,1,2.07,1
torchinferno,few_shot,107,368.82,0.00,480.04,1,2.08,1
torchinferno,few_shot,108,229.23,0.00,341.44,1,2.93,1
torchinferno,few_shot,109,398.57,0.00,505.77,1,1.98,1
torchinferno,few_shot,110,390.99,0.00,512.30,1,1.95,1
torchinferno,few_shot,111,446.83,0.00,556.59,1,1.80,1
torchinferno,few_shot,112,233.14,0.00,343.57,1,2.91,1
torchinferno,few_shot,113,353.12,133.11,486.24,2,4.11,1
torchinferno,few_shot,114,437.83,147.78,585.61,2,3.42,1
torchinferno,few_shot,115,389.20,144.14,533.34,2,3.75,1
torchinferno,few_shot,116,374.38,131.75,506.13,2,3.95,1
torchinferno,few_shot,117,384.92,140.14,525.06,2,3.81,1
torchinferno,few_shot,118,382.63,150.42,533.05,2,3.75,1
torchinferno,few_shot,119,399.02,148.62,547.65,2,3.65,1
torchinferno,few_shot,120,401.02,156.48,557.49,2,3.59,1
torchinferno,few_shot,121,435.30,144.66,579.96,2,3.45,1
torchinferno,few_shot,122,469.39,153.53,622.92,2,3.21,1
torchinferno,few_shot,123,213.94,159.31,373.25,2,5.36,1
torchinferno,few_shot,124,441.00,158.69,599.69,2,3.34,1
torchinferno,few_shot,125,433.24,156.91,590.15,2,3.39,1
torchinferno,few_shot,126,373.50,164.75,538.26,2,3.72,1
torchinferno,few_shot,127,357.57,164.04,521.61,2,3.83,1
torchinferno,few_shot,128,416.78,172.57,589.34,2,3.39,1
torchinferno,few_shot,129,401.31,159.10,560.41,2,3.57,1
torchinferno,few_shot,130,372.15,157.20,529.35,2,3.78,1
torchinferno,few_shot,131,397.02,171.53,568.55,2,3.52,1
torchinferno,few_shot,132,451.79,173.76,625.55,2,3.20,1
torchinferno,few_shot,133,454.40,177.44,631.84,2,3.17,1
torchinferno,few_shot,134,366.92,180.89,547.80,2,3.65,1
torchinferno,few_shot,135,373.98,172.31,546.29,2,3.66,1
torchinferno,few_shot,136,230.70,169.33,400.03,2,5.00,1
torchinferno,few_shot,137,379.12,171.32,550.44,2,3.63,1
torchinferno,few_shot,138,412.04,0.00,481.52,1,2.08,1
torchinferno,few_shot,139,157.95,0.00,222.72,1,4.49,1
torchinferno,few_shot,140,169.34,0.00,238.84,1,4.19,1
torchinferno,few_shot,141,167.42,0.00,244.34,1,4.09,1
torchinferno,few_shot,142,145.94,0.00,221.26,1,4.52,1
torchinferno,few_shot,143,190.41,0.00,263.56,1,3.79,1
torchinferno,few_shot,144,196.48,0.00,274.72,1,3.64,1
torchinferno,few_shot,145,194.99,0.00,271.43,1,3.68,1
torchinferno,few_shot,146,163.53,0.00,247.69,1,4.04,1
torchinferno,few_shot,147,171.98,0.00,259.41,1,3.85,1
torchinferno,few_shot,148,159.86,0.00,244.64,1,4.09,1
torchinferno,few_shot,149,170.82,0.00,256.67,1,3.90,1
torchinferno,few_shot,150,150.64,0.00,234.25,1,4.27,1
torchinferno,few_shot,151,166.92,0.00,258.00,1,3.88,1
torchinferno,few_shot,152,160.12,0.00,252.60,1,3.96,1
torchinferno,few_shot,153,154.32,0.00,250.77,1,3.99,1
torchinferno,few_shot,154,413.30,140.31,553.61,2,3.61,1
torchinferno,few_shot,155,140.55,139.62,280.18,2,7.14,1
torchinferno,few_shot,156,160.74,145.52,306.26,2,6.53,1
torchinferno,few_shot,157,144.55,140.33,284.88,2,7.02,1
torchinferno,few_shot,158,183.64,144.97,328.61,2,6.09,1
torchinferno,few_shot,159,413.52,148.12,561.65,2,3.56,1
torchinferno,few_shot,160,176.70,152.59,329.29,2,6.07,1
torchinferno,few_shot,161,191.16,149.04,340.20,2,5.88,1
torchinferno,few_shot,162,173.38,156.10,329.48,2,6.07,1
torchinferno,few_shot,163,177.34,148.23,325.57,2,6.14,1
torchinferno,few_shot,164,202.61,150.94,353.55,2,5.66,1
torchinferno,few_shot,165,191.12,158.87,349.99,2,5.71,1
torchinferno,few_shot,166,191.32,157.57,348.88,2,5.73,1
torchinferno,few_shot,167,181.28,154.84,336.12,2,5.95,1
torchinferno,few_shot,168,152.96,158.51,311.47,2,6.42,1
torchinferno,few_shot,169,144.41,155.35,299.76,2,6.67,1
torchinferno,few_shot,170,179.22,158.16,337.38,2,5.93,1
torchinferno,few_shot,171,162.77,160.91,323.68,2,6.18,1
torchinferno,few_shot,172,187.68,159.90,507.48,3,5.91,0
torchinferno,few_shot,173,548.45,0.00,612.28,1,1.63,1
torchinferno,few_shot,174,492.15,0.00,554.78,1,1.80,1
torchinferno,few_shot,175,254.32,0.00,304.65,1,3.28,1
torchinferno,few_shot,176,491.40,0.00,545.72,1,1.83,1
torchinferno,few_shot,177,489.37,0.00,553.59,1,1.81,1
torchinferno,few_shot,178,332.64,0.00,396.51,1,2.52,1
torchinferno,few_shot,179,518.08,0.00,592.47,1,1.69,1
torchinferno,few_shot,180,548.54,0.00,615.14,1,1.63,1
torchinferno,few_shot,181,315.18,0.00,389.87,1,2.56,1
torchinferno,few_shot,182,528.15,0.00,595.38,1,1.68,1
torchinferno,few_shot,183,498.79,0.00,568.95,1,1.76,1
torchinferno,few_shot,184,318.07,0.00,392.77,1,2.55,1
torchinferno,few_shot,185,254.54,0.00,329.57,1,3.03,1
torchinferno,few_shot,186,327.47,0.00,404.62,1,2.47,1
torchinferno,few_shot,187,499.63,0.00,589.19,1,1.70,1
torchinferno,few_shot,188,269.86,0.00,351.64,1,2.84,1
torchinferno,few_shot,189,331.97,0.00,409.85,1,2.44,1
torchinferno,few_shot,190,498.20,0.00,589.73,1,1.70,1
torchinferno,few_shot,191,336.28,0.00,418.92,1,2.39,1
torchinferno,few_shot,192,506.25,0.00,601.49,1,1.66,1
torchinferno,few_shot,193,495.68,0.00,587.83,1,1.70,1
torchinferno,few_shot,194,313.25,0.00,411.85,1,2.43,1
torchinferno,few_shot,195,326.85,0.00,424.21,1,2.36,1
torchinferno,few_shot,196,254.56,0.00,340.80,1,2.93,1
torchinferno,few_shot,197,251.71,0.00,353.97,1,2.83,1
torchinferno,few_shot,198,311.72,0.00,412.49,1,2.42,1
torchinferno,few_shot,199,534.21,0.00,625.13,1,1.60,1
torchinferno,few_shot,200,507.35,0.00,602.00,1,1.66,1
torchinferno,few_shot,201,259.48,0.00,356.87,1,2.80,1
torchinferno,few_shot,202,267.87,0.00,374.93,1,2.67,1
torchinferno,few_shot,203,319.82,0.00,428.17,1,2.34,1
torchinferno,few_shot,204,268.45,0.00,368.66,1,2.71,1
torchinferno,few_shot,205,490.38,0.00,596.86,1,1.68,1
torchinferno,few_shot,206,248.38,0.00,353.54,1,2.83,1
torchinferno,few_shot,207,507.33,0.00,624.89,1,1.60,1
torchinferno,few_shot,208,334.55,0.00,446.20,1,2.24,1
torchinferno,few_shot,209,248.43,0.00,363.03,1,2.75,1
torchinferno,few_shot,210,514.95,0.00,631.15,1,1.58,1
torchinferno,few_shot,211,266.52,0.00,383.08,1,2.61,1
torchinferno,few_shot,212,334.08,0.00,459.57,1,2.18,1
torchinferno,few_shot,213,265.22,0.00,379.57,1,2.63,1
torchinferno,few_shot,214,255.22,118.79,374.01,2,5.35,1
torchinferno,few_shot,215,494.90,121.54,616.44,2,3.24,1
torchinferno,few_shot,216,336.46,119.05,455.51,2,4.39,1
torchinferno,few_shot,217,570.40,120.90,691.30,2,2.89,1
torchinferno,few_shot,218,510.93,134.37,645.30,2,3.10,1
torchinferno,few_shot,219,258.66,134.86,393.52,2,5.08,1
torchinferno,few_shot,220,494.51,138.94,633.45,2,3.16,1
torchinferno,few_shot,221,336.89,143.36,480.25,2,4.16,1
torchinferno,few_shot,222,263.91,140.19,404.11,2,4.95,1
torchinferno,few_shot,223,507.53,143.86,651.39,2,3.07,1
