model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T03:03:25.555060+00:00

Build Times
provider,build_time_s
torchinferno,477.2
vllm,635.9
sglang,227.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,140.21,140.95,vllm
ttft_p99_ms,,1043.01,604.62,sglang
tpot_median_ms,,45.48,77.95,vllm
tpot_p99_ms,,144.33,558.30,vllm
e2e_median_ms,,180.95,213.46,vllm
e2e_p99_ms,,1095.32,891.71,sglang
throughput_median_tps,,7.69,5.69,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,178.69,209.43,vllm
ttft_p99_ms,,418.23,70069.88,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,202.18,350.37,vllm
e2e_p99_ms,,456.53,70179.77,vllm
throughput_median_tps,,4.95,2.85,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,163.89,174.55,vllm
ttft_p99_ms,,326.20,604.41,vllm
tpot_median_ms,,50.59,105.11,vllm
tpot_p99_ms,,191.61,236.31,vllm
e2e_median_ms,,209.81,274.98,vllm
e2e_p99_ms,,407.67,658.31,vllm
throughput_median_tps,,6.66,4.88,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,137.10,114.43,sglang
ttft_last_turn_ms,,170.25,204.17,vllm
ttft_growth_ratio,,1.24,1.78,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.09,84.52,vllm
ttft_p99_ms,,3802.67,173.97,sglang
tpot_median_ms,,28.80,49.66,vllm
tpot_p99_ms,,1834.29,587.00,sglang
e2e_median_ms,,81.16,140.73,vllm
e2e_p99_ms,,3842.47,688.65,sglang
throughput_median_tps,,15.14,9.19,vllm
total_output_tokens,,1461,1457,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,79.49,70.04,sglang
ttft_p99_ms,,235.21,253.57,vllm
tpot_median_ms,,14.80,22.19,vllm
tpot_p99_ms,,19.16,28.32,vllm
e2e_median_ms,,637.45,838.34,vllm
e2e_p99_ms,,1014.42,1576.63,vllm
throughput_median_tps,,57.85,42.20,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,889.05,0.00,889.20,1,1.12,1
vllm,few_shot,1,885.86,0.00,888.14,1,1.13,1
vllm,few_shot,2,891.38,0.00,896.28,1,1.12,1
vllm,few_shot,3,891.57,0.00,894.37,1,1.12,1
vllm,few_shot,4,894.83,0.00,898.16,1,1.11,1
vllm,few_shot,5,893.04,0.00,895.64,1,1.12,1
vllm,few_shot,6,896.80,0.00,897.84,1,1.11,1
vllm,few_shot,7,902.22,0.00,905.30,1,1.10,1
vllm,few_shot,8,902.21,0.00,903.42,1,1.11,1
vllm,few_shot,9,901.05,27.94,929.00,2,2.15,1
vllm,few_shot,10,925.83,0.00,944.35,1,1.06,1
vllm,few_shot,11,924.79,0.00,943.80,1,1.06,1
vllm,few_shot,12,924.60,0.00,946.75,1,1.06,1
vllm,few_shot,13,928.41,0.00,949.01,1,1.05,1
vllm,few_shot,14,922.94,39.57,962.51,2,2.08,1
vllm,few_shot,15,937.33,0.00,959.60,1,1.04,1
vllm,few_shot,16,926.18,38.09,964.27,2,2.07,1
vllm,few_shot,17,922.79,45.19,967.98,2,2.07,1
vllm,few_shot,18,937.66,0.00,966.10,1,1.04,1
vllm,few_shot,19,925.89,43.54,969.43,2,2.06,1
vllm,few_shot,20,939.52,38.97,978.50,2,2.04,1
vllm,few_shot,21,942.60,38.92,981.52,2,2.04,1
vllm,few_shot,22,957.34,0.00,981.36,1,1.02,1
vllm,few_shot,23,956.51,0.00,983.00,1,1.02,1
vllm,few_shot,24,942.70,45.50,988.21,2,2.02,1
vllm,few_shot,25,962.70,0.00,986.78,1,1.01,1
vllm,few_shot,26,962.44,0.00,988.07,1,1.01,1
vllm,few_shot,27,958.05,0.00,990.60,1,1.01,1
vllm,few_shot,28,957.80,0.00,991.93,1,1.01,1
vllm,few_shot,29,941.03,52.36,993.39,2,2.01,1
vllm,few_shot,30,948.33,47.78,996.12,2,2.01,1
vllm,few_shot,31,940.02,58.30,998.32,2,2.00,1
vllm,few_shot,32,952.22,95.63,1047.84,2,1.91,1
vllm,few_shot,33,974.69,0.00,1046.51,1,0.96,1
vllm,few_shot,34,973.00,0.00,1051.96,1,0.95,1
vllm,few_shot,35,973.43,0.00,1055.42,1,0.95,1
vllm,few_shot,36,972.13,0.00,1055.07,1,0.95,1
vllm,few_shot,37,982.99,0.00,1059.15,1,0.94,1
vllm,few_shot,38,1041.96,0.00,1058.06,1,0.95,1
vllm,few_shot,39,963.94,102.13,1066.06,2,1.88,1
vllm,few_shot,40,976.96,0.00,1062.02,1,0.94,1
vllm,few_shot,41,163.08,0.00,178.91,1,5.59,1
vllm,few_shot,42,1043.01,0.00,1062.99,1,0.94,1
vllm,few_shot,43,159.70,0.00,184.96,1,5.41,1
vllm,few_shot,44,978.14,89.45,1067.59,2,1.87,1
vllm,few_shot,45,163.97,0.00,185.35,1,5.40,1
vllm,few_shot,46,954.39,118.19,1072.59,2,1.86,1
vllm,few_shot,47,1048.14,0.00,1068.52,1,0.94,1
vllm,few_shot,48,961.94,113.44,1075.37,2,1.86,1
vllm,few_shot,49,984.51,87.60,1072.11,2,1.87,1
vllm,few_shot,50,1047.89,0.00,1073.02,1,0.93,1
vllm,few_shot,51,976.37,0.00,1075.31,1,0.93,1
vllm,few_shot,52,979.04,0.00,1078.29,1,0.93,1
vllm,few_shot,53,1042.74,0.00,1076.12,1,0.93,1
vllm,few_shot,54,177.88,0.00,186.10,1,5.37,1
vllm,few_shot,55,159.00,0.00,190.17,1,5.26,1
vllm,few_shot,56,200.68,0.00,200.89,1,4.98,1
vllm,few_shot,57,1048.91,36.16,1085.06,2,1.84,1
vllm,few_shot,58,121.18,0.00,149.54,1,6.69,1
vllm,few_shot,59,975.83,0.00,1089.85,1,0.92,1
vllm,few_shot,60,166.68,0.00,212.61,1,4.70,1
vllm,few_shot,61,154.14,48.76,202.90,2,9.86,1
vllm,few_shot,62,975.82,117.85,1093.67,2,1.83,1
vllm,few_shot,63,957.40,139.68,1097.08,2,1.82,1
vllm,few_shot,64,124.82,0.00,161.16,1,6.21,1
vllm,few_shot,65,1049.50,45.82,1095.32,2,1.83,1
vllm,few_shot,66,1042.05,56.20,1098.25,2,1.82,1
vllm,few_shot,67,1042.54,57.41,1099.95,2,1.82,1
vllm,few_shot,68,127.09,37.43,164.52,2,12.16,1
vllm,few_shot,69,94.44,0.00,115.38,1,8.67,1
vllm,few_shot,70,187.78,0.00,225.36,1,4.44,1
vllm,few_shot,71,138.13,50.71,188.84,2,10.59,1
vllm,few_shot,72,1059.18,45.48,1104.66,2,1.81,1
vllm,few_shot,73,107.91,0.00,129.36,1,7.73,1
vllm,few_shot,74,1069.92,36.25,1106.17,2,1.81,1
vllm,few_shot,75,1054.33,54.17,1108.51,2,1.80,1
vllm,few_shot,76,103.27,0.00,129.50,1,7.72,1
vllm,few_shot,77,121.03,0.00,152.20,1,6.57,1
vllm,few_shot,78,1044.68,66.96,1111.64,2,1.80,1
vllm,few_shot,79,135.67,25.89,161.56,2,12.38,1
vllm,few_shot,80,161.92,0.00,162.17,1,6.17,1
vllm,few_shot,81,131.42,0.00,136.35,1,7.33,1
vllm,few_shot,82,128.98,0.00,129.21,1,7.74,1
vllm,few_shot,83,991.23,131.19,1122.42,2,1.78,1
vllm,few_shot,84,134.07,53.49,187.56,2,10.66,1
vllm,few_shot,85,124.06,0.00,169.00,1,5.92,1
vllm,few_shot,86,130.26,0.00,150.25,1,6.66,1
vllm,few_shot,87,93.21,48.74,141.95,2,14.09,1
vllm,few_shot,88,141.05,0.00,149.51,1,6.69,1
vllm,few_shot,89,151.12,0.00,161.30,1,6.20,1
vllm,few_shot,90,1049.18,88.39,1137.57,2,1.76,1
vllm,few_shot,91,118.95,58.60,177.55,2,11.26,1
vllm,few_shot,92,134.11,19.97,154.08,2,12.98,1
vllm,few_shot,93,131.55,58.60,190.14,2,10.52,1
vllm,few_shot,94,110.51,63.54,174.04,2,11.49,1
vllm,few_shot,95,100.58,65.23,165.81,2,12.06,1
vllm,few_shot,96,82.68,20.83,103.51,2,19.32,1
vllm,few_shot,97,112.96,0.00,127.10,1,7.87,1
vllm,few_shot,98,123.02,0.00,139.09,1,7.19,1
vllm,few_shot,99,126.09,0.00,144.03,1,6.94,1
vllm,few_shot,100,132.78,0.00,149.88,1,6.67,1
vllm,few_shot,101,125.52,24.42,149.95,2,13.34,1
vllm,few_shot,102,93.34,0.00,106.10,1,9.43,1
vllm,few_shot,103,99.60,27.17,126.77,2,15.78,1
vllm,few_shot,104,129.22,35.73,164.95,2,12.12,1
vllm,few_shot,105,101.01,32.20,133.21,2,15.01,1
vllm,few_shot,106,174.68,0.00,192.11,1,5.21,1
vllm,few_shot,107,116.08,0.00,133.23,1,7.51,1
vllm,few_shot,108,148.74,0.00,164.78,1,6.07,1
vllm,few_shot,109,163.90,0.00,183.64,1,5.45,1
vllm,few_shot,110,156.56,0.00,178.50,1,5.60,1
vllm,few_shot,111,127.53,42.04,169.57,2,11.79,1
vllm,few_shot,112,160.23,0.00,189.01,1,5.29,1
vllm,few_shot,113,156.55,0.00,184.76,1,5.41,1
vllm,few_shot,114,157.85,43.13,200.97,2,9.95,1
vllm,few_shot,115,164.12,0.00,196.18,1,5.10,1
vllm,few_shot,116,153.13,0.00,187.06,1,5.35,1
vllm,few_shot,117,136.16,45.08,181.24,2,11.04,1
vllm,few_shot,118,178.18,0.00,208.21,1,4.80,1
vllm,few_shot,119,154.70,51.06,205.76,2,9.72,1
vllm,few_shot,120,139.71,0.00,196.02,1,5.10,1
vllm,few_shot,121,115.79,89.04,204.83,2,9.76,1
vllm,few_shot,122,171.47,0.00,230.14,1,4.35,1
vllm,few_shot,123,169.11,0.00,238.34,1,4.20,1
vllm,few_shot,124,171.82,85.63,257.45,2,7.77,1
vllm,few_shot,125,152.83,0.00,226.54,1,4.41,1
vllm,few_shot,126,127.90,0.00,194.63,1,5.14,1
vllm,few_shot,127,166.77,99.49,266.26,2,7.51,1
vllm,few_shot,128,174.07,0.00,246.63,1,4.05,1
vllm,few_shot,129,157.80,0.00,236.44,1,4.23,1
vllm,few_shot,130,157.54,0.00,237.17,1,4.22,1
