model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-08T11:01:48.476981

Build Times
provider,build_time_s
torchinferno,341.3
vllm,1278.3
sglang,198.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,515.40,159.96,154.35,sglang
ttft_p99_ms,3190.36,273.34,5780.54,vllm
tpot_median_ms,92.43,56.83,76.22,vllm
tpot_p99_ms,857.80,144.51,432.70,vllm
e2e_median_ms,599.72,211.97,229.48,vllm
e2e_p99_ms,4033.49,343.88,6184.94,vllm
throughput_median_tps,2.45,6.85,5.10,vllm
total_output_tokens,1461,1463,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,397.59,205.80,212.84,vllm
ttft_p99_ms,1587.74,485.25,71708.18,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,537.99,230.35,346.02,vllm
e2e_p99_ms,1924.23,507.11,71800.16,vllm
throughput_median_tps,1.86,4.34,2.89,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,654.69,176.42,170.17,sglang
ttft_p99_ms,2131.76,346.41,633.26,vllm
tpot_median_ms,65.90,63.30,104.29,vllm
tpot_p99_ms,224.92,195.89,226.23,vllm
e2e_median_ms,719.31,229.74,269.37,vllm
e2e_p99_ms,2194.06,438.44,754.17,vllm
throughput_median_tps,1.70,6.15,4.88,vllm
total_output_tokens,1454,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1045.27,149.15,387.98,vllm
ttft_last_turn_ms,793.81,186.23,170.77,sglang
ttft_growth_ratio,0.76,1.25,0.44,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,500.62,63.07,85.68,vllm
ttft_p99_ms,1343.12,2039.66,605.54,sglang
tpot_median_ms,60.84,28.36,45.98,vllm
tpot_p99_ms,353.95,1717.08,141.81,sglang
e2e_median_ms,528.61,84.81,148.22,vllm
e2e_p99_ms,1491.28,2072.43,642.05,sglang
throughput_median_tps,2.81,14.07,9.15,vllm
total_output_tokens,1454,1462,1451,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,498.56,79.79,77.02,sglang
ttft_p99_ms,2035.68,233.55,156.98,sglang
tpot_median_ms,22.88,14.73,23.47,vllm
tpot_p99_ms,49.92,24.84,29.07,vllm
e2e_median_ms,1299.01,641.07,874.05,vllm
e2e_p99_ms,3189.09,1017.89,1709.91,vllm
throughput_median_tps,26.92,58.10,39.86,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,2409.43,0.00,2418.22,1,0.41,1
torchinferno,few_shot,1,2412.08,0.00,2421.87,1,0.41,1
torchinferno,few_shot,2,2410.53,0.00,2421.13,1,0.41,1
torchinferno,few_shot,3,2409.49,0.00,2424.23,1,0.41,1
torchinferno,few_shot,4,2415.65,17.90,2433.55,2,0.82,1
torchinferno,few_shot,5,2410.55,19.13,2429.68,2,0.82,1
torchinferno,few_shot,6,2409.62,21.64,2431.26,2,0.82,1
torchinferno,few_shot,7,3182.99,0.00,3948.56,1,0.25,1
torchinferno,few_shot,8,3178.77,0.00,3953.00,1,0.25,1
torchinferno,few_shot,9,3181.05,0.00,3961.43,1,0.25,1
torchinferno,few_shot,10,3180.52,0.00,3955.40,1,0.25,1
torchinferno,few_shot,11,3176.87,0.00,3955.62,1,0.25,1
torchinferno,few_shot,12,3174.85,0.00,3961.61,1,0.25,1
torchinferno,few_shot,13,3182.93,0.00,3962.66,1,0.25,1
torchinferno,few_shot,14,3177.47,0.00,3959.64,1,0.25,1
torchinferno,few_shot,15,3180.63,0.00,3965.58,1,0.25,1
torchinferno,few_shot,16,3189.99,0.00,3974.86,1,0.25,1
torchinferno,few_shot,17,3173.82,0.00,3966.49,1,0.25,1
torchinferno,few_shot,18,3177.11,793.82,3970.93,2,0.50,1
torchinferno,few_shot,19,3182.60,798.13,3980.73,2,0.50,1
torchinferno,few_shot,20,3175.65,0.00,3972.78,1,0.25,1
torchinferno,few_shot,21,1541.63,0.00,1561.91,1,0.64,1
torchinferno,few_shot,22,3171.41,802.95,3974.36,2,0.50,1
torchinferno,few_shot,23,3945.08,0.00,3973.97,1,0.25,1
torchinferno,few_shot,24,3178.73,0.00,3981.93,1,0.25,1
torchinferno,few_shot,25,3181.28,803.23,3984.51,2,0.50,1
torchinferno,few_shot,26,3179.85,0.00,3978.29,1,0.25,1
torchinferno,few_shot,27,3181.41,0.00,3986.16,1,0.25,1
torchinferno,few_shot,28,3181.90,0.00,3984.34,1,0.25,1
torchinferno,few_shot,29,3174.73,811.77,3986.50,2,0.50,0
torchinferno,few_shot,30,3172.17,814.38,3986.55,2,0.50,1
torchinferno,few_shot,31,3173.88,0.00,3987.89,1,0.25,1
torchinferno,few_shot,32,1535.20,0.00,1573.32,1,0.64,1
torchinferno,few_shot,33,3175.68,0.00,3994.22,1,0.25,1
torchinferno,few_shot,34,3176.92,823.49,4000.41,2,0.50,1
torchinferno,few_shot,35,3996.23,0.45,3996.68,2,0.50,1
torchinferno,few_shot,36,3948.06,50.44,3998.50,2,0.50,1
torchinferno,few_shot,37,3174.91,832.53,4007.44,2,0.50,1
torchinferno,few_shot,38,3960.27,41.54,4001.81,2,0.50,1
torchinferno,few_shot,39,3182.51,836.01,4018.52,2,0.50,1
torchinferno,few_shot,40,3179.50,829.45,4008.95,2,0.50,1
torchinferno,few_shot,41,3181.49,834.26,4015.74,2,0.50,1
torchinferno,few_shot,42,3176.29,0.00,4019.21,1,0.25,1
torchinferno,few_shot,43,3970.08,0.00,4010.97,1,0.25,1
torchinferno,few_shot,44,3188.03,831.70,4019.74,2,0.50,1
torchinferno,few_shot,45,3177.35,837.00,4014.35,2,0.50,1
torchinferno,few_shot,46,4014.83,0.00,4015.07,1,0.25,1
torchinferno,few_shot,47,3186.58,836.63,4023.20,2,0.50,1
torchinferno,few_shot,48,3173.69,845.59,4019.28,2,0.50,1
torchinferno,few_shot,49,3184.96,0.00,4024.18,1,0.25,1
torchinferno,few_shot,50,3178.61,0.00,4025.77,1,0.25,1
torchinferno,few_shot,51,3189.20,0.00,4033.37,1,0.25,1
torchinferno,few_shot,52,3188.56,843.73,4032.29,2,0.50,1
torchinferno,few_shot,53,3174.43,857.80,4032.23,2,0.50,1
torchinferno,few_shot,54,1573.91,0.00,1616.72,1,0.62,1
torchinferno,few_shot,55,3176.42,860.79,4037.21,2,0.50,1
torchinferno,few_shot,56,3184.06,0.00,4031.76,1,0.25,1
torchinferno,few_shot,57,3184.01,849.47,4033.49,2,0.50,1
torchinferno,few_shot,58,3184.15,855.14,4039.29,2,0.50,1
torchinferno,few_shot,59,4005.10,28.32,4033.42,2,0.50,1
