model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-18T01:03:04.348627

Build Times
provider,build_time_s
torchinferno,423.9
vllm,551.4
sglang,296.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,133.39,137.61,vllm
ttft_p99_ms,,782.56,633.82,sglang
tpot_median_ms,,46.07,72.81,vllm
tpot_p99_ms,,121.90,393.20,vllm
e2e_median_ms,,174.62,205.00,vllm
e2e_p99_ms,,822.53,880.52,vllm
throughput_median_tps,,8.01,5.92,vllm
total_output_tokens,,1461,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,191.79,221.78,vllm
ttft_p99_ms,,476.12,70631.00,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,213.83,365.30,vllm
e2e_p99_ms,,509.63,70751.44,vllm
throughput_median_tps,,4.68,2.74,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,159.15,158.92,sglang
ttft_p99_ms,,327.54,272.79,sglang
tpot_median_ms,,53.82,97.22,vllm
tpot_p99_ms,,176.27,209.12,vllm
e2e_median_ms,,202.70,256.45,vllm
e2e_p99_ms,,424.65,413.77,sglang
throughput_median_tps,,6.80,5.31,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,131.85,110.59,sglang
ttft_last_turn_ms,,158.08,194.90,vllm
ttft_growth_ratio,,1.20,1.76,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,57.78,80.39,vllm
ttft_p99_ms,,2038.23,453.94,sglang
tpot_median_ms,,28.62,46.09,vllm
tpot_p99_ms,,1992.46,138.01,sglang
e2e_median_ms,,79.40,135.15,vllm
e2e_p99_ms,,2072.98,485.26,sglang
throughput_median_tps,,15.09,10.04,vllm
total_output_tokens,,1460,1469,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,64.82,67.87,vllm
ttft_p99_ms,,147.11,133.01,sglang
tpot_median_ms,,15.22,22.56,vllm
tpot_p99_ms,,24.52,27.13,vllm
e2e_median_ms,,618.49,850.10,vllm
e2e_p99_ms,,1018.99,1578.31,vllm
throughput_median_tps,,58.74,41.96,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,671.83,0.00,672.00,1,1.49,1
vllm,few_shot,1,678.37,0.00,678.49,1,1.47,1
vllm,few_shot,2,678.75,0.00,680.62,1,1.47,1
vllm,few_shot,3,683.98,0.00,684.14,1,1.46,1
vllm,few_shot,4,677.04,0.00,680.25,1,1.47,1
vllm,few_shot,5,677.87,0.00,681.66,1,1.47,1
vllm,few_shot,6,686.67,0.00,686.78,1,1.46,1
vllm,few_shot,7,688.93,0.00,689.07,1,1.45,1
vllm,few_shot,8,684.50,0.00,686.83,1,1.46,1
vllm,few_shot,9,694.68,0.00,694.80,1,1.44,1
vllm,few_shot,10,689.85,0.00,692.15,1,1.44,1
vllm,few_shot,11,682.50,0.00,694.80,1,1.44,1
vllm,few_shot,12,707.37,0.00,722.92,1,1.38,1
vllm,few_shot,13,712.86,0.00,728.06,1,1.37,1
vllm,few_shot,14,722.97,0.00,740.86,1,1.35,1
vllm,few_shot,15,709.66,34.63,744.29,2,2.69,1
vllm,few_shot,16,709.69,39.10,748.79,2,2.67,1
vllm,few_shot,17,708.91,40.03,748.93,2,2.67,1
vllm,few_shot,18,725.28,0.00,747.27,1,1.34,1
vllm,few_shot,19,719.98,0.00,748.15,1,1.34,1
vllm,few_shot,20,711.17,42.60,753.77,2,2.65,1
vllm,few_shot,21,709.75,44.77,754.53,2,2.65,1
vllm,few_shot,22,707.60,45.80,753.41,2,2.65,1
vllm,few_shot,23,724.46,41.26,765.72,2,2.61,1
vllm,few_shot,24,731.82,0.00,757.21,1,1.32,1
vllm,few_shot,25,722.14,45.30,767.44,2,2.61,1
vllm,few_shot,26,742.18,0.00,760.88,1,1.31,1
vllm,few_shot,27,730.10,0.00,762.05,1,1.31,1
vllm,few_shot,28,741.66,0.00,764.77,1,1.31,1
vllm,few_shot,29,721.29,52.52,773.80,2,2.58,1
vllm,few_shot,30,725.58,49.18,774.76,2,2.58,1
vllm,few_shot,31,744.39,0.00,770.09,1,1.30,1
vllm,few_shot,32,737.61,0.00,769.04,1,1.30,1
vllm,few_shot,33,732.37,52.94,785.31,2,2.55,1
vllm,few_shot,34,757.69,0.00,786.36,1,1.27,1
vllm,few_shot,35,753.70,0.00,784.95,1,1.27,1
vllm,few_shot,36,732.18,60.55,792.73,2,2.52,1
vllm,few_shot,37,729.32,61.22,790.55,2,2.53,1
vllm,few_shot,38,732.43,62.11,794.54,2,2.52,1
vllm,few_shot,39,753.33,0.00,793.45,1,1.26,1
vllm,few_shot,40,751.43,0.00,795.40,1,1.26,1
vllm,few_shot,41,759.61,0.00,796.30,1,1.26,1
vllm,few_shot,42,755.00,0.00,796.97,1,1.25,1
vllm,few_shot,43,752.84,0.00,802.20,1,1.25,1
vllm,few_shot,44,759.00,0.00,803.29,1,1.24,1
vllm,few_shot,45,137.24,0.00,142.32,1,7.03,1
