model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T19:03:05.219870+00:00

Build Times
provider,build_time_s
torchinferno,438.0
vllm,554.4
sglang,262.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,141.30,141.02,sglang
ttft_p99_ms,,1001.27,599.36,sglang
tpot_median_ms,,48.80,77.20,vllm
tpot_p99_ms,,142.92,542.85,vllm
e2e_median_ms,,188.66,211.77,vllm
e2e_p99_ms,,1047.55,875.30,sglang
throughput_median_tps,,7.39,5.75,vllm
total_output_tokens,,1460,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,189.81,207.41,vllm
ttft_p99_ms,,224.86,71327.81,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,254.81,345.21,vllm
e2e_p99_ms,,322.20,71479.66,vllm
throughput_median_tps,,3.92,2.90,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,163.94,163.51,sglang
ttft_p99_ms,,348.52,506.90,vllm
tpot_median_ms,,53.75,103.69,vllm
tpot_p99_ms,,190.66,221.98,vllm
e2e_median_ms,,208.34,269.06,vllm
e2e_p99_ms,,428.21,594.44,vllm
throughput_median_tps,,6.45,4.99,vllm
total_output_tokens,,1450,1448,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,134.96,321.50,vllm
ttft_last_turn_ms,,163.20,179.57,vllm
ttft_growth_ratio,,1.21,0.56,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.60,82.90,vllm
ttft_p99_ms,,2538.78,511.71,sglang
tpot_median_ms,,30.40,40.03,vllm
tpot_p99_ms,,1765.67,125.24,sglang
e2e_median_ms,,84.29,134.00,vllm
e2e_p99_ms,,2572.59,550.67,sglang
throughput_median_tps,,14.47,9.97,vllm
total_output_tokens,,1464,1452,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,78.31,72.78,sglang
ttft_p99_ms,,221.51,161.42,sglang
tpot_median_ms,,14.87,22.32,vllm
tpot_p99_ms,,26.65,26.43,sglang
e2e_median_ms,,619.68,846.84,vllm
e2e_p99_ms,,1032.77,1560.83,vllm
throughput_median_tps,,58.08,42.03,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,881.96,0.00,882.14,1,1.13,1
vllm,few_shot,1,883.47,0.00,885.54,1,1.13,1
vllm,few_shot,2,890.56,0.00,892.05,1,1.12,1
vllm,few_shot,3,890.29,0.00,892.32,1,1.12,1
vllm,few_shot,4,885.03,0.00,890.26,1,1.12,1
vllm,few_shot,5,888.40,0.00,891.00,1,1.12,1
vllm,few_shot,6,897.20,0.00,897.46,1,1.11,1
vllm,few_shot,7,898.14,0.00,906.91,1,1.10,1
vllm,few_shot,8,923.45,0.00,945.43,1,1.06,1
vllm,few_shot,9,923.51,0.00,947.83,1,1.06,1
vllm,few_shot,10,940.99,0.00,960.75,1,1.04,1
vllm,few_shot,11,925.86,44.36,970.22,2,2.06,1
vllm,few_shot,12,935.75,0.00,962.25,1,1.04,1
vllm,few_shot,13,917.22,48.80,966.02,2,2.07,1
vllm,few_shot,14,936.99,0.00,968.15,1,1.03,1
vllm,few_shot,15,940.09,0.00,968.70,1,1.03,1
vllm,few_shot,16,944.69,0.00,972.12,1,1.03,1
vllm,few_shot,17,920.49,53.91,974.40,2,2.05,1
vllm,few_shot,18,919.75,55.13,974.88,2,2.05,1
vllm,few_shot,19,926.47,54.68,981.15,2,2.04,1
vllm,few_shot,20,925.65,58.81,984.46,2,2.03,1
vllm,few_shot,21,921.72,59.20,980.93,2,2.04,1
vllm,few_shot,22,964.85,0.00,990.34,1,1.01,1
vllm,few_shot,23,966.14,0.00,992.60,1,1.01,1
vllm,few_shot,24,962.32,0.00,996.22,1,1.00,1
vllm,few_shot,25,946.25,53.18,999.43,2,2.00,1
vllm,few_shot,26,936.43,63.79,1000.22,2,2.00,1
vllm,few_shot,27,942.09,64.25,1006.34,2,1.99,1
vllm,few_shot,28,957.01,0.00,1002.58,1,1.00,1
vllm,few_shot,29,975.33,0.00,1004.77,1,1.00,1
vllm,few_shot,30,971.27,0.00,1005.32,1,0.99,1
vllm,few_shot,31,938.08,70.51,1008.59,2,1.98,1
vllm,few_shot,32,940.61,69.54,1010.16,2,1.98,1
vllm,few_shot,33,958.29,0.00,1009.57,1,0.99,1
vllm,few_shot,34,942.12,71.09,1013.21,2,1.97,1
vllm,few_shot,35,956.47,59.02,1015.49,2,1.97,1
vllm,few_shot,36,988.85,0.00,1015.34,1,0.98,1
vllm,few_shot,37,985.30,0.00,1015.77,1,0.98,1
vllm,few_shot,38,990.49,0.00,1016.55,1,0.98,1
vllm,few_shot,39,957.01,64.91,1021.92,2,1.96,1
vllm,few_shot,40,990.89,0.00,1022.41,1,0.98,1
vllm,few_shot,41,959.14,66.67,1025.82,2,1.95,1
vllm,few_shot,42,1003.51,0.00,1024.69,1,0.98,1
vllm,few_shot,43,962.06,66.05,1028.11,2,1.95,1
vllm,few_shot,44,983.76,43.98,1027.74,2,1.95,1
