model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T08:03:37.158927

Build Times
provider,build_time_s
torchinferno,325.4
vllm,1223.8
sglang,188.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,294.86,161.87,139.11,sglang
ttft_p99_ms,1908.70,581.83,5106.42,vllm
tpot_median_ms,154.59,53.99,75.11,vllm
tpot_p99_ms,217.61,151.01,7321.77,vllm
e2e_median_ms,388.38,219.42,208.52,sglang
e2e_p99_ms,2105.27,633.85,12385.75,vllm
throughput_median_tps,3.81,6.68,5.62,vllm
total_output_tokens,1466,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,238.51,209.90,197.60,sglang
ttft_p99_ms,1564.96,263.10,70375.49,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,306.93,299.99,333.68,vllm
e2e_p99_ms,1591.21,354.68,70520.89,vllm
throughput_median_tps,3.26,3.33,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,798.15,165.67,161.83,sglang
ttft_p99_ms,1835.43,312.30,672.81,vllm
tpot_median_ms,149.72,55.35,99.25,vllm
tpot_p99_ms,493.72,199.73,660.07,vllm
e2e_median_ms,899.88,216.40,262.00,vllm
e2e_p99_ms,2067.97,414.33,764.10,vllm
throughput_median_tps,1.55,6.43,5.00,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,884.37,135.25,349.13,vllm
ttft_last_turn_ms,605.63,165.54,199.12,vllm
ttft_growth_ratio,0.68,1.22,0.57,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,57.62,73.61,vllm
ttft_p99_ms,,146.43,631.18,vllm
tpot_median_ms,,26.91,59.28,vllm
tpot_p99_ms,,44.80,146.85,vllm
e2e_median_ms,,77.57,140.75,vllm
e2e_p99_ms,,170.41,667.48,vllm
throughput_median_tps,,15.61,9.94,vllm
total_output_tokens,,1480,1455,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,70.90,67.24,sglang
ttft_p99_ms,,190.72,148.50,sglang
tpot_median_ms,,14.98,21.97,vllm
tpot_p99_ms,,20.42,26.29,vllm
e2e_median_ms,,627.91,822.98,vllm
e2e_p99_ms,,1009.83,1536.01,vllm
throughput_median_tps,,58.73,42.50,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,920.19,0.00,1299.18,1,0.77,1
torchinferno,few_shot,1,1895.44,0.00,1988.82,1,0.50,1
torchinferno,few_shot,2,1911.45,0.00,1989.14,1,0.50,1
torchinferno,few_shot,3,1897.21,0.00,1986.25,1,0.50,1
torchinferno,few_shot,4,1904.10,0.00,1992.16,1,0.50,1
torchinferno,few_shot,5,1899.20,0.00,1994.57,1,0.50,1
torchinferno,few_shot,6,1902.38,0.00,1996.43,1,0.50,1
torchinferno,few_shot,7,1897.60,0.00,2001.04,1,0.50,1
torchinferno,few_shot,8,1902.69,0.00,1999.33,1,0.50,1
torchinferno,few_shot,9,1898.80,0.00,2002.42,1,0.50,1
torchinferno,few_shot,10,1894.73,0.00,2006.00,1,0.50,1
torchinferno,few_shot,11,1913.28,0.00,2011.57,1,0.50,1
torchinferno,few_shot,12,1894.14,0.00,2008.14,1,0.50,1
torchinferno,few_shot,13,1895.57,0.00,2011.17,1,0.50,1
torchinferno,few_shot,14,1900.47,0.00,2010.18,1,0.50,1
torchinferno,few_shot,15,1904.38,0.00,2014.04,1,0.50,1
torchinferno,few_shot,16,1908.34,0.00,2013.04,1,0.50,1
torchinferno,few_shot,17,1913.69,0.00,2018.07,1,0.50,1
torchinferno,few_shot,18,1914.08,0.00,2020.36,1,0.49,1
torchinferno,few_shot,19,1896.73,0.00,2016.73,1,0.50,1
torchinferno,few_shot,20,617.19,0.00,726.86,1,1.38,1
torchinferno,few_shot,21,1900.76,0.00,2016.62,1,0.50,1
torchinferno,few_shot,22,1904.03,0.00,2020.43,1,0.49,1
torchinferno,few_shot,23,1897.34,0.00,2023.92,1,0.49,1
torchinferno,few_shot,24,1904.85,0.00,2034.41,1,0.49,1
torchinferno,few_shot,25,1894.20,0.00,2028.84,1,0.49,1
torchinferno,few_shot,26,1911.91,0.00,2035.17,1,0.49,1
torchinferno,few_shot,27,1896.30,0.00,2037.35,1,0.49,1
torchinferno,few_shot,28,1905.56,0.00,2034.71,1,0.49,1
torchinferno,few_shot,29,1891.67,0.00,2034.91,1,0.49,1
torchinferno,few_shot,30,1899.05,0.00,2040.53,1,0.49,1
torchinferno,few_shot,31,1897.91,0.00,2043.53,1,0.49,1
torchinferno,few_shot,32,1911.95,0.00,2053.12,1,0.49,1
torchinferno,few_shot,33,1908.75,170.76,2079.50,2,0.96,1
torchinferno,few_shot,34,1896.95,175.06,2072.01,2,0.97,1
torchinferno,few_shot,35,1908.15,171.73,2079.88,2,0.96,1
torchinferno,few_shot,36,1889.68,185.10,2074.78,2,0.96,1
torchinferno,few_shot,37,1902.77,178.70,2081.47,2,0.96,1
torchinferno,few_shot,38,1894.36,183.94,2078.30,2,0.96,1
torchinferno,few_shot,39,1903.18,176.80,2079.99,2,0.96,1
torchinferno,few_shot,40,1896.63,189.04,2085.67,2,0.96,1
torchinferno,few_shot,41,1892.24,191.27,2083.51,2,0.96,1
torchinferno,few_shot,42,1904.76,187.13,2091.89,2,0.96,1
torchinferno,few_shot,43,1898.37,196.99,2095.36,2,0.95,1
torchinferno,few_shot,44,1906.13,184.22,2090.35,2,0.96,1
torchinferno,few_shot,45,1898.72,194.98,2093.71,2,0.96,1
torchinferno,few_shot,46,1894.07,194.26,2088.33,2,0.96,1
torchinferno,few_shot,47,1905.83,190.25,2096.08,2,0.95,1
torchinferno,few_shot,48,1898.88,199.48,2098.36,2,0.95,1
torchinferno,few_shot,49,1900.62,195.11,2095.72,2,0.95,1
torchinferno,few_shot,50,1897.13,199.72,2096.85,2,0.95,1
torchinferno,few_shot,51,1897.98,198.52,2096.50,2,0.95,1
torchinferno,few_shot,52,1905.62,199.11,2104.73,2,0.95,1
torchinferno,few_shot,53,1894.58,207.59,2102.18,2,0.95,1
torchinferno,few_shot,54,1908.70,196.66,2105.36,2,0.95,1
torchinferno,few_shot,55,1892.39,212.60,2104.99,2,0.95,1
torchinferno,few_shot,56,1904.27,201.00,2105.27,2,0.95,1
torchinferno,few_shot,57,1893.78,217.61,2111.39,2,0.95,1
torchinferno,few_shot,58,1906.59,210.04,2116.64,2,0.94,1
torchinferno,few_shot,59,1899.65,222.80,2122.44,2,0.94,1
torchinferno,few_shot,60,1895.14,223.10,2118.24,2,0.94,1
torchinferno,few_shot,61,1891.20,222.43,2113.63,2,0.95,1
torchinferno,few_shot,62,1910.84,209.26,2120.10,2,0.94,1
torchinferno,few_shot,63,1898.46,223.93,2122.39,2,0.94,1
torchinferno,few_shot,64,1911.91,213.49,2125.40,2,0.94,1
torchinferno,few_shot,65,193.89,0.00,252.24,1,3.96,1
torchinferno,few_shot,66,175.46,0.00,230.78,1,4.33,1
torchinferno,few_shot,67,175.41,0.00,241.61,1,4.14,1
torchinferno,few_shot,68,135.12,0.00,201.98,1,4.95,1
torchinferno,few_shot,69,187.74,0.00,258.91,1,3.86,1
torchinferno,few_shot,70,181.10,0.00,249.36,1,4.01,1
torchinferno,few_shot,71,163.27,0.00,231.41,1,4.32,1
torchinferno,few_shot,72,194.49,0.00,274.71,1,3.64,1
