model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-11T13:07:26.458820

Build Times
provider,build_time_s
torchinferno,381.3
vllm,1337.5
sglang,229.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,313.18,157.96,151.89,sglang
ttft_p99_ms,1589.78,269.50,1260.25,vllm
tpot_median_ms,91.64,52.33,73.31,vllm
tpot_p99_ms,627.39,135.60,407.80,vllm
e2e_median_ms,390.67,207.44,220.31,vllm
e2e_p99_ms,2197.59,340.27,1637.77,vllm
throughput_median_tps,3.11,7.07,5.28,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,370.57,209.90,223.30,vllm
ttft_p99_ms,1018.13,407.57,70071.06,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,530.88,240.60,357.32,vllm
e2e_p99_ms,1274.07,455.27,70140.79,vllm
throughput_median_tps,1.88,4.16,2.80,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,749.32,184.63,169.54,sglang
ttft_p99_ms,2003.20,363.68,697.78,vllm
tpot_median_ms,65.82,66.13,102.07,torchinferno
tpot_p99_ms,183.34,199.21,243.62,torchinferno
e2e_median_ms,796.74,241.57,264.69,vllm
e2e_p99_ms,2048.10,455.66,844.58,vllm
throughput_median_tps,1.73,5.88,4.88,vllm
total_output_tokens,1450,1449,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,839.90,142.05,129.36,sglang
ttft_last_turn_ms,836.51,184.05,173.05,sglang
ttft_growth_ratio,1.00,1.30,1.34,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,385.03,60.53,85.01,vllm
ttft_p99_ms,1244.45,3695.22,932.68,sglang
tpot_median_ms,60.47,29.28,45.36,vllm
tpot_p99_ms,440.81,1979.59,134.83,sglang
e2e_median_ms,437.69,82.31,143.42,vllm
e2e_p99_ms,1439.52,3739.22,967.60,sglang
throughput_median_tps,3.39,14.72,9.56,vllm
total_output_tokens,1474,1482,1468,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.50,72.37,79.39,vllm
ttft_p99_ms,1376.45,160.76,156.23,sglang
tpot_median_ms,26.78,15.10,23.42,vllm
tpot_p99_ms,58.79,26.48,28.39,vllm
e2e_median_ms,1256.21,624.17,886.52,vllm
e2e_p99_ms,2655.96,1021.89,1702.12,vllm
throughput_median_tps,30.04,58.45,39.54,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1014.05,0.00,1020.63,1,0.98,1
torchinferno,few_shot,1,1011.20,0.00,1020.89,1,0.98,1
torchinferno,few_shot,2,1014.61,0.00,1025.96,1,0.97,1
torchinferno,few_shot,3,1012.67,0.00,1023.18,1,0.98,1
torchinferno,few_shot,4,1012.85,0.00,1024.92,1,0.98,1
torchinferno,few_shot,5,1016.87,0.00,1032.88,1,0.97,1
torchinferno,few_shot,6,1014.85,0.00,1031.24,1,0.97,1
torchinferno,few_shot,7,1011.08,215.15,1226.23,2,1.63,1
torchinferno,few_shot,8,1016.03,214.49,1230.52,2,1.63,1
torchinferno,few_shot,9,1015.85,216.99,1232.84,2,1.62,1
torchinferno,few_shot,10,1579.52,0.00,2124.50,1,0.47,1
torchinferno,few_shot,11,1577.71,0.00,2114.16,1,0.47,1
torchinferno,few_shot,12,1577.29,0.00,2115.09,1,0.47,1
torchinferno,few_shot,13,1578.17,0.00,2130.45,1,0.47,1
torchinferno,few_shot,14,1577.43,0.00,2118.52,1,0.47,1
torchinferno,few_shot,15,1582.24,0.00,2133.84,1,0.47,1
torchinferno,few_shot,16,1566.14,0.00,2123.91,1,0.47,1
torchinferno,few_shot,17,1564.54,0.00,2122.38,1,0.47,1
torchinferno,few_shot,18,1569.76,0.00,2123.55,1,0.47,1
torchinferno,few_shot,19,1595.05,0.00,2142.98,1,0.47,1
torchinferno,few_shot,20,1559.50,0.00,2122.80,1,0.47,1
torchinferno,few_shot,21,1567.91,0.00,2129.18,1,0.47,1
torchinferno,few_shot,22,1590.14,0.00,2146.99,1,0.47,1
torchinferno,few_shot,23,1593.04,554.16,2147.20,2,0.93,1
torchinferno,few_shot,24,1570.49,561.32,2131.82,2,0.94,1
torchinferno,few_shot,25,1582.93,0.00,2148.33,1,0.47,1
torchinferno,few_shot,26,1566.41,569.63,2136.05,2,0.94,1
torchinferno,few_shot,27,1568.32,572.50,2140.82,2,0.93,1
torchinferno,few_shot,28,1568.75,0.00,2139.46,1,0.47,1
torchinferno,few_shot,29,1567.78,570.37,2138.15,2,0.94,1
torchinferno,few_shot,30,1588.11,0.00,2158.10,1,0.46,1
torchinferno,few_shot,31,1576.47,0.00,2147.15,1,0.47,1
torchinferno,few_shot,32,1135.53,0.00,1140.91,1,0.88,1
torchinferno,few_shot,33,1589.59,575.61,2165.20,2,0.92,1
torchinferno,few_shot,34,1572.47,0.00,2158.10,1,0.46,1
torchinferno,few_shot,35,1579.67,580.53,2160.20,2,0.93,1
torchinferno,few_shot,36,1579.40,0.00,2171.08,1,0.46,1
torchinferno,few_shot,37,1569.83,593.14,2162.96,2,0.92,1
torchinferno,few_shot,38,2124.34,31.82,2156.16,2,0.93,1
torchinferno,few_shot,39,1569.29,589.76,2159.05,2,0.93,1
torchinferno,few_shot,40,1589.78,586.76,2176.53,2,0.92,1
torchinferno,few_shot,41,1568.22,592.90,2161.11,2,0.93,1
torchinferno,few_shot,42,1569.88,593.95,2163.83,2,0.92,1
torchinferno,few_shot,43,1138.49,0.00,1163.91,1,0.86,1
torchinferno,few_shot,44,1573.96,0.00,2171.60,1,0.46,1
torchinferno,few_shot,45,1577.51,609.52,2187.04,2,0.91,1
