model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T20:18:15.304273+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,248.64,122.51,164.44,sglang
ttft_p99_ms,575.50,648.16,2758.79,vllm
tpot_median_ms,86.75,82.71,48.58,torchinferno
tpot_p99_ms,216.92,162.83,655.35,sglang
e2e_median_ms,321.29,207.39,205.91,torchinferno
e2e_p99_ms,638.96,704.85,2810.98,vllm
throughput_median_tps,4.51,5.90,5.66,sglang
total_output_tokens,1461,1458,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,257.35,220.55,330.01,sglang
ttft_p99_ms,600.40,782.48,723.07,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,314.43,378.83,361.74,vllm
e2e_p99_ms,682.99,883.68,774.69,vllm
throughput_median_tps,3.18,2.64,2.76,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,266.86,158.71,328.88,sglang
ttft_p99_ms,447.88,667.18,978.10,vllm
tpot_median_ms,96.87,105.16,62.86,torchinferno
tpot_p99_ms,286.84,237.78,281.23,sglang
e2e_median_ms,354.13,274.19,385.16,sglang
e2e_p99_ms,594.07,775.73,1028.99,vllm
throughput_median_tps,4.25,4.88,3.14,sglang
total_output_tokens,1450,1448,1452,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,213.10,177.54,633.02,sglang
ttft_last_turn_ms,266.22,173.81,373.90,sglang
ttft_growth_ratio,1.25,0.98,0.59,torchinferno
ttft_first_turn_median_ms,157.19,78.07,432.07,sglang
ttft_first_turn_p99_ms,400.14,382.54,987.50,sglang
ttft_last_turn_median_ms,292.88,166.68,376.12,sglang
ttft_last_turn_p99_ms,435.92,306.51,426.56,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,128.17,62.02,296.47,sglang
ttft_p99_ms,202.21,546.99,668.67,vllm
tpot_median_ms,82.39,75.35,47.19,torchinferno
tpot_p99_ms,103.74,290.52,79.83,torchinferno
e2e_median_ms,187.64,147.86,313.65,sglang
e2e_p99_ms,285.34,647.80,710.81,vllm
throughput_median_tps,6.69,9.31,4.65,sglang
total_output_tokens,1479,1459,1466,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,96.53,63.99,274.95,sglang
ttft_p99_ms,333.18,320.62,1747.84,sglang
tpot_median_ms,28.69,24.20,23.90,torchinferno
tpot_p99_ms,42.48,44.68,71.47,vllm
e2e_median_ms,1097.03,921.58,1171.84,sglang
e2e_p99_ms,2265.11,1802.95,2977.52,sglang
throughput_median_tps,32.20,39.09,32.54,sglang
total_output_tokens,36715,36654,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,1,0,418.02,0.00,585.62,1,1.71,1,,,,,,,1,,,
vllm,few_shot,34,1,562.16,0.00,575.15,1,1.74,1,,,,,,,34,,,
vllm,few_shot,0,2,382.45,208.64,591.09,2,3.38,1,,,,,,,0,,,
vllm,few_shot,41,3,559.29,0.00,577.29,1,1.73,1,,,,,,,41,,,
vllm,few_shot,11,4,571.23,0.00,593.40,1,1.69,1,,,,,,,11,,,
vllm,few_shot,35,5,569.91,0.00,582.79,1,1.72,1,,,,,,,35,,,
vllm,few_shot,8,6,581.33,0.00,596.99,1,1.68,1,,,,,,,8,,,
vllm,few_shot,46,7,550.95,0.00,578.43,1,1.73,1,,,,,,,46,,,
vllm,few_shot,28,8,572.41,0.00,589.39,1,1.70,1,,,,,,,28,,,
vllm,few_shot,55,9,561.13,0.00,577.34,1,1.73,1,,,,,,,55,,,
vllm,few_shot,24,10,565.42,0.00,592.60,1,1.69,1,,,,,,,24,,,
vllm,few_shot,39,11,571.61,0.00,587.49,1,1.70,1,,,,,,,39,,,
vllm,few_shot,42,12,562.11,0.00,586.52,1,1.70,1,,,,,,,42,,,
vllm,few_shot,4,13,576.58,0.00,605.08,1,1.65,1,,,,,,,4,,,
vllm,few_shot,25,14,571.41,0.00,596.32,1,1.68,1,,,,,,,25,,,
vllm,few_shot,10,15,575.64,0.00,607.75,1,1.65,1,,,,,,,10,,,
vllm,few_shot,27,16,573.51,26.80,600.31,2,3.33,1,,,,,,,27,,,
vllm,few_shot,31,17,558.17,0.00,599.10,1,1.67,1,,,,,,,31,,,
vllm,few_shot,62,18,554.27,33.58,587.85,2,3.40,1,,,,,,,62,,,
vllm,few_shot,38,19,566.33,0.00,598.93,1,1.67,1,,,,,,,38,,,
vllm,few_shot,60,20,557.35,0.00,590.92,1,1.69,1,,,,,,,60,,,
vllm,few_shot,2,21,575.01,41.86,616.88,2,3.24,1,,,,,,,2,,,
vllm,few_shot,63,22,554.56,37.94,592.49,2,3.38,1,,,,,,,63,,,
vllm,few_shot,18,23,576.40,34.49,610.89,2,3.27,1,,,,,,,18,,,
vllm,few_shot,7,24,572.99,0.00,619.04,1,1.62,1,,,,,,,7,,,
vllm,few_shot,50,25,560.83,38.91,599.74,2,3.33,1,,,,,,,50,,,
vllm,few_shot,17,26,567.66,0.00,615.04,1,1.63,1,,,,,,,17,,,
vllm,few_shot,37,27,562.83,0.00,609.36,1,1.64,1,,,,,,,37,,,
vllm,few_shot,29,28,563.02,0.00,614.14,1,1.63,1,,,,,,,29,,,
vllm,few_shot,23,29,569.70,47.20,616.90,2,3.24,1,,,,,,,23,,,
vllm,few_shot,40,30,571.67,39.60,611.28,2,3.27,1,,,,,,,40,,,
vllm,few_shot,58,31,560.19,0.00,603.87,1,1.66,1,,,,,,,58,,,
vllm,few_shot,26,32,562.33,0.00,618.47,1,1.62,1,,,,,,,26,,,
vllm,few_shot,57,33,570.82,0.00,605.16,1,1.65,1,,,,,,,57,,,
vllm,few_shot,12,34,576.46,0.00,628.27,1,1.59,1,,,,,,,12,,,
vllm,few_shot,51,35,547.49,61.13,608.62,2,3.29,1,,,,,,,51,,,
vllm,few_shot,20,36,564.82,58.37,623.18,2,3.21,1,,,,,,,20,,,
vllm,few_shot,36,37,568.35,50.21,618.56,2,3.23,1,,,,,,,36,,,
vllm,few_shot,19,38,571.44,54.07,625.51,2,3.20,1,,,,,,,19,,,
vllm,few_shot,56,39,546.85,64.24,611.09,2,3.27,1,,,,,,,56,,,
vllm,few_shot,49,40,550.14,64.53,614.67,2,3.25,1,,,,,,,49,,,
