model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-10T03:57:15.375484

Build Times
provider,build_time_s
vllm,1312.9
sglang,178.1
torchinferno,45.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,146.61,134.67,778.34,sglang
ttft_p99_ms,268.80,562.69,2403.51,vllm
tpot_median_ms,55.39,76.33,115.13,vllm
tpot_p99_ms,138.01,211.62,559.28,vllm
e2e_median_ms,196.89,208.28,930.61,vllm
e2e_p99_ms,318.58,636.80,2710.07,vllm
throughput_median_tps,7.52,5.82,1.28,vllm
total_output_tokens,14440,14443,14440,sglang
num_requests,10000,10000,10000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,230.99,197.80,376.55,sglang
ttft_p99_ms,516.38,799.67,710.99,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,281.42,344.28,479.41,vllm
e2e_p99_ms,565.61,898.36,871.25,vllm
throughput_median_tps,3.55,2.90,2.09,vllm
total_output_tokens,10000,10000,10000,vllm
num_requests,10000,10000,10000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,187.89,159.35,,sglang
ttft_p99_ms,347.47,719.98,,vllm
tpot_median_ms,68.04,102.78,,vllm
tpot_p99_ms,194.54,239.22,,vllm
e2e_median_ms,248.22,259.56,,vllm
e2e_p99_ms,432.43,815.57,,vllm
throughput_median_tps,5.75,5.08,,vllm
total_output_tokens,14516,14528,,sglang
num_requests,10000,10000,,
correctness_rate,0.98,0.98,,sglang
ttft_first_turn_ms,185.56,190.58,,vllm
ttft_last_turn_ms,188.20,197.12,,vllm
ttft_growth_ratio,1.01,1.03,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,57.88,75.51,,vllm
ttft_p99_ms,92.95,592.47,,vllm
tpot_median_ms,27.08,59.76,,vllm
tpot_p99_ms,41.76,1121.34,,vllm
e2e_median_ms,78.42,141.23,,vllm
e2e_p99_ms,140.31,1191.50,,vllm
throughput_median_tps,15.95,9.80,,vllm
total_output_tokens,15000,14991,,vllm
num_requests,10013,10013,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,68.55,67.60,,sglang
ttft_p99_ms,245.68,312.86,,vllm
tpot_median_ms,14.57,22.02,,vllm
tpot_p99_ms,16.88,30.48,,vllm
e2e_median_ms,630.24,899.07,,vllm
e2e_p99_ms,988.03,1583.35,,vllm
throughput_median_tps,60.79,42.56,,vllm
total_output_tokens,377583,377583,,vllm
num_requests,10000,10000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,1471.52,0.00,1476.44,1,0.68,1
vllm,few_shot,1,1488.88,0.00,1493.49,1,0.67,1
vllm,few_shot,2,1491.30,0.00,1496.56,1,0.67,1
vllm,few_shot,3,1471.36,0.00,1481.41,1,0.68,1
vllm,few_shot,4,1479.67,0.00,1484.49,1,0.67,1
vllm,few_shot,5,1482.26,15.41,1497.67,2,1.34,1
vllm,few_shot,6,1479.02,0.00,1505.92,1,0.66,1
vllm,few_shot,7,1468.89,0.00,1489.44,1,0.67,1
vllm,few_shot,8,1480.98,0.00,1490.90,1,0.67,1
vllm,few_shot,9,1481.18,0.00,1491.30,1,0.67,1
vllm,few_shot,10,1480.69,0.00,1508.84,1,0.66,1
vllm,few_shot,11,1478.58,15.30,1493.88,2,1.34,1
vllm,few_shot,12,1497.68,0.00,1497.90,1,0.67,1
vllm,few_shot,13,1467.58,24.57,1492.15,2,1.34,1
vllm,few_shot,14,1464.74,0.00,1497.55,1,0.67,1
vllm,few_shot,15,1486.15,24.89,1511.03,2,1.32,1
vllm,few_shot,16,1460.07,39.23,1499.30,2,1.33,1
vllm,few_shot,17,1482.95,0.00,1502.92,1,0.67,1
vllm,few_shot,18,1468.95,34.41,1503.37,2,1.33,1
vllm,few_shot,19,1473.78,31.47,1505.25,2,1.33,1
vllm,few_shot,20,1466.19,0.00,1508.47,1,0.66,1
vllm,few_shot,21,1507.47,0.00,1512.76,1,0.66,1
vllm,few_shot,22,1517.60,0.00,1527.48,1,0.65,1
vllm,few_shot,23,1471.61,41.71,1513.32,2,1.32,1
vllm,few_shot,24,1455.50,52.62,1508.12,2,1.33,1
vllm,few_shot,25,1458.20,0.00,1510.52,1,0.66,1
vllm,few_shot,26,1479.11,0.00,1525.28,1,0.66,1
vllm,few_shot,27,1497.83,15.41,1513.24,2,1.32,1
vllm,few_shot,28,1466.15,0.00,1518.69,1,0.66,1
vllm,few_shot,29,1487.71,39.20,1526.91,2,1.31,1
vllm,few_shot,30,1461.81,57.69,1519.50,2,1.32,1
vllm,few_shot,31,1464.65,0.00,1520.42,1,0.66,1
vllm,few_shot,32,1479.51,56.55,1536.06,2,1.30,1
vllm,few_shot,33,1490.44,51.65,1542.09,2,1.30,1
vllm,few_shot,34,1463.74,61.09,1524.83,2,1.31,1
vllm,few_shot,35,1482.54,0.00,1539.72,1,0.65,1
vllm,few_shot,36,1483.08,61.24,1544.32,2,1.30,1
vllm,few_shot,37,1491.10,0.00,1525.89,1,0.66,1
vllm,few_shot,38,1485.77,45.49,1531.26,2,1.31,1
vllm,few_shot,39,1513.93,35.38,1549.31,2,1.29,1
vllm,few_shot,40,1478.69,50.60,1529.29,2,1.31,1
vllm,few_shot,41,1479.80,60.87,1540.67,2,1.30,1
vllm,few_shot,42,1454.20,73.34,1527.54,2,1.31,1
vllm,few_shot,43,1477.78,66.95,1544.73,2,1.29,1
vllm,few_shot,44,1463.57,0.00,1530.85,1,0.65,1
