model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T17:10:24.334642

Build Times
provider,build_time_s
torchinferno,364.6
vllm,1152.6
sglang,172.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,292.54,159.22,137.67,sglang
ttft_p99_ms,1411.66,1011.60,9228.46,vllm
tpot_median_ms,151.52,55.76,72.45,vllm
tpot_p99_ms,203.89,138.20,8934.98,vllm
e2e_median_ms,396.88,212.36,204.98,sglang
e2e_p99_ms,1600.20,1045.60,18134.08,vllm
throughput_median_tps,3.72,6.93,6.00,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.62,217.13,208.90,sglang
ttft_p99_ms,1406.08,262.11,70247.05,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,314.50,305.35,341.40,vllm
e2e_p99_ms,1465.00,355.99,70323.05,vllm
throughput_median_tps,3.18,3.27,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,541.88,167.17,156.93,sglang
ttft_p99_ms,1302.80,317.84,618.17,vllm
tpot_median_ms,112.52,51.26,98.51,vllm
tpot_p99_ms,422.96,186.78,223.06,vllm
e2e_median_ms,639.05,220.65,259.35,vllm
e2e_p99_ms,1525.54,413.34,750.71,vllm
throughput_median_tps,2.04,6.32,5.18,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,694.48,140.20,113.75,sglang
ttft_last_turn_ms,493.78,167.08,172.98,vllm
ttft_growth_ratio,0.71,1.19,1.52,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,342.48,57.48,75.47,vllm
ttft_p99_ms,812.35,139.28,647.85,vllm
tpot_median_ms,132.71,26.83,63.72,vllm
tpot_p99_ms,188.93,105.02,155.73,vllm
e2e_median_ms,441.04,77.64,153.40,vllm
e2e_p99_ms,933.00,167.17,681.83,vllm
throughput_median_tps,3.23,15.70,9.30,vllm
total_output_tokens,1466,1468,1455,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,728.85,71.54,66.46,sglang
ttft_p99_ms,2191.43,201.22,107.96,sglang
tpot_median_ms,17.35,15.00,22.27,vllm
tpot_p99_ms,62.39,19.76,27.04,vllm
e2e_median_ms,1380.61,619.92,845.29,vllm
e2e_p99_ms,3089.39,1015.98,1571.87,vllm
throughput_median_tps,23.61,58.48,42.12,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,625.91,0.00,810.11,1,1.23,1
torchinferno,few_shot,1,1401.82,0.00,1491.40,1,0.67,1
torchinferno,few_shot,2,1401.89,0.00,1492.25,1,0.67,1
torchinferno,few_shot,3,1400.30,0.00,1479.65,1,0.68,1
torchinferno,few_shot,4,1397.87,0.00,1483.12,1,0.67,1
torchinferno,few_shot,5,1406.36,0.00,1492.57,1,0.67,1
torchinferno,few_shot,6,1393.30,0.00,1486.57,1,0.67,1
torchinferno,few_shot,7,1404.43,0.00,1499.04,1,0.67,1
torchinferno,few_shot,8,1399.28,0.00,1491.13,1,0.67,1
torchinferno,few_shot,9,604.77,0.00,693.81,1,1.44,1
torchinferno,few_shot,10,1400.66,0.00,1501.60,1,0.67,1
torchinferno,few_shot,11,1391.45,0.00,1495.50,1,0.67,1
torchinferno,few_shot,12,1388.54,0.00,1492.99,1,0.67,1
torchinferno,few_shot,13,1402.03,0.00,1492.75,1,0.67,1
torchinferno,few_shot,14,1401.77,0.00,1503.96,1,0.66,1
torchinferno,few_shot,15,1394.16,0.00,1507.41,1,0.66,1
torchinferno,few_shot,16,1402.24,0.00,1518.52,1,0.66,1
torchinferno,few_shot,17,1393.01,0.00,1506.78,1,0.66,1
torchinferno,few_shot,18,1413.17,0.00,1520.78,1,0.66,1
torchinferno,few_shot,19,1402.93,0.00,1505.96,1,0.66,1
torchinferno,few_shot,20,1401.24,0.00,1523.62,1,0.66,1
torchinferno,few_shot,21,1392.67,0.00,1514.44,1,0.66,1
torchinferno,few_shot,22,1403.67,0.00,1515.00,1,0.66,1
torchinferno,few_shot,23,1401.28,0.00,1528.29,1,0.65,1
torchinferno,few_shot,24,1411.66,0.00,1528.80,1,0.65,1
torchinferno,few_shot,25,1402.50,0.00,1530.64,1,0.65,1
torchinferno,few_shot,26,1405.45,0.00,1519.54,1,0.66,1
torchinferno,few_shot,27,1394.31,0.00,1525.69,1,0.66,1
torchinferno,few_shot,28,1423.20,0.00,1542.33,1,0.65,1
torchinferno,few_shot,29,1391.70,0.00,1524.61,1,0.66,1
torchinferno,few_shot,30,1393.82,0.00,1528.26,1,0.65,1
torchinferno,few_shot,31,1414.64,0.00,1551.37,1,0.64,1
torchinferno,few_shot,32,1407.27,0.00,1542.83,1,0.65,1
torchinferno,few_shot,33,1420.46,155.91,1576.38,2,1.27,1
torchinferno,few_shot,34,1406.89,166.50,1573.39,2,1.27,1
torchinferno,few_shot,35,1388.28,175.35,1563.63,2,1.28,1
torchinferno,few_shot,36,1393.14,168.46,1561.60,2,1.28,1
torchinferno,few_shot,37,1391.80,174.14,1565.93,2,1.28,1
torchinferno,few_shot,38,1400.96,172.77,1573.73,2,1.27,1
torchinferno,few_shot,39,1404.83,164.23,1569.06,2,1.27,1
torchinferno,few_shot,40,1413.71,177.61,1591.33,2,1.26,1
torchinferno,few_shot,41,1402.67,187.69,1590.36,2,1.26,1
torchinferno,few_shot,42,1394.33,178.63,1572.95,2,1.27,1
torchinferno,few_shot,43,1416.75,173.28,1590.04,2,1.26,1
torchinferno,few_shot,44,1398.98,179.30,1578.28,2,1.27,1
torchinferno,few_shot,45,1394.99,187.90,1582.89,2,1.26,1
