model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T02:07:27.262361

Build Times
provider,build_time_s
torchinferno,325.3
vllm,1075.6
sglang,167.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,316.15,161.14,133.49,sglang
ttft_p99_ms,2188.96,821.81,8130.53,vllm
tpot_median_ms,160.26,56.58,78.37,vllm
tpot_p99_ms,215.40,143.51,7308.23,vllm
e2e_median_ms,407.73,213.93,202.65,sglang
e2e_p99_ms,2293.37,883.98,15408.15,vllm
throughput_median_tps,3.54,6.88,6.05,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.54,184.56,205.99,vllm
ttft_p99_ms,1436.09,440.80,724.37,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,323.38,206.06,353.97,vllm
e2e_p99_ms,1552.63,467.77,789.07,vllm
throughput_median_tps,3.09,4.85,2.83,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,560.25,166.94,149.90,sglang
ttft_p99_ms,1800.57,332.69,611.42,vllm
tpot_median_ms,155.87,50.95,99.50,vllm
tpot_p99_ms,620.00,187.69,206.93,vllm
e2e_median_ms,639.97,209.35,249.25,vllm
e2e_p99_ms,1915.25,421.59,698.51,vllm
throughput_median_tps,2.06,6.45,5.18,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,862.50,138.07,114.35,sglang
ttft_last_turn_ms,522.56,160.53,170.32,vllm
ttft_growth_ratio,0.61,1.16,1.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,343.71,57.73,73.03,vllm
ttft_p99_ms,1034.92,113.34,751.77,vllm
tpot_median_ms,133.86,27.31,48.47,vllm
tpot_p99_ms,158.32,94.86,709.15,vllm
e2e_median_ms,437.34,78.06,129.16,vllm
e2e_p99_ms,1146.19,153.69,790.24,vllm
throughput_median_tps,3.11,15.69,9.90,vllm
total_output_tokens,1459,1466,1464,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,646.87,73.91,68.50,sglang
ttft_p99_ms,2537.68,207.83,136.57,sglang
tpot_median_ms,15.79,14.99,22.18,vllm
tpot_p99_ms,35.29,20.71,28.27,vllm
e2e_median_ms,1298.42,630.84,833.94,vllm
e2e_p99_ms,3401.95,1034.23,1563.98,vllm
throughput_median_tps,26.24,58.31,42.18,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,953.62,0.00,1416.72,1,0.71,1
torchinferno,few_shot,1,1879.98,0.00,1962.34,1,0.51,1
torchinferno,few_shot,2,1884.05,0.00,1971.51,1,0.51,1
torchinferno,few_shot,3,1881.90,0.00,1974.20,1,0.51,1
torchinferno,few_shot,4,1883.33,0.00,1971.25,1,0.51,1
torchinferno,few_shot,5,1877.72,0.00,1972.66,1,0.51,1
torchinferno,few_shot,6,1877.46,0.00,1972.11,1,0.51,1
torchinferno,few_shot,7,1884.77,0.00,1974.38,1,0.51,1
torchinferno,few_shot,8,1881.60,0.00,1982.01,1,0.50,1
torchinferno,few_shot,9,1877.81,0.00,1981.16,1,0.50,1
torchinferno,few_shot,10,1879.36,0.00,1984.95,1,0.50,1
torchinferno,few_shot,11,1877.81,0.00,1986.28,1,0.50,1
torchinferno,few_shot,12,1882.39,0.00,1985.40,1,0.50,1
torchinferno,few_shot,13,1887.34,0.00,1985.03,1,0.50,1
torchinferno,few_shot,14,1888.88,0.00,1984.96,1,0.50,1
torchinferno,few_shot,15,1881.51,0.00,1989.94,1,0.50,1
torchinferno,few_shot,16,1875.56,0.00,1989.37,1,0.50,1
torchinferno,few_shot,17,1883.48,0.00,1991.04,1,0.50,1
torchinferno,few_shot,18,1888.38,0.00,1994.80,1,0.50,1
torchinferno,few_shot,19,1884.09,0.00,1992.83,1,0.50,1
torchinferno,few_shot,20,1885.24,0.00,1994.98,1,0.50,1
torchinferno,few_shot,21,1893.21,0.00,2001.71,1,0.50,1
torchinferno,few_shot,22,1884.54,0.00,2003.65,1,0.50,1
torchinferno,few_shot,23,1877.82,0.00,1999.34,1,0.50,1
torchinferno,few_shot,24,1891.82,0.00,2006.85,1,0.50,1
torchinferno,few_shot,25,1877.68,0.00,2008.54,1,0.50,1
torchinferno,few_shot,26,1881.38,182.94,2064.32,2,0.97,1
torchinferno,few_shot,27,1879.00,180.55,2059.55,2,0.97,1
torchinferno,few_shot,28,1880.03,184.02,2064.05,2,0.97,1
torchinferno,few_shot,29,1886.71,178.57,2065.28,2,0.97,1
torchinferno,few_shot,30,1881.78,184.65,2066.43,2,0.97,1
torchinferno,few_shot,31,1884.09,181.83,2065.92,2,0.97,1
torchinferno,few_shot,32,1881.22,186.79,2068.00,2,0.97,1
torchinferno,few_shot,33,1877.92,200.98,2078.90,2,0.96,1
torchinferno,few_shot,34,1887.60,190.86,2078.46,2,0.96,1
torchinferno,few_shot,35,1883.52,193.20,2076.71,2,0.96,1
torchinferno,few_shot,36,1888.68,198.49,2087.17,2,0.96,1
torchinferno,few_shot,37,1881.14,198.53,2079.68,2,0.96,1
torchinferno,few_shot,38,1891.56,192.88,2084.45,2,0.96,1
torchinferno,few_shot,39,1883.14,200.53,2083.68,2,0.96,1
torchinferno,few_shot,40,1877.39,208.35,2085.74,2,0.96,1
torchinferno,few_shot,41,1894.90,199.28,2094.18,2,0.96,1
torchinferno,few_shot,42,1884.70,207.23,2091.92,2,0.96,1
torchinferno,few_shot,43,1876.76,215.17,2091.92,2,0.96,1
torchinferno,few_shot,44,1879.04,215.40,2094.44,2,0.95,1
torchinferno,few_shot,45,1879.42,220.26,2099.68,2,0.95,1
