model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T15:03:04.504114+00:00

Build Times
provider,build_time_s
torchinferno,437.3
vllm,554.5
sglang,268.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,139.44,144.65,vllm
ttft_p99_ms,,1710.79,625.28,sglang
tpot_median_ms,,49.21,76.25,vllm
tpot_p99_ms,,136.90,379.51,vllm
e2e_median_ms,,184.50,214.39,vllm
e2e_p99_ms,,1767.05,882.63,sglang
throughput_median_tps,,7.75,5.66,vllm
total_output_tokens,,1462,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,162.01,206.95,vllm
ttft_p99_ms,,373.58,69315.65,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,183.56,342.53,vllm
e2e_p99_ms,,403.07,69427.81,vllm
throughput_median_tps,,5.45,2.92,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,161.92,154.92,sglang
ttft_p99_ms,,338.25,525.91,vllm
tpot_median_ms,,55.49,111.07,vllm
tpot_p99_ms,,179.29,488.60,vllm
e2e_median_ms,,206.39,265.08,vllm
e2e_p99_ms,,411.57,646.69,vllm
throughput_median_tps,,6.64,5.26,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,138.19,109.80,sglang
ttft_last_turn_ms,,165.71,186.75,vllm
ttft_growth_ratio,,1.20,1.70,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.60,81.64,vllm
ttft_p99_ms,,2038.01,541.52,sglang
tpot_median_ms,,29.63,42.88,vllm
tpot_p99_ms,,2004.31,503.20,sglang
e2e_median_ms,,80.46,134.96,vllm
e2e_p99_ms,,3747.28,592.73,sglang
throughput_median_tps,,15.00,10.45,vllm
total_output_tokens,,1470,1467,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.30,71.57,sglang
ttft_p99_ms,,158.35,169.93,vllm
tpot_median_ms,,14.89,22.33,vllm
tpot_p99_ms,,22.46,27.30,vllm
e2e_median_ms,,603.28,845.52,vllm
e2e_p99_ms,,1024.46,1595.92,vllm
throughput_median_tps,,58.54,42.17,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,1583.58,0.00,1584.79,1,0.63,1
vllm,few_shot,1,1579.75,0.00,1581.72,1,0.63,1
vllm,few_shot,2,1588.18,0.00,1588.30,1,0.63,1
vllm,few_shot,3,1584.27,0.00,1584.38,1,0.63,1
vllm,few_shot,4,1583.69,0.00,1589.11,1,0.63,1
vllm,few_shot,5,1580.45,0.00,1588.13,1,0.63,1
vllm,few_shot,6,1587.84,0.00,1589.06,1,0.63,1
vllm,few_shot,7,1592.15,0.00,1603.42,1,0.62,1
vllm,few_shot,8,1631.53,0.00,1650.46,1,0.61,1
vllm,few_shot,9,1629.00,0.00,1653.02,1,0.60,1
vllm,few_shot,10,1628.28,0.00,1654.57,1,0.60,1
vllm,few_shot,11,1628.45,0.00,1655.27,1,0.60,1
vllm,few_shot,12,1631.26,0.00,1657.62,1,0.60,1
vllm,few_shot,13,1628.75,0.00,1658.21,1,0.60,1
vllm,few_shot,14,1626.27,45.25,1671.53,2,1.20,1
vllm,few_shot,15,1628.80,47.43,1676.23,2,1.19,1
vllm,few_shot,16,1648.03,0.00,1674.20,1,0.60,1
vllm,few_shot,17,1631.29,47.74,1679.03,2,1.19,1
vllm,few_shot,18,1628.86,50.72,1679.58,2,1.19,1
vllm,few_shot,19,1627.80,51.89,1679.69,2,1.19,1
vllm,few_shot,20,1667.22,0.00,1694.27,1,0.59,1
vllm,few_shot,21,1670.14,0.00,1698.01,1,0.59,1
vllm,few_shot,22,1667.37,0.00,1699.10,1,0.59,1
vllm,few_shot,23,1664.48,0.00,1699.06,1,0.59,1
vllm,few_shot,24,1656.36,47.43,1703.79,2,1.17,1
vllm,few_shot,25,1648.83,56.69,1705.52,2,1.17,1
vllm,few_shot,26,1649.50,58.69,1708.19,2,1.17,1
vllm,few_shot,27,1646.18,61.62,1707.80,2,1.17,1
vllm,few_shot,28,1677.60,0.00,1708.25,1,0.59,1
vllm,few_shot,29,1671.35,0.00,1709.47,1,0.58,1
vllm,few_shot,30,1646.91,65.37,1712.28,2,1.17,1
vllm,few_shot,31,1671.32,0.00,1711.27,1,0.58,1
vllm,few_shot,32,1665.43,61.32,1726.75,2,1.16,1
vllm,few_shot,33,1691.97,0.00,1726.93,1,0.58,1
vllm,few_shot,34,1676.78,51.29,1728.07,2,1.16,1
vllm,few_shot,35,1700.66,0.00,1728.89,1,0.58,1
vllm,few_shot,36,1698.43,0.00,1731.20,1,0.58,1
vllm,few_shot,37,1697.00,0.00,1730.65,1,0.58,1
vllm,few_shot,38,1694.42,0.00,1733.00,1,0.58,1
vllm,few_shot,39,1670.35,65.90,1736.25,2,1.15,1
vllm,few_shot,40,1673.14,65.23,1738.37,2,1.15,1
vllm,few_shot,41,1696.78,0.00,1739.63,1,0.57,1
vllm,few_shot,42,1706.59,0.00,1741.08,1,0.57,1
vllm,few_shot,43,164.32,0.00,164.54,1,6.08,1
vllm,few_shot,44,161.37,0.00,166.75,1,6.00,1
vllm,few_shot,45,1696.73,0.00,1743.48,1,0.57,1
vllm,few_shot,46,1692.11,0.00,1745.10,1,0.57,1
vllm,few_shot,47,151.22,0.00,174.47,1,5.73,1
vllm,few_shot,48,170.54,0.00,170.78,1,5.86,1
vllm,few_shot,49,1734.13,15.97,1750.11,2,1.14,1
vllm,few_shot,50,1666.54,88.34,1754.88,2,1.14,1
vllm,few_shot,51,1746.62,5.08,1751.70,2,1.14,1
vllm,few_shot,52,1722.76,0.00,1753.33,1,0.57,1
vllm,few_shot,53,95.27,0.00,105.42,1,9.49,1
vllm,few_shot,54,1703.63,54.23,1757.86,2,1.14,1
vllm,few_shot,55,1690.64,68.19,1758.83,2,1.14,1
vllm,few_shot,56,1675.17,89.79,1764.96,2,1.13,1
vllm,few_shot,57,1691.95,69.90,1761.85,2,1.14,1
vllm,few_shot,58,147.42,0.00,192.11,1,5.21,1
vllm,few_shot,59,1721.41,0.00,1763.70,1,0.57,1
vllm,few_shot,60,83.55,0.00,93.31,1,10.72,1
vllm,few_shot,61,1689.43,77.63,1767.05,2,1.13,1
vllm,few_shot,62,124.19,0.00,173.59,1,5.76,1
vllm,few_shot,63,139.67,50.19,189.86,2,10.53,1
vllm,few_shot,64,1722.57,0.00,1770.17,1,0.56,1
vllm,few_shot,65,145.11,0.00,199.14,1,5.02,1
vllm,few_shot,66,127.33,0.00,131.48,1,7.61,1
vllm,few_shot,67,1700.27,73.84,1774.12,2,1.13,1
vllm,few_shot,68,117.14,0.00,130.83,1,7.64,1
vllm,few_shot,69,1719.13,0.00,1777.46,1,0.56,1
vllm,few_shot,70,131.66,0.33,132.00,2,15.15,1
vllm,few_shot,71,87.64,24.22,111.87,2,17.88,1
vllm,few_shot,72,90.70,0.00,112.61,1,8.88,1
vllm,few_shot,73,74.86,0.00,111.84,1,8.94,1
vllm,few_shot,74,1701.71,83.58,1785.29,2,1.12,1
vllm,few_shot,75,80.23,0.00,85.20,1,11.74,1
vllm,few_shot,76,1726.67,60.88,1787.54,2,1.12,1
vllm,few_shot,77,115.70,28.51,144.21,2,13.87,1
vllm,few_shot,78,75.50,40.71,116.20,2,17.21,1
vllm,few_shot,79,1699.80,92.76,1792.57,2,1.12,1
vllm,few_shot,80,86.74,0.36,87.10,2,22.96,1
vllm,few_shot,81,82.19,0.00,91.00,1,10.99,1
vllm,few_shot,82,95.85,0.00,100.53,1,9.95,1
vllm,few_shot,83,81.85,0.00,102.67,1,9.74,1
vllm,few_shot,84,69.02,26.41,95.43,2,20.96,1
vllm,few_shot,85,107.66,41.31,148.98,2,13.42,1
vllm,few_shot,86,88.63,0.00,106.40,1,9.40,1
vllm,few_shot,87,93.02,0.00,106.66,1,9.38,1
vllm,few_shot,88,1726.83,78.20,1805.03,2,1.11,1
vllm,few_shot,89,134.65,7.10,141.76,2,14.11,1
vllm,few_shot,90,100.22,0.00,100.45,1,9.96,1
vllm,few_shot,91,66.93,39.82,106.75,2,18.74,1
vllm,few_shot,92,84.44,36.30,120.74,2,16.56,1
vllm,few_shot,93,1718.31,95.11,1813.42,2,1.10,1
vllm,few_shot,94,1710.79,0.00,1816.57,1,0.55,1
