model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-19T15:04:30.746815

Build Times
provider,build_time_s
torchinferno,347.6
vllm,1190.9
sglang,194.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,249.81,158.72,142.30,sglang
ttft_p99_ms,1471.59,929.50,8212.08,vllm
tpot_median_ms,149.48,57.30,72.90,vllm
tpot_p99_ms,204.20,160.60,7411.86,vllm
e2e_median_ms,352.74,217.01,208.35,sglang
e2e_p99_ms,1662.11,990.44,15596.68,vllm
throughput_median_tps,4.20,6.95,5.74,vllm
total_output_tokens,1466,1466,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,268.19,182.33,196.81,vllm
ttft_p99_ms,1570.68,442.93,70389.68,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,301.50,206.66,325.63,vllm
e2e_p99_ms,1650.23,551.54,70492.65,vllm
throughput_median_tps,3.32,4.84,3.07,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,549.23,168.67,155.09,sglang
ttft_p99_ms,1409.61,331.80,754.58,vllm
tpot_median_ms,169.46,54.28,99.59,vllm
tpot_p99_ms,636.38,171.16,249.31,vllm
e2e_median_ms,634.20,217.87,247.46,vllm
e2e_p99_ms,1635.61,413.33,816.09,vllm
throughput_median_tps,1.95,6.42,5.30,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,770.50,146.21,110.90,sglang
ttft_last_turn_ms,494.40,155.97,183.57,vllm
ttft_growth_ratio,0.64,1.07,1.66,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,361.06,57.35,76.31,vllm
ttft_p99_ms,1079.54,133.73,634.00,vllm
tpot_median_ms,130.49,26.74,53.61,vllm
tpot_p99_ms,156.37,41.42,152.95,vllm
e2e_median_ms,471.28,77.76,146.21,vllm
e2e_p99_ms,1192.56,154.54,665.69,vllm
throughput_median_tps,2.92,15.87,9.83,vllm
total_output_tokens,1497,1469,1462,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,754.87,67.52,65.94,sglang
ttft_p99_ms,2254.02,111.21,107.93,sglang
tpot_median_ms,15.90,15.04,22.17,vllm
tpot_p99_ms,65.62,19.00,26.02,vllm
e2e_median_ms,1431.08,598.86,820.31,vllm
e2e_p99_ms,3145.89,1002.11,1582.10,vllm
throughput_median_tps,24.37,59.48,42.44,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,735.43,0.00,925.97,1,1.08,1
torchinferno,few_shot,1,1465.88,0.00,1554.78,1,0.64,1
torchinferno,few_shot,2,1472.75,0.00,1554.85,1,0.64,1
torchinferno,few_shot,3,1467.93,0.00,1549.05,1,0.65,1
torchinferno,few_shot,4,1464.20,0.00,1546.04,1,0.65,1
torchinferno,few_shot,5,1455.94,0.00,1551.10,1,0.64,1
torchinferno,few_shot,6,1468.26,0.00,1564.16,1,0.64,1
torchinferno,few_shot,7,1453.84,0.00,1558.20,1,0.64,1
torchinferno,few_shot,8,1468.99,0.00,1559.80,1,0.64,1
torchinferno,few_shot,9,1473.38,0.00,1572.21,1,0.64,1
torchinferno,few_shot,10,1469.32,0.00,1563.64,1,0.64,1
torchinferno,few_shot,11,1475.75,0.00,1578.00,1,0.63,1
torchinferno,few_shot,12,1472.58,0.00,1578.36,1,0.63,1
torchinferno,few_shot,13,1465.74,0.00,1578.33,1,0.63,1
torchinferno,few_shot,14,1464.63,0.00,1580.58,1,0.63,1
torchinferno,few_shot,15,545.03,0.00,658.33,1,1.52,1
torchinferno,few_shot,16,1463.84,0.00,1577.92,1,0.63,1
torchinferno,few_shot,17,1456.26,0.00,1568.93,1,0.64,1
torchinferno,few_shot,18,1456.26,0.00,1572.22,1,0.64,1
torchinferno,few_shot,19,1463.92,0.00,1573.01,1,0.64,1
torchinferno,few_shot,20,1479.10,0.00,1587.38,1,0.63,1
torchinferno,few_shot,21,1471.59,0.00,1585.39,1,0.63,1
torchinferno,few_shot,22,1452.00,0.00,1576.15,1,0.63,1
torchinferno,few_shot,23,1470.35,0.00,1592.33,1,0.63,1
torchinferno,few_shot,24,1473.22,0.00,1589.54,1,0.63,1
torchinferno,few_shot,25,1463.00,0.00,1584.16,1,0.63,1
torchinferno,few_shot,26,1464.40,0.00,1592.41,1,0.63,1
torchinferno,few_shot,27,1464.33,0.00,1584.78,1,0.63,1
torchinferno,few_shot,28,1460.59,0.00,1586.49,1,0.63,1
torchinferno,few_shot,29,1461.56,0.00,1585.87,1,0.63,1
torchinferno,few_shot,30,1460.47,0.00,1592.75,1,0.63,1
torchinferno,few_shot,31,1464.95,0.00,1592.62,1,0.63,1
torchinferno,few_shot,32,1461.40,0.00,1595.01,1,0.63,1
torchinferno,few_shot,33,1465.51,167.59,1633.10,2,1.22,1
torchinferno,few_shot,34,1470.93,160.34,1631.27,2,1.23,1
torchinferno,few_shot,35,1468.88,165.30,1634.18,2,1.22,1
torchinferno,few_shot,36,1451.39,172.71,1624.11,2,1.23,1
torchinferno,few_shot,37,1464.69,177.50,1642.19,2,1.22,1
torchinferno,few_shot,38,1463.72,175.63,1639.35,2,1.22,1
torchinferno,few_shot,39,1460.61,171.22,1631.84,2,1.23,1
torchinferno,few_shot,40,1461.38,180.13,1641.51,2,1.22,1
torchinferno,few_shot,41,1465.13,179.12,1644.25,2,1.22,1
torchinferno,few_shot,42,1467.83,168.92,1636.75,2,1.22,1
torchinferno,few_shot,43,1455.07,177.82,1632.89,2,1.22,1
torchinferno,few_shot,44,1467.51,172.32,1639.83,2,1.22,1
torchinferno,few_shot,45,1471.52,176.85,1648.37,2,1.21,1
torchinferno,few_shot,46,1456.66,184.58,1641.23,2,1.22,1
torchinferno,few_shot,47,1463.27,175.65,1638.91,2,1.22,1
torchinferno,few_shot,48,1458.71,183.17,1641.88,2,1.22,1
torchinferno,few_shot,49,1463.14,181.25,1644.39,2,1.22,1
torchinferno,few_shot,50,1463.66,192.10,1655.75,2,1.21,1
torchinferno,few_shot,51,1480.62,183.27,1663.89,2,1.20,1
torchinferno,few_shot,52,1451.03,196.44,1647.46,2,1.21,1
torchinferno,few_shot,53,1472.36,189.83,1662.19,2,1.20,1
torchinferno,few_shot,54,1467.06,184.71,1651.77,2,1.21,1
torchinferno,few_shot,55,1467.38,198.78,1666.16,2,1.20,1
torchinferno,few_shot,56,1468.50,196.99,1665.49,2,1.20,1
torchinferno,few_shot,57,1467.86,204.99,1672.86,2,1.20,1
torchinferno,few_shot,58,1457.20,198.93,1656.13,2,1.21,1
torchinferno,few_shot,59,1462.40,194.39,1656.79,2,1.21,1
torchinferno,few_shot,60,1472.25,204.20,1676.46,2,1.19,1
torchinferno,few_shot,61,1456.49,205.63,1662.11,2,1.20,1
torchinferno,few_shot,62,1460.28,205.68,1665.96,2,1.20,1
torchinferno,few_shot,63,1463.96,200.17,1664.13,2,1.20,1
torchinferno,few_shot,64,1465.15,212.48,1677.62,2,1.19,1
torchinferno,few_shot,65,150.17,0.00,209.39,1,4.78,1
torchinferno,few_shot,66,156.89,0.00,222.81,1,4.49,1
torchinferno,few_shot,67,149.53,0.00,215.20,1,4.65,1
torchinferno,few_shot,68,162.61,0.00,233.15,1,4.29,1
torchinferno,few_shot,69,168.94,0.00,239.08,1,4.18,1
torchinferno,few_shot,70,180.85,0.00,248.57,1,4.02,1
torchinferno,few_shot,71,138.04,0.00,214.43,1,4.66,1
torchinferno,few_shot,72,183.73,0.00,256.21,1,3.90,1
torchinferno,few_shot,73,141.87,0.00,218.69,1,4.57,1
torchinferno,few_shot,74,182.66,0.00,256.51,1,3.90,1
torchinferno,few_shot,75,155.85,0.00,232.97,1,4.29,1
torchinferno,few_shot,76,131.29,0.00,216.57,1,4.62,1
torchinferno,few_shot,77,181.73,0.00,268.71,1,3.72,1
torchinferno,few_shot,78,152.78,0.00,240.44,1,4.16,1
torchinferno,few_shot,79,176.81,0.00,260.90,1,3.83,1
torchinferno,few_shot,80,137.26,0.00,226.52,1,4.41,1
torchinferno,few_shot,81,169.93,0.00,254.78,1,3.92,1
torchinferno,few_shot,82,131.03,0.00,217.66,1,4.59,1
torchinferno,few_shot,83,153.88,0.00,245.88,1,4.07,1
torchinferno,few_shot,84,144.71,0.00,238.80,1,4.19,1
torchinferno,few_shot,85,148.51,0.00,238.39,1,4.19,1
torchinferno,few_shot,86,159.64,136.84,296.48,2,6.75,1
torchinferno,few_shot,87,141.20,137.02,278.22,2,7.19,1
torchinferno,few_shot,88,148.00,141.79,289.79,2,6.90,1
torchinferno,few_shot,89,153.47,139.41,292.88,2,6.83,1
torchinferno,few_shot,90,136.92,142.67,279.59,2,7.15,1
torchinferno,few_shot,91,156.15,145.57,301.72,2,6.63,1
torchinferno,few_shot,92,170.26,144.82,315.08,2,6.35,1
torchinferno,few_shot,93,163.78,147.66,311.44,2,6.42,1
torchinferno,few_shot,94,164.96,143.94,308.90,2,6.47,1
torchinferno,few_shot,95,157.43,147.78,305.21,2,6.55,1
torchinferno,few_shot,96,137.47,147.33,284.81,2,7.02,1
torchinferno,few_shot,97,204.46,0.00,267.24,1,3.74,1
torchinferno,few_shot,98,360.45,0.00,425.94,1,2.35,1
torchinferno,few_shot,99,372.53,0.00,436.93,1,2.29,1
torchinferno,few_shot,100,365.09,0.00,428.68,1,2.33,1
torchinferno,few_shot,101,225.18,0.00,287.36,1,3.48,1
torchinferno,few_shot,102,351.60,0.00,416.77,1,2.40,1
torchinferno,few_shot,103,214.62,0.00,285.18,1,3.51,1
torchinferno,few_shot,104,193.70,0.00,265.27,1,3.77,1
