model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-03T07:02:12.235219

Build Times
provider,build_time_s
torchinferno,400.2
vllm,1343.4
sglang,220.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.08,162.84,142.72,sglang
ttft_p99_ms,8579.40,266.99,5324.43,vllm
tpot_median_ms,52.87,57.18,73.68,torchinferno
tpot_p99_ms,380.42,140.08,394.41,vllm
e2e_median_ms,383.22,211.80,209.83,sglang
e2e_p99_ms,8592.61,330.86,5696.54,vllm
throughput_median_tps,3.09,6.86,5.62,vllm
total_output_tokens,1461,1453,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,254.85,257.04,199.55,sglang
ttft_p99_ms,1579.51,3602.98,73464.18,torchinferno
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,355.26,280.33,334.96,vllm
e2e_p99_ms,1702.73,3690.26,73544.45,torchinferno
throughput_median_tps,2.81,3.57,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,870.81,178.31,160.11,sglang
ttft_p99_ms,2214.52,345.17,644.84,vllm
tpot_median_ms,123.26,52.06,103.07,vllm
tpot_p99_ms,682.36,185.97,221.39,vllm
e2e_median_ms,964.51,222.31,251.39,vllm
e2e_p99_ms,2525.69,421.85,690.83,vllm
throughput_median_tps,1.36,6.06,5.29,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1334.29,161.47,106.53,sglang
ttft_last_turn_ms,1330.66,169.76,191.46,vllm
ttft_growth_ratio,1.00,1.05,1.80,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,362.24,62.49,81.69,vllm
ttft_p99_ms,1017.77,158.55,549.02,vllm
tpot_median_ms,31.38,28.04,42.83,vllm
tpot_p99_ms,251.65,124.20,128.43,vllm
e2e_median_ms,389.95,83.80,140.83,vllm
e2e_p99_ms,1091.72,199.20,587.25,vllm
throughput_median_tps,3.54,14.65,9.94,vllm
total_output_tokens,1458,1457,1459,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.98,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,424.48,71.26,76.17,vllm
ttft_p99_ms,1682.08,124.60,140.43,vllm
tpot_median_ms,36.67,14.96,23.62,vllm
tpot_p99_ms,97.99,20.69,29.71,vllm
e2e_median_ms,1687.66,607.14,886.43,vllm
e2e_p99_ms,3475.22,989.65,1733.60,vllm
throughput_median_tps,21.07,58.79,39.45,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,7543.34,0.00,7552.17,1,0.13,1
torchinferno,few_shot,1,7544.88,0.00,7554.98,1,0.13,1
torchinferno,few_shot,2,7545.91,0.00,7559.46,1,0.13,1
torchinferno,few_shot,3,7541.50,0.00,7557.02,1,0.13,1
torchinferno,few_shot,4,7543.98,426.86,7970.84,2,0.25,1
torchinferno,few_shot,5,7547.24,428.85,7976.09,2,0.25,1
torchinferno,few_shot,6,8313.78,0.00,8329.43,1,0.12,1
torchinferno,few_shot,7,8308.45,0.00,8321.62,1,0.12,1
torchinferno,few_shot,8,8310.88,0.00,8336.21,1,0.12,1
torchinferno,few_shot,9,8310.70,0.00,8326.09,1,0.12,1
torchinferno,few_shot,10,8306.34,0.00,8323.94,1,0.12,1
torchinferno,few_shot,11,8312.15,0.00,8327.19,1,0.12,1
torchinferno,few_shot,12,8305.38,0.00,8329.81,1,0.12,1
torchinferno,few_shot,13,8304.16,0.00,8329.87,1,0.12,1
torchinferno,few_shot,14,8313.35,0.00,8341.49,1,0.12,1
torchinferno,few_shot,15,8320.55,25.67,8346.22,2,0.24,1
torchinferno,few_shot,16,8299.63,32.36,8332.00,2,0.24,1
torchinferno,few_shot,17,8303.62,0.00,8335.36,1,0.12,1
torchinferno,few_shot,18,8320.59,0.00,8349.64,1,0.12,1
torchinferno,few_shot,19,8312.80,37.37,8350.17,2,0.24,1
torchinferno,few_shot,20,8310.67,0.00,8351.91,1,0.12,1
torchinferno,few_shot,21,8307.88,44.54,8352.42,2,0.24,1
torchinferno,few_shot,22,8302.79,39.87,8342.67,2,0.24,1
torchinferno,few_shot,23,8314.12,0.00,8355.68,1,0.12,1
torchinferno,few_shot,24,8310.95,45.86,8356.81,2,0.24,1
torchinferno,few_shot,25,8308.71,40.31,8349.02,2,0.24,1
torchinferno,few_shot,26,8308.08,0.00,8350.42,1,0.12,1
torchinferno,few_shot,27,8308.60,45.44,8354.05,2,0.24,1
torchinferno,few_shot,28,8300.74,55.76,8356.50,2,0.24,1
torchinferno,few_shot,29,8317.14,0.00,8369.04,1,0.12,1
torchinferno,few_shot,30,8314.29,58.86,8373.15,2,0.24,1
torchinferno,few_shot,31,8304.57,57.27,8361.84,2,0.24,1
torchinferno,few_shot,32,8310.26,50.85,8361.11,2,0.24,1
torchinferno,few_shot,33,8308.80,0.00,8371.26,1,0.12,1
torchinferno,few_shot,34,8302.95,0.00,8363.11,1,0.12,1
torchinferno,few_shot,35,8302.79,0.00,8361.73,1,0.12,1
torchinferno,few_shot,36,8310.13,0.00,8366.32,1,0.12,1
torchinferno,few_shot,37,8301.70,72.88,8374.58,2,0.24,1
torchinferno,few_shot,38,8298.58,0.00,8371.82,1,0.12,1
torchinferno,few_shot,39,8309.69,77.09,8386.78,2,0.24,1
torchinferno,few_shot,40,8309.14,77.85,8387.00,2,0.24,1
torchinferno,few_shot,41,8308.43,0.00,8380.62,1,0.12,1
torchinferno,few_shot,42,8301.02,75.25,8376.27,2,0.24,1
torchinferno,few_shot,43,8323.50,0.00,8392.58,1,0.12,1
torchinferno,few_shot,44,8316.56,74.43,8390.99,2,0.24,1
torchinferno,few_shot,45,8298.11,82.41,8380.52,2,0.24,1
