model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-13T18:35:04.225941

Build Times
provider,build_time_s
torchinferno,342.0
vllm,1024.6
sglang,158.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,267.43,156.69,137.89,sglang
ttft_p99_ms,1194.26,919.34,6138.28,vllm
tpot_median_ms,275.91,63.89,73.46,vllm
tpot_p99_ms,363.94,141.33,7301.29,vllm
e2e_median_ms,548.11,216.43,204.80,sglang
e2e_p99_ms,1547.11,973.93,13410.50,vllm
throughput_median_tps,2.72,7.14,6.03,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,432.58,203.33,200.96,sglang
ttft_p99_ms,800.14,499.19,70010.82,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,526.24,224.77,335.52,vllm
e2e_p99_ms,929.37,527.57,70125.88,vllm
throughput_median_tps,1.90,4.45,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,653.44,179.37,155.90,sglang
ttft_p99_ms,1313.21,335.93,769.91,vllm
tpot_median_ms,185.46,65.78,98.29,vllm
tpot_p99_ms,495.32,193.81,223.73,vllm
e2e_median_ms,828.67,231.92,256.09,vllm
e2e_p99_ms,1493.08,425.97,844.56,vllm
throughput_median_tps,1.69,6.05,5.23,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,670.68,139.44,104.93,sglang
ttft_last_turn_ms,681.44,173.22,186.80,vllm
ttft_growth_ratio,1.02,1.24,1.78,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,333.24,58.50,75.79,vllm
ttft_p99_ms,793.03,137.19,773.48,vllm
tpot_median_ms,243.54,26.31,55.47,vllm
tpot_p99_ms,360.20,41.23,157.96,vllm
e2e_median_ms,525.31,79.01,149.93,vllm
e2e_p99_ms,944.52,161.53,814.94,vllm
throughput_median_tps,2.60,15.79,9.53,vllm
total_output_tokens,1459,1494,1477,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,68.57,66.51,sglang
ttft_p99_ms,,186.38,113.24,sglang
tpot_median_ms,,14.98,22.54,vllm
tpot_p99_ms,,20.30,26.65,vllm
e2e_median_ms,,610.31,840.59,vllm
e2e_p99_ms,,1008.13,1590.91,vllm
throughput_median_tps,,59.09,41.95,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,475.78,200.42,676.20,2,2.96,1
torchinferno,few_shot,1,1180.48,0.00,1417.36,1,0.71,1
torchinferno,few_shot,2,1186.65,0.00,1425.14,1,0.70,1
torchinferno,few_shot,3,1171.56,0.00,1419.65,1,0.70,1
torchinferno,few_shot,4,1175.68,0.00,1422.03,1,0.70,1
torchinferno,few_shot,5,1185.38,0.00,1440.08,1,0.69,1
torchinferno,few_shot,6,1176.56,0.00,1420.13,1,0.70,1
torchinferno,few_shot,7,1174.98,0.00,1425.00,1,0.70,1
torchinferno,few_shot,8,1183.59,0.00,1444.62,1,0.69,1
torchinferno,few_shot,9,1177.80,0.00,1432.10,1,0.70,1
torchinferno,few_shot,10,1186.76,0.00,1435.81,1,0.70,1
torchinferno,few_shot,11,1189.25,0.00,1450.95,1,0.69,1
torchinferno,few_shot,12,1198.47,0.00,1452.69,1,0.69,1
torchinferno,few_shot,13,1171.02,0.00,1433.41,1,0.70,1
torchinferno,few_shot,14,1194.44,0.00,1457.19,1,0.69,1
torchinferno,few_shot,15,1194.26,0.00,1456.06,1,0.69,1
torchinferno,few_shot,16,1174.24,0.00,1444.78,1,0.69,1
torchinferno,few_shot,17,1175.10,0.00,1447.47,1,0.69,1
torchinferno,few_shot,18,1179.18,0.00,1452.82,1,0.69,1
torchinferno,few_shot,19,1175.62,0.00,1445.65,1,0.69,1
torchinferno,few_shot,20,1173.42,0.00,1443.87,1,0.69,1
torchinferno,few_shot,21,1190.68,0.00,1464.29,1,0.68,1
torchinferno,few_shot,22,1175.09,0.00,1446.86,1,0.69,1
torchinferno,few_shot,23,1171.27,0.00,1449.50,1,0.69,1
torchinferno,few_shot,24,1180.00,0.00,1457.77,1,0.69,1
torchinferno,few_shot,25,1184.36,0.00,1469.64,1,0.68,1
torchinferno,few_shot,26,1172.05,0.00,1445.01,1,0.69,1
torchinferno,few_shot,27,1170.51,0.00,1449.56,1,0.69,1
torchinferno,few_shot,28,1184.78,0.00,1474.86,1,0.68,1
torchinferno,few_shot,29,1182.97,0.00,1465.90,1,0.68,1
torchinferno,few_shot,30,1179.42,0.00,1467.77,1,0.68,1
torchinferno,few_shot,31,1181.93,326.27,1508.20,2,1.33,1
torchinferno,few_shot,32,1174.87,328.95,1503.82,2,1.33,1
torchinferno,few_shot,33,1190.47,338.23,1528.70,2,1.31,1
torchinferno,few_shot,34,1175.19,338.90,1514.10,2,1.32,1
torchinferno,few_shot,35,1184.89,334.77,1519.66,2,1.32,1
torchinferno,few_shot,36,1190.06,330.68,1520.73,2,1.32,1
torchinferno,few_shot,37,1182.84,347.10,1529.95,2,1.31,1
torchinferno,few_shot,38,1172.62,339.84,1512.46,2,1.32,1
torchinferno,few_shot,39,1192.62,343.70,1536.33,2,1.30,1
torchinferno,few_shot,40,1166.80,340.39,1507.19,2,1.33,1
torchinferno,few_shot,41,1177.81,350.32,1528.14,2,1.31,1
torchinferno,few_shot,42,1189.03,340.77,1529.80,2,1.31,1
torchinferno,few_shot,43,1178.57,351.97,1530.53,2,1.31,1
torchinferno,few_shot,44,1177.95,345.97,1523.92,2,1.31,1
torchinferno,few_shot,45,1186.18,345.16,1531.34,2,1.31,1
torchinferno,few_shot,46,1186.91,349.83,1536.74,2,1.30,1
torchinferno,few_shot,47,1183.17,363.94,1547.11,2,1.29,1
torchinferno,few_shot,48,1186.21,364.55,1550.76,2,1.29,1
torchinferno,few_shot,49,1175.37,362.47,1537.84,2,1.30,1
torchinferno,few_shot,50,1192.44,352.26,1544.71,2,1.29,1
torchinferno,few_shot,51,1172.26,363.85,1536.11,2,1.30,1
torchinferno,few_shot,52,1188.02,354.96,1542.98,2,1.30,1
torchinferno,few_shot,53,1176.79,358.59,1535.38,2,1.30,1
torchinferno,few_shot,54,1169.50,367.98,1537.48,2,1.30,1
torchinferno,few_shot,55,1188.13,372.82,1560.95,2,1.28,1
torchinferno,few_shot,56,1178.13,364.27,1542.40,2,1.30,1
torchinferno,few_shot,57,174.86,0.00,394.30,1,2.54,1
torchinferno,few_shot,58,197.49,0.00,426.85,1,2.34,1
torchinferno,few_shot,59,216.81,0.00,437.78,1,2.28,1
torchinferno,few_shot,60,184.10,0.00,409.31,1,2.44,1
torchinferno,few_shot,61,186.62,0.00,421.41,1,2.37,1
torchinferno,few_shot,62,176.76,0.00,407.66,1,2.45,1
torchinferno,few_shot,63,210.91,0.00,438.93,1,2.28,1
torchinferno,few_shot,64,175.84,0.00,412.55,1,2.42,1
torchinferno,few_shot,65,1614.93,0.00,1851.61,1,0.54,1
torchinferno,few_shot,66,207.30,0.00,442.74,1,2.26,1
torchinferno,few_shot,67,174.70,0.00,414.83,1,2.41,1
torchinferno,few_shot,68,186.42,0.00,426.25,1,2.35,1
torchinferno,few_shot,69,196.57,0.00,437.40,1,2.29,1
torchinferno,few_shot,70,181.67,0.00,427.78,1,2.34,1
torchinferno,few_shot,71,968.05,0.00,1210.84,1,0.83,1
torchinferno,few_shot,72,165.94,0.00,415.50,1,2.41,1
torchinferno,few_shot,73,1614.09,0.00,1863.84,1,0.54,1
torchinferno,few_shot,74,195.53,0.00,449.84,1,2.22,1
torchinferno,few_shot,75,203.61,0.00,458.78,1,2.18,1
torchinferno,few_shot,76,176.97,0.00,424.56,1,2.36,1
torchinferno,few_shot,77,174.40,0.00,426.90,1,2.34,1
torchinferno,few_shot,78,193.86,0.00,453.10,1,2.21,1
torchinferno,few_shot,79,189.06,306.18,495.24,2,4.04,1
torchinferno,few_shot,80,1625.22,299.45,1924.67,2,1.04,1
torchinferno,few_shot,81,199.49,302.90,502.39,2,3.98,1
torchinferno,few_shot,82,185.21,310.88,496.09,2,4.03,1
torchinferno,few_shot,83,1611.37,312.84,1924.21,2,1.04,1
torchinferno,few_shot,84,1609.44,317.59,1927.03,2,1.04,1
torchinferno,few_shot,85,188.60,312.54,501.14,2,3.99,1
torchinferno,few_shot,86,179.97,316.23,496.20,2,4.03,1
torchinferno,few_shot,87,180.34,316.38,496.72,2,4.03,1
torchinferno,few_shot,88,169.50,318.95,488.46,2,4.09,1
torchinferno,few_shot,89,163.12,323.08,486.20,2,4.11,1
torchinferno,few_shot,90,202.50,320.01,522.51,2,3.83,1
torchinferno,few_shot,91,167.86,319.17,487.03,2,4.11,1
torchinferno,few_shot,92,1618.25,325.44,1943.69,2,1.03,1
torchinferno,few_shot,93,1609.34,330.99,1940.33,2,1.03,1
torchinferno,few_shot,94,193.08,324.92,517.99,2,3.86,1
torchinferno,few_shot,95,566.78,0.00,792.59,1,1.26,1
torchinferno,few_shot,96,190.32,0.00,427.51,1,2.34,1
torchinferno,few_shot,97,214.29,0.00,451.51,1,2.21,1
torchinferno,few_shot,98,560.80,0.00,805.29,1,1.24,1
torchinferno,few_shot,99,530.03,0.00,775.48,1,1.29,1
torchinferno,few_shot,100,199.57,0.00,445.64,1,2.24,1
torchinferno,few_shot,101,556.12,0.00,800.37,1,1.25,1
torchinferno,few_shot,102,563.68,0.00,806.62,1,1.24,1
torchinferno,few_shot,103,209.96,0.00,457.61,1,2.19,1
torchinferno,few_shot,104,557.27,0.00,814.65,1,1.23,1
torchinferno,few_shot,105,575.31,0.00,819.98,1,1.22,1
torchinferno,few_shot,106,530.85,0.00,787.62,1,1.27,1
torchinferno,few_shot,107,210.80,0.00,462.90,1,2.16,1
