model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-27T19:07:33.775479

Build Times
provider,build_time_s
torchinferno,368.1
vllm,1394.2
sglang,194.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,254.72,162.52,146.84,sglang
ttft_p99_ms,1232.26,517.04,5623.43,vllm
tpot_median_ms,61.11,59.48,74.87,vllm
tpot_p99_ms,133.62,152.44,7413.95,torchinferno
e2e_median_ms,317.74,214.04,216.64,vllm
e2e_p99_ms,1324.68,633.40,13018.26,vllm
throughput_median_tps,4.21,6.72,5.44,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,282.18,205.50,202.05,sglang
ttft_p99_ms,521.99,523.88,71600.28,torchinferno
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,322.97,228.76,342.27,vllm
e2e_p99_ms,566.22,531.69,71688.43,vllm
throughput_median_tps,3.10,4.37,2.92,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,733.57,173.37,162.89,sglang
ttft_p99_ms,2394.14,344.25,659.31,vllm
tpot_median_ms,56.74,61.13,100.59,torchinferno
tpot_p99_ms,111.76,199.61,231.73,torchinferno
e2e_median_ms,795.65,228.74,265.65,vllm
e2e_p99_ms,2413.64,421.62,731.53,vllm
throughput_median_tps,1.56,6.03,5.03,vllm
total_output_tokens,1448,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,897.98,146.80,107.49,sglang
ttft_last_turn_ms,1566.15,165.12,192.19,vllm
ttft_growth_ratio,1.74,1.12,1.79,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,163.53,60.32,78.88,vllm
ttft_p99_ms,431.05,121.21,653.12,vllm
tpot_median_ms,29.64,27.39,62.76,vllm
tpot_p99_ms,81.01,81.26,673.36,torchinferno
e2e_median_ms,189.85,80.85,144.58,vllm
e2e_p99_ms,465.44,155.63,748.59,vllm
throughput_median_tps,6.52,15.11,9.42,vllm
total_output_tokens,1466,1454,1467,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,648.22,70.09,77.75,vllm
ttft_p99_ms,1991.19,122.92,172.39,vllm
tpot_median_ms,14.84,15.08,23.75,torchinferno
tpot_p99_ms,31.98,20.11,28.81,vllm
e2e_median_ms,1205.06,612.74,902.26,vllm
e2e_p99_ms,3035.10,1022.94,1712.33,vllm
throughput_median_tps,27.12,58.88,39.17,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1125.99,0.00,1136.83,1,0.88,1
torchinferno,few_shot,1,1126.58,0.00,1138.08,1,0.88,1
torchinferno,few_shot,2,1127.23,0.00,1141.53,1,0.88,1
torchinferno,few_shot,3,1225.38,0.00,1242.13,1,0.81,1
torchinferno,few_shot,4,1229.31,0.00,1248.71,1,0.80,1
torchinferno,few_shot,5,1226.06,0.00,1244.20,1,0.80,1
torchinferno,few_shot,6,1224.66,0.00,1250.95,1,0.80,1
torchinferno,few_shot,7,1225.40,0.00,1247.58,1,0.80,1
torchinferno,few_shot,8,1226.34,0.00,1250.78,1,0.80,1
torchinferno,few_shot,9,1219.49,0.00,1249.34,1,0.80,1
torchinferno,few_shot,10,1219.56,30.75,1250.31,2,1.60,1
torchinferno,few_shot,11,1224.84,0.00,1258.96,1,0.79,1
torchinferno,few_shot,12,1231.85,0.00,1253.69,1,0.80,1
torchinferno,few_shot,13,1232.39,25.30,1257.69,2,1.59,1
torchinferno,few_shot,14,1231.55,0.00,1259.31,1,0.79,1
torchinferno,few_shot,15,1228.04,0.00,1261.06,1,0.79,1
torchinferno,few_shot,16,1221.17,0.00,1261.87,1,0.79,1
torchinferno,few_shot,17,1234.72,0.00,1267.98,1,0.79,1
torchinferno,few_shot,18,1225.72,41.87,1267.59,2,1.58,1
torchinferno,few_shot,19,1226.58,0.00,1271.42,1,0.79,1
torchinferno,few_shot,20,1230.74,0.00,1270.91,1,0.79,1
torchinferno,few_shot,21,1228.40,43.51,1271.91,2,1.57,1
torchinferno,few_shot,22,1226.50,0.00,1273.33,1,0.79,1
torchinferno,few_shot,23,1230.12,46.93,1277.05,2,1.57,1
torchinferno,few_shot,24,1235.15,44.34,1279.48,2,1.56,1
torchinferno,few_shot,25,1232.02,0.00,1279.73,1,0.78,1
torchinferno,few_shot,26,1225.93,55.63,1281.56,2,1.56,1
torchinferno,few_shot,27,1227.59,0.00,1282.40,1,0.78,1
torchinferno,few_shot,28,1222.21,57.95,1280.16,2,1.56,1
torchinferno,few_shot,29,1231.92,48.19,1280.12,2,1.56,1
torchinferno,few_shot,30,1222.02,0.00,1282.73,1,0.78,1
torchinferno,few_shot,31,1224.88,0.00,1282.59,1,0.78,1
torchinferno,few_shot,32,1222.18,66.49,1288.67,2,1.55,1
torchinferno,few_shot,33,1225.72,71.36,1297.08,2,1.54,1
torchinferno,few_shot,34,1230.49,66.53,1297.01,2,1.54,1
torchinferno,few_shot,35,1241.08,64.16,1305.25,2,1.53,1
torchinferno,few_shot,36,1232.26,0.00,1300.72,1,0.77,1
torchinferno,few_shot,37,1240.08,0.00,1308.54,1,0.76,1
torchinferno,few_shot,38,1226.83,83.64,1310.47,2,1.53,1
torchinferno,few_shot,39,1221.58,82.26,1303.85,2,1.53,1
torchinferno,few_shot,40,1227.26,0.00,1309.94,1,0.76,1
torchinferno,few_shot,41,1222.14,83.16,1305.31,2,1.53,1
torchinferno,few_shot,42,1221.74,86.34,1308.07,2,1.53,1
torchinferno,few_shot,43,1222.25,84.36,1306.61,2,1.53,1
torchinferno,few_shot,44,1226.52,80.23,1306.75,2,1.53,1
torchinferno,few_shot,45,1228.95,81.69,1310.64,2,1.53,1
