model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T17:03:21.972813

Build Times
provider,build_time_s
torchinferno,392.6
vllm,1307.9
sglang,214.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,313.16,158.54,139.03,sglang
ttft_p99_ms,1957.61,938.12,4719.48,vllm
tpot_median_ms,152.17,54.53,69.80,vllm
tpot_p99_ms,230.87,160.28,7315.66,vllm
e2e_median_ms,425.24,207.53,207.41,sglang
e2e_p99_ms,2150.15,979.03,12003.65,vllm
throughput_median_tps,3.38,7.16,5.68,vllm
total_output_tokens,1461,1461,1465,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,298.23,203.53,197.79,sglang
ttft_p99_ms,1642.58,360.53,70742.77,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,328.48,230.34,333.68,vllm
e2e_p99_ms,1708.83,433.61,70850.82,vllm
throughput_median_tps,3.04,4.34,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,782.37,177.11,158.38,sglang
ttft_p99_ms,2308.36,333.57,824.65,vllm
tpot_median_ms,185.00,61.35,102.12,vllm
tpot_p99_ms,681.53,174.19,235.75,vllm
e2e_median_ms,889.79,227.68,254.77,vllm
e2e_p99_ms,2548.75,416.74,953.38,vllm
throughput_median_tps,1.42,6.16,5.15,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1133.23,139.51,111.72,sglang
ttft_last_turn_ms,657.81,171.61,166.27,sglang
ttft_growth_ratio,0.58,1.23,1.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.54,58.20,77.84,vllm
ttft_p99_ms,1028.81,134.48,496.45,vllm
tpot_median_ms,130.64,27.10,56.67,vllm
tpot_p99_ms,154.67,99.10,475.43,vllm
e2e_median_ms,439.48,79.51,147.25,vllm
e2e_p99_ms,1150.86,164.54,572.51,vllm
throughput_median_tps,2.96,15.69,9.59,vllm
total_output_tokens,1462,1466,1476,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,902.58,75.75,67.75,sglang
ttft_p99_ms,2641.78,166.22,108.53,sglang
tpot_median_ms,16.08,15.04,22.68,vllm
tpot_p99_ms,70.01,21.43,26.90,vllm
e2e_median_ms,1624.48,616.03,842.43,vllm
e2e_p99_ms,3944.22,1020.30,1596.07,vllm
throughput_median_tps,20.86,57.81,41.50,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1013.77,266.98,1280.75,2,1.56,1
torchinferno,few_shot,1,1939.78,0.00,2031.11,1,0.49,1
torchinferno,few_shot,2,1939.60,0.00,2035.02,1,0.49,1
torchinferno,few_shot,3,1943.08,0.00,2040.90,1,0.49,1
torchinferno,few_shot,4,1953.14,0.00,2042.49,1,0.49,1
torchinferno,few_shot,5,1958.48,0.00,2046.41,1,0.49,1
torchinferno,few_shot,6,1945.03,0.00,2054.15,1,0.49,1
torchinferno,few_shot,7,1966.71,0.00,2054.67,1,0.49,1
torchinferno,few_shot,8,1954.34,0.00,2058.60,1,0.49,1
torchinferno,few_shot,9,1951.62,0.00,2053.99,1,0.49,1
torchinferno,few_shot,10,1940.86,0.00,2056.94,1,0.49,1
torchinferno,few_shot,11,1953.63,0.00,2057.59,1,0.49,1
torchinferno,few_shot,12,1959.48,0.00,2063.36,1,0.48,1
torchinferno,few_shot,13,1959.38,0.00,2060.78,1,0.49,1
torchinferno,few_shot,14,1943.85,0.00,2061.51,1,0.49,1
torchinferno,few_shot,15,1956.81,0.00,2066.28,1,0.48,1
torchinferno,few_shot,16,1948.21,0.00,2065.06,1,0.48,1
torchinferno,few_shot,17,1951.89,0.00,2067.27,1,0.48,1
torchinferno,few_shot,18,1967.67,0.00,2074.52,1,0.48,1
torchinferno,few_shot,19,1941.97,0.00,2075.04,1,0.48,1
torchinferno,few_shot,20,1938.73,0.00,2071.40,1,0.48,1
torchinferno,few_shot,21,1943.36,0.00,2072.06,1,0.48,1
torchinferno,few_shot,22,1943.60,0.00,2075.96,1,0.48,1
torchinferno,few_shot,23,1945.25,0.00,2076.46,1,0.48,1
torchinferno,few_shot,24,673.07,0.00,804.95,1,1.24,1
torchinferno,few_shot,25,1952.58,0.00,2084.97,1,0.48,1
torchinferno,few_shot,26,1953.39,0.00,2080.20,1,0.48,1
torchinferno,few_shot,27,1946.11,0.00,2084.80,1,0.48,1
torchinferno,few_shot,28,1957.68,0.00,2085.22,1,0.48,1
torchinferno,few_shot,29,1954.74,0.00,2086.54,1,0.48,1
torchinferno,few_shot,30,1948.71,0.00,2096.45,1,0.48,1
torchinferno,few_shot,31,1946.24,0.00,2095.03,1,0.48,1
torchinferno,few_shot,32,1948.21,0.00,2106.70,1,0.47,1
torchinferno,few_shot,33,1950.37,156.93,2107.29,2,0.95,1
torchinferno,few_shot,34,1947.59,155.40,2102.99,2,0.95,1
torchinferno,few_shot,35,1943.10,0.00,2104.99,1,0.48,1
torchinferno,few_shot,36,1947.29,160.07,2107.36,2,0.95,1
torchinferno,few_shot,37,1950.93,157.79,2108.72,2,0.95,1
torchinferno,few_shot,38,1941.21,172.84,2114.05,2,0.95,1
torchinferno,few_shot,39,1947.12,163.88,2111.00,2,0.95,1
torchinferno,few_shot,40,1958.25,160.59,2118.84,2,0.94,1
torchinferno,few_shot,41,1946.85,174.71,2121.56,2,0.94,1
torchinferno,few_shot,42,1951.33,169.36,2120.68,2,0.94,1
torchinferno,few_shot,43,1952.76,173.51,2126.27,2,0.94,1
torchinferno,few_shot,44,1943.77,184.50,2128.26,2,0.94,1
torchinferno,few_shot,45,1961.72,169.66,2131.39,2,0.94,1
