model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T05:02:26.184757+00:00

Build Times
provider,build_time_s
torchinferno,49.4
vllm,349.6
sglang,185.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,140.11,84.55,87.26,vllm
ttft_p99_ms,713.56,203.33,564.84,vllm
tpot_median_ms,31.60,41.32,77.81,torchinferno
tpot_p99_ms,46.09,126.60,831.61,torchinferno
e2e_median_ms,163.73,123.87,152.62,vllm
e2e_p99_ms,729.64,236.59,928.83,vllm
throughput_median_tps,7.09,11.29,8.50,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,64.61,75.12,161.06,torchinferno
ttft_p99_ms,334.71,439.60,70236.99,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,81.56,93.55,235.42,torchinferno
e2e_p99_ms,360.15,464.91,70277.46,torchinferno
throughput_median_tps,12.26,10.69,4.25,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,195.38,72.51,98.48,vllm
ttft_p99_ms,1010.80,145.71,595.46,vllm
tpot_median_ms,35.05,35.28,75.24,torchinferno
tpot_p99_ms,50.93,87.86,911.43,torchinferno
e2e_median_ms,223.53,97.44,163.24,vllm
e2e_p99_ms,1036.68,191.72,956.34,vllm
throughput_median_tps,5.12,13.33,8.22,vllm
total_output_tokens,1467,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,429.58,72.76,79.42,vllm
ttft_last_turn_ms,200.92,76.65,98.01,vllm
ttft_growth_ratio,0.47,1.05,1.23,torchinferno
ttft_first_turn_median_ms,230.05,72.21,76.56,vllm
ttft_first_turn_p99_ms,1090.17,126.77,118.34,sglang
ttft_last_turn_median_ms,194.01,70.80,95.02,vllm
ttft_last_turn_p99_ms,301.06,145.10,136.03,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.40,35.29,60.32,vllm
ttft_p99_ms,749.82,103.41,197.95,vllm
tpot_median_ms,34.47,22.84,465.44,vllm
tpot_p99_ms,71.69,34.94,1143.16,vllm
e2e_median_ms,74.41,52.98,504.47,vllm
e2e_p99_ms,784.49,147.30,1236.47,vllm
throughput_median_tps,19.60,25.07,2.82,vllm
total_output_tokens,1458,1469,1458,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.60,46.35,55.48,vllm
ttft_p99_ms,459.47,62.89,117.95,vllm
tpot_median_ms,19.22,15.31,27.76,vllm
tpot_p99_ms,24.82,16.75,102.37,vllm
e2e_median_ms,870.26,575.47,1064.31,vllm
e2e_p99_ms,1511.87,1041.67,1941.60,vllm
throughput_median_tps,40.54,61.36,34.96,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,775.68,0.00,787.52,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,793.06,23.95,817.01,2,2.45,1,,,,,,,0,,,
torchinferno,few_shot,4,2,797.83,0.00,812.27,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,8,3,729.83,0.00,745.30,1,1.34,1,,,,,,,8,,,
torchinferno,few_shot,11,4,679.46,0.00,695.02,1,1.44,1,,,,,,,11,,,
torchinferno,few_shot,9,5,713.56,0.00,729.64,1,1.37,1,,,,,,,9,,,
torchinferno,few_shot,25,6,440.30,0.00,456.79,1,2.19,1,,,,,,,25,,,
torchinferno,few_shot,12,7,664.98,0.00,679.70,1,1.47,1,,,,,,,12,,,
torchinferno,few_shot,7,8,749.56,0.00,765.39,1,1.31,1,,,,,,,7,,,
torchinferno,few_shot,31,9,339.34,0.00,355.81,1,2.81,1,,,,,,,31,,,
torchinferno,few_shot,26,10,423.32,0.00,442.37,1,2.26,1,,,,,,,26,,,
torchinferno,few_shot,10,11,697.20,0.00,716.32,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,17,12,577.77,0.00,596.99,1,1.68,1,,,,,,,17,,,
torchinferno,few_shot,5,13,781.11,0.00,803.48,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,28,14,389.81,0.00,412.56,1,2.42,1,,,,,,,28,,,
torchinferno,few_shot,29,15,374.06,0.00,396.70,1,2.52,1,,,,,,,29,,,
torchinferno,few_shot,32,16,321.35,26.73,348.08,2,5.75,1,,,,,,,32,,,
torchinferno,few_shot,15,17,612.74,27.02,639.76,2,3.13,1,,,,,,,15,,,
torchinferno,few_shot,18,18,560.09,28.66,588.76,2,3.40,1,,,,,,,18,,,
torchinferno,few_shot,33,19,304.68,28.34,333.02,2,6.01,1,,,,,,,33,,,
torchinferno,few_shot,6,20,766.61,27.96,794.57,2,2.52,1,,,,,,,6,,,
torchinferno,few_shot,21,21,510.81,28.68,539.49,2,3.71,1,,,,,,,21,,,
torchinferno,few_shot,20,22,527.29,29.88,557.17,2,3.59,1,,,,,,,20,,,
torchinferno,few_shot,23,23,477.00,29.35,506.35,2,3.95,1,,,,,,,23,,,
torchinferno,few_shot,24,24,457.78,0.00,489.85,1,2.04,1,,,,,,,24,,,
torchinferno,few_shot,2,25,834.87,32.42,867.29,2,2.31,1,,,,,,,2,,,
torchinferno,few_shot,13,26,644.76,35.21,679.97,2,2.94,1,,,,,,,13,,,
torchinferno,few_shot,30,27,355.81,33.78,389.60,2,5.13,1,,,,,,,30,,,
torchinferno,few_shot,14,28,630.26,33.64,663.90,2,3.01,1,,,,,,,14,,,
torchinferno,few_shot,27,29,407.69,34.56,442.25,2,4.52,1,,,,,,,27,,,
torchinferno,few_shot,3,30,816.96,36.30,853.25,2,2.34,1,,,,,,,3,,,
torchinferno,few_shot,19,31,542.99,38.30,581.29,2,3.44,1,,,,,,,19,,,
torchinferno,few_shot,16,32,593.95,40.89,634.85,2,3.15,1,,,,,,,16,,,
torchinferno,few_shot,22,33,493.91,40.65,534.56,2,3.74,1,,,,,,,22,,,
torchinferno,few_shot,37,34,315.72,0.00,328.30,1,3.05,1,,,,,,,37,,,
torchinferno,few_shot,65,35,130.44,0.00,144.44,1,6.92,1,,,,,,,65,,,
torchinferno,few_shot,47,36,144.52,0.00,159.66,1,6.26,1,,,,,,,47,,,
torchinferno,few_shot,71,37,64.28,0.00,77.90,1,12.84,1,,,,,,,71,,,
torchinferno,few_shot,48,38,130.55,0.00,144.03,1,6.94,1,,,,,,,48,,,
torchinferno,few_shot,46,39,162.28,0.00,179.14,1,5.58,1,,,,,,,46,,,
torchinferno,few_shot,67,40,66.36,0.00,82.49,1,12.12,1,,,,,,,67,,,
torchinferno,few_shot,66,41,67.11,0.00,84.16,1,11.88,1,,,,,,,66,,,
torchinferno,few_shot,38,42,297.84,0.00,317.21,1,3.15,1,,,,,,,38,,,
torchinferno,few_shot,34,43,368.76,0.00,386.03,1,2.59,1,,,,,,,34,,,
torchinferno,few_shot,64,44,143.81,0.00,162.56,1,6.15,1,,,,,,,64,,,
torchinferno,few_shot,74,45,61.53,0.00,81.59,1,12.26,1,,,,,,,74,,,
torchinferno,few_shot,39,46,283.73,0.00,303.76,1,3.29,1,,,,,,,39,,,
torchinferno,few_shot,35,47,352.04,0.00,372.35,1,2.69,1,,,,,,,35,,,
torchinferno,few_shot,76,48,61.28,0.00,83.25,1,12.01,1,,,,,,,76,,,
torchinferno,few_shot,68,49,64.90,0.00,88.67,1,11.28,1,,,,,,,68,,,
torchinferno,few_shot,42,50,231.06,0.00,255.08,1,3.92,1,,,,,,,42,,,
torchinferno,few_shot,72,51,62.21,0.00,87.39,1,11.44,1,,,,,,,72,,,
torchinferno,few_shot,43,52,212.88,0.00,240.31,1,4.16,1,,,,,,,43,,,
torchinferno,few_shot,36,53,331.51,28.88,360.39,2,5.55,1,,,,,,,36,,,
torchinferno,few_shot,44,54,196.21,29.30,225.51,2,8.87,1,,,,,,,44,,,
torchinferno,few_shot,78,55,58.05,28.41,86.46,2,23.13,1,,,,,,,78,,,
torchinferno,few_shot,50,56,94.13,29.67,123.80,2,16.15,1,,,,,,,50,,,
torchinferno,few_shot,75,57,61.06,30.47,91.53,2,21.85,1,,,,,,,75,,,
torchinferno,few_shot,51,58,76.66,31.67,108.34,2,18.46,1,,,,,,,51,,,
torchinferno,few_shot,45,59,181.21,33.55,214.76,2,9.31,1,,,,,,,45,,,
torchinferno,few_shot,70,60,64.11,35.24,99.36,2,20.13,1,,,,,,,70,,,
torchinferno,few_shot,41,61,247.99,0.00,284.11,1,3.52,1,,,,,,,41,,,
torchinferno,few_shot,49,62,113.07,35.24,148.31,2,13.48,1,,,,,,,49,,,
torchinferno,few_shot,73,63,63.45,36.27,99.72,2,20.06,1,,,,,,,73,,,
torchinferno,few_shot,40,64,263.73,39.51,303.24,2,6.60,1,,,,,,,40,,,
torchinferno,few_shot,69,65,64.10,0.00,105.37,1,9.49,1,,,,,,,69,,,
torchinferno,few_shot,80,66,138.98,0.00,150.14,1,6.66,1,,,,,,,80,,,
torchinferno,few_shot,81,67,135.73,0.00,150.15,1,6.66,1,,,,,,,81,,,
torchinferno,few_shot,102,68,69.10,0.00,83.33,1,12.00,1,,,,,,,102,,,
torchinferno,few_shot,100,69,71.17,0.00,85.16,1,11.74,1,,,,,,,100,,,
torchinferno,few_shot,87,70,131.51,0.00,148.49,1,6.73,1,,,,,,,87,,,
torchinferno,few_shot,86,71,135.16,0.00,149.55,1,6.69,1,,,,,,,86,,,
torchinferno,few_shot,85,72,135.09,0.00,150.72,1,6.63,1,,,,,,,85,,,
torchinferno,few_shot,53,73,114.41,0.00,130.04,1,7.69,1,,,,,,,53,,,
torchinferno,few_shot,55,74,77.40,0.00,96.31,1,10.38,1,,,,,,,55,,,
torchinferno,few_shot,101,75,70.75,0.00,88.80,1,11.26,1,,,,,,,101,,,
torchinferno,few_shot,95,76,126.25,0.00,147.25,1,6.79,1,,,,,,,95,,,
torchinferno,few_shot,105,77,68.23,0.00,88.32,1,11.32,1,,,,,,,105,,,
torchinferno,few_shot,92,78,128.24,0.00,151.68,1,6.59,1,,,,,,,92,,,
torchinferno,few_shot,89,79,130.96,0.00,153.97,1,6.49,1,,,,,,,89,,,
torchinferno,few_shot,90,80,129.31,0.00,155.50,1,6.43,1,,,,,,,90,,,
torchinferno,few_shot,96,81,123.71,0.00,150.14,1,6.66,1,,,,,,,96,,,
torchinferno,few_shot,88,82,132.41,0.00,158.47,1,6.31,1,,,,,,,88,,,
torchinferno,few_shot,107,83,65.05,27.46,92.51,2,21.62,1,,,,,,,107,,,
torchinferno,few_shot,106,84,68.04,0.00,94.11,1,10.63,1,,,,,,,106,,,
torchinferno,few_shot,82,85,136.95,0.00,165.08,1,6.06,1,,,,,,,82,,,
torchinferno,few_shot,104,86,67.30,30.26,97.56,2,20.50,1,,,,,,,104,,,
torchinferno,few_shot,94,87,127.81,29.87,157.67,2,12.68,1,,,,,,,94,,,
torchinferno,few_shot,91,88,128.79,32.26,161.05,2,12.42,1,,,,,,,91,,,
torchinferno,few_shot,79,89,138.39,33.12,171.51,2,11.66,1,,,,,,,79,,,
torchinferno,few_shot,77,90,143.44,32.48,175.91,2,11.37,1,,,,,,,77,,,
torchinferno,few_shot,93,91,127.38,35.49,162.87,2,12.28,1,,,,,,,93,,,
torchinferno,few_shot,83,92,134.53,35.84,170.38,2,11.74,1,,,,,,,83,,,
torchinferno,few_shot,84,93,136.22,34.26,170.49,2,11.73,1,,,,,,,84,,,
torchinferno,few_shot,103,94,68.87,35.81,104.68,2,19.11,1,,,,,,,103,,,
torchinferno,few_shot,52,95,140.95,37.84,178.78,2,11.19,1,,,,,,,52,,,
torchinferno,few_shot,97,96,123.14,0.00,162.13,1,6.17,1,,,,,,,97,,,
torchinferno,few_shot,54,97,96.12,42.00,138.11,2,14.48,1,,,,,,,54,,,
torchinferno,few_shot,98,98,153.54,0.00,165.22,1,6.05,1,,,,,,,98,,,
torchinferno,few_shot,127,99,130.01,0.00,140.74,1,7.11,1,,,,,,,127,,,
torchinferno,few_shot,57,100,103.33,0.00,115.87,1,8.63,1,,,,,,,57,,,
torchinferno,few_shot,117,101,137.62,0.00,152.05,1,6.58,1,,,,,,,117,,,
torchinferno,few_shot,119,102,135.87,0.00,150.54,1,6.64,1,,,,,,,119,,,
torchinferno,few_shot,115,103,142.72,0.00,155.81,1,6.42,1,,,,,,,115,,,
torchinferno,few_shot,109,104,147.61,0.00,160.97,1,6.21,1,,,,,,,109,,,
torchinferno,few_shot,122,105,135.69,0.00,149.43,1,6.69,1,,,,,,,122,,,
torchinferno,few_shot,58,106,86.88,0.00,102.80,1,9.73,1,,,,,,,58,,,
torchinferno,few_shot,123,107,130.90,0.00,148.09,1,6.75,1,,,,,,,123,,,
torchinferno,few_shot,112,108,144.31,0.00,160.75,1,6.22,1,,,,,,,112,,,
torchinferno,few_shot,113,109,140.42,0.00,160.72,1,6.22,1,,,,,,,113,,,
torchinferno,few_shot,131,110,68.61,0.00,88.41,1,11.31,1,,,,,,,131,,,
torchinferno,few_shot,130,111,70.40,0.00,89.98,1,11.11,1,,,,,,,130,,,
torchinferno,few_shot,129,112,126.51,0.00,147.03,1,6.80,1,,,,,,,129,,,
torchinferno,few_shot,136,113,67.03,0.00,88.16,1,11.34,1,,,,,,,136,,,
torchinferno,few_shot,110,114,146.08,0.00,169.06,1,5.91,1,,,,,,,110,,,
torchinferno,few_shot,116,115,138.35,26.99,165.33,2,12.10,1,,,,,,,116,,,
torchinferno,few_shot,120,116,136.59,25.38,161.97,2,12.35,1,,,,,,,120,,,
torchinferno,few_shot,125,117,128.65,28.09,156.73,2,12.76,1,,,,,,,125,,,
torchinferno,few_shot,118,118,137.98,26.83,164.81,2,12.13,1,,,,,,,118,,,
torchinferno,few_shot,111,119,142.16,30.06,172.22,2,11.61,1,,,,,,,111,,,
torchinferno,few_shot,124,120,130.57,29.07,159.64,2,12.53,1,,,,,,,124,,,
torchinferno,few_shot,114,121,141.38,30.16,171.54,2,11.66,1,,,,,,,114,,,
torchinferno,few_shot,132,122,67.48,30.37,97.85,2,20.44,1,,,,,,,132,,,
torchinferno,few_shot,56,123,135.19,30.10,165.30,2,12.10,1,,,,,,,56,,,
torchinferno,few_shot,126,124,127.42,33.68,161.10,2,12.41,1,,,,,,,126,,,
torchinferno,few_shot,121,125,137.67,30.20,167.87,2,11.91,1,,,,,,,121,,,
torchinferno,few_shot,128,126,128.78,33.22,162.00,2,12.35,1,,,,,,,128,,,
torchinferno,few_shot,133,127,66.63,0.00,101.84,1,9.82,1,,,,,,,133,,,
torchinferno,few_shot,99,128,151.17,41.50,192.67,2,10.38,1,,,,,,,99,,,
torchinferno,few_shot,108,129,144.19,44.04,188.23,2,10.63,1,,,,,,,108,,,
torchinferno,few_shot,138,130,141.99,0.00,156.15,1,6.40,1,,,,,,,138,,,
torchinferno,few_shot,60,131,116.45,0.00,129.91,1,7.70,1,,,,,,,60,,,
torchinferno,few_shot,153,132,132.51,0.00,145.43,1,6.88,1,,,,,,,153,,,
torchinferno,few_shot,157,133,126.74,0.00,142.62,1,7.01,1,,,,,,,157,,,
torchinferno,few_shot,142,134,138.57,0.00,156.47,1,6.39,1,,,,,,,142,,,
torchinferno,few_shot,134,135,146.58,0.00,163.51,1,6.12,1,,,,,,,134,,,
torchinferno,few_shot,158,136,126.24,0.00,143.11,1,6.99,1,,,,,,,158,,,
torchinferno,few_shot,137,137,145.71,0.00,163.08,1,6.13,1,,,,,,,137,,,
torchinferno,few_shot,145,138,135.35,0.00,156.23,1,6.40,1,,,,,,,145,,,
torchinferno,few_shot,159,139,125.50,0.00,146.29,1,6.84,1,,,,,,,159,,,
torchinferno,few_shot,148,140,137.13,0.00,157.02,1,6.37,1,,,,,,,148,,,
torchinferno,few_shot,160,141,123.40,0.00,144.69,1,6.91,1,,,,,,,160,,,
torchinferno,few_shot,141,142,142.00,24.80,166.80,2,11.99,1,,,,,,,141,,,
torchinferno,few_shot,156,143,126.79,0.00,154.06,1,6.49,1,,,,,,,156,,,
torchinferno,few_shot,143,144,137.64,28.90,166.53,2,12.01,1,,,,,,,143,,,
torchinferno,few_shot,140,145,142.62,26.85,169.47,2,11.80,1,,,,,,,140,,,
torchinferno,few_shot,151,146,130.52,30.28,160.79,2,12.44,1,,,,,,,151,,,
torchinferno,few_shot,150,147,133.64,28.36,162.01,2,12.35,1,,,,,,,150,,,
torchinferno,few_shot,154,148,129.01,31.20,160.21,2,12.48,1,,,,,,,154,,,
torchinferno,few_shot,155,149,130.08,29.42,159.50,2,12.54,1,,,,,,,155,,,
torchinferno,few_shot,144,150,137.82,31.24,169.06,2,11.83,1,,,,,,,144,,,
torchinferno,few_shot,149,151,133.56,32.20,165.76,2,12.07,1,,,,,,,149,,,
torchinferno,few_shot,161,152,121.88,31.00,152.88,2,13.08,1,,,,,,,161,,,
torchinferno,few_shot,168,153,66.14,33.34,99.48,2,20.10,1,,,,,,,168,,,
torchinferno,few_shot,152,154,130.97,35.07,166.03,2,12.05,1,,,,,,,152,,,
torchinferno,few_shot,146,155,135.01,36.98,171.99,2,11.63,1,,,,,,,146,,,
torchinferno,few_shot,139,156,142.32,38.19,180.50,2,11.08,1,,,,,,,139,,,
torchinferno,few_shot,61,157,100.40,36.73,137.12,2,14.59,1,,,,,,,61,,,
torchinferno,few_shot,147,158,133.74,20.62,174.98,3,17.14,0,,,,,,,147,,,
torchinferno,few_shot,59,159,152.32,43.55,195.88,2,10.21,1,,,,,,,59,,,
torchinferno,few_shot,135,160,146.60,46.21,192.81,2,10.37,1,,,,,,,135,,,
torchinferno,few_shot,62,161,83.15,47.86,131.01,2,15.27,1,,,,,,,62,,,
torchinferno,few_shot,171,162,157.20,0.00,168.69,1,5.93,1,,,,,,,171,,,
torchinferno,few_shot,180,163,148.81,0.00,160.05,1,6.25,1,,,,,,,180,,,
torchinferno,few_shot,169,164,156.23,0.00,171.15,1,5.84,1,,,,,,,169,,,
torchinferno,few_shot,165,165,161.12,0.00,174.88,1,5.72,1,,,,,,,165,,,
torchinferno,few_shot,166,166,157.74,0.00,174.68,1,5.72,1,,,,,,,166,,,
torchinferno,few_shot,170,167,156.18,0.00,172.74,1,5.79,1,,,,,,,170,,,
torchinferno,few_shot,162,168,162.23,0.00,177.99,1,5.62,1,,,,,,,162,,,
torchinferno,few_shot,183,169,144.14,0.00,161.78,1,6.18,1,,,,,,,183,,,
torchinferno,few_shot,191,170,138.37,0.00,155.58,1,6.43,1,,,,,,,191,,,
torchinferno,few_shot,179,171,146.65,0.00,165.86,1,6.03,1,,,,,,,179,,,
torchinferno,few_shot,163,172,161.17,0.00,179.95,1,5.56,1,,,,,,,163,,,
torchinferno,few_shot,178,173,148.90,0.00,168.16,1,5.95,1,,,,,,,178,,,
torchinferno,few_shot,185,174,143.26,0.00,164.50,1,6.08,1,,,,,,,185,,,
torchinferno,few_shot,189,175,139.76,0.00,162.20,1,6.17,1,,,,,,,189,,,
torchinferno,few_shot,192,176,134.95,0.00,156.09,1,6.41,1,,,,,,,192,,,
torchinferno,few_shot,173,177,153.25,27.64,180.89,2,11.06,1,,,,,,,173,,,
torchinferno,few_shot,172,178,155.35,27.40,182.74,2,10.94,1,,,,,,,172,,,
torchinferno,few_shot,188,179,141.38,27.72,169.11,2,11.83,1,,,,,,,188,,,
torchinferno,few_shot,164,180,160.28,28.33,188.62,2,10.60,1,,,,,,,164,,,
torchinferno,few_shot,174,181,151.83,30.27,182.11,2,10.98,1,,,,,,,174,,,
torchinferno,few_shot,184,182,142.90,31.22,174.12,2,11.49,1,,,,,,,184,,,
torchinferno,few_shot,186,183,142.10,0.00,173.13,1,5.78,1,,,,,,,186,,,
torchinferno,few_shot,182,184,146.65,30.45,177.09,2,11.29,1,,,,,,,182,,,
torchinferno,few_shot,176,185,151.31,0.00,183.41,1,5.45,1,,,,,,,176,,,
torchinferno,few_shot,175,186,153.01,31.41,184.43,2,10.84,1,,,,,,,175,,,
torchinferno,few_shot,167,187,159.25,33.45,192.69,2,10.38,1,,,,,,,167,,,
torchinferno,few_shot,181,188,147.76,33.49,181.25,2,11.03,1,,,,,,,181,,,
torchinferno,few_shot,177,189,151.21,34.84,186.05,2,10.75,1,,,,,,,177,,,
torchinferno,few_shot,190,190,139.15,37.43,176.58,2,11.33,1,,,,,,,190,,,
torchinferno,few_shot,187,191,143.85,36.30,180.15,2,11.10,1,,,,,,,187,,,
torchinferno,few_shot,193,192,132.38,39.26,171.64,2,11.65,1,,,,,,,193,,,
torchinferno,few_shot,63,193,155.32,40.27,195.58,2,10.23,1,,,,,,,63,,,
torchinferno,few_shot,195,194,160.50,0.00,170.88,1,5.85,1,,,,,,,195,,,
torchinferno,few_shot,210,195,142.67,0.00,156.33,1,6.40,1,,,,,,,210,,,
torchinferno,few_shot,199,196,153.94,0.00,169.29,1,5.91,1,,,,,,,199,,,
torchinferno,few_shot,214,197,139.19,0.00,154.72,1,6.46,1,,,,,,,214,,,
torchinferno,few_shot,217,198,139.47,0.00,153.00,1,6.54,1,,,,,,,217,,,
torchinferno,few_shot,203,199,151.62,0.00,166.12,1,6.02,1,,,,,,,203,,,
torchinferno,few_shot,208,200,145.14,0.00,161.34,1,6.20,1,,,,,,,208,,,
torchinferno,few_shot,224,201,128.16,0.00,142.34,1,7.03,1,,,,,,,224,,,
torchinferno,few_shot,215,202,140.14,0.00,157.26,1,6.36,1,,,,,,,215,,,
torchinferno,few_shot,212,203,143.91,0.00,160.09,1,6.25,1,,,,,,,212,,,
torchinferno,few_shot,213,204,141.49,0.00,160.11,1,6.25,1,,,,,,,213,,,
torchinferno,few_shot,196,205,158.75,0.00,178.12,1,5.61,1,,,,,,,196,,,
torchinferno,few_shot,207,206,144.28,0.00,166.78,1,6.00,1,,,,,,,207,,,
torchinferno,few_shot,218,207,136.33,0.00,159.08,1,6.29,1,,,,,,,218,,,
torchinferno,few_shot,219,208,137.82,0.00,158.95,1,6.29,1,,,,,,,219,,,
torchinferno,few_shot,206,209,145.99,0.00,169.92,1,5.89,1,,,,,,,206,,,
torchinferno,few_shot,201,210,155.58,0.00,178.15,1,5.61,1,,,,,,,201,,,
torchinferno,few_shot,216,211,138.80,0.00,164.15,1,6.09,1,,,,,,,216,,,
torchinferno,few_shot,222,212,134.15,0.00,159.22,1,6.28,1,,,,,,,222,,,
torchinferno,few_shot,204,213,150.18,27.08,177.26,2,11.28,1,,,,,,,204,,,
torchinferno,few_shot,194,214,161.84,0.00,188.62,1,5.30,1,,,,,,,194,,,
torchinferno,few_shot,197,215,156.97,28.93,185.90,2,10.76,1,,,,,,,197,,,
torchinferno,few_shot,220,216,137.02,0.00,165.05,1,6.06,1,,,,,,,220,,,
