model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T18:43:00.055027+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,279.31,121.58,170.07,sglang
ttft_p99_ms,733.15,608.87,3035.93,sglang
tpot_median_ms,99.12,83.41,48.46,torchinferno
tpot_p99_ms,239.38,143.89,898.79,sglang
e2e_median_ms,354.56,205.60,213.83,sglang
e2e_p99_ms,812.28,650.12,3901.75,sglang
throughput_median_tps,3.88,5.81,5.30,sglang
total_output_tokens,1461,1458,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,251.74,200.58,303.35,sglang
ttft_p99_ms,529.81,783.15,674.44,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,303.68,387.52,343.74,vllm
e2e_p99_ms,641.04,985.17,808.23,vllm
throughput_median_tps,3.29,2.58,2.91,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,266.51,152.43,318.37,sglang
ttft_p99_ms,433.81,596.96,629.03,vllm
tpot_median_ms,105.52,118.48,62.32,torchinferno
tpot_p99_ms,297.36,620.42,276.20,torchinferno
e2e_median_ms,349.66,272.62,370.80,sglang
e2e_p99_ms,545.51,787.68,682.06,vllm
throughput_median_tps,4.17,4.80,3.72,sglang
total_output_tokens,1450,1448,1446,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,178.18,94.96,392.75,sglang
ttft_last_turn_ms,259.58,237.44,382.11,sglang
ttft_growth_ratio,1.46,2.50,0.97,torchinferno
ttft_first_turn_median_ms,146.83,72.01,377.08,sglang
ttft_first_turn_p99_ms,384.69,331.64,724.44,sglang
ttft_last_turn_median_ms,268.84,211.57,383.45,sglang
ttft_last_turn_p99_ms,453.96,442.64,439.52,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,123.16,65.01,314.03,sglang
ttft_p99_ms,156.75,523.78,515.77,vllm
tpot_median_ms,82.68,74.00,47.94,torchinferno
tpot_p99_ms,98.50,490.42,79.28,torchinferno
e2e_median_ms,183.72,150.58,344.30,sglang
e2e_p99_ms,263.02,652.45,572.46,vllm
throughput_median_tps,6.84,9.36,4.22,sglang
total_output_tokens,1469,1463,1465,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,92.02,60.18,272.51,sglang
ttft_p99_ms,330.31,297.13,2365.63,sglang
tpot_median_ms,26.69,24.89,25.20,sglang
tpot_p99_ms,43.60,47.19,82.18,vllm
e2e_median_ms,1075.51,924.38,1271.91,sglang
e2e_p99_ms,2084.85,1695.95,3238.68,sglang
throughput_median_tps,33.82,38.20,31.16,sglang
total_output_tokens,36715,36705,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,7,0,436.56,0.00,601.11,1,1.66,1,,,,,,,7,,,
vllm,few_shot,0,1,409.58,198.47,608.05,2,3.29,1,,,,,,,0,,,
vllm,few_shot,38,2,589.26,0.00,737.40,1,1.36,1,,,,,,,38,,,
vllm,few_shot,24,3,584.58,0.00,746.81,1,1.34,1,,,,,,,24,,,
vllm,few_shot,17,4,594.30,0.00,749.98,1,1.33,1,,,,,,,17,,,
vllm,few_shot,10,5,589.82,0.00,752.97,1,1.33,1,,,,,,,10,,,
vllm,few_shot,11,6,588.29,0.00,754.45,1,1.33,1,,,,,,,11,,,
vllm,few_shot,37,7,581.13,0.00,745.42,1,1.34,1,,,,,,,37,,,
vllm,few_shot,12,8,588.91,0.00,756.92,1,1.32,1,,,,,,,12,,,
vllm,few_shot,28,9,588.22,0.00,752.86,1,1.33,1,,,,,,,28,,,
vllm,few_shot,26,10,586.08,0.00,754.54,1,1.33,1,,,,,,,26,,,
vllm,few_shot,5,11,607.91,0.00,768.49,1,1.30,1,,,,,,,5,,,
vllm,few_shot,9,12,593.98,0.00,762.76,1,1.31,1,,,,,,,9,,,
vllm,few_shot,1,13,601.39,0.00,772.79,1,1.29,1,,,,,,,1,,,
vllm,few_shot,19,14,594.30,170.15,764.45,2,2.62,1,,,,,,,19,,,
vllm,few_shot,31,15,584.93,0.00,759.79,1,1.32,1,,,,,,,31,,,
vllm,few_shot,41,16,727.27,0.00,756.27,1,1.32,1,,,,,,,41,,,
vllm,few_shot,48,17,732.83,0.00,752.42,1,1.33,1,,,,,,,48,,,
vllm,few_shot,27,18,589.21,179.22,768.42,2,2.60,1,,,,,,,27,,,
vllm,few_shot,29,19,592.58,0.00,768.36,1,1.30,1,,,,,,,29,,,
vllm,few_shot,60,20,723.82,0.00,753.19,1,1.33,1,,,,,,,60,,,
vllm,few_shot,46,21,725.87,0.00,758.68,1,1.32,1,,,,,,,46,,,
vllm,few_shot,23,22,594.41,179.63,774.05,2,2.58,1,,,,,,,23,,,
vllm,few_shot,6,23,603.61,183.28,786.89,2,2.54,1,,,,,,,6,,,
vllm,few_shot,47,24,727.11,0.00,763.28,1,1.31,1,,,,,,,47,,,
vllm,few_shot,25,25,596.07,0.00,778.72,1,1.28,1,,,,,,,25,,,
vllm,few_shot,4,26,598.94,0.00,791.55,1,1.26,1,,,,,,,4,,,
vllm,few_shot,18,27,596.68,187.24,783.92,2,2.55,1,,,,,,,18,,,
vllm,few_shot,2,28,605.57,190.64,796.21,2,2.51,1,,,,,,,2,,,
vllm,few_shot,43,29,733.51,0.00,771.87,1,1.30,1,,,,,,,43,,,
vllm,few_shot,42,30,733.15,0.00,775.69,1,1.29,1,,,,,,,42,,,
vllm,few_shot,55,31,727.30,0.00,770.01,1,1.30,1,,,,,,,55,,,
vllm,few_shot,62,32,768.20,0.32,768.52,2,2.60,1,,,,,,,62,,,
vllm,few_shot,20,33,591.76,199.39,791.15,2,2.53,1,,,,,,,20,,,
vllm,few_shot,13,34,591.35,202.61,793.95,2,2.52,1,,,,,,,13,,,
vllm,few_shot,39,35,732.06,0.00,783.80,1,1.28,1,,,,,,,39,,,
vllm,few_shot,40,36,581.92,202.83,784.75,2,2.55,1,,,,,,,40,,,
vllm,few_shot,16,37,595.64,201.64,797.28,2,2.51,1,,,,,,,16,,,
vllm,few_shot,3,38,598.28,210.07,808.35,2,2.47,1,,,,,,,3,,,
vllm,few_shot,34,39,588.80,0.00,792.30,1,1.26,1,,,,,,,34,,,
vllm,few_shot,30,40,585.87,210.43,796.30,2,2.51,1,,,,,,,30,,,
