model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-01T03:01:59.958348

Build Times
provider,build_time_s
torchinferno,365.1
vllm,1295.3
sglang,193.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,259.82,150.17,143.40,sglang
ttft_p99_ms,7482.62,265.97,1319.94,vllm
tpot_median_ms,45.58,54.19,72.25,torchinferno
tpot_p99_ms,255.03,130.90,7110.27,vllm
e2e_median_ms,311.69,205.89,209.38,vllm
e2e_p99_ms,7719.30,330.62,8410.04,vllm
throughput_median_tps,4.11,7.35,5.74,vllm
total_output_tokens,1461,1455,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,557.69,190.97,209.32,vllm
ttft_p99_ms,1340.11,427.88,72328.10,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,653.22,213.64,347.34,vllm
e2e_p99_ms,1463.06,452.11,72444.37,vllm
throughput_median_tps,1.53,4.68,2.88,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,812.65,170.96,156.69,sglang
ttft_p99_ms,2970.13,335.01,622.18,vllm
tpot_median_ms,113.39,62.93,97.16,vllm
tpot_p99_ms,425.87,182.98,225.85,vllm
e2e_median_ms,877.55,229.83,253.27,vllm
e2e_p99_ms,3031.90,418.54,735.78,vllm
throughput_median_tps,1.27,6.20,5.23,vllm
total_output_tokens,1450,1462,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,863.73,137.69,116.61,sglang
ttft_last_turn_ms,1532.36,167.89,173.83,vllm
ttft_growth_ratio,1.77,1.22,1.49,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,408.03,57.36,78.64,vllm
ttft_p99_ms,1649.90,144.10,523.04,vllm
tpot_median_ms,29.91,28.25,42.08,vllm
tpot_p99_ms,236.52,93.88,122.06,vllm
e2e_median_ms,441.66,78.29,129.62,vllm
e2e_p99_ms,1672.87,182.54,581.17,vllm
throughput_median_tps,2.81,15.58,10.73,vllm
total_output_tokens,1470,1471,1468,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,428.00,75.12,75.99,vllm
ttft_p99_ms,57048.02,160.01,130.84,sglang
tpot_median_ms,22.42,14.98,23.18,vllm
tpot_p99_ms,105.48,24.02,27.73,vllm
e2e_median_ms,1612.65,611.62,851.34,vllm
e2e_p99_ms,58406.33,1025.05,1651.55,vllm
throughput_median_tps,15.93,58.57,40.28,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1355.30,0.00,1361.57,1,0.73,1
torchinferno,few_shot,1,1355.33,0.00,1361.88,1,0.73,1
torchinferno,few_shot,2,1357.55,0.00,1365.88,1,0.73,1
torchinferno,few_shot,3,1352.41,0.00,1365.87,1,0.73,1
torchinferno,few_shot,4,1355.35,0.00,1369.19,1,0.73,1
torchinferno,few_shot,5,1353.70,18.94,1372.64,2,1.46,1
torchinferno,few_shot,6,1356.20,22.95,1379.16,2,1.45,1
torchinferno,few_shot,7,1353.06,21.84,1374.90,2,1.45,1
torchinferno,few_shot,8,1355.87,25.29,1381.17,2,1.45,1
torchinferno,few_shot,9,1509.52,0.00,1523.29,1,0.66,1
torchinferno,few_shot,10,1511.72,0.00,1529.33,1,0.65,1
torchinferno,few_shot,11,1499.44,0.00,1513.63,1,0.66,1
torchinferno,few_shot,12,1506.60,0.00,1523.24,1,0.66,1
torchinferno,few_shot,13,1491.89,0.00,1514.76,1,0.66,1
torchinferno,few_shot,14,1502.20,0.00,1521.38,1,0.66,1
torchinferno,few_shot,15,1494.68,0.00,1519.92,1,0.66,1
torchinferno,few_shot,16,1511.43,0.00,1531.31,1,0.65,1
torchinferno,few_shot,17,1510.53,0.00,1537.56,1,0.65,1
torchinferno,few_shot,18,1497.85,26.16,1524.01,2,1.31,1
torchinferno,few_shot,19,1509.70,35.67,1545.37,2,1.29,1
torchinferno,few_shot,20,1497.21,35.22,1532.43,2,1.31,1
torchinferno,few_shot,21,1496.24,0.00,1532.86,1,0.65,1
torchinferno,few_shot,22,1509.52,0.00,1543.50,1,0.65,1
torchinferno,few_shot,23,1500.30,0.00,1534.51,1,0.65,1
torchinferno,few_shot,24,1496.28,0.00,1536.79,1,0.65,1
torchinferno,few_shot,25,1500.48,0.00,1538.13,1,0.65,1
torchinferno,few_shot,26,1504.52,0.00,1542.45,1,0.65,1
torchinferno,few_shot,27,1506.42,46.51,1552.93,2,1.29,1
torchinferno,few_shot,28,1508.57,45.76,1554.32,2,1.29,1
torchinferno,few_shot,29,1502.78,51.45,1554.23,2,1.29,1
torchinferno,few_shot,30,1511.09,47.28,1558.37,2,1.28,1
torchinferno,few_shot,31,1506.66,0.00,1560.12,1,0.64,1
torchinferno,few_shot,32,1494.43,56.26,1550.69,2,1.29,1
torchinferno,few_shot,33,1512.82,0.00,1565.31,1,0.64,1
torchinferno,few_shot,34,1500.20,0.00,1552.01,1,0.64,1
torchinferno,few_shot,35,1502.23,61.90,1564.13,2,1.28,1
torchinferno,few_shot,36,1505.33,65.26,1570.59,2,1.27,1
torchinferno,few_shot,37,1504.04,56.51,1560.54,2,1.28,1
torchinferno,few_shot,38,1497.78,62.99,1560.78,2,1.28,1
torchinferno,few_shot,39,1510.07,67.61,1577.69,2,1.27,1
torchinferno,few_shot,40,1514.50,69.03,1583.53,2,1.26,1
torchinferno,few_shot,41,1620.61,0.00,1635.07,1,0.61,1
torchinferno,few_shot,42,277.91,0.00,287.51,1,3.48,1
torchinferno,few_shot,43,266.80,0.00,280.83,1,3.56,1
torchinferno,few_shot,44,1623.37,0.00,1643.87,1,0.61,1
torchinferno,few_shot,45,275.17,0.00,290.82,1,3.44,1
torchinferno,few_shot,46,282.68,0.00,303.22,1,3.30,1
torchinferno,few_shot,47,1629.23,0.00,1648.07,1,0.61,1
torchinferno,few_shot,48,1622.79,26.03,1648.82,2,1.21,1
torchinferno,few_shot,49,280.75,0.00,306.58,1,3.26,1
torchinferno,few_shot,50,1626.14,0.00,1650.64,1,0.61,1
torchinferno,few_shot,51,266.82,0.00,294.60,1,3.39,1
torchinferno,few_shot,52,1624.29,28.59,1652.88,2,1.21,1
torchinferno,few_shot,53,1621.06,33.82,1654.88,2,1.21,1
torchinferno,few_shot,54,276.77,0.00,313.33,1,3.19,1
torchinferno,few_shot,55,1622.68,38.90,1661.57,2,1.20,1
torchinferno,few_shot,56,1621.18,39.92,1661.10,2,1.20,1
torchinferno,few_shot,57,1626.90,0.00,1664.05,1,0.60,1
torchinferno,few_shot,58,1626.04,37.22,1663.27,2,1.20,1
torchinferno,few_shot,59,277.42,0.00,318.38,1,3.14,1
torchinferno,few_shot,60,1625.49,41.64,1667.13,2,1.20,1
torchinferno,few_shot,61,1622.01,0.00,1667.51,1,0.60,1
torchinferno,few_shot,62,1624.16,49.13,1673.29,2,1.20,1
torchinferno,few_shot,63,1624.37,50.05,1674.42,2,1.19,1
torchinferno,few_shot,64,1627.66,0.00,1676.76,1,0.60,1
torchinferno,few_shot,65,1621.25,57.43,1678.68,2,1.19,1
torchinferno,few_shot,66,267.22,58.08,325.30,2,6.15,1
torchinferno,few_shot,67,230.98,0.00,245.13,1,4.08,1
torchinferno,few_shot,68,218.73,0.00,229.91,1,4.35,1
torchinferno,few_shot,69,200.33,0.00,214.22,1,4.67,1
torchinferno,few_shot,70,220.26,0.00,236.76,1,4.22,1
torchinferno,few_shot,71,196.20,0.00,219.37,1,4.56,1
torchinferno,few_shot,72,248.32,0.00,268.86,1,3.72,1
torchinferno,few_shot,73,239.05,22.22,261.27,2,7.66,1
torchinferno,few_shot,74,207.44,0.00,229.96,1,4.35,1
torchinferno,few_shot,75,248.72,0.00,270.88,1,3.69,1
torchinferno,few_shot,76,232.34,0.00,263.36,1,3.80,1
torchinferno,few_shot,77,236.83,0.00,264.87,1,3.78,1
torchinferno,few_shot,78,205.47,0.00,241.29,1,4.14,1
torchinferno,few_shot,79,212.99,33.83,246.82,2,8.10,1
torchinferno,few_shot,80,205.86,0.00,242.47,1,4.12,1
torchinferno,few_shot,81,237.49,41.37,278.86,2,7.17,1
torchinferno,few_shot,82,206.50,36.14,242.64,2,8.24,1
torchinferno,few_shot,83,245.74,40.83,286.56,2,6.98,1
torchinferno,few_shot,84,225.97,0.00,267.58,1,3.74,1
torchinferno,few_shot,85,194.22,39.76,233.97,2,8.55,1
torchinferno,few_shot,86,220.27,0.00,266.64,1,3.75,1
torchinferno,few_shot,87,237.84,46.71,284.55,2,7.03,1
torchinferno,few_shot,88,222.69,0.00,268.23,1,3.73,1
torchinferno,few_shot,89,185.86,49.12,234.98,2,8.51,1
torchinferno,few_shot,90,221.02,0.00,270.33,1,3.70,1
torchinferno,few_shot,91,225.07,53.99,279.06,2,7.17,1
torchinferno,few_shot,92,214.16,0.00,264.08,1,3.79,1
torchinferno,few_shot,93,221.27,51.15,272.42,2,7.34,1
torchinferno,few_shot,94,222.40,0.00,281.31,1,3.55,1
torchinferno,few_shot,95,198.60,0.00,259.91,1,3.85,1
torchinferno,few_shot,96,226.91,71.47,298.39,2,6.70,1
torchinferno,few_shot,97,244.17,0.00,259.74,1,3.85,1
torchinferno,few_shot,98,218.55,0.00,232.23,1,4.31,1
torchinferno,few_shot,99,223.29,0.00,241.98,1,4.13,1
torchinferno,few_shot,100,205.54,0.00,226.64,1,4.41,1
torchinferno,few_shot,101,244.22,0.00,260.97,1,3.83,1
torchinferno,few_shot,102,232.74,0.00,256.88,1,3.89,1
torchinferno,few_shot,103,215.99,19.43,235.42,2,8.50,1
torchinferno,few_shot,104,207.77,0.00,227.72,1,4.39,1
torchinferno,few_shot,105,249.43,0.00,271.97,1,3.68,1
torchinferno,few_shot,106,230.35,29.99,260.35,2,7.68,1
torchinferno,few_shot,107,233.26,0.00,261.30,1,3.83,1
torchinferno,few_shot,108,215.94,0.00,250.99,1,3.98,1
torchinferno,few_shot,109,222.48,35.82,258.30,2,7.74,1
torchinferno,few_shot,110,220.98,34.64,255.62,2,7.82,1
torchinferno,few_shot,111,237.92,39.40,277.32,2,7.21,1
torchinferno,few_shot,112,241.35,32.76,274.10,2,7.30,1
torchinferno,few_shot,113,236.77,0.00,272.60,1,3.67,1
torchinferno,few_shot,114,225.50,0.00,267.14,1,3.74,1
torchinferno,few_shot,115,227.77,42.77,270.54,2,7.39,1
torchinferno,few_shot,116,240.01,47.27,287.28,2,6.96,1
torchinferno,few_shot,117,220.53,48.09,268.63,2,7.45,1
torchinferno,few_shot,118,202.94,0.00,250.03,1,4.00,1
torchinferno,few_shot,119,216.19,49.01,265.20,2,7.54,1
torchinferno,few_shot,120,236.32,0.00,246.22,1,4.06,1
torchinferno,few_shot,121,211.25,0.00,221.14,1,4.52,1
torchinferno,few_shot,122,230.62,0.00,247.93,1,4.03,1
torchinferno,few_shot,123,218.98,0.00,240.06,1,4.17,1
torchinferno,few_shot,124,195.22,0.00,217.13,1,4.61,1
torchinferno,few_shot,125,189.31,0.00,208.98,1,4.79,1
torchinferno,few_shot,126,201.98,0.00,219.42,1,4.56,1
torchinferno,few_shot,127,224.60,21.27,245.87,2,8.13,1
torchinferno,few_shot,128,234.59,27.06,261.65,2,7.64,1
torchinferno,few_shot,129,201.64,0.00,228.76,1,4.37,1
torchinferno,few_shot,130,235.51,0.00,268.63,1,3.72,1
torchinferno,few_shot,131,231.68,28.11,259.79,2,7.70,1
torchinferno,few_shot,132,214.23,28.29,242.52,2,8.25,1
torchinferno,few_shot,133,221.55,38.75,260.29,2,7.68,1
torchinferno,few_shot,134,235.72,0.00,268.20,1,3.73,1
torchinferno,few_shot,135,235.17,0.00,275.58,1,3.63,1
torchinferno,few_shot,136,212.96,39.41,252.37,2,7.92,1
torchinferno,few_shot,137,222.46,37.01,259.47,2,7.71,1
torchinferno,few_shot,138,198.25,0.00,245.10,1,4.08,1
torchinferno,few_shot,139,224.95,0.00,266.24,1,3.76,1
torchinferno,few_shot,140,205.83,46.31,252.14,2,7.93,1
torchinferno,few_shot,141,245.40,45.58,290.98,2,6.87,1
torchinferno,few_shot,142,225.20,55.63,280.83,2,7.12,1
torchinferno,few_shot,143,214.02,49.75,263.77,2,7.58,1
torchinferno,few_shot,144,222.57,53.63,276.20,2,7.24,1
