model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-02T13:01:47.391274

Build Times
provider,build_time_s
torchinferno,396.3
vllm,1303.0
sglang,218.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.25,177.10,142.55,sglang
ttft_p99_ms,1977.35,514.07,1091.32,vllm
tpot_median_ms,44.82,53.57,80.65,torchinferno
tpot_p99_ms,127.29,142.56,7321.52,torchinferno
e2e_median_ms,229.29,232.29,217.28,sglang
e2e_p99_ms,2030.54,574.78,8371.84,vllm
throughput_median_tps,5.65,5.77,5.51,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1039.93,201.20,211.51,vllm
ttft_p99_ms,1540.83,550.55,71980.82,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,1140.14,224.78,358.07,vllm
e2e_p99_ms,1637.52,580.61,72078.81,vllm
throughput_median_tps,0.88,4.45,2.79,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2452.51,181.42,161.47,sglang
ttft_p99_ms,4794.60,337.46,970.74,vllm
tpot_median_ms,423.35,66.40,95.44,vllm
tpot_p99_ms,1631.02,189.89,244.52,vllm
e2e_median_ms,2959.41,241.95,263.62,vllm
e2e_p99_ms,5072.36,434.67,1012.56,vllm
throughput_median_tps,0.44,5.94,5.08,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1462.22,146.00,117.27,sglang
ttft_last_turn_ms,3650.30,175.36,195.21,vllm
ttft_growth_ratio,2.50,1.20,1.66,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,747.19,59.74,82.72,vllm
ttft_p99_ms,1146.84,128.26,625.87,vllm
tpot_median_ms,27.46,28.43,45.86,torchinferno
tpot_p99_ms,145.69,48.86,580.77,vllm
e2e_median_ms,767.59,81.43,139.42,vllm
e2e_p99_ms,1177.09,161.34,675.03,vllm
throughput_median_tps,1.89,15.23,9.95,vllm
total_output_tokens,1462,1468,1483,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2836.22,72.18,75.05,vllm
ttft_p99_ms,5420.28,145.02,150.00,vllm
tpot_median_ms,90.56,14.96,23.55,vllm
tpot_p99_ms,219.90,23.19,28.39,vllm
e2e_median_ms,5589.83,613.17,891.45,vllm
e2e_p99_ms,11982.53,998.98,1659.81,vllm
throughput_median_tps,5.66,58.59,39.68,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1483.82,0.00,1492.39,1,0.67,1
torchinferno,few_shot,1,1484.96,0.00,1496.31,1,0.67,1
torchinferno,few_shot,2,1490.22,0.00,1500.81,1,0.67,1
torchinferno,few_shot,3,1486.34,0.00,1500.83,1,0.67,1
torchinferno,few_shot,4,1485.97,0.00,1500.62,1,0.67,1
torchinferno,few_shot,5,1490.18,129.86,1620.05,2,1.23,1
torchinferno,few_shot,6,1486.69,131.16,1617.85,2,1.24,1
torchinferno,few_shot,7,1897.45,0.00,1912.45,1,0.52,1
torchinferno,few_shot,8,1902.32,0.00,1913.30,1,0.52,1
torchinferno,few_shot,9,1915.77,0.00,1927.91,1,0.52,1
torchinferno,few_shot,10,1906.72,0.00,1925.45,1,0.52,1
torchinferno,few_shot,11,1905.03,0.00,1918.81,1,0.52,1
torchinferno,few_shot,12,1901.53,0.00,1922.48,1,0.52,1
torchinferno,few_shot,13,1898.03,0.00,1924.52,1,0.52,1
torchinferno,few_shot,14,1910.48,0.00,1933.93,1,0.52,1
torchinferno,few_shot,15,1907.41,29.87,1937.28,2,1.03,1
torchinferno,few_shot,16,1913.27,0.00,1942.55,1,0.51,1
torchinferno,few_shot,17,1897.40,31.09,1928.49,2,1.04,1
torchinferno,few_shot,18,1906.41,0.00,1934.47,1,0.52,1
torchinferno,few_shot,19,1910.78,34.15,1944.93,2,1.03,1
torchinferno,few_shot,20,1911.34,33.45,1944.80,2,1.03,1
torchinferno,few_shot,21,1900.41,0.00,1934.69,1,0.52,1
torchinferno,few_shot,22,1905.67,33.17,1938.84,2,1.03,1
torchinferno,few_shot,23,1905.03,47.05,1952.07,2,1.02,1
torchinferno,few_shot,24,1905.75,46.73,1952.49,2,1.02,1
torchinferno,few_shot,25,1901.56,42.91,1944.47,2,1.03,1
torchinferno,few_shot,26,1900.46,46.73,1947.19,2,1.03,1
torchinferno,few_shot,27,1898.95,48.52,1947.47,2,1.03,1
torchinferno,few_shot,28,1910.33,53.98,1964.31,2,1.02,1
torchinferno,few_shot,29,1913.16,44.94,1958.10,2,1.02,1
torchinferno,few_shot,30,1907.66,0.00,1962.21,1,0.51,1
torchinferno,few_shot,31,1916.58,0.00,1964.92,1,0.51,1
torchinferno,few_shot,32,1908.48,57.49,1965.97,2,1.02,1
torchinferno,few_shot,33,1906.25,61.74,1967.99,2,1.02,1
torchinferno,few_shot,34,1912.90,55.20,1968.09,2,1.02,1
torchinferno,few_shot,35,1894.47,65.49,1959.96,2,1.02,1
torchinferno,few_shot,36,1910.11,61.25,1971.36,2,1.01,1
torchinferno,few_shot,37,1916.37,63.18,1979.56,2,1.01,1
torchinferno,few_shot,38,1910.10,0.00,1978.39,1,0.51,1
torchinferno,few_shot,39,506.33,0.00,508.93,1,1.96,1
torchinferno,few_shot,40,1989.83,0.00,1990.12,1,0.50,1
torchinferno,few_shot,41,1974.07,0.00,1993.43,1,0.50,1
torchinferno,few_shot,42,498.75,0.00,514.33,1,1.94,1
torchinferno,few_shot,43,1970.37,0.00,1995.39,1,0.50,1
torchinferno,few_shot,44,372.36,0.00,398.56,1,2.51,1
torchinferno,few_shot,45,1974.98,22.29,1997.28,2,1.00,1
