model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-27T09:03:15.967721+00:00

Build Times
provider,build_time_s
torchinferno,400.1
vllm,519.5
sglang,267.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,147.44,141.92,sglang
ttft_p99_ms,,1018.07,662.08,sglang
tpot_median_ms,,57.79,76.45,vllm
tpot_p99_ms,,140.72,388.69,vllm
e2e_median_ms,,205.44,209.83,vllm
e2e_p99_ms,,1089.57,882.49,sglang
throughput_median_tps,,7.20,5.75,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,178.63,202.06,vllm
ttft_p99_ms,,363.50,69585.69,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,211.16,342.80,vllm
e2e_p99_ms,,456.64,69675.36,vllm
throughput_median_tps,,4.74,2.92,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,161.97,159.53,sglang
ttft_p99_ms,,334.52,585.16,vllm
tpot_median_ms,,57.46,102.26,vllm
tpot_p99_ms,,172.35,468.84,vllm
e2e_median_ms,,213.32,260.92,vllm
e2e_p99_ms,,392.05,656.92,vllm
throughput_median_tps,,6.58,5.16,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,130.56,111.38,sglang
ttft_last_turn_ms,,167.82,192.13,vllm
ttft_growth_ratio,,1.29,1.72,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.35,81.67,vllm
ttft_p99_ms,,2053.42,543.96,sglang
tpot_median_ms,,31.36,42.23,vllm
tpot_p99_ms,,1732.77,143.93,sglang
e2e_median_ms,,84.83,131.84,vllm
e2e_p99_ms,,2094.38,614.01,sglang
throughput_median_tps,,14.34,10.11,vllm
total_output_tokens,,1476,1468,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,73.63,70.04,sglang
ttft_p99_ms,,174.09,136.07,sglang
tpot_median_ms,,14.83,22.38,vllm
tpot_p99_ms,,20.88,26.48,vllm
e2e_median_ms,,628.67,819.20,vllm
e2e_p99_ms,,1017.61,1588.95,vllm
throughput_median_tps,,58.74,42.06,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,903.79,0.00,903.96,1,1.11,1
vllm,few_shot,1,905.22,0.00,905.34,1,1.10,1
vllm,few_shot,2,911.57,0.00,913.42,1,1.09,1
vllm,few_shot,3,904.99,0.00,910.18,1,1.10,1
vllm,few_shot,4,910.60,0.00,913.37,1,1.09,1
vllm,few_shot,5,907.35,0.00,913.01,1,1.10,1
vllm,few_shot,6,908.32,0.00,914.41,1,1.09,1
vllm,few_shot,7,920.77,0.00,920.88,1,1.09,1
vllm,few_shot,8,911.45,0.00,924.45,1,1.08,1
vllm,few_shot,9,920.42,0.00,929.79,1,1.08,1
vllm,few_shot,10,948.74,0.00,967.82,1,1.03,1
vllm,few_shot,11,945.97,0.00,964.89,1,1.04,1
vllm,few_shot,12,943.72,0.00,966.89,1,1.03,1
vllm,few_shot,13,941.84,42.66,984.50,2,2.03,1
vllm,few_shot,14,944.30,42.92,987.22,2,2.03,1
vllm,few_shot,15,962.10,0.00,985.57,1,1.01,1
vllm,few_shot,16,953.31,43.17,996.48,2,2.01,1
vllm,few_shot,17,959.02,0.00,987.21,1,1.01,1
vllm,few_shot,18,943.24,48.40,991.64,2,2.02,1
vllm,few_shot,19,945.81,47.52,993.33,2,2.01,1
vllm,few_shot,20,946.36,48.29,994.65,2,2.01,1
vllm,few_shot,21,957.85,0.00,991.18,1,1.01,1
vllm,few_shot,22,957.62,49.25,1006.87,2,1.99,1
vllm,few_shot,23,976.60,0.00,1005.17,1,0.99,1
vllm,few_shot,24,965.13,42.59,1007.72,2,1.98,1
vllm,few_shot,25,975.37,0.00,1004.84,1,1.00,1
vllm,few_shot,26,979.07,0.00,1006.46,1,0.99,1
vllm,few_shot,27,978.63,0.00,1009.04,1,0.99,1
vllm,few_shot,28,976.28,0.00,1009.45,1,0.99,1
vllm,few_shot,29,976.73,0.00,1010.81,1,0.99,1
vllm,few_shot,30,956.93,60.41,1017.34,2,1.97,1
vllm,few_shot,31,976.26,0.00,1015.92,1,0.98,1
vllm,few_shot,32,956.75,61.86,1018.61,2,1.96,1
vllm,few_shot,33,990.50,0.00,1017.28,1,0.98,1
vllm,few_shot,34,956.86,63.15,1020.00,2,1.96,1
vllm,few_shot,35,979.94,0.00,1021.79,1,0.98,1
vllm,few_shot,36,976.80,0.00,1021.96,1,0.98,1
vllm,few_shot,37,960.35,64.24,1024.60,2,1.95,1
vllm,few_shot,38,958.60,68.82,1027.42,2,1.95,1
vllm,few_shot,39,1001.40,0.00,1056.28,1,0.95,1
vllm,few_shot,40,1000.64,0.00,1069.22,1,0.94,1
vllm,few_shot,41,990.16,0.00,1061.41,1,0.94,1
vllm,few_shot,42,988.42,0.00,1066.01,1,0.94,1
vllm,few_shot,43,977.08,102.30,1079.38,2,1.85,1
