model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T18:54:38.330234

Build Times
provider,build_time_s
torchinferno,342.0
vllm,971.1
sglang,163.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,407.38,163.14,136.41,sglang
ttft_p99_ms,1365.27,551.12,6088.96,vllm
tpot_median_ms,289.97,60.15,73.58,vllm
tpot_p99_ms,430.88,138.73,7340.25,vllm
e2e_median_ms,657.76,222.09,204.01,sglang
e2e_p99_ms,1649.61,610.23,13398.93,vllm
throughput_median_tps,2.00,6.69,5.97,vllm
total_output_tokens,1465,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,470.47,190.44,195.14,vllm
ttft_p99_ms,713.89,453.73,888.71,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,560.57,213.02,343.75,vllm
e2e_p99_ms,811.73,466.65,964.18,vllm
throughput_median_tps,1.78,4.69,2.91,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,169.44,154.30,sglang
ttft_p99_ms,,321.88,746.20,vllm
tpot_median_ms,,61.21,102.14,vllm
tpot_p99_ms,,185.46,230.50,vllm
e2e_median_ms,,219.55,249.65,vllm
e2e_p99_ms,,423.63,925.11,vllm
throughput_median_tps,,6.40,5.14,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,130.27,126.99,sglang
ttft_last_turn_ms,,156.59,172.91,vllm
ttft_growth_ratio,,1.20,1.36,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.11,78.12,vllm
ttft_p99_ms,,136.21,605.02,vllm
tpot_median_ms,,26.81,43.70,vllm
tpot_p99_ms,,39.68,150.93,vllm
e2e_median_ms,,78.21,141.72,vllm
e2e_p99_ms,,154.87,643.98,vllm
throughput_median_tps,,15.79,9.95,vllm
total_output_tokens,,1468,1486,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,70.93,64.92,sglang
ttft_p99_ms,,136.64,116.68,sglang
tpot_median_ms,,15.00,22.41,vllm
tpot_p99_ms,,21.59,26.52,vllm
e2e_median_ms,,619.54,832.09,vllm
e2e_p99_ms,,1014.67,1607.12,vllm
throughput_median_tps,,58.67,42.10,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,767.42,119.30,886.72,2,2.26,1
torchinferno,few_shot,1,1368.12,0.00,1390.86,1,0.72,1
torchinferno,few_shot,2,1356.50,0.00,1377.35,1,0.73,1
torchinferno,few_shot,3,1344.39,0.00,1380.71,1,0.72,1
torchinferno,few_shot,4,1352.47,0.00,1398.23,1,0.72,1
torchinferno,few_shot,5,1358.73,0.00,1398.85,1,0.71,1
torchinferno,few_shot,6,1352.61,0.00,1397.39,1,0.72,1
torchinferno,few_shot,7,1361.90,0.00,1407.49,1,0.71,1
torchinferno,few_shot,8,1367.08,0.00,1405.27,1,0.71,1
torchinferno,few_shot,9,1359.86,0.00,1404.04,1,0.71,1
torchinferno,few_shot,10,1351.72,0.00,1403.32,1,0.71,1
torchinferno,few_shot,11,1360.01,0.00,1412.03,1,0.71,1
torchinferno,few_shot,12,1372.37,0.00,1411.92,1,0.71,1
torchinferno,few_shot,13,1354.31,0.00,1414.49,1,0.71,1
torchinferno,few_shot,14,1364.03,0.00,1413.10,1,0.71,1
torchinferno,few_shot,15,1355.79,0.00,1411.27,1,0.71,1
torchinferno,few_shot,16,1359.48,0.00,1406.53,1,0.71,1
torchinferno,few_shot,17,1349.84,0.00,1413.14,1,0.71,1
torchinferno,few_shot,18,1369.50,0.00,1424.15,1,0.70,1
torchinferno,few_shot,19,1356.04,0.00,1408.79,1,0.71,1
torchinferno,few_shot,20,1364.85,0.00,1419.73,1,0.70,1
torchinferno,few_shot,21,1364.45,0.00,1426.15,1,0.70,1
torchinferno,few_shot,22,1364.38,0.00,1430.48,1,0.70,1
torchinferno,few_shot,23,1345.27,0.00,1414.23,1,0.71,1
torchinferno,few_shot,24,1353.72,0.00,1427.41,1,0.70,1
torchinferno,few_shot,25,1358.70,0.00,1425.61,1,0.70,1
torchinferno,few_shot,26,1344.07,0.00,1418.13,1,0.71,1
torchinferno,few_shot,27,1354.72,0.00,1428.56,1,0.70,1
torchinferno,few_shot,28,1361.55,0.00,1430.88,1,0.70,1
torchinferno,few_shot,29,1353.43,0.00,1434.52,1,0.70,1
torchinferno,few_shot,30,1365.58,0.00,1435.26,1,0.70,1
torchinferno,few_shot,31,479.35,0.00,555.83,1,1.80,1
torchinferno,few_shot,32,1354.81,0.00,1443.27,1,0.69,1
torchinferno,few_shot,33,1365.56,0.00,1439.21,1,0.69,1
torchinferno,few_shot,34,1357.03,263.18,1620.21,2,1.23,1
torchinferno,few_shot,35,1359.81,261.94,1621.75,2,1.23,1
torchinferno,few_shot,36,1355.24,267.25,1622.49,2,1.23,1
torchinferno,few_shot,37,1344.38,268.29,1612.67,2,1.24,1
torchinferno,few_shot,38,1365.27,255.54,1620.81,2,1.23,1
torchinferno,few_shot,39,1347.92,266.25,1614.17,2,1.24,1
torchinferno,few_shot,40,1367.77,263.76,1631.53,2,1.23,1
torchinferno,few_shot,41,1356.78,273.03,1629.81,2,1.23,1
torchinferno,few_shot,42,1350.39,271.03,1621.42,2,1.23,1
torchinferno,few_shot,43,1352.83,280.11,1632.95,2,1.22,1
torchinferno,few_shot,44,1364.72,268.07,1632.79,2,1.22,1
torchinferno,few_shot,45,1364.14,267.95,1632.09,2,1.23,1
torchinferno,few_shot,46,1359.65,272.73,1632.38,2,1.23,1
torchinferno,few_shot,47,1356.64,278.44,1635.08,2,1.22,1
torchinferno,few_shot,48,1356.90,288.67,1645.57,2,1.22,1
torchinferno,few_shot,49,1348.80,280.89,1629.69,2,1.23,1
torchinferno,few_shot,50,1363.65,278.95,1642.60,2,1.22,1
torchinferno,few_shot,51,1343.24,289.24,1632.49,2,1.23,1
torchinferno,few_shot,52,1348.91,285.73,1634.63,2,1.22,1
torchinferno,few_shot,53,1356.66,294.86,1651.52,2,1.21,1
torchinferno,few_shot,54,1358.06,291.55,1649.61,2,1.21,1
torchinferno,few_shot,55,1349.91,287.45,1637.36,2,1.22,1
torchinferno,few_shot,56,1365.89,287.10,1652.99,2,1.21,1
torchinferno,few_shot,57,1352.35,301.61,1653.96,2,1.21,1
torchinferno,few_shot,58,1353.33,303.07,1656.41,2,1.21,1
torchinferno,few_shot,59,1349.49,297.53,1647.02,2,1.21,1
torchinferno,few_shot,60,1367.10,298.33,1665.43,2,1.20,1
torchinferno,few_shot,61,1359.21,303.23,1662.44,2,1.20,1
torchinferno,few_shot,62,1363.07,298.41,1661.48,2,1.20,1
torchinferno,few_shot,63,1354.50,298.10,1652.60,2,1.21,1
