model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-08T07:02:20.970235+00:00

Build Times
provider,build_time_s
torchinferno,42.4
vllm,249.8
sglang,167.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,,132.34,
ttft_p99_ms,,,202.38,
tpot_median_ms,,,81.81,
tpot_p99_ms,,,965.07,
e2e_median_ms,,,209.75,
e2e_p99_ms,,,1108.36,
throughput_median_tps,,,5.85,
total_output_tokens,,,1461,
num_requests,,,1000,
correctness_rate,,,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,,216.73,
ttft_p99_ms,,,70384.14,
tpot_median_ms,,,0.00,
tpot_p99_ms,,,0.00,
e2e_median_ms,,,357.02,
e2e_p99_ms,,,70468.92,
throughput_median_tps,,,2.80,
total_output_tokens,,,1000,
num_requests,,,1000,
correctness_rate,,,1.00,
unique_final_answers,,,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,,159.40,
ttft_p99_ms,,,778.27,
tpot_median_ms,,,110.39,
tpot_p99_ms,,,984.97,
e2e_median_ms,,,268.26,
e2e_p99_ms,,,1015.43,
throughput_median_tps,,,4.78,
total_output_tokens,,,1448,
num_requests,,,1000,
correctness_rate,,,0.98,
ttft_first_turn_ms,,,97.72,
ttft_last_turn_ms,,,183.14,
ttft_growth_ratio,,,1.87,
ttft_first_turn_median_ms,,,91.51,
ttft_first_turn_p99_ms,,,247.14,
ttft_last_turn_median_ms,,,179.63,
ttft_last_turn_p99_ms,,,312.25,

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,,43.29,
ttft_p99_ms,,,320.58,
tpot_median_ms,,,241.38,
tpot_p99_ms,,,1035.07,
e2e_median_ms,,,243.40,
e2e_p99_ms,,,1098.30,
throughput_median_tps,,,6.30,
total_output_tokens,,,1484,
num_requests,,,992,
correctness_rate,,,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,,67.32,
ttft_p99_ms,,,525.27,
tpot_median_ms,,,22.14,
tpot_p99_ms,,,110.30,
e2e_median_ms,,,933.89,
e2e_p99_ms,,,2322.38,
throughput_median_tps,,,41.67,
total_output_tokens,,,36715,
num_requests,,,1000,
correctness_rate,,,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
sglang,few_shot,9,0,67.93,0.00,178.46,1,5.60,1,,,,,,,9,,,
sglang,few_shot,8,1,85.74,0.00,197.67,1,5.06,1,,,,,,,8,,,
sglang,few_shot,7,2,87.51,0.00,218.24,1,4.58,1,,,,,,,7,,,
sglang,few_shot,11,3,49.47,0.00,145.06,1,6.89,1,,,,,,,11,,,
sglang,few_shot,12,4,51.70,0.00,129.09,1,7.75,1,,,,,,,12,,,
sglang,few_shot,5,5,126.22,0.00,256.86,1,3.89,1,,,,,,,5,,,
sglang,few_shot,4,6,141.88,0.00,274.80,1,3.64,1,,,,,,,4,,,
sglang,few_shot,1,7,195.12,0.00,328.82,1,3.04,1,,,,,,,1,,,
sglang,few_shot,10,8,71.31,0.00,174.31,1,5.74,1,,,,,,,10,,,
sglang,few_shot,6,9,104.73,166.05,270.78,2,7.39,1,,,,,,,6,,,
sglang,few_shot,13,10,51.98,94.22,146.20,2,13.68,1,,,,,,,13,,,
sglang,few_shot,14,11,59.65,70.56,130.21,2,15.36,1,,,,,,,14,,,
sglang,few_shot,15,12,43.40,70.17,113.57,2,17.61,1,,,,,,,15,,,
sglang,few_shot,17,13,47.86,0.00,62.63,1,15.97,1,,,,,,,17,,,
sglang,few_shot,3,14,158.53,169.81,328.34,2,6.09,1,,,,,,,3,,,
sglang,few_shot,2,15,175.54,171.46,347.00,2,5.76,1,,,,,,,2,,,
sglang,few_shot,0,16,198.43,186.32,384.75,2,5.20,1,,,,,,,0,,,
sglang,few_shot,16,17,51.36,501.98,553.33,2,3.61,1,,,,,,,16,,,
sglang,few_shot,28,18,43.24,0.00,334.80,1,2.99,1,,,,,,,28,,,
sglang,few_shot,26,19,42.80,0.00,371.99,1,2.69,1,,,,,,,26,,,
sglang,few_shot,68,20,84.70,0.00,516.86,1,1.93,1,,,,,,,68,,,
sglang,few_shot,31,21,44.28,0.00,290.89,1,3.44,1,,,,,,,31,,,
sglang,few_shot,39,22,44.79,0.00,155.54,1,6.43,1,,,,,,,39,,,
sglang,few_shot,43,23,48.55,0.00,88.53,1,11.30,1,,,,,,,43,,,
sglang,few_shot,65,24,61.77,0.00,526.79,1,1.90,1,,,,,,,65,,,
sglang,few_shot,69,25,79.87,0.00,523.19,1,1.91,1,,,,,,,69,,,
sglang,few_shot,38,26,44.90,0.00,178.59,1,5.60,1,,,,,,,38,,,
sglang,few_shot,29,27,43.44,0.00,332.50,1,3.01,1,,,,,,,29,,,
sglang,few_shot,24,28,42.61,0.00,418.13,1,2.39,1,,,,,,,24,,,
sglang,few_shot,64,29,89.24,0.00,538.02,1,1.86,1,,,,,,,64,,,
