model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T11:02:28.226622+00:00

Build Times
provider,build_time_s
torchinferno,466.0
vllm,210.8
sglang,207.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,50.75,75.93,94.76,torchinferno
ttft_p99_ms,696.63,154.77,568.60,vllm
tpot_median_ms,47.50,36.59,69.84,vllm
tpot_p99_ms,350.26,92.72,781.24,vllm
e2e_median_ms,88.06,103.83,156.92,torchinferno
e2e_p99_ms,984.03,192.13,931.02,vllm
throughput_median_tps,14.49,12.86,8.28,torchinferno
total_output_tokens,1468,1466,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,32.17,71.21,163.72,torchinferno
ttft_p99_ms,130.71,423.01,70708.67,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,48.77,88.62,239.94,torchinferno
e2e_p99_ms,133.35,423.08,70734.59,torchinferno
throughput_median_tps,20.50,11.28,4.17,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,42.06,84.49,96.20,torchinferno
ttft_p99_ms,934.74,156.44,556.56,vllm
tpot_median_ms,37.62,33.90,84.91,vllm
tpot_p99_ms,46.67,86.67,892.02,torchinferno
e2e_median_ms,74.89,110.16,164.63,torchinferno
e2e_p99_ms,949.97,198.85,934.73,vllm
throughput_median_tps,17.57,12.52,8.19,torchinferno
total_output_tokens,1460,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,371.70,82.41,74.85,sglang
ttft_last_turn_ms,38.76,85.24,96.89,torchinferno
ttft_growth_ratio,0.10,1.03,1.29,torchinferno
ttft_first_turn_median_ms,204.69,73.45,68.63,sglang
ttft_first_turn_p99_ms,1003.60,161.26,132.56,sglang
ttft_last_turn_median_ms,40.03,83.43,96.30,torchinferno
ttft_last_turn_p99_ms,50.01,154.30,134.20,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,24.21,34.67,64.60,torchinferno
ttft_p99_ms,111.61,104.79,423.90,vllm
tpot_median_ms,16.42,22.55,413.18,torchinferno
tpot_p99_ms,21.55,38.60,1063.01,torchinferno
e2e_median_ms,36.37,52.35,466.48,torchinferno
e2e_p99_ms,133.97,162.72,1139.85,torchinferno
throughput_median_tps,39.63,24.89,2.96,torchinferno
total_output_tokens,1492,1485,1472,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,46.08,46.49,57.14,torchinferno
ttft_p99_ms,288.13,65.82,159.25,vllm
tpot_median_ms,13.97,15.53,27.59,torchinferno
tpot_p99_ms,26.95,18.15,113.59,vllm
e2e_median_ms,574.35,581.89,1040.42,torchinferno
e2e_p99_ms,1205.94,1068.35,1983.51,vllm
throughput_median_tps,65.60,60.57,34.95,torchinferno
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,0,0,32.45,17.44,49.89,2,40.09,1,,,,,,,0,,,
torchinferno,few_shot,1,1,787.73,0.00,816.49,1,1.22,1,,,,,,,1,,,
torchinferno,few_shot,17,2,545.99,0.00,861.79,1,1.16,1,,,,,,,17,,,
torchinferno,few_shot,5,3,746.63,0.00,1063.56,1,0.94,1,,,,,,,5,,,
torchinferno,few_shot,24,4,416.89,0.00,730.69,1,1.37,1,,,,,,,24,,,
torchinferno,few_shot,2,5,767.11,348.95,1116.06,2,1.79,1,,,,,,,2,,,
torchinferno,few_shot,46,6,43.31,0.00,361.62,1,2.77,1,,,,,,,46,,,
torchinferno,few_shot,4,7,766.23,0.00,1083.18,1,0.92,1,,,,,,,4,,,
torchinferno,few_shot,12,8,630.06,0.00,949.67,1,1.05,1,,,,,,,12,,,
torchinferno,few_shot,10,9,663.87,0.00,984.03,1,1.02,1,,,,,,,10,,,
torchinferno,few_shot,38,10,179.00,0.00,498.12,1,2.01,1,,,,,,,38,,,
torchinferno,few_shot,28,11,350.64,0.00,668.00,1,1.50,1,,,,,,,28,,,
torchinferno,few_shot,7,12,716.48,0.00,1035.56,1,0.97,1,,,,,,,7,,,
torchinferno,few_shot,26,13,383.74,0.00,702.58,1,1.42,1,,,,,,,26,,,
torchinferno,few_shot,43,14,95.58,0.00,416.59,1,2.40,1,,,,,,,43,,,
torchinferno,few_shot,8,15,696.63,0.00,1020.60,1,0.98,1,,,,,,,8,,,
torchinferno,few_shot,31,16,296.65,0.00,620.31,1,1.61,1,,,,,,,31,,,
torchinferno,few_shot,41,17,130.74,0.00,451.99,1,2.21,1,,,,,,,41,,,
torchinferno,few_shot,9,18,682.98,0.00,1005.58,1,0.99,1,,,,,,,9,,,
torchinferno,few_shot,42,19,110.70,0.00,435.90,1,2.29,1,,,,,,,42,,,
torchinferno,few_shot,34,20,248.68,0.00,572.37,1,1.75,1,,,,,,,34,,,
torchinferno,few_shot,39,21,160.76,0.00,487.64,1,2.05,1,,,,,,,39,,,
torchinferno,few_shot,25,22,396.55,0.00,724.02,1,1.38,1,,,,,,,25,,,
torchinferno,few_shot,64,23,782.59,0.00,1111.08,1,0.90,1,,,,,,,64,,,
torchinferno,few_shot,37,24,197.49,0.00,523.34,1,1.91,1,,,,,,,37,,,
torchinferno,few_shot,11,25,648.51,0.00,977.60,1,1.02,1,,,,,,,11,,,
torchinferno,few_shot,29,26,332.71,0.00,662.09,1,1.51,1,,,,,,,29,,,
torchinferno,few_shot,14,27,599.57,341.26,940.83,2,2.13,1,,,,,,,14,,,
torchinferno,few_shot,23,28,432.63,342.54,775.17,2,2.58,1,,,,,,,23,,,
torchinferno,few_shot,44,29,78.54,343.29,421.83,2,4.74,1,,,,,,,44,,,
torchinferno,few_shot,30,30,316.43,342.41,658.84,2,3.04,1,,,,,,,30,,,
torchinferno,few_shot,16,31,566.73,342.65,909.38,2,2.20,1,,,,,,,16,,,
torchinferno,few_shot,36,32,211.52,346.20,557.71,2,3.59,1,,,,,,,36,,,
torchinferno,few_shot,32,33,283.19,344.19,627.38,2,3.19,1,,,,,,,32,,,
torchinferno,few_shot,3,34,784.93,344.41,1129.34,2,1.77,1,,,,,,,3,,,
torchinferno,few_shot,33,35,266.67,344.73,611.40,2,3.27,1,,,,,,,33,,,
torchinferno,few_shot,13,36,616.33,345.96,962.29,2,2.08,1,,,,,,,13,,,
torchinferno,few_shot,21,37,478.09,346.29,824.39,2,2.43,1,,,,,,,21,,,
torchinferno,few_shot,6,38,733.60,347.16,1080.77,2,1.85,1,,,,,,,6,,,
