model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T19:02:19.773112+00:00

Build Times
provider,build_time_s
torchinferno,40.6
vllm,323.5
sglang,213.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,155.98,124.40,133.29,vllm
ttft_p99_ms,461.97,238.34,193.90,sglang
tpot_median_ms,45.00,43.13,84.23,vllm
tpot_p99_ms,141.85,118.41,638.44,vllm
e2e_median_ms,199.59,164.16,209.53,vllm
e2e_p99_ms,503.81,302.37,693.86,vllm
throughput_median_tps,6.25,8.66,5.79,vllm
total_output_tokens,1461,1466,1466,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,105.85,133.34,214.81,torchinferno
ttft_p99_ms,346.69,354.83,69567.78,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,114.28,155.10,371.26,torchinferno
e2e_p99_ms,371.31,377.98,69628.00,torchinferno
throughput_median_tps,8.75,6.45,2.69,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,329.77,141.60,160.97,vllm
ttft_p99_ms,752.33,475.86,683.91,vllm
tpot_median_ms,59.43,51.07,113.16,vllm
tpot_p99_ms,328.58,322.19,913.33,vllm
e2e_median_ms,395.71,186.15,273.84,vllm
e2e_p99_ms,811.47,555.46,971.95,vllm
throughput_median_tps,3.67,7.26,4.64,vllm
total_output_tokens,1467,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,307.06,128.13,103.87,sglang
ttft_last_turn_ms,370.90,157.32,185.69,vllm
ttft_growth_ratio,1.21,1.23,1.79,torchinferno
ttft_first_turn_median_ms,243.08,117.61,107.46,sglang
ttft_first_turn_p99_ms,760.78,334.41,279.72,sglang
ttft_last_turn_median_ms,373.92,139.36,184.22,vllm
ttft_last_turn_p99_ms,765.88,431.17,314.71,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,79.71,32.64,50.98,vllm
ttft_p99_ms,239.92,42.00,357.82,vllm
tpot_median_ms,63.25,21.68,396.33,vllm
tpot_p99_ms,162.37,28.61,1093.23,vllm
e2e_median_ms,111.65,47.89,439.88,vllm
e2e_p99_ms,306.81,108.55,1128.29,vllm
throughput_median_tps,12.42,25.58,3.16,vllm
total_output_tokens,1477,1468,1458,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.61,76.79,68.26,sglang
ttft_p99_ms,1732.81,787.11,606.46,sglang
tpot_median_ms,20.33,14.70,22.69,vllm
tpot_p99_ms,41.56,59.73,98.65,torchinferno
e2e_median_ms,1009.19,670.42,943.55,vllm
e2e_p99_ms,2023.64,1694.03,1717.53,vllm
throughput_median_tps,35.01,58.68,41.15,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,215.90,0.00,219.19,1,4.56,1,,,,,,,4,,,
torchinferno,few_shot,3,1,233.08,136.12,369.20,2,5.42,1,,,,,,,3,,,
torchinferno,few_shot,5,2,362.07,0.00,371.65,1,2.69,1,,,,,,,5,,,
torchinferno,few_shot,1,3,465.68,0.00,480.67,1,2.08,1,,,,,,,1,,,
torchinferno,few_shot,17,4,111.34,0.00,129.29,1,7.73,1,,,,,,,17,,,
torchinferno,few_shot,8,5,295.99,0.00,309.75,1,3.23,1,,,,,,,8,,,
torchinferno,few_shot,9,6,276.58,0.00,294.39,1,3.40,1,,,,,,,9,,,
torchinferno,few_shot,12,7,216.50,0.00,236.94,1,4.22,1,,,,,,,12,,,
torchinferno,few_shot,64,8,187.68,0.00,210.67,1,4.75,1,,,,,,,64,,,
torchinferno,few_shot,6,9,334.91,30.06,364.98,2,5.48,1,,,,,,,6,,,
torchinferno,few_shot,14,10,168.02,29.89,197.92,2,10.11,1,,,,,,,14,,,
torchinferno,few_shot,20,11,60.73,29.13,89.86,2,22.26,1,,,,,,,20,,,
torchinferno,few_shot,16,12,128.10,34.22,162.32,2,12.32,1,,,,,,,16,,,
torchinferno,few_shot,11,13,233.29,0.00,265.46,1,3.77,1,,,,,,,11,,,
torchinferno,few_shot,2,14,443.92,35.44,479.36,2,4.17,1,,,,,,,2,,,
torchinferno,few_shot,18,15,94.62,35.64,130.26,2,15.35,1,,,,,,,18,,,
torchinferno,few_shot,10,16,249.09,0.00,288.29,1,3.47,1,,,,,,,10,,,
torchinferno,few_shot,0,17,484.47,39.55,524.02,2,3.82,1,,,,,,,0,,,
torchinferno,few_shot,13,18,190.53,43.90,234.43,2,8.53,1,,,,,,,13,,,
torchinferno,few_shot,7,19,310.63,0.00,356.34,1,2.81,1,,,,,,,7,,,
torchinferno,few_shot,15,20,151.24,42.51,193.75,2,10.32,1,,,,,,,15,,,
torchinferno,few_shot,19,21,77.32,48.18,125.50,2,15.94,1,,,,,,,19,,,
torchinferno,few_shot,65,22,112.65,0.00,125.32,1,7.98,1,,,,,,,65,,,
torchinferno,few_shot,23,23,65.12,22.53,87.65,2,22.82,1,,,,,,,23,,,
torchinferno,few_shot,22,24,81.35,24.35,105.70,2,18.92,1,,,,,,,22,,,
torchinferno,few_shot,21,25,100.85,24.38,125.23,2,15.97,1,,,,,,,21,,,
torchinferno,few_shot,24,26,120.54,0.00,134.78,1,7.42,1,,,,,,,24,,,
torchinferno,few_shot,81,27,99.13,0.00,109.17,1,9.16,1,,,,,,,81,,,
torchinferno,few_shot,67,28,119.44,0.00,134.54,1,7.43,1,,,,,,,67,,,
torchinferno,few_shot,69,29,118.18,0.00,133.52,1,7.49,1,,,,,,,69,,,
torchinferno,few_shot,26,30,61.76,0.00,78.30,1,12.77,1,,,,,,,26,,,
torchinferno,few_shot,72,31,107.56,0.00,130.02,1,7.69,1,,,,,,,72,,,
torchinferno,few_shot,71,32,114.68,0.00,133.15,1,7.51,1,,,,,,,71,,,
torchinferno,few_shot,86,33,64.28,0.00,88.95,1,11.24,1,,,,,,,86,,,
torchinferno,few_shot,70,34,113.48,27.90,141.39,2,14.15,1,,,,,,,70,,,
torchinferno,few_shot,73,35,105.80,30.63,136.43,2,14.66,1,,,,,,,73,,,
torchinferno,few_shot,83,36,93.10,30.46,123.56,2,16.19,1,,,,,,,83,,,
torchinferno,few_shot,82,37,95.92,0.00,126.18,1,7.93,1,,,,,,,82,,,
torchinferno,few_shot,68,38,120.85,0.00,152.08,1,6.58,1,,,,,,,68,,,
