model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-27T15:35:45.200597

Build Times
provider,build_time_s
torchinferno,442.4
vllm,1394.0
sglang,260.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,167.04,143.18,sglang
ttft_p99_ms,,1704.86,8065.74,vllm
tpot_median_ms,,59.29,73.23,vllm
tpot_p99_ms,,141.45,7421.92,vllm
e2e_median_ms,,224.10,211.10,sglang
e2e_p99_ms,,1775.81,15452.02,vllm
throughput_median_tps,,6.64,5.76,vllm
total_output_tokens,,1461,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,182.83,202.02,vllm
ttft_p99_ms,,411.32,72036.73,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,204.76,328.60,vllm
e2e_p99_ms,,445.38,72150.53,vllm
throughput_median_tps,,4.88,3.04,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,171.42,160.17,sglang
ttft_p99_ms,,402.25,648.63,vllm
tpot_median_ms,,64.43,100.97,vllm
tpot_p99_ms,,242.86,236.59,sglang
e2e_median_ms,,228.10,261.71,vllm
e2e_p99_ms,,489.40,689.57,vllm
throughput_median_tps,,6.02,5.01,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,135.67,111.03,sglang
ttft_last_turn_ms,,173.36,192.03,vllm
ttft_growth_ratio,,1.28,1.73,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.96,78.28,vllm
ttft_p99_ms,,85.11,581.71,vllm
tpot_median_ms,,26.59,56.28,vllm
tpot_p99_ms,,39.24,167.40,vllm
e2e_median_ms,,79.13,151.76,vllm
e2e_p99_ms,,117.38,625.24,vllm
throughput_median_tps,,15.67,9.21,vllm
total_output_tokens,,1462,1456,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,79.47,77.39,sglang
ttft_p99_ms,,277.13,143.50,sglang
tpot_median_ms,,14.93,23.06,vllm
tpot_p99_ms,,21.39,27.34,vllm
e2e_median_ms,,621.18,868.17,vllm
e2e_p99_ms,,1123.60,1652.62,vllm
throughput_median_tps,,57.90,40.58,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,1176.03,0.00,1616.75,1,0.62,1
vllm,few_shot,1,1670.63,0.00,1698.35,1,0.59,1
vllm,few_shot,2,1682.64,0.00,1705.31,1,0.59,1
vllm,few_shot,3,1696.85,0.00,1720.67,1,0.58,1
vllm,few_shot,4,1682.99,0.00,1712.30,1,0.58,1
vllm,few_shot,5,1699.76,0.00,1733.12,1,0.58,1
vllm,few_shot,6,1679.70,0.00,1710.91,1,0.58,1
vllm,few_shot,7,1702.24,0.00,1731.67,1,0.58,1
vllm,few_shot,8,1705.43,26.97,1732.40,2,1.15,1
vllm,few_shot,9,1671.83,0.00,1715.36,1,0.58,1
vllm,few_shot,10,1682.03,0.00,1720.50,1,0.58,1
vllm,few_shot,11,1685.25,0.00,1720.00,1,0.58,1
vllm,few_shot,12,1683.05,0.00,1722.50,1,0.58,1
vllm,few_shot,13,1710.66,0.00,1741.31,1,0.57,1
vllm,few_shot,14,1694.58,0.00,1741.06,1,0.57,1
vllm,few_shot,15,1692.83,46.95,1739.77,2,1.15,1
vllm,few_shot,16,1705.48,0.00,1742.08,1,0.57,1
vllm,few_shot,17,1693.14,0.00,1737.77,1,0.58,1
vllm,few_shot,18,1688.59,51.41,1740.00,2,1.15,1
vllm,few_shot,19,1689.07,0.00,1731.44,1,0.58,1
vllm,few_shot,20,1692.80,0.00,1733.43,1,0.58,1
vllm,few_shot,21,1699.85,55.64,1755.49,2,1.14,1
vllm,few_shot,22,1680.41,0.00,1732.74,1,0.58,1
vllm,few_shot,23,1685.57,0.00,1737.08,1,0.58,1
vllm,few_shot,24,1694.82,0.00,1746.99,1,0.57,1
vllm,few_shot,25,1694.72,58.38,1753.10,2,1.14,1
vllm,few_shot,26,1676.66,58.93,1735.59,2,1.15,1
vllm,few_shot,27,1697.32,0.00,1743.46,1,0.57,1
vllm,few_shot,28,1690.09,48.94,1739.02,2,1.15,1
vllm,few_shot,29,1687.61,53.80,1741.40,2,1.15,1
vllm,few_shot,30,1692.50,52.40,1744.90,2,1.15,1
vllm,few_shot,31,1683.11,62.91,1746.02,2,1.15,1
vllm,few_shot,32,1692.07,65.65,1757.72,2,1.14,1
vllm,few_shot,33,1705.14,0.00,1763.30,1,0.57,1
vllm,few_shot,34,1709.07,55.94,1765.02,2,1.13,1
vllm,few_shot,35,1704.86,65.08,1769.93,2,1.13,1
vllm,few_shot,36,1684.13,63.00,1747.12,2,1.14,1
vllm,few_shot,37,1707.45,55.96,1763.40,2,1.13,1
vllm,few_shot,38,1670.83,75.84,1746.67,2,1.15,1
vllm,few_shot,39,1677.76,77.21,1754.98,2,1.14,1
vllm,few_shot,40,1703.67,63.89,1767.57,2,1.13,1
vllm,few_shot,41,1694.62,0.00,1755.84,1,0.57,1
vllm,few_shot,42,1692.26,0.00,1756.00,1,0.57,1
vllm,few_shot,43,1682.20,72.55,1754.75,2,1.14,1
vllm,few_shot,44,154.73,0.00,159.75,1,6.26,1
vllm,few_shot,45,1706.73,67.27,1774.00,2,1.13,1
vllm,few_shot,46,1675.37,80.81,1756.17,2,1.14,1
vllm,few_shot,47,1698.48,0.00,1775.81,1,0.56,1
vllm,few_shot,48,1697.37,0.00,1779.96,1,0.56,1
vllm,few_shot,49,1681.82,80.91,1762.74,2,1.13,1
vllm,few_shot,50,1689.57,76.53,1766.10,2,1.13,1
vllm,few_shot,51,1717.12,72.64,1789.77,2,1.12,1
vllm,few_shot,52,1674.01,92.31,1766.31,2,1.13,1
vllm,few_shot,53,1684.66,0.00,1763.41,1,0.57,1
vllm,few_shot,54,1673.65,94.00,1767.65,2,1.13,1
vllm,few_shot,55,1700.44,82.52,1782.95,2,1.12,1
vllm,few_shot,56,1680.30,0.00,1773.16,1,0.56,1
vllm,few_shot,57,1679.59,96.74,1776.33,2,1.13,1
vllm,few_shot,58,1676.20,92.83,1769.03,2,1.13,1
vllm,few_shot,59,1710.48,0.00,1797.93,1,0.56,1
vllm,few_shot,60,1685.17,0.00,1774.54,1,0.56,1
vllm,few_shot,61,1680.52,0.00,1781.41,1,0.56,1
vllm,few_shot,62,1704.68,86.50,1791.18,2,1.12,1
vllm,few_shot,63,1687.30,91.09,1778.40,2,1.12,1
vllm,few_shot,64,1704.72,90.86,1795.58,2,1.11,1
vllm,few_shot,65,74.85,19.91,94.76,2,21.11,1
vllm,few_shot,66,106.47,0.00,117.83,1,8.49,1
vllm,few_shot,67,93.16,0.00,113.37,1,8.82,1
vllm,few_shot,68,73.03,35.79,108.82,2,18.38,1
vllm,few_shot,69,125.81,0.00,153.46,1,6.52,1
vllm,few_shot,70,137.48,0.00,162.30,1,6.16,1
vllm,few_shot,71,132.07,0.00,160.75,1,6.22,1
vllm,few_shot,72,144.19,0.00,176.45,1,5.67,1
vllm,few_shot,73,148.01,0.00,178.72,1,5.60,1
vllm,few_shot,74,149.98,0.00,186.16,1,5.37,1
vllm,few_shot,75,116.93,54.16,171.09,2,11.69,1
vllm,few_shot,76,118.85,0.00,152.82,1,6.54,1
vllm,few_shot,77,156.62,0.00,211.43,1,4.73,1
vllm,few_shot,78,144.91,0.00,209.91,1,4.76,1
vllm,few_shot,79,130.18,0.00,199.75,1,5.01,1
vllm,few_shot,80,135.49,0.00,201.51,1,4.96,1
vllm,few_shot,81,161.01,0.00,231.88,1,4.31,1
vllm,few_shot,82,122.34,0.00,194.09,1,5.15,1
vllm,few_shot,83,133.68,0.00,200.15,1,5.00,1
vllm,few_shot,84,109.38,102.45,211.83,2,9.44,1
vllm,few_shot,85,134.47,0.00,205.55,1,4.87,1
vllm,few_shot,86,129.53,103.33,232.86,2,8.59,1
vllm,few_shot,87,108.17,0.00,187.54,1,5.33,1
vllm,few_shot,88,165.55,0.00,247.61,1,4.04,1
vllm,few_shot,89,188.27,0.00,207.35,1,4.82,1
vllm,few_shot,90,233.60,0.00,252.97,1,3.95,1
vllm,few_shot,91,177.99,0.00,202.08,1,4.95,1
vllm,few_shot,92,202.79,0.00,203.01,1,4.93,1
vllm,few_shot,93,213.17,0.00,237.90,1,4.20,1
vllm,few_shot,94,163.90,0.00,196.95,1,5.08,1
vllm,few_shot,95,119.30,96.63,215.93,2,9.26,1
vllm,few_shot,96,178.18,0.00,191.59,1,5.22,1
vllm,few_shot,97,197.52,0.00,231.72,1,4.32,1
vllm,few_shot,98,174.17,0.00,209.40,1,4.78,1
vllm,few_shot,99,202.26,0.00,215.34,1,4.64,1
vllm,few_shot,100,113.52,97.29,210.81,2,9.49,1
vllm,few_shot,101,221.52,0.00,244.82,1,4.08,1
vllm,few_shot,102,162.73,0.00,162.96,1,6.14,1
vllm,few_shot,103,228.96,26.13,255.09,2,7.84,1
vllm,few_shot,104,211.06,44.49,255.56,2,7.83,1
vllm,few_shot,105,216.19,0.00,229.54,1,4.36,1
vllm,few_shot,106,134.41,0.00,157.01,1,6.37,1
vllm,few_shot,107,188.33,37.57,225.90,2,8.85,1
vllm,few_shot,108,213.59,54.56,268.15,2,7.46,1
vllm,few_shot,109,163.04,119.85,282.89,2,7.07,1
vllm,few_shot,110,168.52,0.00,223.33,1,4.48,1
vllm,few_shot,111,227.37,0.00,237.44,1,4.21,1
vllm,few_shot,112,208.68,47.82,256.50,2,7.80,1
vllm,few_shot,113,242.35,0.00,265.90,1,3.76,1
vllm,few_shot,114,133.42,113.07,246.50,2,8.11,1
vllm,few_shot,115,212.55,0.00,276.54,1,3.62,1
vllm,few_shot,116,204.40,0.00,265.10,1,3.77,1
vllm,few_shot,117,168.25,61.95,230.20,2,8.69,1
vllm,few_shot,118,111.69,0.00,152.40,1,6.56,1
vllm,few_shot,119,188.08,53.05,241.13,2,8.29,1
vllm,few_shot,120,225.86,0.00,264.61,1,3.78,1
vllm,few_shot,121,220.11,0.00,262.10,1,3.82,1
vllm,few_shot,122,158.82,135.04,293.86,2,6.81,1
vllm,few_shot,123,205.16,71.19,276.35,2,7.24,1
vllm,few_shot,124,224.34,21.99,246.34,2,8.12,1
vllm,few_shot,125,176.07,81.87,257.94,2,7.75,1
vllm,few_shot,126,176.11,126.96,303.06,2,6.60,1
vllm,few_shot,127,108.01,0.00,203.39,1,4.92,1
vllm,few_shot,128,223.58,115.23,338.81,2,5.90,1
vllm,few_shot,129,122.17,0.00,207.64,1,4.82,1
vllm,few_shot,130,199.98,114.93,314.91,2,6.35,1
vllm,few_shot,131,238.29,83.91,322.21,2,6.21,1
vllm,few_shot,132,127.88,0.00,208.73,1,4.79,1
vllm,few_shot,133,105.17,103.49,208.66,2,9.58,1
vllm,few_shot,134,105.47,0.00,219.11,1,4.56,1
vllm,few_shot,135,130.75,86.72,217.47,2,9.20,1
vllm,few_shot,136,203.64,139.74,343.38,2,5.82,1
vllm,few_shot,137,189.86,134.43,324.30,2,6.17,1
vllm,few_shot,138,132.40,0.00,222.01,1,4.50,1
vllm,few_shot,139,111.14,137.93,249.07,2,8.03,1
vllm,few_shot,140,114.27,102.10,216.38,2,9.24,1
vllm,few_shot,141,173.93,0.00,191.30,1,5.23,1
vllm,few_shot,142,142.81,0.00,160.92,1,6.21,1
vllm,few_shot,143,182.20,0.00,199.22,1,5.02,1
vllm,few_shot,144,191.07,0.00,196.10,1,5.10,1
vllm,few_shot,145,200.73,0.00,215.78,1,4.63,1
vllm,few_shot,146,220.92,0.00,235.64,1,4.24,1
vllm,few_shot,147,165.36,0.00,179.13,1,5.58,1
vllm,few_shot,148,181.45,0.00,205.14,1,4.87,1
vllm,few_shot,149,144.47,0.00,171.77,1,5.82,1
vllm,few_shot,150,172.66,0.00,195.42,1,5.12,1
vllm,few_shot,151,218.43,0.00,238.67,1,4.19,1
vllm,few_shot,152,172.13,0.00,188.11,1,5.32,1
vllm,few_shot,153,178.14,0.00,202.27,1,4.94,1
vllm,few_shot,154,165.61,0.00,192.71,1,5.19,1
vllm,few_shot,155,176.38,0.00,202.11,1,4.95,1
vllm,few_shot,156,156.78,31.98,188.76,2,10.60,1
vllm,few_shot,157,189.34,0.00,227.38,1,4.40,1
vllm,few_shot,158,239.28,0.00,244.00,1,4.10,1
vllm,few_shot,159,200.82,0.00,226.71,1,4.41,1
vllm,few_shot,160,225.87,35.11,260.98,2,7.66,1
vllm,few_shot,161,178.85,42.69,221.54,2,9.03,1
vllm,few_shot,162,155.84,0.00,194.75,1,5.13,1
vllm,few_shot,163,214.84,41.40,256.24,2,7.81,1
vllm,few_shot,164,199.39,39.83,239.22,2,8.36,1
vllm,few_shot,165,112.04,0.00,112.26,1,8.91,1
vllm,few_shot,166,157.87,0.00,207.13,1,4.83,1
vllm,few_shot,167,103.01,0.00,115.08,1,8.69,1
vllm,few_shot,168,120.14,0.00,124.14,1,8.06,1
vllm,few_shot,169,146.80,59.18,205.98,2,9.71,1
vllm,few_shot,170,190.04,0.00,243.15,1,4.11,1
vllm,few_shot,171,162.11,56.61,218.72,2,9.14,1
vllm,few_shot,172,125.18,4.87,130.04,2,15.38,1
vllm,few_shot,173,164.53,58.03,222.55,2,8.99,1
vllm,few_shot,174,113.28,0.00,128.69,1,7.77,1
vllm,few_shot,175,170.87,66.54,237.41,2,8.42,1
vllm,few_shot,176,232.40,35.07,267.47,2,7.48,1
vllm,few_shot,177,168.62,59.38,228.01,2,8.77,1
vllm,few_shot,178,123.66,0.00,124.03,1,8.06,1
vllm,few_shot,179,106.44,22.89,129.34,2,15.46,1
vllm,few_shot,180,171.96,70.42,242.38,2,8.25,1
vllm,few_shot,181,136.40,0.00,209.98,1,4.76,1
vllm,few_shot,182,180.87,75.68,256.54,2,7.80,1
vllm,few_shot,183,214.44,71.61,286.05,2,6.99,1
vllm,few_shot,184,212.37,64.87,277.24,2,7.21,1
vllm,few_shot,185,115.79,28.28,144.07,2,13.88,1
vllm,few_shot,186,114.28,20.27,134.55,2,14.86,1
vllm,few_shot,187,130.29,10.16,140.45,2,14.24,1
vllm,few_shot,188,199.36,83.91,283.27,2,7.06,1
vllm,few_shot,189,142.23,0.00,142.44,1,7.02,1
vllm,few_shot,190,190.51,0.00,270.86,1,3.69,1
vllm,few_shot,191,181.53,71.99,253.53,2,7.89,1
vllm,few_shot,192,207.03,44.03,295.09,3,10.17,0
vllm,few_shot,193,145.08,86.31,231.39,2,8.64,1
vllm,few_shot,194,204.75,88.40,293.16,2,6.82,1
vllm,few_shot,195,204.55,80.92,285.47,2,7.01,1
vllm,few_shot,196,128.81,0.00,155.82,1,6.42,1
vllm,few_shot,197,142.93,0.00,150.10,1,6.66,1
vllm,few_shot,198,168.77,85.65,254.42,2,7.86,1
vllm,few_shot,199,216.12,89.43,305.55,2,6.55,1
vllm,few_shot,200,104.50,0.00,150.41,1,6.65,1
vllm,few_shot,201,193.24,0.00,286.38,1,3.49,1
vllm,few_shot,202,142.47,99.09,241.56,2,8.28,1
vllm,few_shot,203,87.05,0.00,87.27,1,11.46,1
vllm,few_shot,204,132.53,24.19,156.72,2,12.76,1
vllm,few_shot,205,176.69,81.92,258.61,2,7.73,1
vllm,few_shot,206,99.11,0.00,113.97,1,8.77,1
vllm,few_shot,207,102.75,0.00,122.72,1,8.15,1
vllm,few_shot,208,135.41,0.00,151.43,1,6.60,1
vllm,few_shot,209,138.92,0.00,154.16,1,6.49,1
vllm,few_shot,210,97.73,35.93,133.66,2,14.96,1
vllm,few_shot,211,115.07,36.57,151.64,2,13.19,1
vllm,few_shot,212,113.29,0.00,135.28,1,7.39,1
vllm,few_shot,213,123.31,39.06,162.37,2,12.32,1
vllm,few_shot,214,96.83,0.00,128.53,1,7.78,1
vllm,few_shot,215,126.55,0.00,159.67,1,6.26,1
vllm,few_shot,216,95.47,43.30,138.77,2,14.41,1
vllm,few_shot,217,135.38,0.00,203.21,1,4.92,1
vllm,few_shot,218,172.33,0.00,236.17,1,4.23,1
vllm,few_shot,219,168.75,0.00,235.26,1,4.25,1
vllm,few_shot,220,168.43,0.00,240.49,1,4.16,1
vllm,few_shot,221,174.06,0.00,241.51,1,4.14,1
vllm,few_shot,222,155.69,0.00,233.38,1,4.28,1
vllm,few_shot,223,221.65,0.00,226.27,1,4.42,1
vllm,few_shot,224,251.88,0.00,256.98,1,3.89,1
vllm,few_shot,225,212.17,0.00,217.41,1,4.60,1
vllm,few_shot,226,175.78,0.00,195.39,1,5.12,1
vllm,few_shot,227,115.99,84.70,200.68,2,9.97,1
vllm,few_shot,228,173.58,0.00,197.99,1,5.05,1
vllm,few_shot,229,177.44,0.00,192.65,1,5.19,1
vllm,few_shot,230,202.78,28.94,231.72,2,8.63,1
vllm,few_shot,231,207.35,0.00,235.84,1,4.24,1
vllm,few_shot,232,140.77,0.00,231.12,1,4.33,1
vllm,few_shot,233,161.85,0.00,250.46,1,3.99,1
vllm,few_shot,234,118.12,0.00,152.06,1,6.58,1
vllm,few_shot,235,161.54,83.43,244.96,2,8.16,1
vllm,few_shot,236,154.72,0.00,192.86,1,5.18,1
vllm,few_shot,237,185.22,39.86,225.08,2,8.89,1
vllm,few_shot,238,193.73,0.00,208.82,1,4.79,1
vllm,few_shot,239,133.39,97.44,230.83,2,8.66,1
vllm,few_shot,240,144.73,96.84,241.57,2,8.28,1
vllm,few_shot,241,188.44,0.00,226.62,1,4.41,1
vllm,few_shot,242,117.31,100.19,217.50,2,9.20,1
vllm,few_shot,243,169.24,0.00,193.03,1,5.18,1
vllm,few_shot,244,212.11,0.00,231.16,1,4.33,1
vllm,few_shot,245,190.62,0.00,238.51,1,4.19,1
vllm,few_shot,246,96.39,0.00,126.78,1,7.89,1
vllm,few_shot,247,216.37,0.00,241.46,1,4.14,1
vllm,few_shot,248,106.26,110.34,216.60,2,9.23,1
vllm,few_shot,249,105.33,0.00,110.12,1,9.08,1
vllm,few_shot,250,104.56,0.00,104.82,1,9.54,1
vllm,few_shot,251,162.15,0.00,275.36,1,3.63,1
vllm,few_shot,252,183.86,38.88,222.73,2,8.98,1
vllm,few_shot,253,188.19,48.44,236.63,2,8.45,1
vllm,few_shot,254,152.51,62.86,215.37,2,9.29,1
vllm,few_shot,255,154.04,4.38,158.42,2,12.62,1
vllm,few_shot,256,144.60,0.00,144.82,1,6.90,1
vllm,few_shot,257,160.60,0.00,224.26,1,4.46,1
vllm,few_shot,258,224.14,49.55,273.69,2,7.31,1
vllm,few_shot,259,230.11,0.00,290.35,1,3.44,1
vllm,few_shot,260,242.95,59.49,302.44,2,6.61,1
vllm,few_shot,261,169.73,65.87,235.60,2,8.49,1
vllm,few_shot,262,164.03,0.00,224.30,1,4.46,1
vllm,few_shot,263,176.29,0.00,235.58,1,4.24,1
vllm,few_shot,264,215.96,0.00,221.01,1,4.52,1
vllm,few_shot,265,229.73,0.00,249.22,1,4.01,1
vllm,few_shot,266,167.39,69.96,237.35,2,8.43,1
vllm,few_shot,267,120.51,7.09,127.60,2,15.67,1
vllm,few_shot,268,210.36,0.00,289.38,1,3.46,1
vllm,few_shot,269,155.13,78.37,233.50,2,8.57,1
vllm,few_shot,270,118.72,13.83,160.21,4,24.97,1
vllm,few_shot,271,188.26,75.85,264.11,2,7.57,1
vllm,few_shot,272,225.60,0.00,301.83,1,3.31,1
vllm,few_shot,273,166.54,0.00,249.45,1,4.01,1
vllm,few_shot,274,129.41,140.08,269.49,2,7.42,1
vllm,few_shot,275,199.51,0.00,283.11,1,3.53,1
vllm,few_shot,276,101.07,37.93,139.00,2,14.39,1
vllm,few_shot,277,118.38,25.19,143.57,2,13.93,1
vllm,few_shot,278,170.93,0.00,174.96,1,5.72,1
vllm,few_shot,279,165.98,85.10,251.08,2,7.97,1
vllm,few_shot,280,152.49,15.59,246.00,7,28.46,0
vllm,few_shot,281,36.39,0.00,49.93,1,20.03,1
vllm,few_shot,282,91.39,34.05,125.45,2,15.94,1
vllm,few_shot,283,84.36,0.00,101.00,1,9.90,1
vllm,few_shot,284,118.82,0.00,138.78,1,7.21,1
vllm,few_shot,285,104.69,0.00,112.41,1,8.90,1
vllm,few_shot,286,153.58,0.00,158.62,1,6.30,1
vllm,few_shot,287,122.15,0.00,130.06,1,7.69,1
vllm,few_shot,288,149.55,0.00,210.60,1,4.75,1
vllm,few_shot,289,136.70,0.00,198.68,1,5.03,1
vllm,few_shot,290,140.51,0.00,210.32,1,4.75,1
vllm,few_shot,291,94.72,84.80,179.52,2,11.14,1
vllm,few_shot,292,114.34,81.91,196.25,2,10.19,1
vllm,few_shot,293,216.94,0.00,269.89,1,3.71,1
vllm,few_shot,294,178.48,0.00,242.07,1,4.13,1
vllm,few_shot,295,180.77,0.00,245.21,1,4.08,1
vllm,few_shot,296,179.12,0.00,243.78,1,4.10,1
vllm,few_shot,297,195.09,0.00,263.70,1,3.79,1
vllm,few_shot,298,198.04,0.00,259.21,1,3.86,1
vllm,few_shot,299,172.58,0.00,230.68,1,4.34,1
vllm,few_shot,300,199.20,0.00,266.67,1,3.75,1
vllm,few_shot,301,206.73,0.00,270.95,1,3.69,1
vllm,few_shot,302,169.18,0.00,243.22,1,4.11,1
vllm,few_shot,303,187.39,0.00,267.91,1,3.73,1
vllm,few_shot,304,183.00,0.00,254.48,1,3.93,1
vllm,few_shot,305,226.53,0.00,297.26,1,3.36,1
vllm,few_shot,306,237.39,0.00,261.89,1,3.82,1
vllm,few_shot,307,224.70,0.00,303.48,1,3.30,1
vllm,few_shot,308,197.07,87.37,284.44,2,7.03,1
vllm,few_shot,309,211.74,0.00,283.50,1,3.53,1
vllm,few_shot,310,219.19,0.00,236.38,1,4.23,1
vllm,few_shot,311,229.18,0.00,229.40,1,4.36,1
vllm,few_shot,312,168.73,77.28,246.02,2,8.13,1
vllm,few_shot,313,221.58,93.08,314.65,2,6.36,0
vllm,few_shot,314,229.08,34.38,263.46,2,7.59,1
vllm,few_shot,315,223.76,0.00,256.44,1,3.90,1
vllm,few_shot,316,185.40,93.82,279.22,2,7.16,1
vllm,few_shot,317,277.70,0.00,282.55,1,3.54,1
vllm,few_shot,318,151.79,0.00,169.80,1,5.89,1
vllm,few_shot,319,223.30,36.40,259.70,2,7.70,1
vllm,few_shot,320,241.37,9.76,251.13,2,7.96,1
vllm,few_shot,321,192.97,46.69,239.66,2,8.35,1
vllm,few_shot,322,206.84,106.71,313.54,2,6.38,1
vllm,few_shot,323,172.54,100.08,272.61,2,7.34,1
vllm,few_shot,324,229.36,99.84,329.21,2,6.08,1
vllm,few_shot,325,193.77,106.38,300.15,2,6.66,1
vllm,few_shot,326,188.89,106.29,295.18,2,6.78,1
vllm,few_shot,327,206.22,108.29,314.50,2,6.36,1
vllm,few_shot,328,178.13,0.00,183.43,1,5.45,1
vllm,few_shot,329,230.83,0.00,265.13,1,3.77,1
vllm,few_shot,330,155.61,104.21,259.82,2,7.70,1
vllm,few_shot,331,220.43,0.00,259.48,1,3.85,1
vllm,few_shot,332,240.69,32.21,272.90,2,7.33,1
vllm,few_shot,333,221.10,0.00,282.12,1,3.54,1
vllm,few_shot,334,177.56,0.00,182.73,1,5.47,1
vllm,few_shot,335,184.81,0.00,189.68,1,5.27,1
vllm,few_shot,336,186.63,123.91,310.53,2,6.44,1
vllm,few_shot,337,167.29,0.00,284.11,1,3.52,1
vllm,few_shot,338,169.00,120.50,289.50,2,6.91,0
vllm,few_shot,339,210.53,57.69,268.23,2,7.46,1
vllm,few_shot,340,193.75,123.24,316.99,2,6.31,1
vllm,few_shot,341,202.92,65.26,268.18,2,7.46,1
vllm,few_shot,342,176.46,5.11,191.79,4,20.86,0
vllm,few_shot,343,220.47,0.00,284.28,1,3.52,1
vllm,few_shot,344,206.43,0.00,281.63,1,3.55,1
vllm,few_shot,345,306.48,0.00,343.60,1,2.91,1
vllm,few_shot,346,107.29,30.71,138.00,2,14.49,1
vllm,few_shot,347,102.44,0.00,129.45,1,7.73,1
vllm,few_shot,348,200.56,0.34,200.90,2,9.96,1
vllm,few_shot,349,214.31,69.09,352.50,3,8.51,1
vllm,few_shot,350,192.81,0.00,247.56,1,4.04,1
vllm,few_shot,351,82.95,48.28,131.23,2,15.24,1
vllm,few_shot,352,84.62,0.00,134.42,1,7.44,1
vllm,few_shot,353,273.36,18.39,291.75,2,6.86,1
vllm,few_shot,354,90.88,54.24,145.12,2,13.78,1
vllm,few_shot,355,224.05,0.00,303.79,1,3.29,1
vllm,few_shot,356,263.88,88.36,352.24,2,5.68,1
vllm,few_shot,357,102.85,21.43,124.29,2,16.09,1
vllm,few_shot,358,97.55,0.00,106.52,1,9.39,1
vllm,few_shot,359,108.47,0.00,120.47,1,8.30,1
vllm,few_shot,360,121.78,0.00,133.68,1,7.48,1
vllm,few_shot,361,94.40,24.78,119.18,2,16.78,1
vllm,few_shot,362,117.40,26.58,143.98,2,13.89,1
vllm,few_shot,363,120.11,0.00,134.35,1,7.44,1
vllm,few_shot,364,126.73,0.00,144.79,1,6.91,1
vllm,few_shot,365,115.64,0.00,134.36,1,7.44,1
vllm,few_shot,366,134.84,74.20,209.04,2,9.57,1
vllm,few_shot,367,106.80,0.00,169.33,1,5.91,1
vllm,few_shot,368,154.64,0.00,218.44,1,4.58,1
vllm,few_shot,369,125.22,0.00,188.83,1,5.30,1
vllm,few_shot,370,137.74,0.00,205.86,1,4.86,1
vllm,few_shot,371,155.27,0.00,223.94,1,4.47,1
vllm,few_shot,372,83.65,84.51,168.15,2,11.89,1
vllm,few_shot,373,154.34,0.00,174.28,1,5.74,1
vllm,few_shot,374,201.52,0.00,229.36,1,4.36,1
vllm,few_shot,375,156.62,0.00,171.98,1,5.81,1
vllm,few_shot,376,163.17,0.00,187.73,1,5.33,1
vllm,few_shot,377,214.34,0.00,241.14,1,4.15,1
vllm,few_shot,378,142.11,0.00,179.47,1,5.57,1
vllm,few_shot,379,149.81,97.64,247.45,2,8.08,1
vllm,few_shot,380,147.68,0.00,186.31,1,5.37,1
