model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-07T11:24:48.929280+00:00

Build Times
provider,build_time_s
torchinferno,31.2
vllm,204.4
sglang,221.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,155.85,,140.08,sglang
ttft_p99_ms,1083.55,,3230.83,torchinferno
tpot_median_ms,44.22,,74.42,torchinferno
tpot_p99_ms,137.08,,148.75,torchinferno
e2e_median_ms,198.96,,214.99,torchinferno
e2e_p99_ms,1124.51,,3281.41,torchinferno
throughput_median_tps,5.89,,5.62,torchinferno
total_output_tokens,1461,,1461,
num_requests,1000,,1000,
correctness_rate,0.98,,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,172.85,,210.09,torchinferno
ttft_p99_ms,650.37,,71333.68,torchinferno
tpot_median_ms,0.00,,0.00,
tpot_p99_ms,0.00,,0.00,
e2e_median_ms,182.32,,346.68,torchinferno
e2e_p99_ms,1089.07,,71387.41,torchinferno
throughput_median_tps,5.48,,2.88,torchinferno
total_output_tokens,1000,,1000,
num_requests,1000,,1000,
correctness_rate,1.00,,1.00,
unique_final_answers,1,,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,248.26,,170.32,sglang
ttft_p99_ms,656.44,,659.79,torchinferno
tpot_median_ms,59.93,,108.18,torchinferno
tpot_p99_ms,205.80,,992.89,torchinferno
e2e_median_ms,313.34,,280.52,sglang
e2e_p99_ms,710.79,,1020.17,torchinferno
throughput_median_tps,4.55,,4.64,sglang
total_output_tokens,1442,,1462,sglang
num_requests,1000,,1000,
correctness_rate,0.98,,0.98,torchinferno
ttft_first_turn_ms,309.63,,97.94,sglang
ttft_last_turn_ms,251.83,,206.23,sglang
ttft_growth_ratio,0.81,,2.11,torchinferno
ttft_first_turn_median_ms,296.48,,94.75,sglang
ttft_first_turn_p99_ms,652.19,,279.91,sglang
ttft_last_turn_median_ms,229.69,,201.49,sglang
ttft_last_turn_p99_ms,438.02,,318.34,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,80.36,,45.45,sglang
ttft_p99_ms,258.83,,199.83,sglang
tpot_median_ms,64.36,,251.42,torchinferno
tpot_p99_ms,202.77,,994.23,torchinferno
e2e_median_ms,114.82,,265.45,torchinferno
e2e_p99_ms,314.15,,1087.78,torchinferno
throughput_median_tps,12.22,,5.47,torchinferno
total_output_tokens,1475,,1473,torchinferno
num_requests,992,,992,
correctness_rate,0.96,,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,253.65,,64.90,sglang
ttft_p99_ms,1208.97,,361.65,sglang
tpot_median_ms,19.84,,22.56,torchinferno
tpot_p99_ms,38.46,,97.97,torchinferno
e2e_median_ms,995.75,,881.30,sglang
e2e_p99_ms,2232.26,,1570.48,sglang
throughput_median_tps,37.17,,41.54,sglang
total_output_tokens,36715,,36715,
num_requests,1000,,1000,
correctness_rate,1.00,,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,490.25,0.00,497.62,1,2.01,1,,,,,,,4,,,
torchinferno,few_shot,3,1,511.09,421.09,932.18,2,2.15,1,,,,,,,3,,,
torchinferno,few_shot,8,2,881.95,0.00,892.08,1,1.12,1,,,,,,,8,,,
torchinferno,few_shot,1,3,1028.10,0.00,1043.65,1,0.96,1,,,,,,,1,,,
torchinferno,few_shot,9,4,830.15,0.00,849.32,1,1.18,1,,,,,,,9,,,
torchinferno,few_shot,12,5,768.75,0.00,791.90,1,1.26,1,,,,,,,12,,,
torchinferno,few_shot,28,6,494.99,0.00,507.60,1,1.97,1,,,,,,,28,,,
torchinferno,few_shot,64,7,470.07,0.00,494.31,1,2.02,1,,,,,,,64,,,
torchinferno,few_shot,31,8,434.72,0.00,458.77,1,2.18,1,,,,,,,31,,,
torchinferno,few_shot,29,9,474.88,0.00,496.96,1,2.01,1,,,,,,,29,,,
torchinferno,few_shot,25,10,538.37,0.00,567.31,1,1.76,1,,,,,,,25,,,
torchinferno,few_shot,11,11,788.54,0.00,820.78,1,1.22,1,,,,,,,11,,,
torchinferno,few_shot,17,12,675.94,0.00,710.32,1,1.41,1,,,,,,,17,,,
torchinferno,few_shot,27,13,505.51,31.63,537.14,2,3.72,1,,,,,,,27,,,
torchinferno,few_shot,14,14,735.84,30.79,766.63,2,2.61,1,,,,,,,14,,,
torchinferno,few_shot,7,15,898.17,0.00,938.94,1,1.07,1,,,,,,,7,,,
torchinferno,few_shot,32,16,417.09,38.93,456.02,2,4.39,1,,,,,,,32,,,
torchinferno,few_shot,6,17,924.31,45.52,969.82,2,2.06,1,,,,,,,6,,,
torchinferno,few_shot,20,18,630.99,38.96,669.95,2,2.99,1,,,,,,,20,,,
torchinferno,few_shot,19,19,647.26,40.88,688.14,2,2.91,1,,,,,,,19,,,
torchinferno,few_shot,13,20,759.89,40.05,799.94,2,2.50,1,,,,,,,13,,,
torchinferno,few_shot,0,21,1047.24,48.93,1096.17,2,1.82,1,,,,,,,0,,,
torchinferno,few_shot,26,22,520.59,0.00,570.38,1,1.75,1,,,,,,,26,,,
torchinferno,few_shot,24,23,560.85,0.00,607.60,1,1.65,1,,,,,,,24,,,
torchinferno,few_shot,10,24,811.52,0.00,862.36,1,1.16,1,,,,,,,10,,,
torchinferno,few_shot,5,25,954.13,0.00,1005.86,1,0.99,1,,,,,,,5,,,
torchinferno,few_shot,16,26,694.14,58.36,752.50,2,2.66,1,,,,,,,16,,,
torchinferno,few_shot,2,27,1013.86,53.46,1067.32,2,1.87,1,,,,,,,2,,,
torchinferno,few_shot,18,28,662.31,57.42,719.74,2,2.78,1,,,,,,,18,,,
torchinferno,few_shot,21,29,614.25,55.02,669.27,2,2.99,1,,,,,,,21,,,
torchinferno,few_shot,23,30,579.88,55.94,635.81,2,3.15,1,,,,,,,23,,,
torchinferno,few_shot,22,31,593.04,62.40,655.44,2,3.05,1,,,,,,,22,,,
torchinferno,few_shot,15,32,714.58,65.88,780.46,2,2.56,1,,,,,,,15,,,
torchinferno,few_shot,30,33,458.36,62.53,520.89,2,3.84,1,,,,,,,30,,,
torchinferno,few_shot,37,34,421.66,0.00,428.79,1,2.33,1,,,,,,,37,,,
torchinferno,few_shot,35,35,450.71,0.00,469.05,1,2.13,1,,,,,,,35,,,
