model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T00:08:53.807969

Build Times
provider,build_time_s
torchinferno,375.3
vllm,1144.7
sglang,167.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.08,157.84,140.00,sglang
ttft_p99_ms,2002.61,246.19,8125.83,vllm
tpot_median_ms,150.96,50.83,72.94,vllm
tpot_p99_ms,207.58,133.27,7316.15,vllm
e2e_median_ms,372.46,203.06,207.17,vllm
e2e_p99_ms,2103.99,328.92,15424.21,vllm
throughput_median_tps,3.92,7.43,5.91,vllm
total_output_tokens,1461,1453,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,271.99,221.65,204.88,sglang
ttft_p99_ms,1595.63,272.52,70865.42,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,296.01,308.70,341.68,torchinferno
e2e_p99_ms,1675.30,384.19,70934.49,vllm
throughput_median_tps,3.38,3.24,2.93,torchinferno
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,550.79,169.57,157.66,sglang
ttft_p99_ms,1557.50,343.77,762.86,vllm
tpot_median_ms,121.63,52.49,103.84,vllm
tpot_p99_ms,455.67,176.13,211.19,vllm
e2e_median_ms,639.61,213.74,254.30,vllm
e2e_p99_ms,1681.41,409.23,889.82,vllm
throughput_median_tps,2.05,6.30,5.15,vllm
total_output_tokens,1462,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,774.68,152.90,107.34,sglang
ttft_last_turn_ms,456.50,168.63,182.76,vllm
ttft_growth_ratio,0.59,1.10,1.70,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,324.34,58.23,75.84,vllm
ttft_p99_ms,992.23,134.01,647.48,vllm
tpot_median_ms,130.26,26.91,45.10,vllm
tpot_p99_ms,151.49,104.28,139.75,vllm
e2e_median_ms,428.71,78.90,127.94,vllm
e2e_p99_ms,1109.71,163.00,691.13,vllm
throughput_median_tps,3.32,15.35,10.48,vllm
total_output_tokens,1489,1460,1484,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,742.06,67.54,66.85,sglang
ttft_p99_ms,2313.93,119.23,112.19,sglang
tpot_median_ms,18.91,15.07,22.03,vllm
tpot_p99_ms,62.72,20.65,26.09,vllm
e2e_median_ms,1470.22,602.77,819.66,vllm
e2e_p99_ms,3218.70,1015.70,1548.57,vllm
throughput_median_tps,23.11,59.08,42.74,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,947.03,201.58,1148.62,2,1.74,1
torchinferno,few_shot,1,1709.20,0.00,1788.94,1,0.56,1
torchinferno,few_shot,2,1704.35,0.00,1794.89,1,0.56,1
torchinferno,few_shot,3,1711.55,0.00,1793.20,1,0.56,1
torchinferno,few_shot,4,1706.63,0.00,1796.03,1,0.56,1
torchinferno,few_shot,5,1701.22,0.00,1797.91,1,0.56,1
torchinferno,few_shot,6,1699.36,0.00,1799.26,1,0.56,1
torchinferno,few_shot,7,1712.61,0.00,1805.67,1,0.55,1
torchinferno,few_shot,8,1710.91,0.00,1802.62,1,0.55,1
torchinferno,few_shot,9,1714.37,0.00,1806.20,1,0.55,1
torchinferno,few_shot,10,1710.34,0.00,1805.54,1,0.55,1
torchinferno,few_shot,11,1702.44,0.00,1805.97,1,0.55,1
torchinferno,few_shot,12,1708.43,0.00,1809.95,1,0.55,1
torchinferno,few_shot,13,1709.93,0.00,1811.10,1,0.55,1
torchinferno,few_shot,14,1703.33,0.00,1815.72,1,0.55,1
torchinferno,few_shot,15,1706.96,0.00,1818.52,1,0.55,1
torchinferno,few_shot,16,1718.61,0.00,1820.87,1,0.55,1
torchinferno,few_shot,17,1708.10,0.00,1815.14,1,0.55,1
torchinferno,few_shot,18,1705.40,0.00,1816.50,1,0.55,1
torchinferno,few_shot,19,1703.47,0.00,1817.26,1,0.55,1
torchinferno,few_shot,20,1705.12,0.00,1819.37,1,0.55,1
torchinferno,few_shot,21,1708.09,0.00,1822.65,1,0.55,1
torchinferno,few_shot,22,1713.67,0.00,1826.75,1,0.55,1
torchinferno,few_shot,23,1703.76,0.00,1825.94,1,0.55,1
torchinferno,few_shot,24,1706.01,0.00,1831.55,1,0.55,1
torchinferno,few_shot,25,1710.04,0.00,1833.01,1,0.55,1
torchinferno,few_shot,26,1714.35,0.00,1838.16,1,0.54,1
torchinferno,few_shot,27,1701.61,172.26,1873.86,2,1.07,1
torchinferno,few_shot,28,1711.93,162.96,1874.89,2,1.07,1
torchinferno,few_shot,29,1701.51,170.92,1872.43,2,1.07,1
torchinferno,few_shot,30,1704.91,174.30,1879.21,2,1.06,1
torchinferno,few_shot,31,1702.58,177.48,1880.06,2,1.06,1
torchinferno,few_shot,32,1710.17,171.70,1881.87,2,1.06,1
torchinferno,few_shot,33,1699.84,179.87,1879.71,2,1.06,1
torchinferno,few_shot,34,1704.35,186.51,1890.86,2,1.06,1
torchinferno,few_shot,35,1705.64,185.56,1891.20,2,1.06,1
torchinferno,few_shot,36,1705.79,187.33,1893.12,2,1.06,1
torchinferno,few_shot,37,1710.28,183.70,1893.98,2,1.06,1
torchinferno,few_shot,38,1701.51,197.17,1898.68,2,1.05,1
torchinferno,few_shot,39,1709.22,189.45,1898.68,2,1.05,1
torchinferno,few_shot,40,1712.96,191.17,1904.12,2,1.05,1
torchinferno,few_shot,41,1714.42,187.12,1901.53,2,1.05,1
torchinferno,few_shot,42,1719.73,188.08,1907.81,2,1.05,1
torchinferno,few_shot,43,1704.73,197.11,1901.84,2,1.05,1
torchinferno,few_shot,44,1710.52,193.66,1904.18,2,1.05,1
torchinferno,few_shot,45,1707.64,203.70,1911.34,2,1.05,1
torchinferno,few_shot,46,1700.35,208.11,1908.47,2,1.05,1
torchinferno,few_shot,47,1703.17,206.12,1909.30,2,1.05,1
torchinferno,few_shot,48,1706.73,206.07,1912.80,2,1.05,1
torchinferno,few_shot,49,869.10,0.00,926.83,1,1.08,1
torchinferno,few_shot,50,1999.94,0.00,2069.78,1,0.48,1
torchinferno,few_shot,51,179.06,0.00,248.89,1,4.02,1
torchinferno,few_shot,52,219.32,0.00,286.52,1,3.49,1
torchinferno,few_shot,53,177.87,0.00,250.37,1,3.99,1
torchinferno,few_shot,54,216.91,0.00,289.40,1,3.46,1
torchinferno,few_shot,55,199.37,0.00,277.86,1,3.60,1
torchinferno,few_shot,56,207.43,0.00,283.50,1,3.53,1
torchinferno,few_shot,57,195.84,0.00,269.97,1,3.70,1
torchinferno,few_shot,58,218.56,0.00,297.60,1,3.36,1
torchinferno,few_shot,59,180.07,0.00,263.36,1,3.80,1
torchinferno,few_shot,60,202.33,0.00,287.59,1,3.48,1
torchinferno,few_shot,61,183.85,0.00,268.47,1,3.72,1
torchinferno,few_shot,62,195.96,0.00,276.33,1,3.62,1
torchinferno,few_shot,63,176.45,0.00,263.39,1,3.80,1
torchinferno,few_shot,64,2001.01,0.00,2094.91,1,0.48,1
torchinferno,few_shot,65,213.31,0.00,302.53,1,3.31,1
torchinferno,few_shot,66,2008.86,0.00,2098.32,1,0.48,1
torchinferno,few_shot,67,2007.75,0.00,2098.59,1,0.48,1
torchinferno,few_shot,68,185.28,0.00,281.77,1,3.55,1
torchinferno,few_shot,69,192.97,0.00,289.67,1,3.45,1
torchinferno,few_shot,70,2006.55,0.00,2103.79,1,0.48,1
torchinferno,few_shot,71,2000.10,0.00,2103.99,1,0.48,1
torchinferno,few_shot,72,202.67,0.00,300.37,1,3.33,1
torchinferno,few_shot,73,208.48,0.00,315.67,1,3.17,1
torchinferno,few_shot,74,2007.23,136.75,2143.98,2,0.93,1
torchinferno,few_shot,75,2002.61,144.09,2146.70,2,0.93,1
torchinferno,few_shot,76,194.66,146.81,341.47,2,5.86,1
torchinferno,few_shot,77,194.79,138.34,333.13,2,6.00,1
torchinferno,few_shot,78,2000.59,152.15,2152.75,2,0.93,1
torchinferno,few_shot,79,196.35,152.07,348.42,2,5.74,1
torchinferno,few_shot,80,2002.37,151.09,2153.47,2,0.93,1
torchinferno,few_shot,81,2009.86,145.49,2155.34,2,0.93,1
torchinferno,few_shot,82,202.12,145.44,347.56,2,5.75,1
torchinferno,few_shot,83,185.48,156.56,342.04,2,5.85,1
torchinferno,few_shot,84,209.28,149.46,358.75,2,5.57,1
torchinferno,few_shot,85,2003.14,158.31,2161.45,2,0.93,1
torchinferno,few_shot,86,2010.62,151.50,2162.12,2,0.93,1
torchinferno,few_shot,87,199.05,154.61,353.66,2,5.66,1
torchinferno,few_shot,88,2006.00,158.51,2164.52,2,0.92,1
torchinferno,few_shot,89,207.28,162.96,370.24,2,5.40,1
torchinferno,few_shot,90,2007.19,161.98,2169.17,2,0.92,1
torchinferno,few_shot,91,233.62,0.00,285.31,1,3.50,1
torchinferno,few_shot,92,227.28,0.00,279.94,1,3.57,1
torchinferno,few_shot,93,399.25,0.00,459.35,1,2.18,1
torchinferno,few_shot,94,190.17,0.00,261.34,1,3.83,1
torchinferno,few_shot,95,202.84,0.00,260.65,1,3.84,1
torchinferno,few_shot,96,194.50,0.00,254.73,1,3.93,1
torchinferno,few_shot,97,397.95,0.00,473.76,1,2.11,1
torchinferno,few_shot,98,415.13,0.00,487.70,1,2.05,1
torchinferno,few_shot,99,213.55,0.00,289.66,1,3.45,1
torchinferno,few_shot,100,400.14,0.00,470.87,1,2.12,1
torchinferno,few_shot,101,181.33,0.00,261.83,1,3.82,1
torchinferno,few_shot,102,396.93,0.00,478.14,1,2.09,1
torchinferno,few_shot,103,211.82,0.00,291.21,1,3.43,1
torchinferno,few_shot,104,193.84,0.00,274.43,1,3.64,1
torchinferno,few_shot,105,187.85,0.00,271.95,1,3.68,1
torchinferno,few_shot,106,428.00,0.00,506.36,1,1.97,1
torchinferno,few_shot,107,402.57,0.00,491.63,1,2.03,1
torchinferno,few_shot,108,420.75,0.00,500.53,1,2.00,1
torchinferno,few_shot,109,411.51,0.00,505.42,1,1.98,1
torchinferno,few_shot,110,388.42,0.00,477.24,1,2.10,1
torchinferno,few_shot,111,192.30,0.00,282.97,1,3.53,1
torchinferno,few_shot,112,210.24,0.00,299.68,1,3.34,1
torchinferno,few_shot,113,391.64,0.00,479.82,1,2.08,1
torchinferno,few_shot,114,206.39,0.00,294.54,1,3.40,1
torchinferno,few_shot,115,209.18,0.00,305.16,1,3.28,1
torchinferno,few_shot,116,401.21,0.00,500.98,1,2.00,1
torchinferno,few_shot,117,387.81,0.00,490.99,1,2.04,1
torchinferno,few_shot,118,202.49,140.93,343.42,2,5.82,1
torchinferno,few_shot,119,193.51,144.23,337.74,2,5.92,1
torchinferno,few_shot,120,383.99,148.03,532.02,2,3.76,1
torchinferno,few_shot,121,414.29,151.25,565.54,2,3.54,1
torchinferno,few_shot,122,396.28,141.74,538.02,2,3.72,1
torchinferno,few_shot,123,210.61,140.22,350.83,2,5.70,1
torchinferno,few_shot,124,206.44,143.28,349.72,2,5.72,1
torchinferno,few_shot,125,398.26,155.53,553.79,2,3.61,1
torchinferno,few_shot,126,224.94,149.02,373.97,2,5.35,1
torchinferno,few_shot,127,401.42,147.99,549.41,2,3.64,1
torchinferno,few_shot,128,212.14,152.34,364.48,2,5.49,1
torchinferno,few_shot,129,417.23,162.69,579.92,2,3.45,1
torchinferno,few_shot,130,413.80,162.11,575.91,2,3.47,1
torchinferno,few_shot,131,199.30,151.37,350.67,2,5.70,1
torchinferno,few_shot,132,183.46,164.33,347.79,2,5.75,1
torchinferno,few_shot,133,386.23,161.12,547.35,2,3.65,1
torchinferno,few_shot,134,204.96,167.07,372.03,2,5.38,1
torchinferno,few_shot,135,216.07,165.82,381.89,2,5.24,1
torchinferno,few_shot,136,209.37,169.73,379.10,2,5.28,1
torchinferno,few_shot,137,405.83,161.15,566.99,2,3.53,1
torchinferno,few_shot,138,229.90,0.00,285.76,1,3.50,1
torchinferno,few_shot,139,418.81,0.00,480.68,1,2.08,1
torchinferno,few_shot,140,422.49,0.00,490.35,1,2.04,1
torchinferno,few_shot,141,225.74,0.00,289.36,1,3.46,1
torchinferno,few_shot,142,229.60,0.00,289.28,1,3.46,1
torchinferno,few_shot,143,224.41,0.00,292.58,1,3.42,1
torchinferno,few_shot,144,189.95,0.00,260.21,1,3.84,1
torchinferno,few_shot,145,216.18,0.00,292.97,1,3.41,1
torchinferno,few_shot,146,208.82,0.00,277.29,1,3.61,1
torchinferno,few_shot,147,213.27,0.00,285.77,1,3.50,1
torchinferno,few_shot,148,200.29,0.00,270.00,1,3.70,1
