model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-12T21:02:26.412906+00:00

Build Times
provider,build_time_s
torchinferno,37.3
vllm,336.6
sglang,149.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,140.31,80.34,79.49,sglang
ttft_p99_ms,779.75,176.40,473.76,vllm
tpot_median_ms,32.43,41.51,63.23,torchinferno
tpot_p99_ms,45.51,96.30,875.91,torchinferno
e2e_median_ms,165.75,114.58,133.37,vllm
e2e_p99_ms,794.92,219.26,966.01,vllm
throughput_median_tps,7.01,11.70,10.08,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,57.12,68.06,120.28,torchinferno
ttft_p99_ms,352.35,304.86,69757.29,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,74.61,87.02,199.24,torchinferno
e2e_p99_ms,367.96,311.94,69793.12,vllm
throughput_median_tps,13.40,11.49,5.02,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.14,73.14,81.66,vllm
ttft_p99_ms,1714.28,172.13,502.51,vllm
tpot_median_ms,35.72,36.11,75.39,torchinferno
tpot_p99_ms,271.40,120.93,451.20,vllm
e2e_median_ms,218.33,98.04,141.43,vllm
e2e_p99_ms,1747.48,223.80,601.53,vllm
throughput_median_tps,5.11,13.16,9.47,vllm
total_output_tokens,1436,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,783.09,76.17,66.19,sglang
ttft_last_turn_ms,209.81,75.60,84.31,vllm
ttft_growth_ratio,0.27,0.99,1.27,torchinferno
ttft_first_turn_median_ms,767.57,67.87,65.65,sglang
ttft_first_turn_p99_ms,1834.05,154.61,103.87,sglang
ttft_last_turn_median_ms,184.86,72.55,83.77,vllm
ttft_last_turn_p99_ms,435.30,154.77,125.77,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.07,37.04,52.22,vllm
ttft_p99_ms,765.53,97.66,309.22,vllm
tpot_median_ms,34.64,27.04,392.86,vllm
tpot_p99_ms,72.16,38.87,1060.06,vllm
e2e_median_ms,72.17,56.18,468.30,vllm
e2e_p99_ms,774.46,131.13,1125.45,vllm
throughput_median_tps,19.72,23.50,3.13,vllm
total_output_tokens,1471,1463,1461,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,183.73,46.08,51.62,vllm
ttft_p99_ms,453.90,62.68,103.33,vllm
tpot_median_ms,19.31,15.36,24.06,vllm
tpot_p99_ms,25.75,17.85,78.34,vllm
e2e_median_ms,869.31,575.47,930.91,vllm
e2e_p99_ms,1518.68,1037.76,1703.34,vllm
throughput_median_tps,40.91,60.44,40.23,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,834.99,0.00,846.75,1,1.18,1,,,,,,,1,,,
torchinferno,few_shot,0,1,852.21,23.73,875.93,2,2.28,1,,,,,,,0,,,
torchinferno,few_shot,4,2,862.57,0.00,875.80,1,1.14,1,,,,,,,4,,,
torchinferno,few_shot,11,3,743.18,0.00,758.60,1,1.32,1,,,,,,,11,,,
torchinferno,few_shot,8,4,794.28,0.00,810.42,1,1.23,1,,,,,,,8,,,
torchinferno,few_shot,28,5,458.46,0.00,472.16,1,2.12,1,,,,,,,28,,,
torchinferno,few_shot,9,6,779.75,0.00,794.92,1,1.26,1,,,,,,,9,,,
torchinferno,few_shot,24,7,523.14,0.00,540.31,1,1.85,1,,,,,,,24,,,
torchinferno,few_shot,31,8,405.10,0.00,422.57,1,2.37,1,,,,,,,31,,,
torchinferno,few_shot,26,9,489.36,0.00,507.85,1,1.97,1,,,,,,,26,,,
torchinferno,few_shot,7,10,813.49,0.00,830.56,1,1.20,1,,,,,,,7,,,
torchinferno,few_shot,29,11,440.59,0.00,457.95,1,2.18,1,,,,,,,29,,,
torchinferno,few_shot,10,12,763.51,0.00,781.95,1,1.28,1,,,,,,,10,,,
torchinferno,few_shot,25,13,506.62,0.00,527.73,1,1.89,1,,,,,,,25,,,
torchinferno,few_shot,17,14,640.83,0.00,663.62,1,1.51,1,,,,,,,17,,,
torchinferno,few_shot,12,15,727.26,0.00,750.34,1,1.33,1,,,,,,,12,,,
torchinferno,few_shot,19,16,608.72,27.30,636.02,2,3.14,1,,,,,,,19,,,
torchinferno,few_shot,21,17,576.99,26.25,603.24,2,3.32,1,,,,,,,21,,,
torchinferno,few_shot,23,18,540.46,28.28,568.74,2,3.52,1,,,,,,,23,,,
torchinferno,few_shot,27,19,472.83,29.54,502.36,2,3.98,1,,,,,,,27,,,
torchinferno,few_shot,33,20,373.29,28.12,401.41,2,4.98,1,,,,,,,33,,,
torchinferno,few_shot,32,21,389.45,29.32,418.77,2,4.78,1,,,,,,,32,,,
torchinferno,few_shot,20,22,591.13,31.53,622.66,2,3.21,1,,,,,,,20,,,
torchinferno,few_shot,13,23,710.08,32.19,742.27,2,2.69,1,,,,,,,13,,,
torchinferno,few_shot,16,24,660.98,31.78,692.76,2,2.89,1,,,,,,,16,,,
torchinferno,few_shot,15,25,679.32,30.56,709.88,2,2.82,1,,,,,,,15,,,
torchinferno,few_shot,6,26,829.45,32.63,862.08,2,2.32,1,,,,,,,6,,,
torchinferno,few_shot,14,27,694.60,33.15,727.75,2,2.75,1,,,,,,,14,,,
torchinferno,few_shot,30,28,422.85,33.73,456.57,2,4.38,1,,,,,,,30,,,
torchinferno,few_shot,18,29,624.47,35.60,660.07,2,3.03,1,,,,,,,18,,,
torchinferno,few_shot,5,30,847.53,0.00,880.89,1,1.14,1,,,,,,,5,,,
torchinferno,few_shot,2,31,897.25,34.85,932.10,2,2.15,1,,,,,,,2,,,
torchinferno,few_shot,3,32,880.80,35.12,915.92,2,2.18,1,,,,,,,3,,,
torchinferno,few_shot,22,33,559.83,39.39,599.22,2,3.34,1,,,,,,,22,,,
torchinferno,few_shot,34,34,441.06,0.00,451.64,1,2.21,1,,,,,,,34,,,
torchinferno,few_shot,41,35,318.94,0.00,333.64,1,3.00,1,,,,,,,41,,,
torchinferno,few_shot,69,36,69.63,0.00,82.40,1,12.14,1,,,,,,,69,,,
torchinferno,few_shot,39,37,352.38,0.00,368.32,1,2.72,1,,,,,,,39,,,
torchinferno,few_shot,46,38,236.47,0.00,250.79,1,3.99,1,,,,,,,46,,,
