model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T07:08:02.253880

Build Times
provider,build_time_s
torchinferno,294.8
vllm,1118.6
sglang,163.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.75,165.03,142.09,sglang
ttft_p99_ms,1483.87,549.79,6828.78,vllm
tpot_median_ms,159.34,58.64,77.07,vllm
tpot_p99_ms,206.36,182.94,7312.28,vllm
e2e_median_ms,405.82,215.51,212.08,sglang
e2e_p99_ms,1588.01,646.01,14109.07,vllm
throughput_median_tps,3.49,6.78,5.77,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,299.69,208.09,207.47,sglang
ttft_p99_ms,1475.60,486.94,792.54,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,378.00,228.47,351.94,vllm
e2e_p99_ms,1596.23,535.52,856.50,vllm
throughput_median_tps,2.65,4.38,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,563.02,172.21,164.22,sglang
ttft_p99_ms,1610.63,337.49,728.92,vllm
tpot_median_ms,131.85,63.96,98.07,vllm
tpot_p99_ms,548.27,203.16,221.65,vllm
e2e_median_ms,685.62,230.44,262.42,vllm
e2e_p99_ms,1738.45,420.60,765.73,vllm
throughput_median_tps,2.08,6.15,5.00,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,859.38,136.18,102.40,sglang
ttft_last_turn_ms,628.84,164.73,186.72,vllm
ttft_growth_ratio,0.73,1.21,1.82,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,338.18,58.09,77.96,vllm
ttft_p99_ms,1069.79,117.46,597.73,vllm
tpot_median_ms,135.43,26.79,54.02,vllm
tpot_p99_ms,165.79,38.89,561.99,vllm
e2e_median_ms,436.15,78.34,143.47,vllm
e2e_p99_ms,1202.00,138.34,639.40,vllm
throughput_median_tps,3.32,15.73,10.02,vllm
total_output_tokens,1464,1455,1462,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,536.22,75.31,68.56,sglang
ttft_p99_ms,1999.67,195.55,115.16,sglang
tpot_median_ms,15.46,14.89,22.25,vllm
tpot_p99_ms,35.20,22.59,27.06,vllm
e2e_median_ms,1226.27,631.97,815.78,vllm
e2e_p99_ms,2947.77,1014.81,1570.58,vllm
throughput_median_tps,26.97,58.66,42.36,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,676.14,0.00,747.38,1,1.34,1
torchinferno,few_shot,1,677.18,131.60,808.79,2,2.47,1
torchinferno,few_shot,2,1197.38,0.00,1263.61,1,0.79,1
torchinferno,few_shot,3,1189.83,0.00,1270.96,1,0.79,1
torchinferno,few_shot,4,1188.61,0.00,1270.75,1,0.79,1
torchinferno,few_shot,5,1188.33,0.00,1268.36,1,0.79,1
torchinferno,few_shot,6,1188.05,0.00,1263.56,1,0.79,1
torchinferno,few_shot,7,1185.52,0.00,1263.58,1,0.79,1
torchinferno,few_shot,8,1195.93,0.00,1277.83,1,0.78,1
torchinferno,few_shot,9,1188.77,0.00,1274.75,1,0.78,1
torchinferno,few_shot,10,1180.38,0.00,1266.79,1,0.79,1
torchinferno,few_shot,11,1184.09,0.00,1267.37,1,0.79,1
torchinferno,few_shot,12,1186.96,0.00,1283.34,1,0.78,1
torchinferno,few_shot,13,1180.30,0.00,1273.76,1,0.79,1
torchinferno,few_shot,14,1178.53,0.00,1273.43,1,0.79,1
torchinferno,few_shot,15,1184.60,0.00,1283.14,1,0.78,1
torchinferno,few_shot,16,1180.01,0.00,1276.27,1,0.78,1
torchinferno,few_shot,17,1196.37,0.00,1291.59,1,0.77,1
torchinferno,few_shot,18,1186.93,0.00,1287.95,1,0.78,1
torchinferno,few_shot,19,1182.59,0.00,1279.95,1,0.78,1
torchinferno,few_shot,20,1180.85,0.00,1280.92,1,0.78,1
torchinferno,few_shot,21,1192.13,0.00,1291.18,1,0.77,1
torchinferno,few_shot,22,1186.74,0.00,1286.46,1,0.78,1
torchinferno,few_shot,23,1187.59,0.00,1299.65,1,0.77,1
torchinferno,few_shot,24,1195.88,0.00,1297.06,1,0.77,1
torchinferno,few_shot,25,1193.18,0.00,1302.74,1,0.77,1
torchinferno,few_shot,26,1187.21,0.00,1293.69,1,0.77,1
torchinferno,few_shot,27,1185.65,0.00,1306.26,1,0.77,1
torchinferno,few_shot,28,1200.56,157.01,1357.57,2,1.47,1
torchinferno,few_shot,29,1189.19,168.64,1357.83,2,1.47,1
torchinferno,few_shot,30,1188.78,166.40,1355.19,2,1.48,1
torchinferno,few_shot,31,1187.40,170.03,1357.43,2,1.47,1
torchinferno,few_shot,32,1191.86,165.25,1357.11,2,1.47,1
torchinferno,few_shot,33,1180.01,172.58,1352.59,2,1.48,1
torchinferno,few_shot,34,1177.14,176.48,1353.62,2,1.48,1
torchinferno,few_shot,35,1192.29,175.56,1367.85,2,1.46,1
torchinferno,few_shot,36,1184.25,175.02,1359.27,2,1.47,1
torchinferno,few_shot,37,1176.87,180.81,1357.68,2,1.47,1
torchinferno,few_shot,38,1185.72,186.13,1371.85,2,1.46,1
torchinferno,few_shot,39,1182.62,179.94,1362.56,2,1.47,1
torchinferno,few_shot,40,1195.81,182.25,1378.06,2,1.45,1
torchinferno,few_shot,41,1192.96,184.38,1377.34,2,1.45,1
torchinferno,few_shot,42,1189.11,189.91,1379.02,2,1.45,1
torchinferno,few_shot,43,1184.99,191.92,1376.91,2,1.45,1
torchinferno,few_shot,44,1188.04,192.82,1380.86,2,1.45,1
torchinferno,few_shot,45,1193.66,187.32,1380.97,2,1.45,1
