model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-10T11:02:02.968109

Build Times
provider,build_time_s
vllm,1367.4
sglang,190.7
torchinferno,43.1

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,147.45,134.60,379.23,sglang
ttft_p99_ms,483.42,698.41,1349.68,vllm
tpot_median_ms,52.60,73.86,164.08,vllm
tpot_p99_ms,142.20,618.13,569.22,vllm
e2e_median_ms,194.13,204.81,557.54,vllm
e2e_p99_ms,524.77,787.83,1838.88,vllm
throughput_median_tps,7.49,5.94,2.39,vllm
total_output_tokens,14452,14455,14446,sglang
num_requests,10000,10000,10000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,251.85,198.35,,sglang
ttft_p99_ms,615.63,825.76,,vllm
tpot_median_ms,0.00,0.00,,vllm
tpot_p99_ms,0.00,0.00,,vllm
e2e_median_ms,302.04,343.56,,vllm
e2e_p99_ms,657.47,936.62,,vllm
throughput_median_tps,3.31,2.91,,vllm
total_output_tokens,10000,10000,,vllm
num_requests,10000,10000,,
correctness_rate,1.00,1.00,,vllm
unique_final_answers,1,1,,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,189.80,158.34,,sglang
ttft_p99_ms,355.04,702.21,,vllm
tpot_median_ms,67.37,102.74,,vllm
tpot_p99_ms,198.36,221.99,,vllm
e2e_median_ms,249.94,256.56,,vllm
e2e_p99_ms,431.17,802.70,,vllm
throughput_median_tps,5.70,5.20,,vllm
total_output_tokens,14514,14540,,sglang
num_requests,10000,10000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,185.00,169.11,,sglang
ttft_last_turn_ms,192.79,204.08,,vllm
ttft_growth_ratio,1.04,1.21,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,58.10,76.29,,vllm
ttft_p99_ms,85.01,637.07,,vllm
tpot_median_ms,27.04,59.16,,vllm
tpot_p99_ms,40.79,606.93,,vllm
e2e_median_ms,78.63,139.76,,vllm
e2e_p99_ms,127.56,747.97,,vllm
throughput_median_tps,15.95,10.16,,vllm
total_output_tokens,14944,14996,,sglang
num_requests,10013,10013,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,67.52,65.39,,sglang
ttft_p99_ms,206.32,240.17,,vllm
tpot_median_ms,14.59,22.03,,vllm
tpot_p99_ms,17.14,26.44,,vllm
e2e_median_ms,624.52,886.16,,vllm
e2e_p99_ms,996.39,1556.26,,vllm
throughput_median_tps,61.06,42.68,,vllm
total_output_tokens,377583,377583,,vllm
num_requests,10000,10000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,941.10,93.77,1034.88,2,1.93,1
vllm,few_shot,1,938.96,96.87,1035.83,2,1.93,1
vllm,few_shot,2,939.58,99.43,1039.01,2,1.92,1
vllm,few_shot,3,1004.02,0.00,1118.72,1,0.89,1
vllm,few_shot,4,1019.08,0.00,1139.72,1,0.88,1
vllm,few_shot,5,1015.67,0.00,1127.74,1,0.89,1
vllm,few_shot,6,1016.38,0.00,1126.71,1,0.89,1
vllm,few_shot,7,1003.28,0.00,1120.39,1,0.89,1
vllm,few_shot,8,1008.71,0.00,1122.65,1,0.89,1
vllm,few_shot,9,1007.82,0.00,1129.52,1,0.89,1
vllm,few_shot,10,1014.10,0.00,1128.42,1,0.89,1
vllm,few_shot,11,1009.84,0.00,1132.24,1,0.88,1
vllm,few_shot,12,1011.15,0.00,1132.83,1,0.88,1
vllm,few_shot,13,1013.03,0.00,1139.44,1,0.88,1
vllm,few_shot,14,1007.55,126.68,1134.23,2,1.76,1
vllm,few_shot,15,1013.69,0.00,1149.92,1,0.87,1
vllm,few_shot,16,1035.50,114.53,1150.02,2,1.74,1
vllm,few_shot,17,1023.98,0.00,1155.76,1,0.87,1
vllm,few_shot,18,1001.06,131.81,1132.87,2,1.77,1
vllm,few_shot,19,1031.33,0.00,1163.57,1,0.86,1
vllm,few_shot,20,1024.37,0.00,1145.98,1,0.87,1
vllm,few_shot,21,1016.43,0.00,1156.34,1,0.86,1
vllm,few_shot,22,1003.96,0.00,1149.57,1,0.87,1
vllm,few_shot,23,1022.15,0.00,1163.21,1,0.86,1
vllm,few_shot,24,1020.23,0.00,1144.92,1,0.87,1
vllm,few_shot,25,1017.01,0.00,1166.08,1,0.86,1
vllm,few_shot,26,1036.00,133.38,1169.38,2,1.71,1
vllm,few_shot,27,1008.19,133.92,1142.11,2,1.75,1
vllm,few_shot,28,1003.19,145.21,1148.40,2,1.74,1
vllm,few_shot,29,1012.98,133.79,1146.78,2,1.74,1
vllm,few_shot,30,1037.75,0.00,1172.86,1,0.85,1
vllm,few_shot,31,1000.65,0.00,1147.59,1,0.87,1
vllm,few_shot,32,1035.68,132.90,1168.58,2,1.71,1
vllm,few_shot,33,1005.03,147.32,1152.36,2,1.74,1
vllm,few_shot,34,1006.74,0.00,1158.75,1,0.86,1
vllm,few_shot,35,1013.19,146.71,1159.90,2,1.72,1
vllm,few_shot,36,995.79,0.00,1155.60,1,0.87,1
vllm,few_shot,37,1006.72,160.03,1166.75,2,1.71,1
vllm,few_shot,38,1018.33,148.77,1167.10,2,1.71,1
vllm,few_shot,39,996.87,0.00,1161.36,1,0.86,1
vllm,few_shot,40,1022.57,0.00,1167.33,1,0.86,1
vllm,few_shot,41,1015.10,163.48,1178.59,2,1.70,1
vllm,few_shot,42,1007.53,161.47,1169.00,2,1.71,1
vllm,few_shot,43,1019.42,151.91,1171.33,2,1.71,1
vllm,few_shot,44,1018.09,146.73,1164.82,2,1.72,1
vllm,few_shot,45,1001.74,163.91,1165.65,2,1.72,1
vllm,few_shot,46,1012.85,169.69,1182.54,2,1.69,1
vllm,few_shot,47,1007.63,169.77,1177.40,2,1.70,1
vllm,few_shot,48,1013.24,157.43,1170.67,2,1.71,1
vllm,few_shot,49,1002.17,0.00,1172.76,1,0.85,1
vllm,few_shot,50,1035.71,0.00,1193.09,1,0.84,1
vllm,few_shot,51,1004.52,172.98,1177.49,2,1.70,1
vllm,few_shot,52,1016.00,173.34,1189.34,2,1.68,1
vllm,few_shot,53,1005.27,174.44,1179.72,2,1.70,1
vllm,few_shot,54,1026.20,0.00,1182.48,1,0.85,1
vllm,few_shot,55,1000.62,175.99,1176.61,2,1.70,1
vllm,few_shot,56,161.76,0.00,161.98,1,6.17,1
vllm,few_shot,57,1008.31,165.95,1174.25,2,1.70,1
vllm,few_shot,58,1028.34,160.89,1189.22,2,1.68,1
vllm,few_shot,59,1013.33,178.01,1191.34,2,1.68,1
vllm,few_shot,60,1028.89,0.00,1203.21,1,0.83,1
