model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-28T05:03:25.073930+00:00

Build Times
provider,build_time_s
torchinferno,423.9
vllm,490.0
sglang,282.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,137.03,149.18,vllm
ttft_p99_ms,,1015.06,668.48,sglang
tpot_median_ms,,52.38,73.64,vllm
tpot_p99_ms,,127.80,382.82,vllm
e2e_median_ms,,180.29,214.67,vllm
e2e_p99_ms,,1080.04,1022.75,sglang
throughput_median_tps,,7.69,5.65,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,173.55,204.38,vllm
ttft_p99_ms,,271.29,70485.90,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,235.32,334.13,vllm
e2e_p99_ms,,363.45,70563.67,vllm
throughput_median_tps,,4.25,2.99,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,161.77,175.54,vllm
ttft_p99_ms,,330.68,528.45,vllm
tpot_median_ms,,60.70,100.85,vllm
tpot_p99_ms,,208.36,212.00,vllm
e2e_median_ms,,215.38,270.41,vllm
e2e_p99_ms,,418.50,564.95,vllm
throughput_median_tps,,6.33,5.00,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,
ttft_first_turn_ms,,131.83,124.18,sglang
ttft_last_turn_ms,,158.88,204.95,vllm
ttft_growth_ratio,,1.21,1.65,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,61.52,84.03,vllm
ttft_p99_ms,,2039.30,487.81,sglang
tpot_median_ms,,30.92,43.26,vllm
tpot_p99_ms,,2002.73,456.69,sglang
e2e_median_ms,,85.46,144.91,vllm
e2e_p99_ms,,2075.31,540.38,sglang
throughput_median_tps,,14.06,9.94,vllm
total_output_tokens,,1458,1480,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,77.23,74.50,sglang
ttft_p99_ms,,193.19,273.03,vllm
tpot_median_ms,,15.04,22.38,vllm
tpot_p99_ms,,24.17,26.88,vllm
e2e_median_ms,,617.17,845.36,vllm
e2e_p99_ms,,1001.11,1602.25,vllm
throughput_median_tps,,58.83,41.66,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,855.80,0.00,855.96,1,1.17,1
vllm,few_shot,1,853.25,0.00,855.31,1,1.17,1
vllm,few_shot,2,863.63,0.00,863.76,1,1.16,1
vllm,few_shot,3,858.15,0.00,860.91,1,1.16,1
vllm,few_shot,4,866.91,0.00,867.03,1,1.15,1
vllm,few_shot,5,866.54,0.00,882.11,1,1.13,1
vllm,few_shot,6,911.16,0.00,938.88,1,1.07,1
vllm,few_shot,7,888.33,58.38,946.71,2,2.11,1
vllm,few_shot,8,907.28,0.00,940.15,1,1.06,1
vllm,few_shot,9,915.20,0.00,946.61,1,1.06,1
vllm,few_shot,10,908.05,0.00,944.51,1,1.06,1
vllm,few_shot,11,910.82,0.00,947.89,1,1.05,1
vllm,few_shot,12,910.08,0.00,947.62,1,1.06,1
vllm,few_shot,13,916.46,0.00,952.19,1,1.05,1
vllm,few_shot,14,907.13,98.96,1006.09,2,1.99,1
vllm,few_shot,15,940.03,0.00,1006.43,1,0.99,1
vllm,few_shot,16,933.42,0.00,1006.37,1,0.99,1
vllm,few_shot,17,933.37,0.00,1009.66,1,0.99,1
vllm,few_shot,18,907.36,106.63,1013.99,2,1.97,1
vllm,few_shot,19,912.19,105.72,1017.90,2,1.96,1
vllm,few_shot,20,935.28,0.00,1014.83,1,0.99,1
vllm,few_shot,21,1010.74,0.00,1024.82,1,0.98,1
vllm,few_shot,22,1015.06,0.00,1026.41,1,0.97,1
vllm,few_shot,23,941.00,90.73,1031.73,2,1.94,1
vllm,few_shot,24,1004.72,0.00,1027.56,1,0.97,1
vllm,few_shot,25,1001.98,0.00,1032.34,1,0.97,1
vllm,few_shot,26,1009.47,0.00,1036.52,1,0.96,1
vllm,few_shot,27,937.02,104.26,1041.27,2,1.92,1
vllm,few_shot,28,936.74,104.44,1041.18,2,1.92,1
vllm,few_shot,29,941.88,99.00,1040.88,2,1.92,1
vllm,few_shot,30,999.90,0.00,1040.76,1,0.96,1
vllm,few_shot,31,944.95,100.52,1045.47,2,1.91,1
vllm,few_shot,32,1003.04,0.00,1042.99,1,0.96,1
vllm,few_shot,33,1001.52,0.00,1041.46,1,0.96,1
vllm,few_shot,34,933.17,113.21,1046.38,2,1.91,1
vllm,few_shot,35,944.75,110.98,1055.73,2,1.89,1
vllm,few_shot,36,999.25,0.00,1045.09,1,0.96,1
vllm,few_shot,37,939.24,111.95,1051.20,2,1.90,1
vllm,few_shot,38,931.60,118.27,1049.86,2,1.91,1
vllm,few_shot,39,1014.43,0.00,1050.06,1,0.95,1
vllm,few_shot,40,1004.98,46.03,1051.01,2,1.90,1
vllm,few_shot,41,1003.45,0.00,1057.33,1,0.95,1
vllm,few_shot,42,998.40,0.00,1056.82,1,0.95,1
vllm,few_shot,43,112.97,0.00,117.90,1,8.48,1
