model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-12T18:01:28.895254

Build Times
provider,build_time_s
torchinferno,91.0
vllm,1217.0
sglang,164.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,429.85,175.13,143.64,sglang
ttft_p99_ms,2552.74,557.84,7895.20,vllm
tpot_median_ms,494.38,56.96,77.84,vllm
tpot_p99_ms,716.51,143.57,7310.73,vllm
e2e_median_ms,840.15,226.21,215.52,sglang
e2e_p99_ms,3249.32,607.18,15175.93,vllm
throughput_median_tps,1.57,6.27,5.48,vllm
total_output_tokens,1465,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,364.71,212.21,213.54,vllm
ttft_p99_ms,701.45,573.40,657.91,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,405.18,236.98,351.72,vllm
e2e_p99_ms,758.58,599.93,862.87,vllm
throughput_median_tps,2.47,4.22,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1379.70,181.69,168.90,sglang
ttft_p99_ms,3216.24,389.84,721.74,vllm
tpot_median_ms,205.61,67.73,107.00,vllm
tpot_p99_ms,1112.21,265.69,237.41,sglang
e2e_median_ms,1572.40,242.41,272.18,vllm
e2e_p99_ms,3496.11,506.94,774.36,vllm
throughput_median_tps,0.87,5.83,4.81,vllm
total_output_tokens,1450,1460,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1657.23,140.32,175.12,vllm
ttft_last_turn_ms,1103.86,167.73,169.80,vllm
ttft_growth_ratio,0.67,1.20,0.97,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,436.28,61.21,79.38,vllm
ttft_p99_ms,1342.38,193.12,710.58,vllm
tpot_median_ms,424.43,27.18,61.73,vllm
tpot_p99_ms,595.64,42.69,176.03,vllm
e2e_median_ms,802.72,81.83,152.63,vllm
e2e_p99_ms,1716.74,226.82,756.29,vllm
throughput_median_tps,1.88,15.21,9.05,vllm
total_output_tokens,1472,1470,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1019.83,84.48,75.97,sglang
ttft_p99_ms,2749.15,268.27,727.78,vllm
tpot_median_ms,32.43,14.84,22.04,vllm
tpot_p99_ms,75.60,21.23,33.42,vllm
e2e_median_ms,2285.70,625.21,812.48,vllm
e2e_p99_ms,4048.65,1124.97,1826.37,vllm
throughput_median_tps,17.21,57.28,41.77,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,764.93,0.00,1396.92,1,0.72,1
torchinferno,few_shot,1,2555.71,0.00,3153.96,1,0.32,1
torchinferno,few_shot,2,2549.91,0.00,3163.61,1,0.32,1
torchinferno,few_shot,3,2545.61,0.00,3150.23,1,0.32,1
torchinferno,few_shot,4,2541.35,0.00,3150.04,1,0.32,1
torchinferno,few_shot,5,2540.10,0.00,3158.83,1,0.32,1
torchinferno,few_shot,6,2541.48,0.00,3149.76,1,0.32,1
torchinferno,few_shot,7,2555.52,0.00,3161.85,1,0.32,1
torchinferno,few_shot,8,2536.57,0.00,3157.59,1,0.32,1
torchinferno,few_shot,9,2538.75,0.00,3165.09,1,0.32,1
torchinferno,few_shot,10,2538.85,0.00,3160.75,1,0.32,1
torchinferno,few_shot,11,1169.43,0.00,1783.27,1,0.56,1
torchinferno,few_shot,12,2535.30,0.00,3157.51,1,0.32,1
torchinferno,few_shot,13,2537.55,0.00,3168.06,1,0.32,1
torchinferno,few_shot,14,2551.27,0.00,3171.06,1,0.32,1
torchinferno,few_shot,15,2537.77,0.00,3169.10,1,0.32,1
torchinferno,few_shot,16,2548.84,0.00,3175.04,1,0.31,1
torchinferno,few_shot,17,2541.58,0.00,3169.89,1,0.32,1
torchinferno,few_shot,18,2533.12,637.67,3170.79,2,0.63,1
torchinferno,few_shot,19,2547.03,0.00,3191.35,1,0.31,1
torchinferno,few_shot,20,2536.54,646.47,3183.01,2,0.63,1
torchinferno,few_shot,21,2552.68,0.00,3185.45,1,0.31,1
torchinferno,few_shot,22,2537.58,0.00,3184.82,1,0.31,1
torchinferno,few_shot,23,2558.12,644.48,3202.60,2,0.62,1
torchinferno,few_shot,24,2551.08,641.03,3192.11,2,0.63,1
torchinferno,few_shot,25,2545.04,634.32,3179.36,2,0.63,1
torchinferno,few_shot,26,2543.46,0.00,3182.35,1,0.31,1
torchinferno,few_shot,27,2548.12,641.54,3189.66,2,0.63,1
torchinferno,few_shot,28,2538.45,0.00,3192.68,1,0.31,1
torchinferno,few_shot,29,2560.47,640.99,3201.46,2,0.62,1
torchinferno,few_shot,30,2546.91,0.00,3209.65,1,0.31,1
torchinferno,few_shot,31,2542.00,0.00,3190.70,1,0.31,1
torchinferno,few_shot,32,2547.41,657.41,3204.82,2,0.62,1
torchinferno,few_shot,33,2542.17,663.49,3205.66,2,0.62,1
torchinferno,few_shot,34,2548.70,0.00,3216.42,1,0.31,1
torchinferno,few_shot,35,2568.81,651.54,3220.35,2,0.62,1
torchinferno,few_shot,36,2538.10,667.04,3205.14,2,0.62,1
torchinferno,few_shot,37,2558.54,0.00,3221.11,1,0.31,1
torchinferno,few_shot,38,2554.56,0.00,3211.39,1,0.31,1
torchinferno,few_shot,39,2541.79,665.65,3207.43,2,0.62,1
torchinferno,few_shot,40,2540.87,669.91,3210.79,2,0.62,1
torchinferno,few_shot,41,2535.29,673.32,3208.61,2,0.62,1
torchinferno,few_shot,42,2539.16,0.00,3215.92,1,0.31,1
torchinferno,few_shot,43,2552.74,0.00,3227.27,1,0.31,1
torchinferno,few_shot,44,2542.40,687.25,3229.65,2,0.62,1
torchinferno,few_shot,45,2544.34,680.90,3225.24,2,0.62,1
torchinferno,few_shot,46,2533.91,684.80,3218.71,2,0.62,1
torchinferno,few_shot,47,2547.53,685.70,3233.23,2,0.62,1
torchinferno,few_shot,48,2542.89,689.77,3232.66,2,0.62,1
torchinferno,few_shot,49,2546.85,0.00,3246.95,1,0.31,1
torchinferno,few_shot,50,2542.67,695.97,3238.64,2,0.62,1
torchinferno,few_shot,51,2561.83,0.00,3249.32,1,0.31,1
torchinferno,few_shot,52,2537.02,691.23,3228.25,2,0.62,1
torchinferno,few_shot,53,2568.34,686.96,3255.29,2,0.61,1
torchinferno,few_shot,54,2541.35,0.00,3241.60,1,0.31,1
torchinferno,few_shot,55,2534.78,703.81,3238.59,2,0.62,1
torchinferno,few_shot,56,2550.46,711.21,3261.67,2,0.61,1
torchinferno,few_shot,57,2539.22,709.95,3249.16,2,0.62,1
torchinferno,few_shot,58,2538.63,716.51,3255.13,2,0.61,1
torchinferno,few_shot,59,2539.85,714.15,3253.99,2,0.61,1
torchinferno,few_shot,60,2545.01,721.58,3266.60,2,0.61,1
torchinferno,few_shot,61,2540.79,709.14,3249.94,2,0.62,1
torchinferno,few_shot,62,2533.10,717.71,3250.81,2,0.62,1
torchinferno,few_shot,63,2543.84,718.67,3262.51,2,0.61,1
torchinferno,few_shot,64,2548.34,730.78,3279.11,2,0.61,1
torchinferno,few_shot,65,788.55,0.00,798.61,1,1.25,1
torchinferno,few_shot,66,849.88,0.00,1226.43,1,0.82,1
torchinferno,few_shot,67,868.06,0.00,1248.36,1,0.80,1
torchinferno,few_shot,68,850.26,0.00,1229.85,1,0.81,1
torchinferno,few_shot,69,840.64,0.00,1244.06,1,0.80,1
torchinferno,few_shot,70,883.69,0.00,1281.37,1,0.78,1
torchinferno,few_shot,71,921.28,0.00,1328.90,1,0.75,1
torchinferno,few_shot,72,107.26,0.00,496.61,1,2.01,1
torchinferno,few_shot,73,833.64,0.00,1227.03,1,0.81,1
torchinferno,few_shot,74,832.78,0.00,1232.57,1,0.81,1
torchinferno,few_shot,75,884.52,0.00,1287.97,1,0.78,1
torchinferno,few_shot,76,879.41,0.00,1288.25,1,0.78,1
torchinferno,few_shot,77,868.80,0.00,1283.87,1,0.78,1
torchinferno,few_shot,78,842.24,0.00,1242.33,1,0.80,1
torchinferno,few_shot,79,901.92,0.00,1316.82,1,0.76,1
torchinferno,few_shot,80,873.04,0.00,1281.03,1,0.78,1
torchinferno,few_shot,81,930.02,0.00,1333.65,1,0.75,1
torchinferno,few_shot,82,913.33,0.00,1324.45,1,0.76,1
torchinferno,few_shot,83,916.21,0.00,1339.27,1,0.75,1
torchinferno,few_shot,84,820.62,0.00,1239.40,1,0.81,1
torchinferno,few_shot,85,868.10,0.00,1289.03,1,0.78,1
torchinferno,few_shot,86,813.97,0.00,1241.58,1,0.81,1
torchinferno,few_shot,87,913.46,0.00,1341.63,1,0.75,1
torchinferno,few_shot,88,851.27,0.00,1280.57,1,0.78,1
torchinferno,few_shot,89,861.38,0.00,1301.07,1,0.77,1
torchinferno,few_shot,90,838.26,0.00,1269.84,1,0.79,1
torchinferno,few_shot,91,894.59,0.00,1319.10,1,0.76,1
torchinferno,few_shot,92,905.61,0.00,1348.29,1,0.74,1
torchinferno,few_shot,93,865.53,0.00,1311.34,1,0.76,1
torchinferno,few_shot,94,892.04,0.00,1333.84,1,0.75,1
torchinferno,few_shot,95,898.30,0.00,1330.41,1,0.75,1
torchinferno,few_shot,96,860.69,0.00,1306.10,1,0.77,1
torchinferno,few_shot,97,899.82,0.00,1339.61,1,0.75,1
torchinferno,few_shot,98,870.03,0.00,1312.17,1,0.76,1
torchinferno,few_shot,99,881.69,0.00,1329.78,1,0.75,1
torchinferno,few_shot,100,834.73,0.00,1295.70,1,0.77,1
torchinferno,few_shot,101,808.79,0.00,1267.86,1,0.79,1
torchinferno,few_shot,102,912.71,0.00,1378.30,1,0.73,1
torchinferno,few_shot,103,907.97,0.00,1365.23,1,0.73,1
torchinferno,few_shot,104,897.44,594.40,1491.84,2,1.34,1
torchinferno,few_shot,105,818.70,587.82,1406.52,2,1.42,1
torchinferno,few_shot,106,852.71,589.53,1442.24,2,1.39,1
torchinferno,few_shot,107,832.42,604.99,1437.41,2,1.39,1
torchinferno,few_shot,108,868.37,605.49,1473.86,2,1.36,1
torchinferno,few_shot,109,865.80,601.36,1467.16,2,1.36,1
torchinferno,few_shot,110,859.35,602.39,1461.74,2,1.37,1
torchinferno,few_shot,111,896.20,608.61,1504.81,2,1.33,1
torchinferno,few_shot,112,821.46,612.78,1434.24,2,1.39,1
torchinferno,few_shot,113,896.67,616.07,1512.75,2,1.32,1
torchinferno,few_shot,114,850.13,612.53,1462.66,2,1.37,1
torchinferno,few_shot,115,856.18,601.39,1457.56,2,1.37,1
