model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-19T11:02:53.902570+00:00

Build Times
provider,build_time_s
torchinferno,46.9
vllm,416.6
sglang,224.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.59,77.57,84.05,vllm
ttft_p99_ms,705.61,150.05,523.20,vllm
tpot_median_ms,30.73,39.05,68.40,torchinferno
tpot_p99_ms,40.52,89.29,892.87,torchinferno
e2e_median_ms,166.84,105.31,140.58,vllm
e2e_p99_ms,723.32,188.58,1020.29,vllm
throughput_median_tps,6.80,12.62,9.47,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,56.04,76.80,144.64,torchinferno
ttft_p99_ms,268.18,453.87,70235.77,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,75.08,96.57,216.68,torchinferno
e2e_p99_ms,284.73,467.91,70273.01,torchinferno
throughput_median_tps,13.32,10.35,4.62,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,189.59,84.59,93.94,vllm
ttft_p99_ms,1002.24,154.61,555.88,vllm
tpot_median_ms,34.32,35.81,78.63,torchinferno
tpot_p99_ms,114.02,88.36,901.12,vllm
e2e_median_ms,218.74,115.30,161.88,vllm
e2e_p99_ms,1019.28,193.72,959.10,vllm
throughput_median_tps,5.15,12.28,8.40,vllm
total_output_tokens,1442,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,430.24,81.31,69.62,sglang
ttft_last_turn_ms,176.53,86.17,100.15,vllm
ttft_growth_ratio,0.41,1.06,1.44,torchinferno
ttft_first_turn_median_ms,228.87,73.59,67.38,sglang
ttft_first_turn_p99_ms,1082.17,148.55,109.89,sglang
ttft_last_turn_median_ms,187.34,81.67,99.14,vllm
ttft_last_turn_p99_ms,270.83,155.47,123.96,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.37,37.08,67.87,vllm
ttft_p99_ms,752.08,108.36,503.26,vllm
tpot_median_ms,34.74,27.06,399.27,vllm
tpot_p99_ms,81.76,41.03,1028.55,vllm
e2e_median_ms,74.68,56.84,484.65,vllm
e2e_p99_ms,782.97,149.39,1108.28,vllm
throughput_median_tps,19.86,23.03,3.02,vllm
total_output_tokens,1474,1467,1455,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.48,47.37,55.56,vllm
ttft_p99_ms,428.10,65.41,89.11,vllm
tpot_median_ms,19.64,15.69,29.35,vllm
tpot_p99_ms,24.86,18.04,107.69,vllm
e2e_median_ms,889.62,591.52,1089.27,vllm
e2e_p99_ms,1608.59,1064.33,2106.09,vllm
throughput_median_tps,40.03,59.56,33.18,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,762.74,0.00,774.80,1,1.29,1,,,,,,,1,,,
torchinferno,few_shot,0,1,779.86,23.93,803.79,2,2.49,1,,,,,,,0,,,
torchinferno,few_shot,4,2,787.18,0.00,802.20,1,1.25,1,,,,,,,4,,,
torchinferno,few_shot,12,3,654.73,0.00,669.73,1,1.49,1,,,,,,,12,,,
torchinferno,few_shot,10,4,687.48,0.00,703.62,1,1.42,1,,,,,,,10,,,
torchinferno,few_shot,25,5,439.65,0.00,455.65,1,2.19,1,,,,,,,25,,,
torchinferno,few_shot,24,6,458.09,0.00,473.05,1,2.11,1,,,,,,,24,,,
torchinferno,few_shot,26,7,423.09,0.00,440.40,1,2.27,1,,,,,,,26,,,
torchinferno,few_shot,9,8,705.61,0.00,723.32,1,1.38,1,,,,,,,9,,,
torchinferno,few_shot,28,9,389.87,0.00,408.14,1,2.45,1,,,,,,,28,,,
torchinferno,few_shot,5,10,774.40,0.00,791.10,1,1.26,1,,,,,,,5,,,
torchinferno,few_shot,8,11,724.19,0.00,741.80,1,1.35,1,,,,,,,8,,,
torchinferno,few_shot,31,12,340.43,0.00,360.22,1,2.78,1,,,,,,,31,,,
torchinferno,few_shot,17,13,574.28,0.00,594.55,1,1.68,1,,,,,,,17,,,
torchinferno,few_shot,29,14,372.73,0.00,395.78,1,2.53,1,,,,,,,29,,,
torchinferno,few_shot,11,15,673.83,0.00,696.79,1,1.44,1,,,,,,,11,,,
torchinferno,few_shot,7,16,737.56,0.00,754.64,1,1.33,1,,,,,,,7,,,
torchinferno,few_shot,20,17,522.56,27.74,550.30,2,3.63,1,,,,,,,20,,,
torchinferno,few_shot,15,18,604.96,28.88,633.84,2,3.16,1,,,,,,,15,,,
torchinferno,few_shot,23,19,474.26,27.47,501.74,2,3.99,1,,,,,,,23,,,
torchinferno,few_shot,16,20,589.81,28.72,618.53,2,3.23,1,,,,,,,16,,,
torchinferno,few_shot,27,21,407.92,28.61,436.53,2,4.58,1,,,,,,,27,,,
torchinferno,few_shot,33,22,308.39,29.38,337.77,2,5.92,1,,,,,,,33,,,
torchinferno,few_shot,14,23,622.72,30.71,653.43,2,3.06,1,,,,,,,14,,,
torchinferno,few_shot,2,24,823.11,31.08,854.19,2,2.34,1,,,,,,,2,,,
torchinferno,few_shot,32,25,323.39,32.49,355.88,2,5.62,1,,,,,,,32,,,
torchinferno,few_shot,13,26,637.87,34.21,672.08,2,2.98,1,,,,,,,13,,,
torchinferno,few_shot,6,27,754.60,34.80,789.41,2,2.53,1,,,,,,,6,,,
torchinferno,few_shot,19,28,538.81,35.35,574.16,2,3.48,1,,,,,,,19,,,
torchinferno,few_shot,3,29,808.00,33.42,841.42,2,2.38,1,,,,,,,3,,,
torchinferno,few_shot,30,30,357.17,37.60,394.78,2,5.07,1,,,,,,,30,,,
torchinferno,few_shot,21,31,507.10,37.97,545.07,2,3.67,1,,,,,,,21,,,
torchinferno,few_shot,18,32,557.16,38.32,595.48,2,3.36,1,,,,,,,18,,,
torchinferno,few_shot,22,33,490.67,38.96,529.64,2,3.78,1,,,,,,,22,,,
torchinferno,few_shot,34,34,373.29,0.00,386.07,1,2.59,1,,,,,,,34,,,
torchinferno,few_shot,46,35,174.93,0.00,186.34,1,5.37,1,,,,,,,46,,,
torchinferno,few_shot,38,36,307.20,0.00,319.82,1,3.13,1,,,,,,,38,,,
torchinferno,few_shot,48,37,140.80,0.00,154.02,1,6.49,1,,,,,,,48,,,
torchinferno,few_shot,43,38,224.38,0.00,237.97,1,4.20,1,,,,,,,43,,,
