model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-25T03:04:13.462203

Build Times
provider,build_time_s
torchinferno,333.8
vllm,1266.0
sglang,199.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.06,163.48,146.56,sglang
ttft_p99_ms,1951.06,258.24,8328.36,vllm
tpot_median_ms,154.85,60.72,77.94,vllm
tpot_p99_ms,227.75,140.31,7426.22,vllm
e2e_median_ms,396.62,216.01,219.03,vllm
e2e_p99_ms,2148.41,317.40,15727.18,vllm
throughput_median_tps,3.65,6.83,5.42,vllm
total_output_tokens,1461,1450,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.14,216.98,196.42,sglang
ttft_p99_ms,1503.20,547.90,72932.90,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,331.51,237.46,336.39,vllm
e2e_p99_ms,1564.98,581.04,73087.82,vllm
throughput_median_tps,3.02,4.21,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,736.70,169.31,163.86,sglang
ttft_p99_ms,1802.23,339.26,591.05,vllm
tpot_median_ms,131.28,59.54,105.34,vllm
tpot_p99_ms,466.78,187.14,218.92,vllm
e2e_median_ms,864.27,217.35,260.19,vllm
e2e_p99_ms,1934.21,406.39,666.20,vllm
throughput_median_tps,1.52,6.39,5.06,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,955.13,139.57,113.00,sglang
ttft_last_turn_ms,622.91,162.30,197.92,vllm
ttft_growth_ratio,0.65,1.16,1.75,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,325.29,57.61,76.77,vllm
ttft_p99_ms,845.71,113.82,475.39,vllm
tpot_median_ms,133.33,27.20,65.07,vllm
tpot_p99_ms,154.43,97.19,162.96,vllm
e2e_median_ms,426.08,77.54,155.88,vllm
e2e_p99_ms,986.26,146.54,520.95,vllm
throughput_median_tps,3.00,15.90,9.27,vllm
total_output_tokens,1477,1472,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,981.95,83.31,66.71,sglang
ttft_p99_ms,2718.81,206.38,113.60,sglang
tpot_median_ms,16.36,15.00,22.19,vllm
tpot_p99_ms,64.24,23.47,27.39,vllm
e2e_median_ms,1620.87,648.41,828.68,vllm
e2e_p99_ms,3610.39,1011.78,1543.98,vllm
throughput_median_tps,21.32,57.11,42.56,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,863.13,0.00,1246.09,1,0.80,1
torchinferno,few_shot,1,1937.09,0.00,2031.18,1,0.49,1
torchinferno,few_shot,2,1943.05,0.00,2028.76,1,0.49,1
torchinferno,few_shot,3,1945.65,0.00,2025.85,1,0.49,1
torchinferno,few_shot,4,1939.42,0.00,2036.24,1,0.49,1
torchinferno,few_shot,5,1942.61,0.00,2028.72,1,0.49,1
torchinferno,few_shot,6,1940.11,0.00,2044.51,1,0.49,1
torchinferno,few_shot,7,1927.53,0.00,2032.44,1,0.49,1
torchinferno,few_shot,8,1926.06,0.00,2032.45,1,0.49,1
torchinferno,few_shot,9,1943.94,0.00,2050.44,1,0.49,1
torchinferno,few_shot,10,1931.60,0.00,2038.70,1,0.49,1
torchinferno,few_shot,11,1940.98,0.00,2053.31,1,0.49,1
torchinferno,few_shot,12,1931.98,0.00,2036.89,1,0.49,1
torchinferno,few_shot,13,1942.08,0.00,2050.25,1,0.49,1
torchinferno,few_shot,14,1926.07,0.00,2040.57,1,0.49,1
torchinferno,few_shot,15,1940.40,0.00,2053.90,1,0.49,1
torchinferno,few_shot,16,1924.59,0.00,2046.39,1,0.49,1
torchinferno,few_shot,17,1940.94,0.00,2056.66,1,0.49,1
torchinferno,few_shot,18,1934.91,0.00,2053.08,1,0.49,1
torchinferno,few_shot,19,1943.31,0.00,2052.78,1,0.49,1
torchinferno,few_shot,20,1942.46,0.00,2055.48,1,0.49,1
torchinferno,few_shot,21,1951.06,0.00,2072.49,1,0.48,1
torchinferno,few_shot,22,1927.00,0.00,2060.03,1,0.49,1
torchinferno,few_shot,23,1941.38,0.00,2075.27,1,0.48,1
torchinferno,few_shot,24,1941.98,0.00,2064.85,1,0.48,1
torchinferno,few_shot,25,705.51,0.00,832.20,1,1.20,1
torchinferno,few_shot,26,1933.13,0.00,2068.72,1,0.48,1
torchinferno,few_shot,27,1954.45,0.00,2081.59,1,0.48,1
torchinferno,few_shot,28,1954.98,0.00,2083.28,1,0.48,1
torchinferno,few_shot,29,1946.69,0.00,2073.57,1,0.48,1
torchinferno,few_shot,30,1934.99,0.00,2075.44,1,0.48,1
torchinferno,few_shot,31,1941.44,0.00,2088.35,1,0.48,1
torchinferno,few_shot,32,1954.15,0.00,2095.74,1,0.48,1
torchinferno,few_shot,33,1940.16,174.35,2114.51,2,0.95,1
torchinferno,few_shot,34,1935.36,169.21,2104.57,2,0.95,1
torchinferno,few_shot,35,1959.42,165.34,2124.76,2,0.94,1
torchinferno,few_shot,36,1947.80,176.20,2124.00,2,0.94,1
torchinferno,few_shot,37,1935.69,188.18,2123.87,2,0.94,1
torchinferno,few_shot,38,1952.38,174.90,2127.28,2,0.94,1
torchinferno,few_shot,39,1941.56,191.56,2133.12,2,0.94,1
torchinferno,few_shot,40,1942.35,175.98,2118.33,2,0.94,1
torchinferno,few_shot,41,1934.92,185.52,2120.44,2,0.94,1
torchinferno,few_shot,42,1931.35,188.30,2119.65,2,0.94,1
torchinferno,few_shot,43,1926.18,193.59,2119.78,2,0.94,1
torchinferno,few_shot,44,1937.76,195.98,2133.74,2,0.94,1
torchinferno,few_shot,45,1932.76,192.94,2125.69,2,0.94,1
